UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,TRT1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,C2426,BPEN,BRAND,C34,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT2,YRREC
79IN03058,1976431514,76,2,T1514,,41,740,,,,,,,,1,40,,414,,, 2,129,152,,,02,,43,,,046943,3,,802642,,,1979
79IN03059,1976431516,76,2,T1516,,42,862,,,,,,,,1,40,,922,,, 2,102,119,,,02,,43,,,991442,2,,873542,,,1979
79IN03060,1976431520,76,2,T1520,,41,760,,,,,,,,1,40,,413,,, 2,171,174,,,02,,43,,,068343,3,,263642,,,1979
79IN03061,1976431523,76,2,T1523,,48,752,,,,,,,,2,40,,441,  44,, 2,133,151,,,02,,43,,,071443,1,,727542,,,1979
79IN03062,1976431526,76,2,T1526,,43,732,,,,,,,,1,40,,435,,, 2,137,164,,,02,,43,,,072043,1,,758642,,,1979
79IN03063,1976431534,76,2,T1534,,48,741,,,,,,,,2,40,,001,,, 2,118,140,,,02,,43,,,056843,3,,650542,,,1979
79IN03064,1976431535,76,2,T1535,,43,741,,,,,,,,2,40,,431,,, 2,114,142,,,02,,43,,,056843,6,,650542,,,1979
79IN03065,1977431540,77,2,T1540,,42,802,,,,,,,,3,30,,932,,, 9,125,139,,,02,,43,,,046143,3,,910042,,,1979
79IN03066,1977431542,77,2,T1542,,40,402,,,,,,,,3,30,,403,,, 2,143,164,,,02,,43,,,026843,2,,061543,,,1979
79IN03067,1977431553,77,2,T1553,,40,402,,,,,,,,3,30,,404,,, 2,150,164,,,02,,43,,,026843,3,,946142,,,1979
79IN03068,1977431563,77,2,T1563,,41,413,,,,,,,,1,30,,411,,, 2,112,124,,,02,,43,,,076543,1,,046443,,,1979
79IN03069,1977431567,77,1,T1567,,41,413,,,2,,,,,5,,,325,,,,170,221,2,,02,,43,0920,,076543,M,257,012243,92,,1979
79IN03070,1977431568,77,2,T1568,,41,413,,,,,,,,5,30,,412,,, 2,129,145,,,02,,43,,,076543,2,,012243,,,1979
79IN03071,1977431569,77,2,T1569,,42,852,,,,,,,,5,30,,942,,, 2,122,152,,,02,,43,,,014243,6,,924542,,,1979
79IN03072,1977431570,77,2,T1570,,42,852,,,,,,,,5,30,,952,,, 1,126,142,,,02,,43,,,014243,6,,924542,,,1979
79IN03073,1977431571,77,2,T1571,,40,402,,,,,,,,1,30,,401,,, 1,150,178,,,02,,43,,,026843,3,,536342,,,1979
79IN03074,1977431574,77,2,T1574,,40,401,,,,,,,,5,30,,401,,, 1,148,165,,,02,,43,,,009943,3,,922842,,,1979
79IN03075,1977431583,77,2,T1583,,40,402,,,,,,,,5,30,,402,,, 2,133,168,,,02,,43,,,026843,2,,679642,,,1979
