UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,GOK,YRREC,AGE
70IN03689,1969423877,69,2,T3877,4,72,872,,,,,,,,2,02,3,1,92,091,06,,91,126,,,087,,42,,081,3,182442,,,215142,,,05,1970,1.0
70IN03690,1969423880,69,1,T3880,4,74,54,,,,,,,,2,02,6,2,197,120,08,,120,145,2,,090,,42,0926,104,3,065942,,232,917441,,,,1970,1.0
70IN03691,1969423882,69,1,T3882,4,72,872,,,,,,,,2,02,3,1,,064,08,,64,83,,,090,,42,,072,2,182442,,188,025742,,,,1970,1.0
70IN03692,1969423883,69,2,T3883,4,72,872,,,,,,,,2,02,3,1,29,082,07,,82,113,2,,100,,42,0926,065,2,182442,,,025742,,,,1970,1.0
70IN03693,1969423884,69,1,T3884,4,76,59,,,,,,,,2,02,6,1,206,133,05,,133,155,2,,096,,42,0926,125,3,180342,,246,898341,,,,1970,1.0
70IN03694,1969423889,69,1,T3889,4,76,53,,,,,,,,2,02,6,1,205,109,09,,109,135,2,,100,,42,0926,121,2,197342,,220,884741,,,,1970,1.0
70IN03695,1969423890,69,2,T3890,4,77,56,,,,,,,,2,02,6,1,31,082,08,,82,123,2,,107,,42,0926,100,3,178242,,,040742,,,,1970,1.0
70IN03696,1969423896,69,1,T3896,4,74,52,,,,,,,,2,02,6,2,,130,08,,130,163,,,103,,42,,179,4,786541,,245,902541,,,,1970,1.0
70IN03697,1969423904,69,2,T3904,4,70,732,,,,,,,,2,02,2,1,,098,09,,98,,7,,103,,42,0913,098,2,229842,,,815541,,,,1970,1.0
70IN03698,1969423910,69,2,T3910,4,75,58,,,,,,,,2,02,,,,,,,,,6,,,,42,0120,,,796641,,,112042,,,,1970,1.0
70IN03699,1969423914,69,1,T3914,4,70,732,,,,,,,,2,02,2,1,187,131,07,,131,165,2,,093,,42,0926,119,3,229842,,241,060942,,,,1970,1.0
70IN03700,1969423918,69,1,T3918,4,75,53,,,,,,,,2,02,6,1,192,130,08,,130,150,2,,100,,42,0926,117,2,197342,,243,130842,,,,1970,1.0
70IN03701,1969423921,69,1,T3921,4,76,59,,,,,,,,2,02,6,1,,122,08,,122,158,3,,088,,42,0803,122,3,180342,,233,181442,,,,1970,1.0
70IN03702,1969423922,69,2,T3922,4,76,59,,,,,,,,2,02,6,1,30,087,10,,87,120,2,,081,,42,0926,089,2,180342,,,181442,,,,1970,1.0
70IN03703,1969423923,69,2,T3923,4,77,61,,,,,,,,2,02,6,1,771,098,11,,98,144,,,100,,42,,087,3,219242,,,180442,,,01,1970,1.0
70IN03704,1969423924,69,2,T3924,4,77,57,,,,,,,,2,02,6,1,772,105,09,,105,132,,,103,,42,,116,4,108242,,,967841,,,01,1970,1.0
70IN03705,1969423926,69,1,T3926,4,75,61,,,,,,,,2,02,6,1,,106,08,,106,128,3,,100,,42,0803,099,3,219242,,212,083842,,,,1970,1.0
70IN03706,1969423927,69,2,T3927,4,78,55,,,,X,,,,2,02,6,1,782,096,06,,96,133,,,088,,42,,083,2,624241,,,886641,,,02,1970,1.0
70IN03707,1969423930,69,2,T3930,4,77,55,,,,,,,,2,02,6,1,30,079,08,,79,115,2,,093,,42,0926,074,3,624241,,,162342,,,,1970,1.0
70IN03708,1969423932,69,1,T3932,4,77,58,,,,,,,,2,02,6,1,,115,08,,115,156,,,099,,42,,127,4,796641,,234,155442,,,,1970,1.0
70IN03709,1969423934,69,1,T3934,4,77,54,,,,,,,,2,02,6,4,,083,10,,83,105,3,,085,,42,0803,080,2,065942,,203,166342,,,,1970,1.0
70IN03710,1969423935,69,2,T3935,4,76,57,,,,,,,,2,02,6,1,18,102,14,,102,130,2,,084,,42,0926,110,3,108242,,,089042,,,,1970,1.0
70IN03711,1969423936,69,1,T3936,4,76,57,,,,,,,,2,02,6,1,,096,12,,96,126,3,,088,,42,0803,090,2,108242,,202,089042,,,,1970,1.0
70IN03712,1969423937,69,1,T3937,4,72,842,,,,,,,,2,02,3,,,,,,,,6,,,,42,0301,,,229042,,,203042,,,,1970,1.0
70IN03713,1969423938,69,1,T3938,4,78,51,,,,,,,,2,02,6,4,206,108,07,,108,130,2,,098,,42,0926,118,4,000842,,236,084742,,,,1970,1.0
70IN03714,1969423941,69,1,T3941,4,76,61,,,,,,,,2,02,6,1,,093,11,,93,118,3,,098,,42,0803,107,3,219242,,206,137242,,,,1970,1.0
70IN03715,1969423942,69,2,T3942,4,76,61,,,,,,,,2,02,6,1,760,108,10,01,108,132,,,116,,42,,124,4,219242,,,137242,,,01,1970,1.0
70IN03716,1969423943,69,1,T3943,4,70,712,,,,,,,,2,02,2,1,203,110,06,,110,151,2,,086,,42,0926,094,2,201342,,232,094742,,,,1970,1.0
70IN03717,1969423944,69,1,T3944,4,74,54,,,,,,,,2,02,6,1,163,133,08,,133,160,2,,106,,42,4125,121,4,065942,,249,170242,,,,1970,1.0
70IN03718,1969423946,69,1,T3946,4,14,142,,,,,,32,,2,02,1,1,,087,06,,87,120,,,107,,42,,094,4,233742,,226,596541,,,,1970,1.0
70IN03719,1969423948,69,2,T3948,4,08,082,6,,,,,26,,2,02,1,1,08,069,09,,69,100,,,090,,42,,081,2,087842,,,631841,,,02,1970,1.0
70IN03720,1969423949,69,2,T3949,4,08,082,7,,,,,26,,2,02,1,1,08,054,11,,54,83,,,076,,42,,080,2,087842,,,631841,,,01,1970,1.0
70IN03721,1969423950,69,2,T3950,4,76,59,,,,X,,,,2,02,6,1,761,107,07,,107,138,,,111,,42,,117,3,180342,,,942241,,,01,1970,1.0
70IN03722,1969423952,69,2,T3952,4,73,53,,,,,,,,2,02,6,1,21,116,11,,116,153,2,,105,,42,0926,120,2,197342,,,053742,,,,1970,1.0
70IN03723,1969423953,69,1,T3953,4,73,53,,,,,,,,2,02,6,1,199,125,12,,125,158,2,,088,,42,0926,105,2,197342,,234,053742,,,,1970,1.0
70IN03724,1969423956,69,1,T3956,4,77,54,,,,,,,,2,02,6,1,,103,11,,103,130,3,,102,,42,0803,113,4,065942,,220,883441,,,,1970,1.0
70IN03725,1969423957,69,2,T3957,4,77,58,,,,,,,,2,02,6,1,770,098,11,,98,147,,,108,,42,,104,3,796641,,,172942,,,02,1970,1.0
70IN03726,1969423958,69,1,T3958,4,77,58,,,,,,,,2,02,6,1,,095,11,,95,125,3,,100,,42,0803,105,3,796641,,219,172942,,,,1970,1.0
70IN03727,1969423959,69,1,T3959,4,77,60,,,,,,,,2,02,6,1,137,127,09,,127,147,2,,097,,42,1300,145,3,131842,,235,013642,,,,1970,1.0
70IN03728,1969423960,69,1,T3960,4,76,61,,,,,,,,2,02,6,1,147,147,10,,147,190,2,,110,,42,4109,135,4,219242,,247,024742,,,,1970,1.0
