UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,YRREC,AGE
69IN02772,1968423015,68,2,T3015,4,72,872,,,,,,,2,2,02,3,1,98,071,07,,71,105,,72,097,,42,,094,3,148642,,,896841,,,1969,1.0
69IN02773,1968423017,68,1,T3017,4,73,49,,,,,,,2,2,02,7,2,,079,09,,79,120,3,82,089,,42,0812,094,3,962541,,210,019142,,,1969,1.0
69IN02774,1968423019,68,2,T3019,4,70,712,,,,,,,3,2,02,2,1, 24,107,06,,107,137,2,70,108,,42,0927,091,2,108242,,,564441,,,1969,1.0
69IN02775,1968423022,68,1,T3022,4,72,862,,,,,,,3,2,02,3,1,,095,09,,95,130,,72,102,,42,,107,3,079642,,210,124942,,,1969,1.0
69IN02776,1968423024,68,1,T3024,4,70,712,,,,,,,1,2,02,2,1,,113,09,,113,,3,70,099,,42,0602,132,4,108242,,,698541,,,1969,1.0
69IN02777,1968423025,68,2,T3025,4,72,852,,,,,,,1,2,02,3,1,99,111,09,,111,134,,72,094,,42,,121,3,084042,,,890641,,,1969,1.0
69IN02778,1968423027,68,1,T3027,4,70,722,,,,,,,2,2,02,2,4,,123,09,,123,155,3,70,099,,42,0812,118,3,065942,,239,913541,,,1969,1.0
69IN02779,1968423029,68,1,T3029,4,08,082,,,,,,29,1,2,02,1,1,,103,09,,103,125,,08,093,,42,,136,4,789741,,226,639441,,,1969,1.0
69IN02780,1968423031,68,1,T3031,4,70,712,,,,,,,2,2,02,2,2,151,130,09,,130,170,2,70,096,,42,1211,130,4,108242,,246,916941,, 1,1969,1.0
69IN02781,1968423032,68,1,T3032,4,70,712,,,,,,,2,2,02,2,1,149,143,10,,143,185,2,70,085,,42,1209,134,4,108242,,250,916941,, 1,1969,1.0
69IN02782,1968423033,68,2,T3033,4,72,812,,,,,,,2,2,02,3,1,80,102,09,,102,124,,72,112,,42,,122,6,096642,,,874741,,,1969,1.0
69IN02783,1968423034,68,1,T3034,4,72,812,,,,,,,2,2,02,3,1,,096,09,,96,130,,72,094,,42,,096,3,096642,,218,874741,,,1969,1.0
69IN02784,1968423036,68,2,T3036,4,70,722,,,,,,,3,2,02,2,1, 14,107,10,,107,137,2,70,080,,42,0927,106,2,065942,,,968941,,,1969,1.0
69IN02785,1968423040,68,2,T3040,4,70,732,,,,,,,2,2,02,2,1,702,094,07,,94,115,,70,095,,42,,106,2,000842,,,991241,,,1969,1.0
69IN02786,1968423043,68,2,T3043,4,75,44,,,,,,,1,2,02,7,1,750,113,09,,113,138,,82,105,,42,,127,5,023042,,,023642,,,1969,1.0
69IN02787,1968423047,68,2,T3047,4,73,44,,,,,,,2,2,02,7,1,731,092,08,,92,120,,82,103,,42,,096,3,023042,,,985041,,,1969,1.0
69IN02788,1968423048,68,4,T3048,4,,822,,,,,,,1,2,02,3,1,,126,09,,126,155,2,72,112,,42,0927,151,5,111942,,226,996641,,,1969,1.0
69IN02789,1968423049,68,1,T3049,4,72,912,,,,,,,1,2,02,3,1,,093,09,,93,130,3,72,096,,42,0812,132,3,106142,,208,694741,,,1969,1.0
69IN02790,1968423051,68,2,T3051,4,72,952,,,,,,,1,2,02,3,1, 18,120,09,,120,145,2,72,116,,42,0927,134,5,140742,,,050542,,,1969,1.0
69IN02791,1968423052,68,1,T3052,4,70,712,,,,,,,1,2,02,2,1,184,143,09,,143,160,2,70,099,,42,0927,136,4,108242,,253,971241,,,1969,1.0
69IN02792,1968423054,68,2,T3054,4,70,712,,,,,,,2,2,02,2,1, 18,120,08,,120,147,2,70,095,,42,0927,121,2,108242,,,111142,,,1969,1.0
69IN02793,1968423055,68,4,T3055,4,,712,,,,,,,2,2,02,2,1,,104,10,,104,137,,70,092,,42,,099,3,108242,,221,111142,,,1969,1.0
69IN02794,1968423056,68,2,T3056,4,08,082,7,,,,,36,1,2,02,1,1,082,081,11,,81,102,,08,108,,42,,098,3,789741,,,659041,,,1969,1.0
69IN02795,1968423057,68,1,T3057,4,76,44,,,,,,,2,2,02,7,1,,133,06,,133,157,3,82,114,,42,0812,146,5,023042,,248,981641,,,1969,1.0
69IN02796,1968423059,68,1,T3059,4,14,142,,,,,,37,2,2,02,1,1,,120,09,,120,142,,14,116,,42,,140,5,862041,,238,859641,,,1969,1.0
69IN02797,1968423060,68,1,T3060,4,14,142,,,,,,37,2,2,02,1,4,,105,08,,105,137,,14,103,,42,,109,3,862041,,230,859641,,,1969,1.0
69IN02798,1968423061,68,2,T3061,4,72,892,,,,,,,3,2,02,3,1,82,082,08,,82,116,,72,085,,42,,091,3,142142,,,134642,,,1969,1.0
69IN02799,1968423063,68,2,T3063,4,14,142,6,,,,,33,1,2,02,1,1,142,098,05,,98,127,,14,116,,42,,121,4,862041,,,064342,,,1969,1.0
69IN02800,1968423064,68,2,T3064,4,75,46,,,,,,,1,2,02,7,1,752,101,09,,101,125,,82,092,,42,,095,3,137642,,,130742,,,1969,1.0
69IN02801,1968423065,68,2,T3065,4,70,732,,,,,,,3,2,02,2,1, 10,101,08,,101,124,2,70,098,,42,0927,128,2,000842,,,805741,,,1969,1.0
69IN02802,1968423067,68,1,T3067,4,72,852,,,,,,,2,2,02,3,1,,080,10,,80,117,,72,088,,42,,103,3,084042,,197,750341,,,1969,1.0
69IN02803,1968423068,68,2,T3068,4,72,852,,,,,,,2,2,02,3,1,85,091,10,,91,118,,72,109,,42,,105,4,084042,,,750341,,,1969,1.0
69IN02804,1968423069,68,1,T3069,4,70,722,,,,,,,2,2,02,2,1,,130,10,,130,155,,70,096,,42,,088,2,065942,,256,964741,,,1969,1.0
69IN02805,1968423070,68,2,T3070,4,70,722,,,,,,,2,2,02,2,1, 13,110,09,,110,128,2,70,092,,42,0927,128,2,065942,,,964741,,,1969,1.0
69IN02806,1968423071,68,1,T3071,4,72,802,,,,,,,2,2,02,3,2,,108,09,,108,138,,72,098,,42,,100,4,097142,,216,989441,,,1969,1.0
69IN02807,1968423077,68,2,T3077,4,72,952,,,,,,,3,2,02,3,1,87,086,09,,86,117,,72,103,,42,,117,4,140742,,,606541,,,1969,1.0
69IN02808,1968423082,68,1,T3082,4,72,862,,,,,,,2,2,02,3,1,,092,12,,92,128,,72,104,,42,,092,3,079642,,210,757141,,,1969,1.0
69IN02809,1968423083,68,1,T3083,4,72,882,,,,,,,3,2,02,3,1,,080,09,,80,115,,72,084,,42,,077,2,078242,,214,069942,,,1969,1.0
69IN02810,1968423085,68,2,T3085,4,70,722,,,,,,,3,2,02,2,,,,,,,,6,70,,,42,0330,,,065942,,,588441,,,1969,1.0
69IN02811,1968423086,68,2,T3086,4,70,722,,,,,,,3,2,02,2,1,702,110,08,,110,130,,70,099,,42,,108,3,065942,,,588441,,,1969,1.0
69IN02812,1968423088,68,2,T3088,4,14,142,,,,,,36,1,2,02,1,,,087,,,87,,3,14,,,42,0602,128,5,862041,,,783341,,,1969,1.0
69IN02813,1968423089,68,2,T3089,4,08,082,6,,,,,26,1,2,02,1,1,082,102,10,,102,128,,08,104,,42,,137,4,789741,,,579741,,,1969,1.0
69IN02814,1968423090,68,1,T3090,4,70,732,,,,,,,2,2,02,2,1,,108,08,,108,136,3,70,111,,42,0812,129,3,000842,,234,920641,,,1969,1.0
69IN02815,1968423094,68,2,T3094,4,14,142,7,,,,,37,1,2,02,1,1,142,083,09,,83,106,,14,108,,42,,130,4,862041,,,859741,,,1969,1.0
69IN02816,1968423097,68,2,T3097,4,70,722,,,,,,,2,2,02,2,1, 25,115,09,,115,130,2,70,087,,42,0927,104,3,065942,,,011642,,,1969,1.0
69IN02817,1968423098,68,2,T3098,4,70,722,,,,,,,2,2,02,2,1, 10,099,10,,99,113,2,70,091,,42,0927,095,2,065942,,,011642,,,1969,1.0
69IN02818,1968423101,68,1,T3101,4,70,712,,,,,,,3,2,02,2,1,185,130,09,,130,165,2,70,102,,42,0927,115,4,108242,,240,149042,,,1969,1.0
69IN02819,1958413102,58,2,G3102,4,07,072,7,,,,,26,,&,02,1,,,087,0,,140,135,3,,072,023,41,1229,077,2,043641,,,,,,1969,11.0
69IN02820,1968423106,68,2,T3106,4,77,41,,,,,,,1,2,02,7,1,770,108,07,,108,134,,82,110,,42,,118,3,040542,,,053142,,,1969,1.0
69IN02821,1968423107,68,1,T3107,4,70,712,,,,,,,,2,02,2,2,188,109,10,,109,155,2,,103,,42,0927,130,3,108242,,230,833741,,,1969,1.0
69IN02822,1968423108,68,1,T3108,4,70,712,,,,,,,2,2,02,2,1,,106,10,,106,140,3,70,087,,42,0812,123,3,108242,,217,833741,,,1969,1.0
69IN02823,1968423110,68,2,T3110,4,70,712,,,,,,,1,2,02,2,1, 15,104,10,,104,142,2,70,122,,42,0927,116,4,108242,,,151442,,,1969,1.0
69IN02824,1968423113,68,2,T3113,4,72,912,,,,,,,1,2,02,3,1,89,097,09,,97,134,,72,087,,42,,123,3,106142,,,044042,,,1969,1.0
69IN02825,1968423114,68,2,T3114,4,70,732,,,,,,,1,2,02,S,1,212,100,08,,100,132,2,70,100,,42,0927,120,2,000842,,,927741,,,1969,1.0
69IN02826,1968423115,68,2,T3115,4,70,722,,,,,,,2,2,02,2,1, 15,111,09,,111,130,2,70,117,,42,0927,132,5,065942,,,914441,,,1969,1.0
69IN02827,1968423116,68,1,T3116,4,70,722,,,,,,,2,2,02,2,2,186,115,09,,115,153,2,70,103,,42,0927,137,4,065942,,235,914441,,,1969,1.0
69IN02828,1968423117,68,1,T3117,4,70,732,,,,,,,1,2,02,2,1,185,136,09,,136,162,2,70,090,,42,0927,124,3,000842,,242,091042,,,1969,1.0
69IN02829,1968423118,68,2,T3118,4,70,722,,,,,,,1,2,02,2,1, 12,106,10,,106,125,2,70,108,,42,0927,094,4,065942,,,082742,,,1969,1.0
69IN02830,1968423120,68,2,T3120,4,72,852,,,,,,,1,2,02,3,1, 23,090,09,,90,108,2,72,087,,42,0927,085,2,084042,,,122442,,,1969,1.0
69IN02831,1968423122,68,1,T3122,4,70,732,,,,,,,2,2,02,2,1,184,129,10,,129,160,2,70,083,,42,0927,119,2,000842,,237,894341,,,1969,1.0
69IN02832,1968423125,68,4,T3125,4,,712,,,,,,,2,2,02,2,1,,105,10,,105,140,,70,111,,42,,100,4,108242,,224,927841,,,1969,1.0
