UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,TRT1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,C2426,BPEN,BRAND,C34,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT2,YRREC
78IN00038,1972011527,72,2,P1527,,76,15,2,1,,,0,,,,70,, 10,,, 2,169,184,,,02,,01,,,009104,7,,326104,,,1978
78IN00039,1972011571,72,2,P1571,,76,16,1,1,,,0,,,,70,, 11,,, 4,176,196,,,02,,01,,,011504,7,,080104,,,1978
78IN00040,1972011576,72,2,P1576,,76,17,2,1,,,0,,,,70,, 02,,, 2,159,172,,,02,,01,,,014804,7,,080304,,,1978
78IN00041,1972011696,72,2,P1696,,76,17,1,1,,,0,,,,70,, 11,,, 2,177,191,,,02,,01,,,014804,6,,329804,,,1978
78IN00042,1972011753,72,2,P1753,,76,17,1,1,,,0,,,,70,, 10,,,,171,171,,,02,,01,,,014804,3,,012004,,,1978
78IN00043,1972011888,72,2,P1888,,76,04,1,2,,,0,,,,65,, 10,,, 2,149,145,,,02,,01,,,000004,7,,008204,,,1978
78IN00044,1972011903,72,2,P1903,,76,04,2,2,2,,0,,,,65,, 12,,, 2,162,185,,,02,,01,,,000004,7,,090404,,,1978
78IN00045,1972011922,72,2,P1922,,76,04,1,2,2,,0,,,,,,056,,, 2,200,213,2,,02,,01,0921,,000004,7,,000404,92,,1978
78IN00046,1972011967,72,2,P1967,,76,03,1,2,,,0,,,,65,, 12,,,,157,,,,02,,01,,,000004,7,,007504,,,1978
78IN00047,1973012011,73,2,P2011,,76,17,2,1,,,0,,,,60,, 11,,, 2,176,185,,,02,,01,,,000904,7,,006904,,,1978
78IN00048,1973012152,73,2,P2152,,76,16,,1,,,0,,,,,,,,,,,,6,,02,,01,0310,,011504,*,,017704,16,,1978
78IN00049,1973012169,73,2,P2169,,76,15,2,1,3,,0,,,,,,0,,, 3,196,190,3,,02,,01,0927,,169704,7,,068404,93,,1978
78IN00050,1973012173,73,2,P2173,,76,16,1,1,,,0,,,,60,, 10,,,,173,173,,,02,,01,,,011504,7,,326104,,,1978
78IN00051,1973012236,73,2,P2236,,76,16,2,1,,,0,,,,60,, 02,,, 2,172,182,,,02,,01,,,011504,7,,101704,,,1978
78IN00052,1973012268,73,2,P2268,,76,15,1,1,,,0,,,,60,, 11,,, 2,176,184,,,02,,01,,,169704,6,,090404,,,1978
78IN00053,1973012269,73,2,P2269,,76,15,2,1,,,0,,,,60,, 10,,, 2,151,150,,,02,,01,,,169704,7,,090404,,,1978
78IN00054,1973012276,73,2,P2276,,76,15,,1,,,0,,,,,,,,,,,,5,,02,,01,0222,,169704,*,,001404,95,,1978
78IN00055,1973012292,73,2,P2292,,76,17,1,1,,,0,,,,60,, 11,,, 2,152,168,,,02,,01,,,000904,7,,084504,,,1978
78IN00056,1973012300,73,2,P2300,,76,16,,1,,,0,,,,,,,,,,,,6,,02,,01,0216,,011504,*,,071504,15,,1978
78IN00057,1973012313,73,2,P2313,,76,15,2,1,3,,0,,,,,,,,,12,156,144,3,,02,,01,0929,,169704,3,,080304,93,,1978
78IN00058,1973012389,73,2,P2389,,76,17,1,1,2,,0,,,,,,055,,, 2,161,167,2,,02,,01,0921,,000904,7,,090804,92,,1978
78IN00059,1973012405,73,2,P2405,,76,15,2,1,,,0,,,,60,, 10,,, 4,179,204,,,02,,01,,,169704,7,,094004,,,1978
78IN00060,1973012509,73,2,P2509,,76,17,2,1,,,0,,,,60,, 02,,, 2,182,189,,,02,,01,,,000904,7,,327104,,,1978
78IN00061,1973012540,73,2,P2540,,76,33,,1,,,0,,,,,,,,,,155,,3,,02,,01,0715,,143904,K,,002604,93,,1978
78IN00062,1973012588,73,2,P2588,,76,15,1,1,,,0,,,,60,, 10,,, 4,178,186,,,02,,01,,,169704,6,,008404,,,1978
78IN00063,1973012600,73,2,P2600,,76,551,2,1,,,0,,,,60,, 11,,, 2,218,237,,,02,,01,,,144004,7,,142104,,,1978
78IN00064,1973012694,73,2,P2694,,76,05,1,2,,,0,,,,55,, 02,,, 5,176,181,,,02,,01,,,144004,6,,017804,,,1978
78IN00065,1974012870,74,2,P2870,,76,17,1,1,,,0,,,1,50,, 10,,, 2,175,188,,,02,,01,,,149004,7,,112504,,,1978
78IN00066,1974013016,74,2,P3016,,76,17,,1,,,0,,,2,,,,,,,,,5,,02,,01,0215,,149004,*,,068404,95,,1978
78IN00067,1974013023,74,2,P3023,,76,17,2,1,,,0,,,2,50,, 11,,, 2,166,176,,,02,,01,,,149004,6,,097704,,,1978
78IN00068,1974013080,74,2,P3080,,76,15,1,1,,,0,,,3,50,, 11,,, 2,164,180,,,02,,01,,,190404,7,,001804,,,1978
78IN00069,1974013114,74,2,P3114,,76,17,2,1,2,,0,,,2,,,055,,, 2,175,183,2,,02,,01,0921,,149004,7,,152304,92,,1978
78IN00070,1974013127,74,2,P3127,,76,17,1,1,,,0,,,2,50,, 11,,,,146,,,,02,,01,,,149004,7,,122904,,,1978
78IN00071,1974013132,74,2,P3132,,76,16,,1,,,0,,,1,,,,,,,183,,6,,02,,01,0810,,248604,7,,009404,10,,1978
78IN00072,1974013135,74,2,P3135,,76,17,2,1,,,0,,,2,50,, 10,,, 2,159,171,,,02,,01,,,149004,7,,071504,,,1978
78IN00073,1974013157,74,2,P3157,,76,17,1,1,3,,0,,,3,,,,,, 2,172,181,3,,02,,01,0927,,149004,7,,080304,93,,1978
78IN00074,1974013161,74,2,P3161,,76,15,2,1,,,0,,,1,50,, 10,,, 5,183,190,,,02,,01,,,190404,7,,001604,,,1978
78IN00075,1974013191,74,2,P3191,,76,17,1,1,,,0,,,2,50,, 02,,,,157,160,,,02,,01,,,149004,5,,075604,,,1978
78IN00076,1974013205,74,2,P3205,,76,15,2,1,,,0,,,3,50,, 11,,, 2,162,171,,,02,,01,,,190404,7,,157604,,,1978
78IN00077,1974013235,74,2,P3235,,76,16,1,1,,,0,,,1,50,, 10,,, 2,172,190,,,02,,01,,,248604,7,,013804,,,1978
78IN00078,1974013256,74,2,P3256,,76,15,2,1,,,0,,,2,50,, 10,,, 2,165,181,,,02,,01,,,190404,7,,008404,,,1978
78IN00079,1968103303,68,2,U3303,,76,15,1,2,,,0,,,,,, 12,,,,158,,,,02,,10,,,000004,7,,081204,,,1978
78IN00080,1974013338,74,2,P3338,,76,17,,1,,,0,,,1,,,,,,,,,7,,02,,01,0525,,149004,*,,188804,97,,1978
78IN00081,1974013452,74,2,P3452,,76,03,1,2,,,0,,,,45,, 10,,,,163,,,,02,,01,,,000004,7,,193804,,,1978
78IN00082,1974013573,74,2,P3573,,76,02,1,2,,,0,,,,45,, 02,,, 2,137,151,,,02,,01,,,000004,7,,142104,,,1978
78IN00083,1974013624,74,2,P3624,,76,02,2,2,,,0,,,,45,, 11,,, 2,115,136,,,02,,01,,,000004,7,,080304,,,1978
78IN00084,1975013651,75,2,P3651,,76,06,1,1,,,0,,,2,40,, 11,,, 2,144,151,,,02,,01,,,320204,7,,171704,,,1978
78IN00085,1975013683,75,1,P3683,,76,04,,1,2,,0,,,3,,,314,,,,193,214,2,,02,,01,0921,,144004,M,,169604,92,,1978
78IN00086,1975013734,75,2,P3734,,76,04,1,1,,,0,,,2,40,, 10,,, 2,157,177,,,02,,01,,,144004,7,,013804,,,1978
78IN00087,1975013735,75,2,P3735,,76,04,2,1,3,,0,,,2,,,,,,12,156,160,,,02,,01,,,144004,6,,013804,,,1978
78IN00088,1975013737,75,2,P3737,,76,05,1,1,2,,0,,,1,,,055,,, 2,166,176,2,,02,,01,0921,,149004,7,,250904,92,,1978
78IN00089,1975013805,75,2,P3805,,76,04,2,1,3,,0,,,2,,,,,,12,148,146,,,02,,01,,,144004,7,,090804,,,1978
78IN00090,1975013842,75,2,P3842,,76,06,1,1,2,,0,,,3,,,055,,,,148,148,2,,02,,01,0921,,320204,3,,001804,92,,1978
78IN00091,1975013847,75,2,P3847,,76,06,2,1,,,0,,,3,40,, 10,,, 3,136,146,,,02,,01,,,320204,7,,001804,,,1978
78IN00092,1975013883,75,2,P3883,,76,05,1,1,,,0,,,2,40,, 02,,, 3,163,163,,,02,,01,,,149004,6,,229204,,,1978
78IN00093,1975013884,75,2,P3884,,76,04,2,1,,,0,,,3,40,, 10,,, 2,153,177,,,02,,01,,,144004,7,,231304,,,1978
78IN00094,1975013890,75,2,P3890,,76,04,1,1,,,0,,,1,40,, 11,,, 2,152,168,,,02,,01,,,144004,7,,316104,,,1978
78IN00095,1975013919,75,2,P3919,,76,05,2,1,,,0,,,3,40,, 10,,, 5,155,159,,,02,,01,,,149004,7,,308004,,,1978
78IN00096,1975013921,75,2,P3921,,76,06,1,1,2,,0,,,1,,,055,,, 1,168,186,2,,02,,01,0921,,320204,7,,323504,92,,1978
78IN00097,1975013923,75,2,P3923,,76,06,2,1,,,0,,,3,40,, 02,,, 2,154,155,,,02,,01,,,320204,7,,013704,,,1978
78IN00098,1975013931,75,2,P3931,,76,06,1,1,,,0,,,3,40,, 12,,,,147,,,,02,,01,,,320204,7,,133004,,,1978
78IN00099,1975013933,75,2,P3933,,76,05,1,1,,,0,,,1,,,,,,,153,,7,,02,,01,0914,,149004,7,,066104,97,,1978
78IN00100,1975013957,75,2,P3957,,76,05,1,1,,,0,,,2,40,, 11,,, 2,129,148,,,02,,01,,,149004,7,,182604,,,1978
78IN00101,1975013958,75,2,P3958,,76,05,2,1,2,,0,,,2,,,055,,, 2,175,173,2,,02,,01,0921,,149004,5,,182604,92,,1978
78IN00102,1975013990,75,2,P3990,,76,04,1,1,,,0,,,2,40,, 11,,, 2,136,148,,,02,,01,,,144004,7,,079104,,,1978
78IN00103,1975014000,75,2,P4000,,76,04,,1,,,0,,,1,,,,,,,,,6,,02,,01,0319,,144004,*,,188804,16,,1978
78IN00104,1975014048,75,2,P4048,,76,04,2,1,,,0,,,2,40,, 10,,, 1,165,176,,,02,,01,,,144004,7,,017804,,,1978
78IN00105,1975014052,75,2,P4052,,76,06,1,1,,,0,,,3,40,, 10,,, 2,166,180,,,02,,01,,,320204,6,,009404,,,1978
78IN00106,1975014055,75,2,P4055,,76,06,2,1,,,0,,,2,40,, 11,,, 2,174,174,,,02,,01,,,320204,7,,223604,,,1978
78IN00107,1975014067,75,2,P4067,,76,04,1,1,,,0,,,2,40,, 02,,, 2,176,187,,,02,,01,,,144004,7,,000804,,,1978
78IN00108,1975014086,75,2,P4086,,76,05,2,1,,,0,,,3,40,, 11,,, 2,176,202,,,02,,01,,,149004,5,,118804,,,1978
78IN00109,1975014148,75,2,P4148,,76,05,1,1,,,0,,,2,40,, 02,,, 2,156,173,,,02,,01,,,149004,7,,073304,,,1978
78IN00110,1975014156,75,2,P4156,,76,04,,1,,,0,,,2,,,,,,,,,3,,02,,01,0403,,144004,*,,152304,93,,1978
78IN00111,1975014183,75,2,P4183,,76,04,2,1,,,0,,,2,40,, 10,,, 1,156,181,,,02,,01,,,144004,7,,008404,,,1978
78IN00112,1975014194,75,2,P4194,,76,06,1,1,,,0,,,2,40,, 11,,, 2,156,184,,,02,,01,,,320204,7,,123004,,,1978
78IN00113,1975014216,75,2,P4216,,76,04,1,1,,,0,,,3,40,, 12,,,,146,,,,02,,01,,,144004,7,,012004,,,1978
78IN00114,1975014220,75,2,P4220,,76,04,1,1,,,0,,,2,40,, 11,,, 2,158,176,,,02,,01,,,144004,6,,071504,,,1978
78IN00115,1975014229,75,2,P4229,,76,05,2,1,,,0,,,3,40,, 10,,, 2,146,156,,,02,,01,,,149004,6,,140504,,,1978
78IN00116,1975014233,75,2,P4233,,76,04,,1,,,0,,,2,,,,,,,,,6,,02,,01,0524,,144004,*,,227604,01,,1978
78IN00117,1975014266,75,2,P4266,,76,06,,1,,,0,,,1,,,,,,,167,,3,,02,,01,1023,,320204,K,,323404,93,,1978
78IN00118,1975014272,75,2,P4272,,76,33,,1,,,0,,,2,,,,,,,159,,3,,02,,01,0715,,248604,K,,144804,93,,1978
78IN00119,1975014294,75,2,P4294,,76,32,1,1,,,0,,,1,40,, 02,,, 2,155,161,,,02,,01,,,334504,7,,226904,,,1978
78IN00120,1975014352,75,1,P4352,,76,01,,2,2,,0,,,,,,315,,,,199,216,2,,02,,01,0921,,000004,M,,011404,92,,1978
78IN00121,1975014389,75,2,P4389,,76,02,2,2,,,0,,,,35,, 11,,, 2,152,166,,,02,,01,,,000004,7,,215204,,,1978
78IN00122,1975014432,75,2,P4432,,76,03,1,2,,,0,,,,35,, 11,,, 1,129,145,,,02,,01,,,000004,7,,357304,,,1978
78IN00123,1975014470,75,2,P4470,,76,03,2,2,3,,0,,,,,,,,, 2,156,166,3,,02,,01,0927,,000004,6,,287004,93,,1978
78IN00124,1975014472,75,2,P4472,,76,03,2,2,2,,0,,,,35,, 12,,, 2,155,155,,,02,,01,,,000004,7,,009404,,,1978
78IN00125,1975014504,75,2,P4504,,76,03,1,2,,,0,,,,35,, 10,,, 2,132,156,,,02,,01,,,000004,7,,111004,,,1978
78IN00126,1975014505,75,2,P4505,,76,03,2,2,2,,0,,,,,,055,,, 2,120,138,2,,02,,01,0921,,000004,7,,111004,92,,1978
78IN00127,1976014599,76,2,P4599,,76, 01,1,1,,,0,,,2,30,, 11,,, 1,138,151,,,02,,01,,,351804,6,,066104,,,1978
78IN00128,1976014645,76,2,P4645,,76, 02,2,1,,,0,,,2,30,, 11,,, 2,126,137,,,02,,01,,,248604,7,,302304,,,1978
78IN00129,1976014647,76,2,P4647,,76, 02,1,1,,,0,,,2,30,, 10,,, 2,137,141,,,02,,01,,,248604,5,,001804,,,1978
78IN00130,1976014668,76,2,P4668,,76, 01,2,1,,,0,,,2,30,, 02,,, 1,125,142,,,02,,01,,,351804,6,,013804,,,1978
78IN00131,1976014699,76,2,P4699,,76, 03,1,1,,,0,,,1,30,, 10,,, 1,148,169,,,02,,01,,,320204,6,,144804,,,1978
78IN00132,1976014706,76,2,P4706,,76, 03,2,1,,,0,,,2,30,, 11,,, 2,145,157,,,02,,01,,,320204,6,,223604,,,1978
78IN00133,1976014723,76,2,P4723,,76, 03,,1,,,0,,,2,,,,,,,,,7,,02,,01,0525,,320204,*,,148704,97,,1978
78IN00134,1976014731,76,2,P4731,,76, 01,1,1,,,0,,,3,30,, 10,,, 2,131,146,,,02,,01,,,351804,6,,012304,,,1978
78IN00135,1976014842,76,2,P4842,,76, 02,1,1,,,0,,,2,30,, 02,,, 1,122,137,,,02,,01,,,248604,7,,229004,,,1978
78IN00136,1976014845,76,2,P4845,,76, 02,,1,,,0,,,2,,,,,,,105,,3,,02,,01,1016,,248604,6,,058304,93,,1978
78IN00137,1976014869,76,2,P4869,,76, 01,2,1,,,0,,,3,30,, 11,,, 1,136,159,,,02,,01,,,351804,6,,201104,,,1978
78IN00138,1976014891,76,2,P4891,,76, 01,2,1,,,0,,,1,30,, 10,,, 2,145,167,,,02,,01,,,351804,7,,238904,,,1978
78IN00139,1976014915,76,2,P4915,,76, 01,1,1,,,0,,,1,30,, 02,,, 1,136,151,,,02,,01,,,351804,7,,320504,,,1978
78IN00140,1976014945,76,2,P4945,,76, 02,,1,,,0,,,2,,,,,,,,,6,,02,,01,0330,,248604,*,,226804,01,,1978
78IN00141,1976014946,76,2,P4946,,76, 02,1,1,,,0,,,3,30,, 11,,, 1,152,169,,,02,,01,,,248604,7,,226804,,,1978
78IN00142,1976014954,76,2,P4954,,76, 03,2,1,3,,0,,,2,,,054,,, 2,145,144,2,,02,,01,0921,,320204,7,,017804,92,,1978
78IN00143,1976014986,76,2,P4986,,76, 03,1,1,3,,0,,,1,,,054,,, 1,157,159,2,,02,,01,0921,,320204,7,,311404,92,,1978
78IN00144,1976015009,76,2,P5009,,76, 01,2,1,,,0,,,3,30,, 11,,, 2,148,154,,,02,,01,,,351804,6,,192204,,,1978
78IN00145,1976015023,76,2,P5023,,76, 01,1,1,3,,0,,,1,,,054,,, 1,137,156,2,,02,,01,0921,,351804,5,,073304,92,,1978
78IN00146,1976015029,76,2,P5029,,76, 02,1,1,,,0,,,1,30,, 10,,,,150,,,,02,,01,,,248604,7,,227604,,,1978
78IN00147,1976015057,76,2,P5057,,76, 03,2,1,,,0,,,2,30,, 10,,, 2,129,139,,,02,,01,,,320204,6,,140504,,,1978
78IN00148,1976015059,76,2,P5059,,76, 02,1,1,2,,0,,,2,,,054,,, 2,130,150,2,,02,,01,0921,,248604,6,,216904,92,,1978
78IN00149,1976015086,76,2,P5086,,76, 33,2,1,,,0,,,2,30,, 10,,, 2,115,135,,,02,,01,,,298604,6,,169604,,,1978
78IN00150,1976015160,76,2,P5160,,76, 33,1,1,2,,0,,,3,,,054,,, 2,164,170,2,,02,,01,0921,,298604,6,,215204,92,,1978
78IN00151,1976015162,76,2,P5162,,76, 01,,1,,,0,,,2,,,,,,,,,7,,02,,01,0525,,351804,*,,000804,97,,1978
78IN00152,1976015179,76,2,P5179,,76, 33,2,1,,,0,,,3,30,, 11,,, 2,146,163,,,02,,01,,,298604,6,,319104,,,1978
78IN00153,1976015248,76,2,P5248,,76, 02,1,2,,,0,,,,25,, 02,,, 3,127,147,,,02,,01,,,000004,6,,231304,,,1978
78IN00154,1976015249,76,1,P5249,,76, 02,,2,3,,0,,,,,,,,,,221,229,3,,02,,01,0814,,000004,M,,231304,93,,1978
78IN00155,1976015253,76,1,P5253,,76, 01,,2,,,0,,,,,,,,,,,,6,,02,,01,0427,,000004,*,,405204,19,,1978
78IN00156,1976015272,76,2,P5272,,76, 02,2,2,,,0,,,,25,, 10,,, 2,126,145,,,02,,01,,,000004,7,,152704,,,1978
78IN00157,1976015289,76,2,P5289,,76, 02,1,2,,,0,,,,25,, 11,,, 2,112,124,,,02,,01,,,000004,6,,380504,,,1978
78IN00158,1976015329,76,2,P5329,,76, 01,1,2,2,,0,,,,,,054,,, 2,123,149,2,,02,,01,0921,,000004,5,,201104,92,,1978
78IN00159,1976015336,76,2,P5336,,76, 03,1,2,,,0,,,,25,, 10,,,,132,,,,02,,01,,,000004,7,,133004,,,1978
78IN00160,1977015616,77,2,P5616,,76, 16,1,1,,,0,,,1,20,, 10,,, 2,132,129,,,02,,01,,,351804,6,,000804,,,1978
78IN00161,1977015630,77,2,P5630,,76, 14,2,1,,,0,,,5,20,, 11,,, 1,107,119,,,02,,01,,,460704,6,,223604,,,1978
78IN00162,1977015700,77,2,P5700,,76, 15,2,1,,,0,,,5,20,, 10,,, 2,105,130,,,02,,01,,,413204,5,,013804,,,1978
78IN00163,1977015701,77,1,P5701,,76, 15,,1,2,,0,,,5,,,307,,,,128,147,,,02,,01,,,413204,Y,,013804,,,1978
78IN00164,1977015730,77,1,P5730,,76, 13,,1,2,,0,,,5,,,308,,,,141,156,2,,02,,01,0921,,472404,Y,,226904,92,,1978
78IN00165,1977015758,77,2,P5758,,76, 15,1,1,,,0,,,5,20,, 02,,, 1,104,127,,,02,,01,,,413204,5,,373704,,,1978
78IN00166,1977015767,77,2,P5767,,76, 13,2,1,,,0,,,5,20,, 11,,, 2,106,116,,,02,,01,,,472404,6,,323504,,,1978
78IN00167,1977015768,77,2,P5768,,76, 13,1,1,,,0,,,5,20,, 10,,, 2,120,116,,,02,,01,,,472404,6,,323504,,,1978
78IN00168,1977015789,77,2,P5789,,76, 16,2,1,3,,0,,,1,,,,,,12,131,119,3,,02,,01,0927,,351804,6,,421604,93,,1978
78IN00169,1977015796,77,2,P5796,,76, 15,1,1,,,0,,,7,20,, 11,,, 1,105,127,,,02,,01,,,413204,5,,011404,,,1978
78IN00170,1977015817,77,2,P5817,,76, 14,2,1,,,0,,,5,20,, 10,,, 2,121,136,,,02,,01,,,460704,6,,227604,,,1978
78IN00171,1977015818,77,2,P5818,,76, 14,1,1,2,,0,,,5,,,053,,, 1,103,132,2,,02,,01,0921,,460704,5,,227604,92,,1978
78IN00172,1977015819,77,2,P5819,,76, 14,2,1,3,,0,,,8,,,,,,11,108,131,,,02,,01,,,460704,6,,393104,,,1978
78IN00173,1977015820,77,2,P5820,,76, 14,1,1,2,,0,,,8,,,053,,, 1,97,121,2,,02,,01,0921,,460704,5,,393104,92,,1978
78IN00174,1977015821,77,2,P5821,,76, 14,,1,,,0,,,7,,,,,,,85,,6,,02,,01,0601,,460704,5,,393104,01,,1978
78IN00175,1977015826,77,2,P5826,,76, 13,2,1,,,0,,,1,20,, 10,,, 1,119,149,,,02,,01,,,472404,5,,447204,,,1978
78IN00176,1977015832,77,2,P5832,,76, 15,,1,,,0,,,5,,,,,,,,,6,,02,,01,0427,,413204,*,,229004,01,,1978
78IN00177,1977015833,77,2,P5833,,76, 15,1,1,,,0,,,5,20,, 10,,, 2,133,116,,,02,,01,,,413204,6,,229004,,,1978
78IN00178,1977015850,77,2,P5850,,76, 15,2,1,,,0,,,5,20,, 02,,, 2,93,126,,,02,,01,,,413204,6,,395704,,,1978
78IN00179,1977015859,77,2,P5859,,76, 16,1,1,,,0,,,3,20,, 11,,, 1,86,100,,,02,,01,,,351804,6,,392304,,,1978
78IN00180,1977015865,77,2,P5865,,76, 15,2,1,,,0,,,5,20,, 11,,, 1,109,140,,,02,,01,,,413204,5,,418304,,,1978
78IN00181,1977015871,77,1,P5871,,76, 14,,1,1,,0,,,5,,,,,,,135,155,,,02,,01,,,460704,Y,,169604,,,1978
78IN00182,1977015872,77,1,P5872,,76, 14,,1,3,,0,,,5,,,,,,,110,132,3,,02,,01,1113,,460704,Y,,169604,93,,1978
78IN00183,1977015876,77,2,P5876,,76, 15,1,1,,,0,,,5,20,, 10,,, 1,101,129,,,02,,01,,,413204,5,,258804,,,1978
78IN00184,1977015881,77,2,P5881,,76, 15,2,1,2,,0,,,5,,,052,,, 1,112,139,2,,02,,01,0921,,413204,5,,367302,92,,1978
78IN00185,1977015912,77,1,P5912,,76, 13,,1,,,0,,,7,,,,,,,150,,6,,02,,01,0630,,472404,Y,,008404,04,,1978
