UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,TRT1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,C2426,BPEN,C3034,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT2,YRREC
77IN00050,1972011753,72,2,P1753,,76,17,,1,,,0,,,,5,, 13,, 2,152,149,,,02,,01,,,014804,8,,012004,,,1977
77IN00051,1972011888,72,2,P1888,,76,04,,2,,,0,,,,5,, 12,, 2,145,139,,,02,,01,,,000004,8,,008204,,,1977
77IN00052,1972011903,72,2,P1903,,76,04,,2,,,0,,,,5,, 11,, 2,151,148,,,02,,01,,,000004,8,,090404,,,1977
77IN00053,1972011922,72,2,P1922,,76,04,,2,,,0,,,,5,, 13,, 2,191,205,,,02,,01,,,000004,8,,000404,,,1977
77IN00054,1972011938,72,2,P1938,,,03,,2,3,3,0,,,,5,,,,10,147,130,3,,02,,01,0926,,,3,,001304,93,,1977
77IN00055,1972011967,72,2,P1967,,76,03,,2,,,0,,,,5,, 11,, 3,137,163,,,02,,01,,,000004,8,,007504,,,1977
77IN00056,1973012011,73,2,P2011,,76,17,,1,,,0,,,,4,, 12,, 3,166,153,,,02,,01,,,000904,3,,006904,,,1977
77IN00057,1973012109,73,2,P2109,,,15,,1,,3,0,,,,4,,,,,149,,3,,02,,01,0620,,169704,K,,051904,93,,1977
77IN00058,1973012152,73,2,P2152,,76,16,,1,,,0,,,,4,, 13,, 3,157,188,,,02,,01,,,011504,8,,017704,,,1977
77IN00059,1973012169,73,2,P2169,,76,15,,1,,,0,,,,4,, 12,, 3,174,198,,,02,,01,,,169704,8,,068404,,,1977
77IN00060,1973012173,73,2,P2173,,76,16,,1,,,0,,,,4,, 11,, 1,152,141,,,02,,01,,,011504,8,,326104,,,1977
77IN00061,1973012201,73,2,P2201,,76,16,,1,,,0,,,,4,,,,,,,6,,02,,01,0405,,011504,*,,013804,09,,1977
77IN00062,1973012236,73,2,P2236,,76,16,,1,,,0,,,,4,, 13,, 2,135,160,,,02,,01,,,011504,8,,101704,,,1977
77IN00063,1973012268,73,2,P2268,,76,15,,1,,,0,,,,4,, 15,, 2,192,198,,,02,,01,,,169704,8,,090404,,,1977
77IN00064,1973012269,73,2,P2269,,76,15,,1,,,0,,,,4,, 12,, 3,137,138,,,02,,01,,,169704,8,,090404,,,1977
77IN00065,1973012276,73,2,P2276,,76,15,,1,3,,0,,,,4,,,, 2,144,158,,,02,,01,,,169704,8,,001404,,,1977
77IN00066,1973012290,73,2,P2290,,76,151,,1,3,,0,,,,4,,,, 2,136,136,3,,02,,01,0926,,169704,8,,140504,93,,1977
77IN00067,1973012292,73,2,P2292,,76,17,,1,,,0,,,,4,, 12,, 2,152,147,,,02,,01,,,000904,8,,084504,,,1977
77IN00068,1973012300,73,2,P2300,,76,16,,1,,,0,,,,4,, 13,, 3,166,151,,,02,,01,,,011504,8,,071504,,,1977
77IN00069,1973012313,73,2,P2313,,76,15,,1,,,0,,,,4,, 15,, 2,188,201,,,02,,01,,,169704,8,,080304,,,1977
77IN00070,1973012389,73,2,P2389,,76,17,,1,,,0,,,,4,, 13,, 3,129,130,,,02,,01,,,000904,3,,090804,,,1977
77IN00071,1973012405,73,2,P2405,,76,15,,1,,,0,,,,4,, 11,, 2,142,159,,,02,,01,,,169704,8,,094004,,,1977
77IN00072,1973012509,73,2,P2509,,76,17,,1,,,0,,,,4,, 11,, 2,174,174,,,02,,01,,,000904,8,,327104,,,1977
77IN00073,1973012540,73,2,P2540,,76,33,,1,3,,0,,,,4,,,,12,154,148,,,02,,01,,,143904,8,,002604,,,1977
77IN00074,1973012588,73,2,P2588,,76,15,,1,,,0,,,,4,, 12,, 3,153,185,,,02,,01,,,169704,8,,008404,,,1977
77IN00075,1973012600,73,2,P2600,,76,551,,1,,,0,,,,4,, 13,, 3,174,181,,,02,,01,,,144004,8,,142104,,,1977
77IN00076,1973012694,73,2,P2694,,76,05,,2,,,0,,,,4,, 11,, 2,166,161,,,02,,01,,,144004,3,,017804,,,1977
77IN00077,1974012870,74,2,P2870,,76,17,,1,,,0,,,1,3,, 12,, 3,159,183,,,02,,01,,,149004,8,,112504,,,1977
77IN00078,1974012965,74,2,P2965,,76,15,,1,,,0,,,2,3,,,,,225,,6,,02,,01,0822,,190404,8,,329804,15,,1977
77IN00079,1974013016,74,2,P3016,,76,17,,1,2,,0,,,2,3,,,, 1,125,111,,,02,,01,,,149004,8,,068404,,,1977
77IN00080,1974013023,74,2,P3023,,76,17,,1,,,0,,,2,3,, 12,, 3,153,141,,,02,,01,,,149004,3,,097704,,,1977
77IN00081,1974013080,74,2,P3080,,76,15,,1,,,0,,,3,3,, 11,, 2,161,154,,,02,,01,,,190404,8,,001804,,,1977
77IN00082,1974013114,74,2,P3114,,76,17,,1,,,0,,,2,3,, 12,, 2,159,169,,,02,,01,,,149004,8,,152304,,,1977
77IN00083,1974013127,74,2,P3127,,76,17,,1,,,0,,,2,3,, 13,, 3,129,147,,,02,,01,,,149004,8,,122904,,,1977
77IN00084,1974013132,74,2,P3132,,76,16,,1,,,0,,,1,3,, 11,, 3,151,179,,,02,,01,,,248604,8,,009404,,,1977
77IN00085,1974013135,74,2,P3135,,76,17,,1,,,0,,,2,3,, 12,, 2,143,146,,,02,,01,,,149004,8,,071504,,,1977
77IN00086,1974013157,74,2,P3157,,76,17,,1,,,0,,,3,3,, 13,, 2,157,157,,,02,,01,,,149004,8,,080304,,,1977
77IN00087,1974013161,74,2,P3161,,76,15,,1,,,0,,,1,3,, 11,, 2,184,189,,,02,,01,,,190404,8,,001604,,,1977
77IN00088,1974013191,74,2,P3191,,76,17,,1,,,0,,,2,3,, 12,, 3,147,152,,,02,,01,,,149004,8,,075604,,,1977
77IN00089,1974013202,74,1,P3202,,,15,,1,2,,0,,,2,3,,288,,,200,204,2,,02,,01,0922,,190404,M,,000804,92,,1977
77IN00090,1974013205,74,2,P3205,,76,15,,1,,,0,,,3,3,, 13,, 3,137,139,,,02,,01,,,190404,8,,157604,,,1977
77IN00091,1974013235,74,2,P3235,,76,16,,1,,,0,,,1,3,, 11,, 3,159,161,,,02,,01,,,248604,8,,013804,,,1977
77IN00092,1974013256,74,2,P3256,,76,15,,1,,,0,,,2,3,, 12,, 3,134,136,,,02,,01,,,190404,8,,008404,,,1977
77IN00093,1968103298,68,2,U3298,,76,15,,2,,,0,,,,9,,,,12,184,172,6,,02,,10,0912,,000004,8,,059404,01,,1977
77IN00094,1968103303,68,2,U3303,,76,15,,2,,,0,,,,9,, 13,, 2,152,142,,,02,,10,,,000004,8,,081204,,,1977
77IN00095,1974013338,74,2,P3338,,76,17,,1,,,0,,,1,3,, 11,, 2,118,136,,,02,,01,,,149004,8,,188804,,,1977
77IN00096,1974013452,74,2,P3452,,76,03,,2,,,0,,,,3,, 12,, 3,115,128,,,02,,01,,,000004,8,,193804,,,1977
77IN00097,1974013518,74,1,P3518,,,03,,2,2,,0,,,,3,,287,,,196,210,2,,02,,01,0922,,000004,M,,152704,92,,1977
77IN00098,1974013573,74,2,P3573,,76,02,,2,,,0,,,,3,, 13,, 2,113,116,,,02,,01,,,000004,8,,142104,,,1977
77IN00099,1974013624,74,2,P3624,,76,02,,2,,,0,,,,3,, 11,, 2,94,122,,,02,,01,,,000004,8,,080304,,,1977
77IN00100,1975013651,75,2,P3651,,76,06,,1,,,0,,,2,2,, 12,, 3,113,135,,,02,,01,,,320204,8,,171704,,,1977
77IN00101,1975013683,75,1,P3683,,,04,,1,1,,0,,,3,2,,,,,189,200,,,02,,01,,,144004,M,,169604,,,1977
77IN00102,1975013734,75,2,P3734,,76,04,,1,,,0,,,2,2,, 11,, 2,117,142,,,02,,01,,,144004,8,,013804,,,1977
77IN00103,1975013735,75,2,P3735,,76,04,,1,,,0,,,2,2,, 15,, 1,145,178,,,02,,01,,,144004,8,,013804,,,1977
77IN00104,1975013737,75,2,P3737,,76,05,,1,,,0,,,1,2,, 12,, 5,111,145,,,02,,01,,,149004,8,,250904,,,1977
77IN00105,1975013805,75,2,P3805,,76,04,,1,,,0,,,2,2,, 13,, 3,113,135,,,02,,01,,,144004,8,,090804,,,1977
77IN00106,1975013842,75,2,P3842,,76,06,,1,,,0,,,3,2,, 11,, 2,126,135,,,02,,01,,,320204,8,,001804,,,1977
77IN00107,1975013847,75,2,P3847,,76,06,,1,,,0,,,3,2,, 12,, 5,112,121,,,02,,01,,,320204,8,,001804,,,1977
77IN00108,1975013851,75,1,P3851,,,05,,1,2,,0,,,3,2,,301,,,173,202,2,,02,,01,0922,,149004,M,,008204,92,,1977
77IN00109,1975013883,75,2,P3883,,76,05,,1,,,0,,,2,2,, 11,, 2,138,149,,,02,,01,,,149004,3,,229204,,,1977
77IN00110,1975013884,75,2,P3884,,76,04,,1,,,0,,,3,2,, 13,, 2,118,148,,,02,,01,,,144004,8,,231304,,,1977
77IN00111,1975013890,75,2,P3890,,76,04,,1,,,0,,,1,2,, 11,, 2,143,136,,,02,,01,,,144004,8,,316104,,,1977
77IN00112,1975013919,75,2,P3919,,76,05,,1,,,0,,,3,2,, 12,, 2,121,129,,,02,,01,,,149004,8,,308004,,,1977
77IN00113,1975013921,75,2,P3921,,76,06,,1,,,0,,,1,2,, 12,, 2,115,146,,,02,,01,,,320204,8,,323504,,,1977
77IN00114,1975013923,75,2,P3923,,76,06,,1,,,0,,,3,2,, 13,,10,124,128,,,02,,01,,,320204,8,,013704,,,1977
77IN00115,1975013931,75,2,P3931,,76,06,,1,,,0,,,3,2,, 11,, 2,114,138,,,02,,01,,,320204,8,,133004,,,1977
77IN00116,1975013933,75,2,P3933,,76,05,,1,,,0,,,1,2,, 12,, 2,124,115,,,02,,01,,,149004,8,,066104,,,1977
77IN00117,1975013957,75,2,P3957,,76,05,,1,,,0,,,2,2,, 13,, 2,99,109,,,02,,01,,,149004,8,,182604,,,1977
77IN00118,1975013958,75,2,P3958,,76,05,,1,,,0,,,2,2,, 15,, 1,158,162,,,02,,01,,,149004,8,,182604,,,1977
77IN00119,1975013990,75,2,P3990,,76,04,,1,,,0,,,2,2,, 11,, 2,120,121,,,02,,01,,,144004,8,,079104,,,1977
77IN00120,1975014000,75,2,P4000,,76,04,,1,,,0,,,1,2,, 13,, 3,137,131,,,02,,01,,,144004,3,,188804,,,1977
77IN00121,1975014048,75,2,P4048,,76,04,,1,,,0,,,2,2,, 13,, 3,135,140,,,02,,01,,,144004,8,,017804,,,1977
77IN00122,1975014052,75,2,P4052,,76,06,,1,,,0,,,3,2,, 12,, 2,160,150,,,02,,01,,,320204,3,,009404,,,1977
77IN00123,1975014055,75,2,P4055,,76,06,,1,,,0,,,2,2,, 12,, 2,146,151,,,02,,01,,,320204,8,,223604,,,1977
77IN00124,1975014067,75,2,P4067,,76,04,,1,,,0,,,2,2,, 11,, 2,129,155,,,02,,01,,,144004,8,,000804,,,1977
77IN00125,1975014086,75,2,P4086,,76,05,,1,,,0,,,3,2,, 15,, 2,143,159,,,02,,01,,,149004,8,,118804,,,1977
77IN00126,1975014132,75,1,P4132,,,06,,1,2,,0,,,3,2,,301,,,186,210,2,,02,,01,0922,,320204,M,,148704,92,,1977
77IN00127,1975014148,75,2,P4148,,76,05,,1,,,0,,,2,2,, 12,, 2,127,123,,,02,,01,,,149004,8,,073304,,,1977
77IN00128,1975014156,75,2,P4156,,76,04,,1,3,,0,,,2,2,,,,11,121,137,,,02,,01,,,144004,8,,152304,,,1977
77IN00129,1975014183,75,2,P4183,,76,04,,1,,,0,,,2,2,, 13,, 2,124,156,,,02,,01,,,144004,8,,008404,,,1977
77IN00130,1975014194,75,2,P4194,,76,06,,1,,,0,,,2,2,, 11,, 2,145,139,,,02,,01,,,320204,8,,123004,,,1977
77IN00131,1975014216,75,2,P4216,,76,04,,1,,,0,,,3,2,, 13,, 2,127,129,,,02,,01,,,144004,8,,012004,,,1977
77IN00132,1975014220,75,2,P4220,,76,04,,1,,,0,,,2,2,, 11,, 2,148,148,,,02,,01,,,144004,8,,071504,,,1977
77IN00133,1975014221,75,2,P4221,,76,06,,1,,,0,,,3,2,,,,,,,7,,02,,01,0601,,320204,*,,014204,97,,1977
77IN00134,1975014229,75,2,P4229,,76,05,,1,,,0,,,3,2,, 11,, 3,119,119,,,02,,01,,,149004,3,,140504,,,1977
77IN00135,1975014233,75,2,P4233,,76,04,,1,,,0,,,2,2,, 13,, 2,117,148,,,02,,01,,,144004,8,,227604,,,1977
77IN00136,1975014266,75,2,P4266,,76,06,,1,3,,0,,,1,2,,,, 1,153,175,,,02,,01,,,320204,8,,323404,,,1977
77IN00137,1975014272,75,2,P4272,,76,33,,1,3,,0,,,2,2,,,,12,137,136,,,02,,01,,,248604,8,,144804,,,1977
77IN00138,1975014275,75,1,P4275,,,32,,1,2,,0,,,3,2,,300,,,194,195,2,,02,,01,0922,,334504,M,,175304,92,,1977
77IN00139,1975014294,75,2,P4294,,76,32,,1,,,0,,,1,2,, 12,, 2,143,131,,,02,,01,,,334504,8,,226904,,,1977
77IN00140,1975014352,75,1,P4352,,,01,,2,2,,0,,,,2,,,,,182,197,,,02,,01,,,000004,M,,011404,,,1977
77IN00141,1975014389,75,2,P4389,,76,02,,2,,,0,,,,2,, 11,, 2,111,125,,,02,,01,,,000004,8,,215204,,,1977
77IN00142,1975014422,75,2,P4422,,76,01,,2,2,,0,,,,2,,028,, 1,115,115,2,,02,,01,0922,,000004,5,,291704,92,,1977
77IN00143,1975014432,75,2,P4432,,76,03,,2,,,0,,,,2,, 12,, 2,106,124,,,02,,01,,,000004,8,,357304,,,1977
77IN00144,1975014468,75,2,P4468,,76,01,,2,,,0,,,,2,,,,,,,6,,02,,01,0321,,000004,*,,313204,01,,1977
77IN00145,1975014470,75,2,P4470,,76,03,,2,,,0,,,,2,, 13,, 2,126,140,,,02,,01,,,000004,8,,287004,,,1977
77IN00146,1975014472,75,2,P4472,,76,03,,2,,,0,,,,2,, 11,, 2,104,115,,,02,,01,,,000004,8,,009404,,,1977
77IN00147,1975014504,75,2,P4504,,76,03,,2,,,0,,,,2,, 12,, 2,111,116,,,02,,01,,,000004,8,,111004,,,1977
77IN00148,1975014505,75,2,P4505,,76,03,,2,,,0,,,,2,, 13,, 2,94,96,,,02,,01,,,000004,8,,111004,,,1977
77IN00149,1976014597,76,2,P4597,,76, 02,,1,2,,0,,,3,1,,024,, 2,105,112,2,,02,,01,0922,,248604,5,,301604,92,,1977
77IN00150,1976014598,76,2,P4598,,76, 01,,1,,,0,,,2,1,,,,,104,,6,,02,,01,0901,,351804,5,,066104,10,,1977
77IN00151,1976014599,76,2,P4599,,76, 01,,1,,,0,,,2,1,, 15,, 1,103,130,,,02,,01,,,351804,8,,066104,,,1977
77IN00152,1976014606,76,2,P4606,,76, 02,,1,2,,0,,,2,1,,024,, 1,104,117,2,,02,,01,0922,,248604,8,,226904,92,,1977
77IN00153,1976014607,76,1,P4607,,, 02,,1,2,,0,,,2,1,,277,,,147,145,2,,02,,01,0922,,248604,Y,,226904,92,,1977
77IN00154,1976014645,76,2,P4645,,76, 02,,1,,,0,,,2,1,, 12,, 2,101,107,,,02,,01,,,248604,8,,302304,,,1977
77IN00155,1976014647,76,2,P4647,,76, 02,,1,,,0,,,2,1,, 15,, 2,113,110,,,02,,01,,,248604,8,,001804,,,1977
77IN00156,1976014648,76,2,P4648,,76, 02,,1,2,,0,,,2,1,,023,, 1,126,119,2,,02,,01,0922,,248604,8,,001804,92,,1977
77IN00157,1976014668,76,2,P4668,,76, 01,,1,,,0,,,2,1,, 12,, 2,110,115,,,02,,01,,,351804,3,,013804,,,1977
77IN00158,1976014699,76,2,P4699,,76, 03,,1,,,0,,,1,1,, 11,, 1,147,136,,,02,,01,,,320204,3,,144804,,,1977
77IN00159,1976014706,76,2,P4706,,76, 03,,1,,,0,,,2,1,, 13,, 3,116,122,,,02,,01,,,320204,3,,223604,,,1977
77IN00160,1976014723,76,2,P4723,,76, 03,,1,,,0,,,2,1,, 12,, 2,102,121,,,02,,01,,,320204,8,,148704,,,1977
77IN00161,1976014724,76,1,P4724,,, 03,,1,3,,0,,,2,1,,,,,113,120,3,,02,,01,0725,,320204,Y,,148704,93,,1977
77IN00162,1976014731,76,2,P4731,,76, 01,,1,,,0,,,3,1,, 11,, 2,109,113,,,02,,01,,,351804,8,,012304,,,1977
77IN00163,1976014737,76,2,P4737,,76, 02,,1,2,,0,,,1,1,,023,, 1,131,138,2,,02,,01,0922,,248604,8,,313504,92,,1977
77IN00164,1976014787,76,1,P4787,,, 02,,1,2,,0,,,2,1,,276,,,141,149,2,,02,,01,0922,,248604,Y,,258804,92,,1977
77IN00165,1976014842,76,2,P4842,,76, 02,,1,,,0,,,2,1,, 13,, 2,95,92,,,02,,01,,,248604,8,,229004,,,1977
77IN00166,1976014845,76,2,P4845,,76, 02,,1,,,0,,,2,1,, 15,, 1,98,113,,,02,,01,,,248604,8,,058304,,,1977
77IN00167,1976014869,76,2,P4869,,76, 01,,1,,,0,,,3,1,, 12,, 1,101,115,,,02,,01,,,351804,5,,201104,,,1977
77IN00168,1976014891,76,2,P4891,,76, 01,,1,,,0,,,1,1,, 11,, 1,122,123,,,02,,01,,,351804,8,,238904,,,1977
77IN00169,1976014915,76,2,P4915,,76, 01,,1,,,0,,,1,1,, 13,, 2,100,100,,,02,,01,,,351804,8,,320504,,,1977
77IN00170,1976014918,76,2,P4918,,76, 02,,1,2,,0,,,2,1,,023,, 1,120,135,2,,02,,01,0922,,248604,8,,159804,92,,1977
77IN00171,1976014945,76,2,P4945,,76, 02,,1,,,0,,,2,1,, 11,, 3,106,111,,,02,,01,,,248604,3,,226804,,,1977
77IN00172,1976014946,76,2,P4946,,76, 02,,1,,,0,,,3,1,, 12,, 2,102,112,,,02,,01,,,248604,8,,226804,,,1977
77IN00173,1976014953,76,1,P4953,,, 03,,1,3,,0,,,2,1,,,,,124,146,3,,02,,01,0829,,320204,Y,,017804,93,,1977
77IN00174,1976014954,76,2,P4954,,76, 03,,1,,,0,,,2,1,, 13,, 1,86,109,,,02,,01,,,320204,5,,017804,,,1977
77IN00175,1976014986,76,2,P4986,,76, 03,,1,,,0,,,1,1,, 12,, 1,103,119,,,02,,01,,,320204,3,,311404,,,1977
77IN00176,1976015009,76,2,P5009,,76, 01,,1,,,0,,,3,1,, 15,, 2,118,140,,,02,,01,,,351804,8,,192204,,,1977
77IN00177,1976015023,76,2,P5023,,76, 01,,1,,,0,,,1,1,, 15,, 1,128,137,,,02,,01,,,351804,8,,073304,,,1977
77IN00178,1976015029,76,2,P5029,,76, 02,,1,,,0,,,1,1,, 11,, 2,114,114,,,02,,01,,,248604,3,,227604,,,1977
77IN00179,1976015057,76,2,P5057,,76, 03,,1,,,0,,,2,1,, 13,, 2,112,106,,,02,,01,,,320204,3,,140504,,,1977
77IN00180,1976015059,76,2,P5059,,76, 02,,1,,,0,,,2,1,, 15,, 1,123,136,,,02,,01,,,248604,8,,216904,,,1977
77IN00181,1976015060,76,1,P5060,,, 02,,1,3,,0,,,2,1,,,,,121,142,3,,02,,01,0829,,248604,Y,,216904,93,,1977
77IN00182,1976015085,76,1,P5085,,, 33,,1,2,,0,,,2,1,,,,,112,137,3,,02,,01,0829,,298604,Y,,169604,93,,1977
77IN00183,1976015086,76,2,P5086,,76, 33,,1,,,0,,,2,1,, 15,, 1,105,119,,,02,,01,,,298604,8,,169604,,,1977
77IN00184,1976015094,76,2,P5094,,76, 01,,1,2,,0,,,3,1,,023,, 1,112,118,2,,02,,01,0922,,351804,8,,250904,92,,1977
77IN00185,1976015114,76,2,P5114,,76, 33,,1,2,,0,,,3,1,,023,, 1,131,131,2,,02,,01,0922,,298604,8,,152304,92,,1977
77IN00186,1976015160,76,2,P5160,,76, 33,,1,,,0,,,3,1,, 15,, 1,135,149,,,02,,01,,,298604,8,,215204,,,1977
77IN00187,1976015162,76,2,P5162,,76, 01,,1,,,0,,,2,1,, 15,, 1,110,118,,,02,,01,,,351804,8,,000804,,,1977
77IN00188,1976015163,76,2,P5163,,76, 01,,1,2,,0,,,2,1,,024,, 1,79,108,2,,02,,01,0922,,351804,5,,000804,92,,1977
77IN00189,1976015179,76,2,P5179,,76, 33,,1,,,0,,,3,1,, 15,, 1,123,142,,,02,,01,,,298604,8,,319104,,,1977
77IN00190,1976015206,76,2,P5206,,,032,,,,&,0,,,2,1,,,,,,,5,,02,,01,0204,,385104,*,,111004,95,,1977
