UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,SEMEN,BGRP,AGE,RMK,YRREC
97IN02508,1995105990,S5990,10,S5990,95,2,12,1,07, 85,296410,051810,0,,,,1,,2,174,173,2,,,,C,80,0,1,2.0,,1997
97IN02509,1995105991,S5991,10,S5991,95,2,10,1,07, 23,257610,043910,0,,,,1,,1,182,163,2,,,,M,21,0,1,2.0,,1997
97IN02510,1995106002,S6002,10,S6002,95,2,11,1,43, 33,250510,193610,0,,,,6,,2,138,0,1,,10,0518,R,,0,1,2.0,,1997
97IN02511,1995106005,S6005,10,S6005,95,2,11,1,07, 31,231510,200110,2,,,,3,OVX,5,168,176,1,X,,,R,,0,*,2.0,BARREN 2yrs,1997
97IN02512,1995106013,S6013,10,S6013,95,2,13,1,07, 41,346010,247610,0,,,,1,,1,169,172,4,,,,F,33,0,1,2.0,4TEATS,1997
97IN02513,1995106018,S6018,10,S6018,95,2,11,1,07, 34,256710,982519,0,,,,1,,1,167,161,3,,,,R,14,0,1,2.0,4TEATS,1997
97IN02514,1995106019,S6019,10,S6019,95,2,11,1,07, 32,235910,062810,0,,,,1,,1,158,170,2,,,,R,12,0,1,2.0,DYSTOCIA97,1997
97IN02515,1995106023,S6023,10,S6023,95,2,10,1,43, 24,258510,148510,0,,,,1,,2,149,152,2,,,,M,22,0,1,2.0,,1997
97IN02516,1995106027,S6027,10,S6027,95,2,12,1,07, 89,324410,315710,0,,,,1,,2,166,165,2,,,,C,91,0,1,2.0,,1997
97IN02517,1995106029,S6029,10,S6029,95,1,10,1,07, 23,257610,139610,0,,,,2,137,M,196,237,0,,92,0918,M,,0,,2.0,SHEAR CUT,1997
97IN02518,1995106031,S6031,10,S6031,95,2,10,1,07, 24,258510,141310,0,,,,1,,2,177,187,2,,,,M,22,0,1,2.0,,1997
97IN02519,1995106037,S6037,10,S6037,95,2,12,1,07, 84,234910,078110,0,,,,1,,1,155,165,2,,,,C,85,0,1,2.0,,1997
97IN02520,1995106040,S6040,10,S6040,95,2,11,1,07, 32,235910,192910,0,,,,1,,1,164,156,2,,,,R,13,0,1,2.0,,1997
97IN02521,1995106043,S6043,10,S6043,95,2,11,1,07, 33,250510,300010,0,,,,1,,1,163,184,2,,,,R,14,0,1,2.0,,1997
97IN02522,1995106045,S6045,10,S6045,95,2,12,1,43, 90,279310,155110,0,,,,1,,1,156,162,2,,,,C,91,0,1,2.0,,1997
97IN02523,1995106052,S6052,10,S6052,95,2,11,1,07, 34,256710,988619,0,,,,1,,2,149,148,2,,,,R,11,0,1,2.0,DYSTOCIA,1997
97IN02524,1995106058,S6058,10,S6058,95,2,12,1,42, 82,254510,208910,0,,,,1,,2,153,152,2,,,,C,81,0,1,2.0,ENTR,1997
97IN02525,1995106073,S6073,10,S6073,95,2,12,1,43, 86,328610,259010,0,,,,1,,1,163,151,4,,,,C,84,0,1,2.0,WEAK RAT,1997
97IN02526,1995106078,S6078,10,S6078,95,2,13,1,07, 43,250010,816919,0,,,,1,,2,167,156,2,,,,F,32,0,1,2.0,,1997
97IN02527,1995106081,S6081,10,S6081,95,1,12,1,43, 85,296410,253710,2,,,,3,LIB,*,0,0,0,,,,,,0,,2.0,4TEATS,1997
97IN02528,1995106097,S6097,10,S6097,95,2,11,1,07, 33,250510,795519,0,,,,7,,1,141,0,0,,97,0910,R,,0,1,2.0,,1997
97IN02529,1995106100,S6100,10,S6100,95,2,13,1,07, 41,346010,807519,0,,,,6,,*,0,0,2,,48,0407,F,,0,1,2.0,SIDE WOUND!,1997
97IN02530,1995106102,S6102,10,S6102,95,2,13,1,42, 42,263010,155610,0,,,,3,,2,149,145,1,,93,0912,F,,0,*,2.0,WOOL BLIND,1997
97IN02531,1995106103,S6103,10,S6103,95,2,13,1,42, 42,263010,155610,0,,,,1,,1,162,160,2,,,,F,34,0,1,2.0,,1997
97IN02532,1995106106,S6106,10,S6106,95,2,13,1,42, 42,263010,249210,0,,,,1,,2,144,158,2,,,,F,32,0,1,2.0,,1997
97IN02533,1995106108,S6108,10,S6108,95,2,12,1,07, 80,1574TX,083510,0,,,,1,,2,172,159,3,,,,C,91,0,1,2.0,4TEATS,1997
97IN02534,1995106110,S6110,10,S6110,95,2,10,1,07, 21,354710,254110,0,,,,1,,1,156,175,2,,,,M,24,0,1,2.0,,1997
97IN02535,1995106131,S6131,10,S6131,95,2,11,1,43, 34,256710,265410,0,,,,1,,2,153,154,3,,,,R,12,0,1,2.0,,1997
97IN02536,1995106134,S6134,10,S6134,95,2,13,1,07, 44,1958TX,782819,0,,,,6,,1,167,0,1,,16,0718,F,,0,1,2.0,,1997
97IN02537,1995106136,S6136,10,S6136,95,2,11,1,07, 34,256710,145910,0,,,,1,,1,166,156,3,,,,R,11,0,1,2.0,4TEATS,1997
97IN02538,1995106142,S6142,10,S6142,95,2,11,1,42, 33,250510,082410,0,,,,1,,2,163,159,3,,,,R,11,0,1,2.0,HAIRY,1997
97IN02539,1995106148,S6148,10,S6148,95,2,11,1,07, 31,231510,408710,0,,,,1,,1,158,168,2,,,,R,14,0,1,2.0,,1997
97IN02540,1995106149,S6149,10,S6149,95,2,13,1,42, 42,263010,143310,0,,,,1,,1,152,161,2,,,,F,33,0,1,2.0,HAIRY,1997
97IN02541,1995106153,S6153,10,S6153,95,2,12,1,42, 83,275310,940619,0,,,,1,,2,152,148,2,,,,C,82,0,1,2.0,,1997
