UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
81IN00150,1976014579,76,2,P4579,,71, 11,,1,,,0,,,,50,,714,,,, 3,130,148,,,30,,01,,,213708,2,,203909,,,1981
81IN00151,1976014600,76,2,P4600,,75, 09,,1,,,0,,,,50,,005,,,, 2,146,156,,162,30,,01,,,339109,8,,017908,,3,1981
81IN00152,1976014610,76,2,P4610,,71, 12,,1,,,0,,,,50,,,,,,,0,0,7,,30,,01,0614,,118908,*,,075609,97,,1981
81IN00153,1976014627,76,2,P4627,,70, 38,,1,,,0,,,,50,,702,,,, 2,126,122,,,30,,01,,,219808,3,,331809,,,1981
81IN00154,1976014635,76,2,P4635,,71, 11,,1,,,0,,,,50,,713,,,, 2,126,138,,,30,,01,,,213708,2,,278709,,,1981
81IN00155,1976014645,76,2,P4645,,49, 02,,1,,,0,,,,50,,493,,42,, 4,133,143,,,02,,01,,,248604,2,,302304,,,1981
81IN00156,1976014647,76,2,P4647,,76, 02,,1,,,0,,,,50,,007,,,,,148,0,,,02,,01,,,248604,8,,001804,,,1981
81IN00157,1976014656,76,2,P4656,,70, 12,,1,,,0,,,,50,,703,,,, 2,148,150,,,30,,01,,,118908,1,,016509,,,1981
81IN00158,1976014668,76,2,P4668,,49, 01,,1,,,0,,,,50,,491,,40,, 4,151,159,,,02,,01,,,351804,2,,013804,,,1981
81IN00159,1976014675,76,2,P4675,,71, 04,,1,,,1,,,,50,,711,,,, 2,147,157,,,30,,01,,,423407,1,,269507,,,1981
81IN00160,1976014681,76,2,P4681,,73, 07,,1,,,0,,,,50,,003,,,, 3,155,164,,162,30,,01,,,364909,7,,230108,,,1981
81IN00161,1976014683,76,2,P4683,,70, 04,,1,,,1,,,,50,,703,,,, 2,132,142,,,30,,01,,,423407,2,,138107,,,1981
81IN00162,1976014684,76,2,P4684,,71, 04,,1,,,1,,,,50,,712,,,, 2,119,128,,,30,,01,,,423407,1,,138107,,,1981
81IN00163,1976014685,76,2,P4685,,71, 11,,1,,,0,,,,50,,713,,,, 2,130,132,,,30,,01,,,213708,1,,069709,,,1981
81IN00164,1976014716,76,2,P4716,,70, 11,,1,,,0,,,,50,,704,,,, 2,119,128,,,30,,01,,,213708,1,,063409,,,1981
81IN00165,1976014717,76,2,P4717,,70, 11,,1,,,0,,,,50,,702,,,, 2,119,122,,,30,,01,,,213708,2,,063409,,,1981
81IN00166,1976014720,76,2,P4720,,70, 10,,1,,,0,,,,50,,701,,,, 2,146,166,,,30,,01,,,380908,1,,248909,,,1981
81IN00167,1976014725,76,2,P4725,,75, 38,,1,,,0,,,,50,,008,,,,,184,0,,,30,,01,,,219808,8,,348109,,,1981
81IN00168,1976014726,76,2,P4726,,71, 04,,1,,,1,,,,50,,714,,,, 3,141,156,,,30,,01,,,423407,3,,165607,,,1981
81IN00169,1976014741,76,2,P4741,,71, 06,,1,,,1,,,,50,,711,,,, 2,121,126,,,30,,01,,,404307,2,,250007,,,1981
81IN00170,1976014742,76,2,P4742,,73, 06,,1,,,1,,,,50,,,,,,,158,0,6,,30,,01,0801,,404307,8,,250007,01,,1981
81IN00171,1976014747,76,2,P4747,,74, 10,,1,3,,0,,,,50,,,,,, 1,109,128,3,,30,,01,0928,,380908,8,,161109,93,,1981
81IN00172,1976014751,76,2,P4751,,73, 11,,1,,,0,1,,,50,,004,,,, 2,135,155,,157,30,,01,,,213708,8,,002109,,,1981
81IN00173,1976014768,76,2,P4768,,70, 07,,1,,,0,,,,50,,704,,,, 9,162,180,,,30,,01,,,364909,3,,355708,,,1981
81IN00174,1976014781,76,2,P4781,,71, 11,,1,,,0,,,,50,,712,,,, 2,144,143,,,30,,01,,,213708,3,,236009,,,1981
