UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,GRP,PAD4,ABEWE,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
86IN00069,1978017331,78,2,P7331,,70,704,,1,1,,1,,,,80,,704,,,, 3,128,130,,,30,,01,,,,,584607,2,,207607,,,1986
86IN00070,1978017371,78,2,P7371,,71,712,,1,3,2,0,,,,80,,,,,, 2,161,167,,167,30,,01,,2,,47,213708,5,,248909,,,1986
86IN00071,1978017375,78,2,P7375,,71,713,,1,3,2,1,,,,80,,,,,,11,154,159,,159,30,,01,,2,,06,556507,3,,595107,,,1986
86IN00072,1978017451,78,2,P7451,,75, 03,,2,7,6,0,,,,75,,,,,,,147,159,3,,30,,01,1103,5,,45,427408,4,,304709,93,,1986
86IN00073,1978017467,78,2,P7467,,74, 05,,2,1,6,1,,,,75,,,,,, 2,177,0,,197,30,,01,,,,,619407,4,,353907,,,1986
86IN00074,1978017500,78,2,P7500,,73, 04,,2,3,2,0,,,,75,,,,,, 2,132,162,,156,30,,01,,2,,46,237909,4,,160708,,,1986
86IN00075,1978017523,78,2,P7523,,73, 03,,2,3,2,0,,,,75,,,,,,,182,0,3,143,30,,01,1124,3,, 2,427408,4,,147409,93,,1986
86IN00076,1979017542,79,2,P7542,,74, 04,,1,,6,1,,,,70,,,,,,,152,0,6,,30,,01,0815,,,,640407,4,,617807,20,,1986
86IN00077,1979017574,79,2,P7574,,72, 04,,1,1,6,1,,,,70,,,,,, 5,135,160,,157,30,,01,,,,,640407,4,,474707,,,1986
86IN00078,1979017601,79,2,P7601,,75, 12,,1,3,6,0,,,,70,,,,,,,138,114,3,,38,,01,1103,5,,45,475907,4,,182708,93,,1986
86IN00079,1979017602,79,2,P7602,,73, 01,,1,1,6,1,,,,70,,,,,, 4,158,0,,202,30,,01,,,,,677807,4,,286207,,,1986
86IN00080,1979017708,79,2,P7708,,72, 04,,1,,6,1,,,,70,,,,,,,113,0,3,,30,,01,0602,,,,640407,9,,513207,76,,1986
86IN00081,1979017722,79,2,P7722,,75, 03,,1,3,2,1,,,,70,,,,,, 1,130,142,,142,30,,01,,2,,46,648507,4,,525107,,,1986
86IN00082,1979017760,79,2,P7760,,73, 03,,1,3,6,1,,,,70,,,,,, 3,102,0,3,109,30,,01,1124,3,,,648507,4,,207707,93,,1986
86IN00083,1979017779,79,2,P7779,,75, 05,,1,1,6,1,,,,70,,,,,, 2,185,0,,198,30,,01,,,,,633007,4,,350307,,,1986
86IN00084,1979017781,79,2,P7781,,72, 01,,1,1,6,1,,,,70,,,,,, 2,134,0,,137,30,,01,,,,,677807,4,,516407,,,1986
86IN00085,1979017809,79,2,P7809,,75, 03,,1,,6,1,,,,70,,,,,,,0,0,3,,30,,01,0303,,,,648507,*,,370907,93,,1986
86IN00086,1979017905,79,2,P7905,,73, 01,,1,1,6,1,,,,70,,,,,, 2,172,0,,197,30,,01,,,,,677807,4,,520907,,,1986
86IN00087,1979017943,79,2,P7943,,73, 03,,1,,6,1,,,,70,,,,,,,0,0,7,,30,,01,0521,,,,648507,*,,488307,97,,1986
86IN00088,1979017953,79,2,P7953,,73, 12,,1,3,2,0,,,,70,,,,,,,163,0,5,,38,,01,1027,5,,45,475907,4,,309408,95,,1986
86IN00089,1979017978,79,2,P7978,,74, 06,,1,1,6,0,,,,70,,,,,, 2,165,0,,180,38,,01,,,,,626507,4,,005808,,,1986
86IN00090,1979018071,79,2,P8071,,75, 08,,1,1,6,1,,,,70,,,,,, 2,148,0,,184,30,,01,,,,,670107,4,,601907,,,1986
86IN00091,1979018119,79,2,P8119,,72, 05,,1,,6,1,,,,70,,,,,,,158,0,6,,30,,01,1102,,,,633007,4,,624507,16,,1986
86IN00092,1979018152,79,2,P8152,,72, 07,,1,3,6,1,,,,70,,,,,,,135,111,3,,30,,01,1006,3,,47,680707,4,,622407,93,,1986
86IN00093,1979018213,79,2,P8213,,74, 05,,1,1,6,1,,,,70,,,,,, 2,182,0,,229,30,,01,,,,,633007,4,,657207,,,1986
86IN00094,1979018214,79,2,P8214,,75, 12,,1,3,6,1,,,,70,,,,,, 2,120,0,3,123,30,,01,1124,3,,,475907,4,,524007,93,,1986
86IN00095,1979018247,79,2,P8247,,74, 05,,1,1,6,1,,,,70,,,,,, 2,172,0,,199,30,,01,,,,,633007,4,,653907,,,1986
86IN00096,1979018261,79,2,P8261,,75, 07,,1,2,6,1,,,2,70,,,,,,,150,162,2,,30,120,01,0925,,,,680707,4,,675507,92,,1986
86IN00097,1979018296,79,2,P8296,,74, 05,,1,2,6,1,,,2,70,,,,,,,163,171,2,,30,120,01,0925,,,,633007,4,,695307,92,,1986
86IN00098,1979018306,79,2,P8306,,73, 07,,1,1,6,1,,,,70,,,,,, 3,133,0,,186,30,,01,,,,,680707,4,,692007,,,1986
86IN00099,1979018354,79,2,P8354,,73, 07,,1,,6,1,,,,70,,,,,,,142,0,6,,30,,01,0918,,,,680707,4,,696307,10,,1986
86IN00100,1979018419,79,2,P8419,,76, 13,,1,,6,0,,,,70,,,,,,,169,0,3,,35,,01,0602,,,,632707,9,,680505,09,,1986
86IN00101,1979018466,79,2,P8466,,71,714,,1,1,,0,,,,70,,712,,,, 2,142,143,,,30,,01,,,,,380908,2,,379509,,,1986
86IN00102,1979018470,79,2,P8470,,71,713,,1,1,,1,,,,70,,714,,,, 2,149,161,,,30,,01,,,,,706807,3,,467507,,,1986
86IN00103,1979018472,79,2,P8472,,71,714,,1,1,,0,,,,70,,711,,,, 3,146,156,,,30,,01,,,,,380908,1,,011109,,,1986
86IN00104,1979018488,79,2,P8488,,71,712,,1,,,1,,,,70,,,,,,,189,0,3,,30,,01,0616,,,,713707,3,,478107,93,,1986
86IN00105,1979018518,79,2,P8518,,71,714,,1,1,,0,,,,70,,714,,,, 1,147,156,,,30,,01,,,,,380908,2,,127709,,,1986
86IN00106,1979018519,79,2,P8519,,71,713,,1,,0,1,,,,70,,,,,,,227,0,3,,30,,01,0616,,,,706807,9,,156207,93,,1986
86IN00107,1979018527,79,2,P8527,,71,714,,1,2,,0,,,0,70,,,,,, 3,158,158,2,,30,141,01,0925,,,,380908,3,,236009,92,,1986
86IN00108,1979018542,79,2,P8542,,70,702,,1,,,1,,,,70,,,,,,,158,0,7,,30,,01,0917,,,,573507,3,,295707,97,,1986
86IN00109,1979018551,79,2,P8551,,72,702,,1,,6,1,,,,70,,,,,,,166,0,6,,30,,01,1014,,,,573507,4,,454707,16,,1986
86IN00110,1979018556,79,2,P8556,,70,704,,1,1,,0,,,,70,,701,,,, 3,147,144,,,30,,01,,,,,427408,1,,220009,,,1986
86IN00111,1979018566,79,2,P8566,,71,711,,1,1,,1,,,,70,,713,,,, 4,162,172,,,30,,01,,,,,722907,2,,489807,,,1986
86IN00112,1979018631,79,2,P8631,,72,702,,1,1,6,1,,,,70,,,,,, 2,173,0,,178,30,,01,,,,,573507,4,,133907,,,1986
86IN00113,1979018662,79,2,P8662,,71,713,,1,,,1,,,,70,,,,,,,165,0,7,,30,,01,0917,,,,706807,2,,507707,97,,1986
86IN00114,1979018667,79,2,P8667,,70,701,,1,,2,1,,,,70,,,,,,,0,0,6,,30,,01,0407,,,,593907,*,,136407,95,,1986
86IN00115,1979018687,79,2,P8687,,70,704,,1,2,,0,,,0,70,,,,,, 2,181,181,2,,30,141,01,0925,,,,427408,3,,002109,92,,1986
86IN00116,1979018693,79,2,P8693,,71,713,,1,3,,1,,,,70,,,,,,12,136,142,5,,30,,01,1027,5,,05,706807,5,,566707,95,,1986
86IN00117,1979018696,79,2,P8696,,70,702,,1,1,,1,,,,70,,703,,,, 3,171,167,,,30,,01,,,,,573507,1,,580207,,,1986
86IN00118,1979018738,79,2,P8738,,71,713,,1,,0,1,,,,70,,,,,,,166,0,3,,30,,01,0616,,,,706807,9,,335907,93,,1986
86IN00119,1979018743,79,2,P8743,,71,714,,1,1,,0,,,,70,,713,,,, 3,167,152,,,30,,01,,,,,380908,3,,344409,,,1986
86IN00120,1979018746,79,2,P8746,,72,704,,1,1,6,0,,,,70,,,,,, 2,152,0,,189,30,,01,,,,,427408,4,,407509,,,1986
86IN00121,1979018751,79,2,P8751,,70,704,,1,,,0,,,,70,,,,,,,0,0,6,,30,,01,0519,,,,427408,*,,439809,19,,1986
86IN00122,1979018765,79,2,P8765,,71,714,,1,,,0,,,,70,,,,,,,0,0,6,,30,,01,0421,,,,380908,*,,317609,01,,1986
86IN00123,1979018784,79,2,P8784,,70,702,,1,1,,1,,,,70,,704,,,, 3,178,188,,,30,,01,,,,,573507,3,,193407,,,1986
86IN00124,1979018796,79,2,P8796,,70,703,,1,3,2,1,,,,70,,,,,, 2,190,177,,177,30,,01,,2,,66,556507,3,,505207,,,1986
86IN00125,1979018803,79,2,P8803,,70,702,,1,1,,1,,,,70,,702,,,, 2,172,163,,,30,,01,,,,,573507,3,,350807,,,1986
86IN00126,1979018814,79,2,P8814,,72,  1,,2,,6,1,,,,65,,,,,,,165,0,6,,30,,01,0814,,,,626407,4,,670607,20,,1986
86IN00127,1979018882,79,2,P8882,,74,  3,,2,1,6,1,,,,65,,,,,, 2,136,0,,162,30,,01,,,,,747507,4,,516407,,,1986
86IN00128,1979018893,79,2,P8893,,73,  4,,2,,2,1,,,,65,,,,,,,124,0,3,,30,,01,0602,,,,648507,4,,429807,93,,1986
86IN00129,1979018906,79,2,P8906,,75,  7,,2,1,6,1,,,,65,,,,,, 2,143,0,,168,30,,01,,,,,633107,4,,624307,,,1986
86IN00130,1979018907,79,2,P8907,,74,  2,,2,,6,1,,,,65,,,,,,,145,0,6,,30,,01,0814,,,,640407,4,,412907,20,,1986
86IN00131,1979018912,79,2,P8912,,75,  6,,2,1,6,1,,,,65,,,,,, 2,128,0,,173,30,,01,,,,,632707,4,,525107,,,1986
86IN00132,1979018936,79,2,P8936,,74,  2,,2,,6,1,,,,65,,,,,,,0,0,6,,30,,01,0426,,,,640407,*,,544407,95,,1986
86IN00133,1979018942,79,2,P8942,,75,  4,,2,1,6,1,,,,65,,,,,, 2,129,0,,158,30,,01,,,,,648507,4,,129507,,,1986
86IN00134,1979018950,79,2,P8950,,74,  2,,2,1,6,0,,,,65,,,,,, 2,151,0,,186,38,,01,,,,,640407,4,,010508,,,1986
86IN00135,1979018958,79,2,P8958,,75,  6,,2,2,6,1,,,2,65,,,,,,,152,163,6,,30,120,01,0924,,,,632707,4,,588007,04,,1986
86IN00136,1979018973,79,2,P8973,,75,  6,,2,1,6,1,,,,65,,,,,, 2,146,0,,147,30,,01,,,,,632707,4,,578107,,,1986
86IN00137,1980019274,80,2,P9274,,74, 04,,1,3,6,0,,,,60,,,,,, 1,125,138,3,125,38,,01,1124,3,,,769107,4,,139408,93,,1986
86IN00138,1980019286,80,2,P9286,,73, 01,,1,1,6,1,,,,60,,,,,, 2,136,0,,166,30,,01,,,,,648507,4,,619507,,,1986
86IN00139,1980019297,80,2,P9297,,73, 03,,1,1,6,1,,,,60,,,,,, 2,151,0,,181,30,,01,,,,,632707,4,,678207,,,1986
86IN00140,1980019308,80,2,P9308,,74, 01,,1,1,6,1,,,,60,,,,,, 3,153,0,,156,30,,01,,,,,648507,4,,547107,,,1986
86IN00141,1980019310,80,2,P9310,,73, 03,,1,,6,1,,,,60,,,,,,,124,0,6,,30,,01,0721,,,,632707,4,,544807,01,,1986
86IN00142,1980019358,80,2,P9358,,73, 02,,1,3,2,1,,,,60,,,,,,,144,0,3,,30,,01,1005,8,, 8,640407,4,,694507,93,,1986
86IN00143,1980019374,80,2,P9374,,75, 03,,1,1,6,1,,,,60,,,,,, 2,150,0,,167,30,,01,,,,,632707,4,,643007,,,1986
86IN00144,1980019382,80,2,P9382,,72, 01,,1,1,6,1,,,,60,,,,,, 1,150,166,,158,30,,01,,,,,648507,4,,545307,,,1986
86IN00145,1980019399,80,2,P9399,,73, 02,,1,1,6,1,,,,60,,,,,, 2,152,0,,187,30,,01,,,,,640407,4,,692607,,,1986
86IN00146,1980019443,80,2,P9443,,73, 01,,1,1,6,1,,,,60,,,,,, 2,146,174,,172,30,,01,,,,,648507,4,,693407,,,1986
86IN00147,1980019468,80,2,P9468,,72, 02,,1,,6,1,,,,60,,,,,,,0,0,6,,30,,01,0101,,,,640407,*,,692407,10,,1986
86IN00148,1980019476,80,2,P9476,,75, 03,,1,,6,1,,,,60,,,,,,,139,0,6,,30,,01,0924,,,,632707,4,,350307,16,,1986
86IN00149,1980019516,80,2,P9516,,72, 07,,1,1,6,1,,,,60,,,,,, 2,138,0,,157,30,,01,,,,,747507,4,,648907,,,1986
86IN00150,1980019517,80,2,P9517,,75, 03,,1,3,2,1,,,,60,,,,,, 2,124,129,,129,30,,01,,2,,46,632707,4,,660707,,,1986
86IN00151,1980019527,80,2,P9527,,75, 04,,1,1,6,1,,,,60,,,,,, 2,176,0,,218,30,,01,,,,,769107,4,,493107,,,1986
86IN00152,1980019529,80,2,P9529,,73, 02,,1,1,6,1,,,,60,,,,,, 2,156,0,,192,30,,01,,,,,640407,4,,552007,,,1986
86IN00153,1980019540,80,2,P9540,,74, 01,,1,1,6,1,,,,60,,,,,, 2,167,0,,202,30,,01,,,,,648507,4,,146107,,,1986
86IN00154,1980019545,80,2,P9545,,76, 09,,1,1,6,0,,,,60,,,,,, 2,140,0,,178,35,,01,,,,,758007,4,,680505,,,1986
86IN00155,1980019570,80,2,P9570,,73, 03,,1,1,6,1,,,,60,,,,,, 2,161,0,,180,30,,01,,,,,632707,4,,522707,,,1986
86IN00156,1980019592,80,2,P9592,,73, 01,,1,3,6,1,,,,60,,,,,,,146,145,3,,30,,01,1006,3,,07,648507,4,,475107,93,,1986
86IN00157,1980019593,80,2,P9593,,73, 02,,1,1,6,1,,,,60,,,,,, 1,140,161,,166,30,,01,,,,,640407,4,,518107,,,1986
86IN00158,1980019594,80,2,P9594,,73, 02,,1,1,6,1,,,,60,,,,,, 2,149,0,,190,30,,01,,,,,640407,4,,518107,,,1986
86IN00159,1980019658,80,2,P9658,,75, 01,,1,3,2,1,,,,60,,,,,,,133,0,,115,30,,01,,2,, 2,648507,4,,616707,,,1986
86IN00160,1980019677,80,2,P9677,,76, 09,,1,1,6,0,,,,60,,,,,, 2,165,0,,205,35,,01,,,,,758007,4,,768605,,,1986
86IN00161,1980019683,80,2,P9683,,72, 11,,1,1,6,1,,,,60,,,,,, 3,144,0,,172,30,,01,,,,,479407,4,,226007,,,1986
86IN00162,1980019688,80,2,P9688,,74, 02,,1,2,6,1,,,2,60,,,,,,,142,162,2,,30,119,01,0925,,,,640407,4,,541507,92,,1986
86IN00163,1980019714,80,2,P9714,,74, 03,,1,1,6,0,,,,60,,,,,, 2,166,0,,185,38,,01,,,,,632707,4,,023508,,,1986
86IN00164,1980019722,80,2,P9722,,73, 11,,1,3,2,1,,,,60,,,,,,,164,0,3,,30,,01,1005,8,, 8,479407,4,,523807,93,,1986
86IN00165,1980019746,80,2,P9746,,76, 08,,1,1,6,0,,,,60,,,,,, 2,145,0,,173,35,,01,,,,,675107,4,,720005,,,1986
86IN00166,1980019747,80,2,P9747,,75, 02,,1,2,6,1,,,2,60,,,,,,,150,163,2,,30,119,01,0925,,,,640407,4,,308407,92,,1986
86IN00167,1980019787,80,2,P9787,,73, 03,,1,1,6,1,,,,60,,,,,, 2,147,0,,162,30,,01,,,,,632707,4,,548907,,,1986
86IN00168,1980019815,80,2,P9815,,75, 12,,1,3,2,1,,,,60,,,,,, 2,131,146,,146,30,,01,,2,,5:,626507,4,,525107,,,1986
86IN00169,1980019825,80,2,P9825,,72, 06,,1,3,2,1,,,,60,,,,,,,156,0,3,,30,,01,1005,8,, 8,789807,4,,780907,93,,1986
86IN00170,1980019839,80,2,P9839,,75, 03,,1,1,6,1,,,,60,,,,,, 2,142,0,,159,30,,01,,,,,632707,4,,665107,,,1986
86IN00171,1980019863,80,2,P9863,,72, 12,,1,,6,1,,,,60,,,,,,,0,0,3,,30,,01,0303,,,,626507,*,,554507,93,,1986
86IN00172,1980019866,80,2,P9866,,76, 09,,1,3,2,0,,,,60,,,,,,,165,0,3,,35,,01,1005,8,, 8,758007,4,,674505,93,,1986
86IN00173,1980019877,80,2,P9877,,75, 05,,1,,6,1,,,,60,,,,,,,147,0,6,,30,,01,0929,,,,779707,4,,821407,01,,1986
86IN00174,1980019932,80,2,P9932,,76, 09,,1,1,6,0,,,,60,,,,,,,152,162,7,,35,,01,1119,,,,758007,4,,663205,97,,1986
86IN00175,1980019980,80,2,P9980,,76, 09,,1,1,6,0,,,,60,,,,,, 3,170,0,,192,35,,01,,,,,758007,4,,811505,,,1986
86IN00176,1980020015,80,2,Y0015,,76, 08,,1,1,6,0,,,,60,,,,,, 2,157,189,,185,35,,02,,,,,675107,4,,779205,,,1986
86IN00177,1980020042,80,2,Y0042,,71,713,,1,1,,1,,,,60,,711,,,, 3,173,163,,,30,,02,,,,,867507,1,,713107,,,1986
