UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AOD,DINBR,TM,HORN,BPEN,YRWT,FACE,FLUSHTRT,SPRGWT,FALLWT,DISP,FLUSHWT,STAPL,CLFL,PENTRT,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,AGE,ADAM,YRREC
61IN00073,1958809075,58,2,J9075,,61,,80,,,,,,,,4,015,,12,,,103,,,,,,,,,,,,,,3.0,4,1961
61IN00074,1958809077,58,2,J9077,,61,,80,,,,,,,,1,085,,09,,,126,,,,,,,,,,,,,,3.0,4,1961
61IN00075,1958809078,58,2,J9078,,61,,80,,,,,,,,3,025,,13,,,119,,,,,,,,,,,,,,3.0,4,1961
61IN00076,1958809079,58,2,J9079,,61,,80,,,,,,,,1,034,,12,,,112,,,,,,,,,,,,,,3.0,4,1961
61IN00077,1958809080,58,2,J9080,,61,,80,,,,,,,,3,134,,15,,,109,,,,,,,,,,,,,,3.0,4,1961
61IN00078,1958809081,58,2,J9081,,61,,80,,,,,,,,1,035,,13,,,122,,,,,,,,,,,,,,3.0,4,1961
61IN00079,1958809082,58,2,J9082,,61,,80,,,,,,,,1,094,,09,,,109,,,,,,,,,,,,,,3.0,4,1961
61IN00080,1958809083,58,2,J9083,,61,,80,,,,,,,,1,044,,13,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00081,1958809084,58,2,J9084,,61,,80,,,,,,,,1,045,,13,,,136,,,,,,,,,,,,,,3.0,4,1961
61IN00082,1958809085,58,2,J9085,,61,,80,,,,,,,,1,095,,09,,,120,,,,,,,,,,,,,,3.0,4,1961
61IN00083,1958809086,58,2,J9086,,61,,80,,,,,,,,1,054,,13,,,124,,,,,,,,,,,,,,3.0,4,1961
61IN00084,1958809087,58,2,J9087,,61,,80,,,,,,,,1,104,,10,,,131,,,,,,,,,,,,,,3.0,4,1961
61IN00085,1958809088,58,2,J9088,,61,,80,,,,,,,,1,135,,14,,,123,,,,,,,,,,,,,,3.0,4,1961
61IN00086,1958809089,58,2,J9089,,61,,80,,,,,,,,1,059,,13,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00087,1958809090,58,2,J9090,,61,,80,,,,,,,,1,055,,13,,,143,,,,,,,,,,,,,,3.0,4,1961
61IN00088,1958809091,58,2,J9091,,61,,80,,,,,,,,1,144,,14,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00089,1958809092,58,2,J9092,,61,,80,,,,,,,,4,064,,12,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00090,1958809093,58,2,J9093,,61,,80,,,,,,,,1,065,,12,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00091,1958809094,58,2,J9094,,61,,80,,,,,,,,3,145,,14,,,105,,,,,,,,,,,,,,3.0,4,1961
61IN00092,1958809095,58,2,J9095,,61,,80,,,,,,,,1,154,,15,,,103,,,,,,,,,,,,,,3.0,4,1961
61IN00093,1958809096,58,2,J9096,,61,,80,,,,,,,,1,105,,11,,,93,,,,,,,,,,,,,,3.0,4,1961
61IN00094,1958809097,58,2,J9097,,61,,80,,,,,,,,1,074,,12,,,112,,,,,,,,,,,,,,3.0,4,1961
61IN00095,1958809098,58,2,J9098,,61,,80,,,,,,,,1,075,,12,,,126,,,,,,,,,,,,,,3.0,4,1961
61IN00096,1958809099,58,2,J9099,,61,,80,,,,,,,,1,068,,09,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00097,1958809100,58,2,J9100,,61,,80,,,,,,,,1,084,,12,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00098,1958809101,58,2,J9101,,61,,80,,,,,,,,1,114,,11,,,110,,,,,,,,,,,,,,3.0,4,1961
61IN00099,1958809102,58,2,J9102,,61,,80,,,,,,,,1,115,,11,,,132,,,,,,,,,,,,,,3.0,4,1961
61IN00100,1958809103,58,2,J9103,,61,,80,,,,,,,,1,069,,13,,,120,,,,,,,,,,,,,,3.0,4,1961
61IN00101,1958809104,58,2,J9104,,61,,80,,,,,,,,1,078,,14,,,106,,,,,,,,,,,,,,3.0,4,1961
61IN00102,1958809105,58,2,J9105,,61,,80,,,,,,,,1,124,,10,,,120,,,,,,,,,,,,,,3.0,4,1961
61IN00103,1958809106,58,2,J9106,,61,,80,,,,,,,,5,085,,13,,,103,,,,,,,,,,,,,,3.0,4,1961
61IN00104,1958809107,58,2,J9107,,61,,80,,,,,,,,3,094,,12,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00105,1958809108,58,2,J9108,,61,,80,,,,,,,,1,155,,15,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00106,1958809109,58,2,J9109,,61,,80,,,,,,,,1,164,,14,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00107,1958809110,58,2,J9110,,61,,80,,,,,,,,1,095,,13,,,110,,,,,,,,,,,,,,3.0,4,1961
61IN00108,1958809111,58,2,J9111,,61,,80,,,,,,,,1,125,,10,,,105,,,,,,,,,,,,,,3.0,4,1961
61IN00109,1958809112,58,2,J9112,,61,,80,,,,,,,,1,165,,14,,,108,,,,,,,,,,,,,,3.0,4,1961
61IN00110,1958809113,58,2,J9113,,61,,80,,,,,,,,1,079,,12,,,135,,,,,,,,,,,,,,3.0,4,1961
61IN00111,1958809114,58,2,J9114,,61,,80,,,,,,,,1,174,,15,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00112,1958809115,58,2,J9115,,61,,80,,,,,,,,1,088,,12,,,130,,,,,,,,,,,,,,3.0,4,1961
61IN00113,1958809116,58,2,J9116,,61,,80,,,,,,,,3,134,,11,,,111,,,,,,,,,,,,,,3.0,4,1961
61IN00114,1958809117,58,2,J9117,,61,,80,,,,,,,,1,135,,09,,,122,,,,,,,,,,,,,,3.0,4,1961
61IN00115,1958809118,58,2,J9118,,61,,80,,,,,,,,1,144,,10,,,130,,,,,,,,,,,,,,3.0,4,1961
61IN00116,1958809119,58,2,J9119,,61,,80,,,,,,,,1,145,,09,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00117,1958809120,58,2,J9120,,61,,80,,,,,,,,1,104,,13,,,108,,,,,,,,,,,,,,3.0,4,1961
61IN00118,1958809121,58,2,J9121,,61,,80,,,,,,,,1,105,,12,,,131,,,,,,,,,,,,,,3.0,4,1961
61IN00119,1958809122,58,2,J9122,,61,,80,,,,,,,,1,154,,09,,,93,,,,,,,,,,,,,,3.0,4,1961
61IN00120,1958809123,58,2,J9123,,61,,80,,,,,,,,1,155,,11,,,117,,,,,,,,,,,,,,3.0,4,1961
61IN00121,1958809124,58,2,J9124,,61,,80,,,,,,,,4,089,,14,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00122,1958809125,58,2,J9125,,61,,80,,,,,,,,1,175,,14,,,138,,,,,,,,,,,,,,3.0,4,1961
61IN00123,1958809126,58,2,J9126,,61,,80,,,,,,,,5,164,,09,,,129,,,,,,,,,,,,,,3.0,4,1961
61IN00124,1958809127,58,2,J9127,,61,,80,,,,,,,,1,114,,12,,,122,,,,,,,,,,,,,,3.0,4,1961
61IN00125,1958809128,58,2,J9128,,61,,80,,,,,,,,4,115,,13,,,110,,,,,,,,,,,,,,3.0,4,1961
61IN00126,1958809129,58,2,J9129,,61,,80,,,,,,,,1,165,,09,,,112,,,,,,,,,,,,,,3.0,4,1961
61IN00127,1958809130,58,2,J9130,,61,,80,,,,,,,,1,124,,12,,,124,,,,,,,,,,,,,,3.0,4,1961
61IN00128,1958809131,58,2,J9131,,61,,80,,,,,,,,1,174,,08,,,103,,,,,,,,,,,,,,3.0,4,1961
61IN00129,1958809132,58,2,J9132,,61,,80,,,,,,,,1,125,,13,,,126,,,,,,,,,,,,,,3.0,4,1961
61IN00130,1958809133,58,2,J9133,,61,,80,,,,,,,,1,184,,14,,,144,,,,,,,,,,,,,,3.0,4,1961
61IN00131,1958809134,58,2,J9134,,61,,80,,,,,,,,1,098,,11,,,105,,,,,,,,,,,,,,3.0,4,1961
61IN00132,1958809135,58,2,J9135,,61,,80,,,,,,,,1,185,,14,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00133,1958809136,58,2,J9136,,61,,80,,,,,,,,1,099,,10,,,108,,,,,,,,,,,,,,3.0,4,1961
61IN00134,1958809137,58,2,J9137,,61,,80,,,,,,,,4,204,,15,,,110,,,,,,,,,,,,,,3.0,4,1961
61IN00135,1958809138,58,2,J9138,,61,,80,,,,,,,,4,134,,13,,,120,,,,,,,,,,,,,,3.0,4,1961
61IN00136,1958809139,58,2,J9139,,61,,80,,,,,,,,1,175,,10,,,105,,,,,,,,,,,,,,3.0,4,1961
61IN00137,1958809140,58,2,J9140,,61,,80,,,,,,,,1,184,,09,,,115,,,,,,,,,,,,,,3.0,4,1961
61IN00138,1958809141,58,2,J9141,,61,,80,,,,,,,,3,205,,14,,,111,,,,,,,,,,,,,,3.0,4,1961
61IN00139,1958809142,58,2,J9142,,61,,80,,,,,,,,4,214,,15,,,106,,,,,,,,,,,,,,3.0,4,1961
61IN00140,1958809143,58,2,J9143,,61,,80,,,,,,,,1,215,,14,,,108,,,,,,,,,,,,,,3.0,4,1961
61IN00141,1958809144,58,2,J9144,,61,,80,,,,,,,,1,224,,14,,,105,,,,,,,,,,,,,,3.0,4,1961
61IN00142,1958809145,58,2,J9145,,61,,80,,,,,,,,1,234,,15,,,106,,,,,,,,,,,,,,3.0,4,1961
61IN00143,1958809146,58,2,J9146,,61,,80,,,,,,,,1,108,,14,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00144,1958809147,58,2,J9147,,61,,80,,,,,,,,1,109,,09,,,127,,,,,,,,,,,,,,3.0,4,1961
61IN00145,1958809148,58,2,J9148,,61,,80,,,,,,,,1,244,,14,,,111,,,,,,,,,,,,,,3.0,4,1961
61IN00146,1958809149,58,2,J9149,,61,,80,,,,,,,,1,185,,09,,,133,,,,,,,,,,,,,,3.0,4,1961
61IN00147,1958809150,58,2,J9150,,61,,80,,,,,,,,1,204,,09,,,127,,,,,,,,,,,,,,3.0,4,1961
61IN00148,1958809151,58,2,J9151,,61,,80,,,,,,,,2,205,,11,,,104,,,,,,,,,,,,,,3.0,4,1961
61IN00149,1958809152,58,2,J9152,,61,,80,,,,,,,,1,254,,14,,,114,,,,,,,,,,,,,,3.0,4,1961
61IN00150,1958809153,58,2,J9153,,61,,80,,,,,,,,1,135,,13,,,120,,,,,,,,,,,,,,3.0,4,1961
61IN00151,1958809154,58,2,J9154,,61,,80,,,,,,,,4,264,,15,,,115,,,,,,,,,,,,,,3.0,4,1961
61IN00152,1958809155,58,2,J9155,,61,,80,,,,,,,,2,214,,08,,,111,,,,,,,,,,,,,,3.0,4,1961
61IN00153,1958809156,58,2,J9156,,61,,80,,,,,,,,1,144,,11,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00154,1958809157,58,2,J9157,,61,,80,,,,,,,,1,145,,11,,,115,,,,,,,,,,,,,,3.0,4,1961
61IN00155,1958809158,58,2,J9158,,61,,80,,,,,,,,1,215,,09,,,101,,,,,,,,,,,,,,3.0,4,1961
61IN00156,1958809159,58,2,J9159,,61,,80,,,,,,,,1,154,,12,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00157,1958809160,58,2,J9160,,61,,80,,,,,,,,1,155,,11,,,112,,,,,,,,,,,,,,3.0,4,1961
61IN00158,1958809161,58,2,J9161,,61,,80,,,,,,,,1,274,,14,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00159,1958809162,58,2,J9162,,61,,80,,,,,,,,1,164,,12,,,110,,,,,,,,,,,,,,3.0,4,1961
61IN00160,1958809163,58,2,J9163,,61,,80,,,,,,,,1,165,,13,,,125,,,,,,,,,,,,,,3.0,4,1961
61IN00161,1958809164,58,2,J9164,,61,,80,,,,,,,,1,284,,15,,,103,,,,,,,,,,,,,,3.0,4,1961
61IN00162,1958809165,58,2,J9165,,61,,80,,,,,,,,1,224,,09,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00163,1958809166,58,2,J9166,,61,,80,,,,,,,,5,294,,15,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00164,1958809167,58,2,J9167,,61,,80,,,,,,,,1,174,,11,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00165,1958809168,58,2,J9168,,61,,80,,,,,,,,1,234,,09,,,101,,,,,,,,,,,,,,3.0,4,1961
61IN00166,1958809169,58,2,J9169,,61,,80,,,,,,,,1,175,,11,,,135,,,,,,,,,,,,,,3.0,4,1961
61IN00167,1958809170,58,2,J9170,,61,,80,,,,,,,,1,244,,09,,,121,,,,,,,,,,,,,,3.0,4,1961
61IN00168,1958809171,58,2,J9171,,61,,80,,,,,,,,1,118,,07,,,115,,,,,,,,,,,,,,3.0,4,1961
61IN00169,1958809172,58,2,J9172,,61,,80,,,,,,,,1,184,,13,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00170,1958809173,58,2,J9173,,61,,80,,,,,,,,1,304,,15,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00171,1958809174,58,2,J9174,,61,,80,,,,,,,,1,254,,09,,,110,,,,,,,,,,,,,,3.0,4,1961
61IN00172,1958809175,58,2,J9175,,61,,80,,,,,,,,1,314,,14,,,140,,,,,,,,,,,,,,3.0,4,1961
61IN00173,1958809176,58,2,J9176,,61,,80,,,,,,,,5,185,,13,,,112,,,,,,,,,,,,,,3.0,4,1961
61IN00174,1958809177,58,2,J9177,,61,,80,,,,,,,,1,264,,09,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00175,1958809178,58,2,J9178,,61,,80,,,,,,,,1,274,,10,,,110,,,,,,,,,,,,,,3.0,4,1961
61IN00176,1958809179,58,2,J9179,,61,,80,,,,,,,,3,324,,14,,,95,,,,,,,,,,,,,,3.0,4,1961
61IN00177,1958809180,58,2,J9180,,61,,80,,,,,,,,1,204,,13,,,99,,,,,,,,,,,,,,3.0,4,1961
61IN00178,1958809181,58,2,J9181,,61,,80,,,,,,,,4,205,,13,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00179,1958809182,58,2,J9182,,61,,80,,,,,,,,3,214,,12,,,127,,,,,,,,,,,,,,3.0,4,1961
61IN00180,1958809183,58,2,J9183,,61,,80,,,,,,,,1,334,,15,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00181,1958809184,58,2,J9184,,61,,80,,,,,,,,4,215,,11,,,117,,,,,,,,,,,,,,3.0,4,1961
61IN00182,1958809185,58,2,J9185,,61,,80,,,,,,,,1,404,,13,,,120,,,,,,,,,,,,,,3.0,4,1961
61IN00183,1958809187,58,2,J9187,,61,,80,,,,,,,,4,284,,07,,,116,,,,,,,,,,,,,,3.0,4,1961
61IN00184,1958809188,58,2,J9188,,61,,80,,,,,,,,5,404,,15,,,112,,,,,,,,,,,,,,3.0,4,1961
61IN00185,1958809189,58,2,J9189,,61,,80,,,,,,,,3,414,,14,,,103,,,,,,,,,,,,,,3.0,4,1961
61IN00186,1958809190,58,2,J9190,,61,,80,,,,,,,,3,284,,10,,,120,,,,,,,,,,,,,,3.0,4,1961
61IN00187,1958809191,58,2,J9191,,61,,80,,,,,,,,1,744,,14,,,128,,,,,,,,,,,,,,3.0,4,1961
61IN00188,1958809192,58,2,J9192,,61,,80,,,,,,,,1,294,,07,,,112,,,,,,,,,,,,,,3.0,4,1961
61IN00189,1958809193,58,2,J9193,,61,,80,,,,,,,,1,274,,06,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00190,1958809194,58,2,J9194,,61,,80,,,,,,,,5,754,,14,,,128,,,,,,,,,,,,,,3.0,4,1961
61IN00191,1958809195,58,2,J9195,,61,,80,,,,,,,,1,294,,10,,,100,,,,,,,,,,,,,,3.0,4,1961
61IN00192,1958809196,58,2,J9196,,61,,80,,,,,,,,1,814,,14,,,108,,,,,,,,,,,,,,3.0,4,1961
61IN00193,1958809197,58,2,J9197,,61,,80,,,,,,,,1,904,,15,,,128,,,,,,,,,,,,,,3.0,4,1961
61IN00194,1958809198,58,2,J9198,,61,,80,,,,,,,,1,018,,15,,,114,,,,,,,,,,,,,,3.0,4,1961
61IN00195,1958809199,58,2,J9199,,61,,80,,,,,,,,1,128,,13,,,115,,,,,,,,,,,,,,3.0,4,1961
61IN00196,1958809200,58,2,J9200,,61,,80,,,,,,,,1,304,,08,,,111,,,,,,,,,,,,,,3.0,4,1961
61IN00197,1958809201,58,2,J9201,,61,,80,,,,,,,,1,019,,14,,,108,,,,,,,,,,,,,,3.0,4,1961
61IN00198,1958809202,58,2,J9202,,61,,80,,,,,,,,1,314,,10,,,112,,,,,,,,,,,,,,3.0,4,1961
61IN00199,1958809203,58,2,J9203,,61,,80,,,,,,,,1,818,,06,,,127,,,,,,,,,,,,,,3.0,4,1961
61IN00200,1958809204,58,2,J9204,,61,,80,,,,,,,,1,744,,11,,,104,,,,,,,,,,,,,,3.0,4,1961
61IN00201,1958809205,58,2,J9205,,61,,80,,,,,,,,3,028,,14,,,128,,,,,,,,,,,,,,3.0,4,1961
61IN00202,1958809206,58,2,J9206,,61,,80,,,,,,,,1,324,,08,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00203,1958809207,58,2,J9207,,61,,80,,,,,,,,5,754,,11,,,117,,,,,,,,,,,,,,3.0,4,1961
61IN00204,1958809208,58,2,J9208,,61,,80,,,,,,,,1,029,,15,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00205,1958809209,58,2,J9209,,61,,80,,,,,,,,3,038,,15,,,106,,,,,,,,,,,,,,3.0,4,1961
61IN00206,1958809211,58,2,J9211,,61,,80,,,,,,,,1,039,,14,,,120,,,,,,,,,,,,,,3.0,4,1961
61IN00207,1958809212,58,2,J9212,,61,,80,,,,,,,,1,048,,14,,,96,,,,,,,,,,,,,,3.0,4,1961
61IN00208,1958809213,58,2,J9213,,61,,80,,,,,,,,1,908,,08,,,124,,,,,,,,,,,,,,3.0,4,1961
61IN00209,1958809214,58,2,J9214,,61,,80,,,,,,,,1,814,,13,,,114,,,,,,,,,,,,,,3.0,4,1961
