UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,UREA,AGE,RMK,YRREC
95IN00035,1993003160, 3160,00, 2077,93,2,00,1,00,-Z-,000010,000000,7,,,2,32A,3,114,142,0,,92,1010,,LIS,L,,2.0,,1995
95IN00036,1993003170, 3170,00, 4606,93,2,00,1,00,-Z-,000010,000000,7,,,3,OVX,3,97,158,0,X,,,,LIS,L,,2.0,X,1995
95IN00037,1993003179, 3179,00, 2048,93,2,00,1,00,-Z-,000010,000000,7,,,2,32A,3,123,141,0,,92,1010,,LIS,L,,2.0,,1995
95IN00038,1993003183, 3183,00, 5111,93,2,00,1,00,-Z-,000010,000000,7,,,2,35A,3,124,162,0,,92,1010,,LIS,L,,2.0,,1995
95IN00039,1993003185, 3185,00, 2534,93,2,00,1,07,-Z-,000010,000000,7,,,1,32C,3,116,126,0,,,,,LIS,L,,2.0,,1995
95IN00040,1993003186, 3186,00, 5555,93,2,00,1,00,-Z-,000010,000000,7,,,1,35C,3,147,183,0,,,,,LIS,L,,2.0,,1995
95IN00041,1993003191, 3191,00, 1559,93,2,00,1,00,-Z-,000010,000000,7,,,2,31D,3,124,156,0,,92,1010,,LIS,L,,2.0,,1995
95IN00042,1993003193, 3193,00, 1011,93,2,00,1,00,-Z-,000010,000000,7,,,2,31B,3,139,197,0,,92,1010,,LIS,L,,2.0,,1995
95IN00043,1993003198, 3198,00, 4010,93,2,00,1,00,-Z-,000010,000000,7,,,2,34A,3,99,158,0,,92,1010,,LIS,L,,2.0,,1995
95IN00044,1993003199, 3199,00,  544,93,2,00,1,00,-Z-,000010,000000,7,,,2,31A,3,141,161,0,,92,1010,,LIS,L,,2.0,SHED LAMBED95,1995
95IN00045,1993003201, 3201,00, 4558,93,2,00,1,00,-Z-,000010,000000,7,,,3,34D,3,117,178,0,,93,1023,,LIS,L,,2.0,X,1995
95IN00046,1993003205, 3205,00, 1003,93,2,00,1,00,-Z-,000010,000000,7,,,2,31B,3,107,142,0,,92,1010,,LIS,L,,2.0,,1995
95IN00047,1993003211, 3211,00, 5032,93,2,00,1,00,-Z-,000010,000000,7,,,1,35A,3,120,160,0,,,,,LIS,L,,2.0,,1995
95IN00048,1993003213, 3213,00,  536,93,2,00,1,00,-Z-,000010,000000,7,,,2,31A,3,134,156,0,,92,1010,,LIS,L,,2.0,,1995
95IN00049,1993003216, 3216,00, 1522,93,2,00,1,00,-Z-,000010,000000,7,,,7,31D,3,126,0,0,,97,0622,,LIS,L,,2.0,,1995
95IN00050,1993003225, 3225,00, 2043,93,2,00,1,00,-Z-,000010,000000,7,,,2,32A,3,142,168,0,,92,1010,,LIS,L,,2.0,,1995
95IN00051,1993003231, 3231,00, 2528,93,2,00,1,00,-Z-,000010,000000,7,,,1,32C,3,135,154,0,,,,,LIS,L,,2.0,,1995
95IN00052,1993003232, 3232,00, 4504,93,2,00,1,00,-Z-,000010,000000,7,,,3,OVX,3,119,175,0,X,,,,LIS,L,,2.0,X,1995
95IN00053,1993003237, 3237,00, 5053,93,2,00,1,00,-Z-,000010,000000,7,,,1,35A,3,127,149,0,,,,,LIS,L,,2.0,RF HOOF ILL,1995
95IN00054,1993003244, 3244,00, 5504,93,2,00,1,00,-Z-,000010,000000,7,,,1,35C,3,132,139,0,,,,,LIS,L,,2.0,,1995
95IN00055,1993003249, 3249,00,   34,93,2,00,1,00,-Z-,000010,000000,7,,,2,30A,3,123,146,0,,92,1010,,LIS,L,,2.0,,1995
95IN00056,1993003252, 3252,00, 9506,93,2,00,1,00,-Z-,000010,000000,7,,,2,29C,3,120,169,0,,92,1010,,LIS,L,,2.0,,1995
95IN00057,1993003255, 3255,00, 9023,93,2,00,1,00,-Z-,000010,000000,7,,,1,29A,3,149,164,0,,,,,LIS,L,,2.0,,1995
95IN00058,1993003257, 3257,00, 9047,93,2,00,1,00,-Z-,000010,000000,7,,,2,29A,3,114,147,0,,92,1010,,LIS,L,,2.0,,1995
95IN00059,1993003260, 3260,00, 9010,93,2,00,1,00,-Z-,000010,000000,7,,,2,29A,3,129,153,0,,92,1010,,LIS,L,,2.0,AT HQ OCT.5,1995
95IN00060,1993003261, 3261,00, 5526,93,2,00,1,00,-Z-,000010,000000,7,,,1,35C,3,127,163,0,,,,,LIS,L,,2.0,GOOD EWE,1995
95IN00061,1993003262, 3262,00, 5049,93,2,00,1,00,-Z-,000010,000000,7,,,3,OVX,3,94,170,0,X,18,1121,,LIS,L,,2.0,X OVX COMP.,1995
95IN00062,1993003269, 3269,00, 4597,93,2,00,1,00,-Z-,000010,000000,7,,,2,34D,3,148,151,0,,92,1010,,LIS,L,,2.0,,1995
95IN00063,1993003270, 3270,00,   15,93,2,00,1,00,-Z-,000010,000000,7,,,2,30A,3,113,152,0,,92,1010,,LIS,L,,2.0,LEG IN PRATT.,1995
95IN00064,1993003274, 3274,00, 4016,93,2,00,1,00,-Z-,000010,000000,7,,,1,34A,3,114,146,0,,,,,LIS,L,,2.0,,1995
95IN00065,1993003281, 3281,00,  504,93,2,00,1,00,-Z-,000010,000000,7,,,2,31A,3,115,130,0,,92,1010,,LIS,L,,2.0,,1995
95IN00066,1993003282, 3282,00, 1066,93,2,00,1,00,-Z-,000010,000000,7,,,3,OVX,3,93,148,0,X,,,,LIS,L,,2.0,X,1995
95IN00067,1993003283, 3283,00,    5,93,2,00,1,07,-Z-,000010,000000,7,,,1,30A,3,148,147,0,,,,,LIS,L,,2.0,,1995
95IN00068,1993003288, 3288,00,  532,93,2,00,1,07,-Z-,000010,000000,7,,,1,31A,3,115,125,0,,,,,LIS,L,,2.0,,1995
95IN00069,1993003291, 3291,00, 2002,93,2,00,1,00,-Z-,000010,000000,7,,,1,32A,3,146,158,0,,,,,LIS,L,,2.0,,1995
95IN00070,1993003295, 3295,00, 4577,93,2,00,1,00,-Z-,000010,000000,7,,,2,34D,3,143,153,0,,92,1010,,LIS,L,,2.0,,1995
95IN00071,1993003298, 3298,00, 5110,93,2,00,1,00,-Z-,000010,000000,7,,,1,35A,3,128,154,0,,,,,LIS,L,,2.0,,1995
95IN00072,1993003310, 3310,00, 9075,93,2,00,1,00,-Z-,000010,000000,7,,,2,29A,3,126,149,0,,92,1010,,LIS,L,,2.0,,1995
95IN00073,1993003319, 3319,00, 1501,93,2,00,1,00,-Z-,000010,000000,7,,,3,31D,3,157,0,0,,93,0508,,LIS,L,,2.0,LISA WETHER!!,1995
95IN00074,1993003330, 3330,00, 5022,93,2,00,1,00,-Z-,000010,000000,7,,,1,35A,3,138,164,0,,,,,LIS,L,,2.0,,1995
95IN00075,1993003340, 3340,00, 5521,93,2,00,1,00,-Z-,000010,000000,7,,,2,35C,3,121,134,0,,92,1010,,LIS,L,,2.0,,1995
95IN00076,1993003344, 3344,00, 9087,93,2,00,1,00,-Z-,000010,000000,7,,,2,29A,3,123,132,0,,92,1010,,LIS,L,,2.0,NEW ID= 9087,1995
95IN00077,1993003347, 3347,00, 2009,93,2,00,1,00,-Z-,000010,000000,7,,,3,32A,3,107,172,0,,93,1023,,LIS,L,,2.0,X,1995
95IN00078,1993003352, 3352,00, 1535,93,2,00,1,00,-Z-,000010,000000,7,,,2,31D,3,143,175,0,,92,1010,,LIS,L,,2.0,,1995
95IN00079,1993003360, 3360,00, 2051,93,2,00,1,00,-Z-,000010,000000,7,,,3,32A,3,122,182,0,,93,1023,,LIS,L,,2.0,X,1995
95IN00080,1993003367, 3367,00, 4562,93,2,00,1,00,-Z-,000010,000000,7,,,3,34D,*,0,0,0,,93,0320,,LIS,L,,2.0,X MKT,1995
95IN00081,1993003379, 3379,00, 2075,93,2,00,1,00,-Z-,000010,000000,7,,,2,32A,3,146,179,0,,92,1010,,LIS,L,,2.0,,1995
95IN00082,1993003386, 3386,00, 2513,93,2,00,1,00,-Z-,000010,000000,7,,,2,32C,3,114,148,0,,92,1010,,LIS,L,,2.0,,1995
95IN00083,1993003389, 3389,00,   66,93,2,00,1,00,-Z-,000010,000000,7,,,2,30A,3,118,159,0,,92,1010,,LIS,L,,2.0,,1995
95IN00084,1993003405, 3405,00, 4574,93,2,00,1,00,-Z-,000010,000000,7,,,1,34D,3,125,142,0,,,,,LIS,L,,2.0,,1995
95IN00085,1993003413, 3413,00, 5100,93,2,00,1,00,-Z-,000010,000000,7,,,2,35A,3,120,153,0,,92,1010,,LIS,L,,2.0,,1995
95IN00086,1993003415, 3415,00, 5532,93,2,00,1,00,-Z-,000010,000000,7,,,6,35C,3,126,0,0,,20,0511,,LIS,L,,2.0,PREG TOX,1995
95IN00087,1993003416, 3416,00, 5036,93,2,00,1,00,-Z-,000010,000000,7,,,3,35A,3,111,126,0,,93,1023,,LIS,L,,2.0,X THIN,1995
95IN00088,1993003418, 3418,00, 4553,93,2,00,1,00,-Z-,000010,000000,7,,,3,34D,3,124,144,0,,93,1023,,LIS,L,,2.0,X DYSTOCIA 95,1995
95IN00089,1993003423, 3423,00, 5048,93,2,00,1,00,-Z-,000010,000000,7,,,2,35A,3,148,183,0,,92,1010,,LIS,L,,2.0,,1995
95IN00090,1993003426, 3426,00, 1044,93,2,00,1,00,-Z-,000010,000000,7,,,2,31B,3,116,136,0,,92,1010,,LIS,L,,2.0,,1995
95IN00091,1993003434, 3434,00, 5107,93,2,00,1,00,-Z-,000010,000000,7,,,2,35A,3,114,161,0,,92,1010,,LIS,L,,2.0,,1995
95IN00092,1993003437, 3437,00, 5004,93,2,00,1,00,-Z-,000010,000000,7,,,2,35A,3,118,164,0,,92,1010,,LIS,L,,2.0,,1995
95IN00093,1994000002,40002,00, 9530,94,2,00,1,00,,000010,952700,7,,,1,29C,3,85,144,0,,,,,LIS,L,,1.0,,1995
95IN00094,1994000003,40003,00, 9532,94,2,00,1,00,,000010,952800,7,,,1,29C,3,96,136,0,,,,,LIS,L,,1.0,,1995
95IN00095,1994000010,40010,00, 9102,94,2,00,1,00,,000010,907700,7,,,1,29A,3,73,116,0,,,,,LIS,L,,1.0,,1995
95IN00096,1994000011,40011,00,40011,94,3,00,1,00,,000010,154700,7,,,3,31D,3,75,0,0,,93,0710,,LIS,,,1.0,,1995
95IN00097,1994000012,40012,00, 1574,94,2,00,1,00,,000010,154700,7,,,3,31D,3,64,0,0,,93,0710,,LIS,,,1.0,X RF FUSED,1995
95IN00098,1994000014,40014,00,40014,94,2,00,1,00,,000010,511300,7,,,6,35A,*,0,0,0,,23,0314,,LIS,,,1.0,,1995
95IN00099,1994000015,40015,00, 4626,94,2,00,1,00,,000010,460800,7,,,1,34D,3,72,116,0,,,,,LIS,L,,1.0,,1995
95IN00100,1994000016,40016,00,40016,94,3,00,1,00,,000010,460800,7,,,3,34D,*,0,0,0,,93,0313,,LIS,,,1.0,,1995
95IN00101,1994000022,40022,00,40022,94,3,00,1,00,,000010,455100,7,,,3,34D,*,0,0,0,,93,0313,,LIS,,,1.0,ENTR R EYE,1995
95IN00102,1994000024,40024,00,40024,94,2,00,1,00,,000010,904300,7,,,3,29A,*,0,0,0,,93,0123,,LIS,,,1.0,,1995
95IN00103,1994000028,40028,00,40028,94,3,00,1,00,,000010,250300,7,,,3,32C,3,77,0,0,,93,0711,,LIS,,,1.0,,1995
95IN00104,1994000029,40029,00, 9113,94,2,00,1,00,,000010,904200,7,,,1,29A,3,77,122,0,,,,,LIS,L,,1.0,,1995
95IN00105,1994000030,40030,00, 9109,94,2,00,1,00,,000010,904200,7,,,7,29A,3,56,0,0,,97,0622,,HQC,,,1.0,,1995
95IN00106,1994000031,40031,00,40031,94,3,00,1,00,,000010,203100,7,,,3,32A,3,72,0,0,,93,0711,,LIS,,,1.0,,1995
95IN00107,1994000032,40032,00, 2106,94,2,00,1,00,,000010,203100,7,,,1,32A,3,65,109,0,,,,,LIS,L,,1.0,,1995
95IN00108,1994000033,40033,00,40033,94,3,00,1,00,,000010,201000,7,,,3,32A,*,0,0,0,,93,0313,,LIS,,,1.0,,1995
95IN00109,1994000034,40034,00,40034,94,3,00,1,00,,000010,201000,7,,,3,32A,*,0,0,0,,93,0313,,LIS,,,1.0,,1995
95IN00110,1994000036,40036,00, 2112,94,2,00,1,00,,000010,201900,7,,,7,32A,3,65,0,0,,97,0622,,LIS,,,1.0,,1995
95IN00111,1994000037,40037,00, 2108,94,2,00,1,00,,000010,201900,7,,,1,32A,3,68,109,0,,,,,LIS,L,,1.0,,1995
95IN00112,1994000039,40039,00, 1094,94,2,00,1,00,,000010,105600,7,,,1,31B,3,75,113,0,,,,,LIS,L,,1.0,WEAK,1995
95IN00113,1994000040,40040,00,40040,94,3,00,1,00,,000010,105900,7,,,3,31B,*,0,0,0,,93,0320,,LIS,,,1.0,,1995
95IN00114,1994000041,40041,00,40041,94,3,00,1,00,,000010,105900,7,,,3,31B,*,0,0,0,,93,0320,,LIS,,,1.0,,1995
95IN00115,1994000043,40043,00,40043,94,2,00,1,00,,000010,103000,7,,,6,31B,*,0,0,0,,23,0401,,HQC,,,1.0,,1995
95IN00116,1994000044,40044,00,40044,94,2,00,1,00,,000010,103000,7,,,6,31B,*,0,0,0,,66,0210,,HQC,,,1.0,X MOUTH @0209,1995
95IN00117,1994000048,40048,00, 1093,94,2,00,1,00,,000010,100800,7,,,1,31B,3,55,120,0,,,,,LIS,L,,1.0,,1995
95IN00118,1994000050,40050,00,40050,94,3,00,1,00,,000010,100900,7,,,3,31B,*,0,0,0,,93,0320,,LIS,,,1.0,GAUNT LAMB,1995
95IN00119,1994000051,40051,00,40051,94,3,00,1,00,,000010,100900,7,,,3,31B,*,0,0,0,,93,0320,,LIS,,,1.0,GAUNT LAMB,1995
95IN00120,1994000053,40053,00,40053,94,3,00,1,00,,000010,904600,7,,,3,29A,3,67,0,0,,93,0712,,LIS,,,1.0,,1995
95IN00121,1994000054,40054,00,40054,94,3,00,1,00,,000010,904600,7,,,6,29A,*,0,0,0,,66,0315,,LIS,,,1.0,"WEAK,SCOURS",1995
95IN00122,1994000056,40056,00,40056,94,3,00,1,00,,000010,903600,7,,,3,29A,3,66,0,0,,93,0712,,LIS,,,1.0,TAG RIPPED,1995
95IN00123,1994000057,40057,00, 9095,94,2,00,1,00,,000010,903700,7,,,1,29A,3,72,117,0,,,,,LIS,L,,1.0,,1995
95IN00124,1994000058,40058,00, 9107,94,2,00,1,00,,000010,903700,7,,,2,29A,3,66,94,0,,92,1010,,LIS,,,1.0,,1995
95IN00125,1994000059,40059,00, 9089,94,2,00,1,00,,000010,905800,7,,,1,29A,3,74,127,0,,,,,LIS,L,,1.0,,1995
95IN00126,1994000060,40060,00, 9093,94,2,00,1,00,,000010,905800,7,,,7,29A,3,75,0,0,,97,0622,,LIS,,,1.0,,1995
95IN00127,1994000061,40061,00, 9091,94,2,00,1,00,,000010,905600,7,,,Z,29A,3,68,113,0,,92,1003,,LIS,,,1.0,,1995
95IN00128,1994000062,40062,00, 9099,94,2,00,1,00,,000010,907900,7,,,6,29A,3,73,0,0,,01,0531,,HQC,,,1.0,,1995
95IN00129,1994000064,40064,00, 9108,94,2,00,1,00,,000010,902600,7,,,Z,29A,3,70,120,0,,92,1003,,HQC,,,1.0,,1995
95IN00130,1994000066,40066,00,40066,94,3,00,1,00,,000010,908600,7,,,3,29A,3,81,0,0,,93,0710,,LIS,,,1.0,,1995
95IN00131,1994000072,40072,00,40072,94,3,00,1,00,,000010,205900,7,,,3,32A,*,0,0,0,,93,0320,,LIS,,,1.0,,1995
95IN00132,1994000073,40073,00, 2101,94,2,00,1,00,,000010,204700,7,,,Z,32A,3,81,127,0,,92,1003,,HQC,,,1.0,,1995
95IN00133,1994000078,40078,00,40078,94,3,00,1,00,,000010,200500,7,,,3,32A,3,72,0,0,,93,0508,,LIS,,,1.0,,1995
95IN00134,1994000079,40079,00,40079,94,2,00,1,00,,000010,200500,7,,,6,32A,*,0,0,0,,14,0321,,HQC,,,1.0,,1995
95IN00135,1994000080,40080,00,40080,94,2,00,1,00,,000010, 51400,7,,,7,31A,*,0,0,0,,97,0418,,LIS,,,1.0,,1995
95IN00136,1994000081,40081,00,40081,94,2,00,1,00,,000010, 52000,7,,,6,31A,*,0,0,0,,23,0328,,HQC,,,1.0,,1995
95IN00137,1994000082,40082,00,40082,94,3,00,1,00,,000010, 52000,7,,,3,31A,*,0,0,0,,93,0320,,LIS,,,1.0,,1995
95IN00138,1994000087,40087,00,  556,94,2,00,1,00,,000010, 50600,7,,,1,31A,3,82,133,0,,,,,LIS,L,,1.0,,1995
95IN00139,1994000089,40089,00,  566,94,2,00,1,00,,000010, 54100,7,,,1,31A,3,78,129,0,,,,,LIS,L,,1.0,,1995
95IN00140,1994000093,40093,00,40093,94,2,00,1,00,,000010, 55100,7,,,6,31A,*,0,0,0,,23,0105,,LIS,,,1.0,LAME LF LEG,1995
95IN00141,1994000098,40098,00,40098,94,3,00,1,00,,000010, 54600,7,,,3,31A,3,63,0,0,,93,0508,,LIS,,,1.0,,1995
95IN00142,1994000099,40099,00,40099,94,3,00,1,00,,000010, 51500,7,,,3,31A,*,0,0,0,,93,0313,,LIS,,,1.0,,1995
95IN00143,1994000101,40101,00, 5561,94,2,00,1,00,,000010,552000,7,,,Z,35C,3,85,126,0,,92,1003,,LIS,,,1.0,,1995
95IN00144,1994000102,40102,00,40102,94,2,00,1,00,,000010,550700,7,,,6,35C,*,0,0,0,,23,0120,,LIS,,,1.0,msg 020995,1995
95IN00145,1994000104,40104,00,40104,94,3,00,1,00,,000010,553600,7,,,3,35C,3,78,0,0,,93,0712,,LIS,,,1.0,,1995
95IN00146,1994000105,40105,00,40105,94,3,00,1,00,,000010,553600,7,,,3,35C,*,0,0,0,,93,0320,,LIS,,,1.0,,1995
95IN00147,1994000106,40106,00, 5566,94,2,00,1,00,,000010,552800,7,,,1,35C,3,77,118,0,,,,,LIS,L,,1.0,,1995
95IN00148,1994000108,40108,00, 5571,94,2,00,1,00,,000010,553000,7,,,1,35C,3,87,146,0,,,,,LIS,L,,1.0,,1995
95IN00149,1994000110,40110,00,40110,94,3,00,1,00,,000010,551400,7,,,3,35C,*,0,0,0,,93,0320,,LIS,,,1.0,,1995
95IN00150,1994000111,40111,00,40111,94,3,00,1,00,,000010,553100,7,,,3,35C,*,0,0,0,,93,0313,,LIS,,,1.0,,1995
95IN00151,1994000112,40112,00,40112,94,3,00,1,00,,000010,551400,7,,,7,35C,*,0,0,0,,97,0418,,LIS,,,1.0,,1995
95IN00152,1994000113,40113,00, 5558,94,2,00,1,00,,000010,554600,7,,,2,35C,3,56,98,0,,92,1010,,LIS,,,1.0,,1995
95IN00153,1994000114,40114,00, 5565,94,2,00,1,00,,000010,554600,7,,,1,35C,3,72,108,0,,,,,LIS,L,,1.0,,1995
95IN00154,1994000116,40116,00,40116,94,3,00,1,00,,000010,552500,7,,,3,35C,3,79,0,0,,93,0710,,LIS,,,1.0,,1995
95IN00155,1994000118,40118,00, 5564,94,2,00,1,00,,000010,555300,7,,,1,35C,3,81,132,0,,,,,LIS,L,,1.0,,1995
95IN00156,1994000119,40119,00, 5559,94,2,00,1,00,,000010,551200,7,,,1,35C,3,76,136,0,,,,,LIS,L,,1.0,,1995
95IN00157,1994000120,40120,00,40120,94,3,00,1,00,,000010,552700,7,,,3,35C,*,0,0,0,,93,0313,,LIS,,,1.0,,1995
95IN00158,1994000121,40121,00,40121,94,3,00,1,00,,000010,555000,7,,,3,35C,*,0,0,0,,93,0320,,LIS,,,1.0,,1995
95IN00159,1994000123,40123,00,40123,94,3,00,1,00,,000010,900800,7,,,3,29A,*,0,0,0,,93,0313,,LIS,,,1.0,,1995
95IN00160,1994000128,40128,00,40128,94,3,00,1,00,,000010,450400,7,,,3,34D,*,0,0,0,,93,0320,,LIS,,,1.0,NOT TO 28C?,1995
95IN00161,1994000129,40129,00,40129,94,3,00,1,00,,000010,456100,7,,,3,34D,*,0,0,0,,93,0313,,LIS,,,1.0,,1995
95IN00162,1994000130,40130,00, 4629,94,2,00,1,00,,000010,456100,7,,,1,34D,3,62,111,0,,,,,LIS,L,,1.0,,1995
95IN00163,1994000134,40134,00,40134,94,2,00,1,00,,000010,452600,7,,,6,34D,*,0,0,0,,14,0321,,LIS,,,1.0,,1995
95IN00164,1994000137,40137,00,40137,94,3,00,1,00,,000010,452500,7,,,3,34D,3,69,0,0,,93,0712,,LIS,,,1.0,,1995
95IN00165,1994000139,40139,00,40139,94,2,00,1,00,,000010,457100,7,,,3,34D,*,0,0,0,,93,0320,,HQC,,,1.0,X MKT,1995
95IN00166,1994000140,40140,00,40140,94,3,00,1,00,,000010,456500,7,,,3,34D,*,0,0,0,,93,0320,,LIS,,,1.0,,1995
95IN00167,1994000141,40141,00,40141,94,3,00,1,00,,000010,456500,7,,,3,34D,*,0,0,0,,93,0320,,LIS,,,1.0,,1995
95IN00168,1994000142,40142,00,40142,94,3,00,1,00,,000010,456700,7,,,3,34D,*,0,0,0,,93,0320,,LIS,,,1.0,CHK LR FOOT,1995
95IN00169,1994000146,40146,00, 1090,94,2,00,1,00,,000010,103500,7,,,1,31B,3,68,133,0,,,,,LIS,L,,1.0,,1995
95IN00170,1994000147,40147,00, 1087,94,2,00,1,00,,000010,103500,7,,,1,31B,3,62,123,0,,,,,LIS,L,,1.0,,1995
95IN00171,1994000149,40149,00, 1103,94,2,00,1,00,,000010,102300,7,,,7,31B,3,71,0,0,,97,0622,,LIS,,,1.0,,1995
95IN00172,1994000152,40152,00,40152,94,3,00,1,00,,000010,100600,7,,,3,31B,*,0,0,0,,93,0320,,LIS,,,1.0,,1995
95IN00173,1994000153,40153,00,40153,94,3,00,1,00,,000010,100600,7,,,3,31B,*,0,0,0,,93,0320,,LIS,,,1.0,,1995
95IN00174,1994000156,40156,00, 4030,94,2,00,1,00,,000010,402300,7,,,1,34A,3,64,101,0,,,,,LIS,L,,1.0,,1995
95IN00175,1994000159,40159,00, 4034,94,2,00,1,00,,000010,400600,7,,,1,34A,3,54,0,0,,97,0928,,LIS,,,1.0,,1995
