UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,C4445,STAPL,CLFL,BRDNEW,DAYDIS,GRFL,FLGR,C6263,SIRE,SB1,C6973,DAM,DB1,AGE_BRDG,C80,YRREC,AGE
60IN02906,1959413852,59,1,G3852,4,70,732,41,2,,,5,2,,2,,,,,,110,147,2,,,,41,0927,,,,1162,4,,9023,4,1,,1960,1.0
60IN02907,1959413853,59,1,G3853,4,18,182,41,1,,16,3,2,,1,,,,,,112,140,,,,,41,,,,,1179,4,,9387,4,1,,1960,1.0
60IN02908,1959413857,59,1,G3857,4,01,012,41,1,,35,3,2,,1,,,,,,93,122,3,,,,41,0801,,,,1492,4,,9814,4,1,,1960,1.0
60IN02909,1959413860,59,2,G3860,4,70,732,41,2,08,,,2,,2,1,,096,,,96,123,,,086,,41,,088,2,,1162,4,   72,21,,1,,1960,1.0
60IN02910,1959413861,59,1,G3861,4,73,027,41,3,,,1,2,,9,,,,,,122,153,2,,,,41,0927,,,,9974,4,,2062,5,1,,1960,1.0
60IN02911,1959413862,59,2,G3862,4,82,089,41,1,08,,,2,,7,1,,092,,,92,119,2,,105,,41,0927,121,3,,2193,4,   07, 291,2,1,,1960,1.0
60IN02912,1959413864,59,1,G3864,4,71,712,41,1,,,1,2,,2,,,,,,120,148,,,,,41,,,,,1743,4,,1989,4,1,,1960,1.0
60IN02913,1959413866,59,2,G3866,4,15,152,41,1,09,13,,2,,1,1,,088,,,88,109,,,092,,41,,113,4,,1456,4,   15,11,,1,,1960,1.0
60IN02914,1959413868,59,2,G3868,4,70,712,41,1,09,,,2,,2,1,,094,,,94,113,,,092,,41,,108,4,,1743,4,   71,2,,1,,1960,1.0
60IN02915,1959413871,59,2,G3871,4,17,172,41,1,08,12,,2,,1,1,,102,,,102,138,,,087,,41,,105,2,,0556,4,   17,21,,1,,1960,1.0
60IN02916,1959413872,59,1,G3872,4,06,062,41,,,23,3,2,,1,,,,,,100,,6,,,,41,0520,,,,0039,4,,9107,4,1,,1960,1.0
60IN02917,1959413873,59,2,G3873,4,06,062,41,1,09,23,,2,,1,1,,096,,,96,122,,,100,,41,,092,2,,0039,4,   06,2,,1,,1960,1.0
60IN02918,1959413874,59,2,G3874,4,65,302,41,1,07,,,2,,5,1,,104,,,104,128,,,097,,41,,110,4,,1789,4,   34,21,,1,,1960,1.0
60IN02919,1959413876,59,1,G3876,4,06,062,41,1,,22,3,2,,1,,,,,,109,136,,,,,41,,,,,0039,4,,8832,4,1,,1960,1.0
60IN02920,1959413879,59,1,G3879,4,17,172,41,1,,25,5,2,,1,,,,,,98,130,3,,,,41,0801,,,,0556,4,,0408,4,1,,1960,1.0
60IN02921,1959413881,59,1,G3881,4,70,712,41,2,,,5,2,,2,,,,,,118,146,,,,,41,,,,,1743,4,,0695,4,1,,1960,1.0
60IN02922,1959413882,59,1,G3882,4,10,101,41,1,,23,5,2,,1,,,,,,122,131,,,,,41,,,,,8954,4,,8976,4,1,,1960,1.0
60IN02923,1959413883,59,2,G3883,4,10,101,41,1,08,23,,2,,1,1,,083,,,83,109,,,080,,41,,080,3,,8954,4,   11,41,,1,,1960,1.0
60IN02924,1959413885,59,1,G3885,4,18,182,41,1,,09,4,2,,1,,,,,,103,135,3,,,,41,0801,,,,1179,4,,6712,4,1,,1960,1.0
60IN02925,1959413886,59,1,G3886,4,07,071,41,1,,25,3,2,,1,,,,,,126,155,,,,,41,,,,,1775,4,,0066,4,1,,1960,1.0
60IN02926,1959413889,59,2,G3889,4,11,112,41,1,09,37,,2,,1,1,,086,,,86,109,,,093,,41,,104,3,,8734,4,   11,21,,1,,1960,1.0
60IN02927,1959413890,59,2,G3890,4,71,712,41,1,08,,,2,,2,1,,085,,,85,123,,,086,,41,,104,2,,1743,4,   86,2,,1,,1960,1.0
60IN02928,1959413892,59,1,G3892,4,03,032,41,1,,21,1,2,,1,,,,,,118,135,3,,,,41,0801,,,,1806,4,,6646,4,1,,1960,1.0
60IN02929,1959413894,59,2,G3894,4,71,722,41,2,07,,,2,,2,1,,098,,,98,123,,,094,,41,,131,3,,9993,4,   84,21,,1,,1960,1.0
60IN02930,1959413895,59,2,G3895,4,12,122,41,1,09,12,,2,,1,1,,093,,,93,125,,,097,,41,,117,3,,0569,4,   01,51,,1,,1960,1.0
60IN02931,1959413896,59,1,G3896,4,70,732,41,2,,,1,2,,2,,,,,,118,148,3,,,,41,0801,,,,1162,4,,8014,4,1,,1960,1.0
60IN02932,1959413897,59,1,G3897,4,71,732,41,2,,,1,2,,2,,,,,,111,133,,,,,41,,,,,1162,4,,2071,4,1,,1960,1.0
60IN02933,1959413899,59,1,G3899,4,01,012,41,1,,30,1,2,,1,,,,,,135,174,,,,,41,,,,,1492,4,,0548,4,1,,1960,1.0
60IN02934,1959413904,59,1,G3904,4,18,182,41,1,,16,5,2,,1,,,,,,98,130,,,,,41,,,,,1179,4,,0131,4,1,,1960,1.0
60IN02935,1959413906,59,1,G3906,4,71,712,41,1,,,5,2,,2,,,,,,129,162,,,,,41,,,,,1743,4,,9493,4,1,,1960,1.0
60IN02936,1959413907,59,1,G3907,4,10,102,41,1,,04,5,2,,1,,,,,,109,125,3,,,,41,0801,,,,1744,4,,1868,5,1,,1960,1.0
60IN02937,1959413908,59,1,G3908,4,10,102,41,1,,04,5,2,,1,,,,,,115,145,3,,,,41,0801,,,,1744,4,,1868,5,1,,1960,1.0
60IN02938,1959413910,59,1,G3910,4,18,182,41,1,,22,3,2,,1,,,,,,109,138,3,,,,41,0801,,,,1179,4,,0950,4,1,,1960,1.0
60IN02939,1959413918,59,2,G3918,4,18,182,41,1,10,14,,2,,1,1,,073,,,73,102,,,101,,41,,098,4,,1179,4,   18,2,,1,,1960,1.0
60IN02940,1959413919,59,2,G3919,4,14,142,41,,,27,,2,,1,,,,,,,,7,,,,41,0520,,,,9517,4,,,,1,,1960,1.0
60IN02941,1959413921,59,1,G3921,4,70,722,41,2,,,1,2,,2,,,,,,122,175,2,,,,41,0927,,,,9993,4,,1720,4,1,,1960,1.0
60IN02942,1959413923,59,1,G3923,4,07,071,41,1,,25,1,2,,1,,,,,,100,136,2,,,,41,0927,,,,1775,4,,7332,4,1,,1960,1.0
60IN02943,1959413925,59,2,G3925,4,05,052,41,1,11,25,,2,,1,1,,080,,,80,,7,,083,,41,1201,070,2,,1117,4,,,,1,,1960,1.0
60IN02944,1959413926,59,2,G3926,4,05,052,41,1,08,25,,2,,1,1,,073,,,73,102,,,086,,41,,101,2,,1117,4,   05,21,,1,,1960,1.0
60IN02945,1959413927,59,1,G3927,4,11,112,41,1,,15,3,2,,1,,,,,,94,106,3,,,,41,0801,,,,8734,4,,9333,4,1,,1960,1.0
60IN02946,1959413930,59,2,G3930,4,70,712,41,2,07,,,2,,2,1,,095,,,95,,7,,077,,41,1201,095,2,,1743,4,,,,1,,1960,1.0
60IN02947,1959413932,59,2,G3932,4,12,122,41,1,10,13,,2,,1,3,,081,,,81,108,2,,088,,41,0927,113,2,,0569,4,   12,,,1,,1960,1.0
60IN02948,1959413934,59,2,G3934,4,07,071,41,1,09,24,,2,,1,1,,093,,,93,121,,,072,,41,,091,2,,1775,4,   07,2,,1,,1960,1.0
60IN02949,1959413935,59,1,G3935,4,16,162,41,1,,23,3,2,,1,,,,,,104,133,,,,,41,,,,,0663,4,,9076,4,1,,1960,1.0
60IN02950,1959413939,59,2,G3939,4,14,142,41,1,09,15,,2,,1,1,,076,,,76,101,,,100,,41,,090,2,,9517,4,   14,2,,1,,1960,1.0
