UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VI93,Y3,GRP,DISP,DAYDIS,TRT,BPEN,COND,BGRP,AGE,RMK,YRREC
93IN00018,1986631971,K1971,63,86,2,62,1,06,604,101563,013563,0,,,3,PIN,*,0,0,0,,0,,93,0302,,,,,7.0,OPEN EWE,1993
93IN00019,1986631997,K1997,63,86,2,68,1,06,601,090063,031263,0,,,6,,2,164,0,0,,3,3,05,0715,,,,,7.0,"X,MASTITIS",1993
93IN00020,1986632001,K2001,63,86,2,60,1,06,612,151963,054063,0,,,7,,*,0,0,0,,0,,97,0110,,,,,7.0,,1993
93IN00021,1986632005,K2005,63,86,2,62,1,06,611,151363,027263,0,,,3,,1,173,148,3,,0,,93,1108,,,,,7.0,"SW.BAG,THIN",1993
93IN00022,1986632016,K2016,63,86,2,60,1,06,601,090063,080563,0,,,2, 71,5,145,181,1,,2,,92,0923,,,,,7.0,,1993
93IN00023,1986632030,K2030,63,86,2,68,1,06,634,076763,051363,0,,,3,,5,219,231,2,,0,2,93,1108,,,,,7.0,AB.REAR,1993
93IN00024,1986632042,K2042,63,86,2,60,1,06,601,090063,101663,2,,,7,OVX,*,0,0,0,,0,X,97,1004,,,,,7.0,OVX.EWE,1993
93IN00025,1986632056,K2056,63,86,2,68,1,06,614,164863,966162,0,,,6,,*,0,0,0,,0,3,76,0111,,,,,7.0,,1993
93IN00026,1986632057,K2057,63,86,2,68,1,06,613,147563,030063,7,,,3,32A,3,0,155,2,,0,,93,1108,,,,,7.0,,1993
93IN00027,1986632067,K2067,63,86,2,68,1,06,602,118363,993962,7,,,3,31B,3,0,206,2,,0,,93,1108,,,,,7.0,SW.BAG,1993
93IN00028,1986632099,K2099,63,86,2,60,1,06,  7,000063,150763,0,,,7,,*,0,0,0,,0,,97,0110,,,,,7.0,,1993
93IN00029,1986632117,K2117,63,86,2,62,1,06,  7,000063,130463,0,,,2, 71,1,155,160,2,,2,,92,0923,,,,,7.0,,1993
93IN00030,1986632123,K2123,63,86,2,60,1,06,633,103163,941262,0,,,2,,5,164,0,0,,1,,76,0820,,,,,7.0,,1993
93IN00031,1986632145,K2145,63,86,2,60,1,06,612,151963,861562,0,,,3,,1,139,135,2,,2,,93,0913,,,,,7.0,"X LAME,AGE",1993
93IN00032,1986632161,K2161,63,86,2,62,1,06,631,087263,946062,0,,,2, 71,1,159,171,3,,2,,92,0923,,,,,7.0,CHK L61 ROUGH,1993
93IN00033,1986632166,K2166,63,86,2,68,1,06,604,101563,022163,7,,,3,31B,3,0,174,2,,0,,,,,TA,,,7.0,,1993
93IN00034,1986632196,K2196,63,86,2,62,1,06,611,151363,976262,0,,,7,,2,153,0,0,,2,,97,0915,,,,,7.0,SW.BAG,1993
93IN00035,1986632224,K2224,63,86,2,68,1,06,632,075363,020763,0,,,3,,2,220,148,12,,2,2,93,1108,,,,,7.0,HOOF TRIM,1993
93IN00036,1986632228,K2228,63,86,2,68,1,06,612,151963,992062,0,,,3,,1,144,158,2,,1,3,93,1108,,,,,7.0,,1993
93IN00037,1986632248,K2248,63,86,2,60,1,06,611,151363,005163,0,,,7,,*,0,0,0,,0,,97,0110,,,,,7.0,,1993
93IN00038,1986632265,K2265,63,86,2,60,1,06,  7,000063,143363,0,,,3,,1,147,172,3,,2,,93,1108,,,,,7.0,SW.BAG4TEATS,1993
93IN00039,1986632281,K2281,63,86,2,62,1,06,611,151363,032063,0,,,3,,1,160,176,3,,2,,93,1108,,,,,7.0,BIGBAGDYSTOCI,1993
93IN00040,1986632282,K2282,63,86,2,68,1,06,614,164863,942362,0,,,3,,X,168,0,0,,0,2,93,0524,,,,,7.0,SW.BAG.AGE.X,1993
93IN00041,1986632313,K2313,63,86,2,60,1,06,631,087263,935762,0,,,2, 71,2,202,208,3,,1,,92,0923,,,,,7.0,,1993
93IN00042,1986632340,K2340,63,86,2,62,1,06,633,103163,869362,0,,,3,PIN,*,0,0,0,,0,,93,0302,,,,,7.0,OPEN EWE,1993
93IN00043,1986632362,K2362,63,86,2,62,1,06,  7,000063,137463,0,,,6,,*,0,0,0,,0,,76,0101,,,,,7.0,,1993
93IN00044,1986632386,K2386,63,86,2,68,1,06,  7,000063,149363,2,,,3,OVX,*,0,0,0,,0,X,,,,,,,7.0,OVX.EWE,1993
93IN00045,1986632403,K2403,63,86,2,68,1,06,  6,000063,124463,7,,,3,35A,3,0,191,2,,0,,93,1108,,,,,7.0,,1993
93IN00046,1986632405,K2405,63,86,2,68,1,06,  6,000063,155263,7,,,3,35C,3,0,190,2,,0,,93,1108,,,,,7.0,,1993
93IN00047,1986632406,K2406,63,86,2,68,1,06,  7,000063,149663,7,,,3,29A,3,0,185,2,,0,,93,1108,,,,,7.0,,1993
93IN00048,1987632440,K2440,63,87,2,60,1,06,601,151363,037563,0,,,1,,1,151,177,3,,1,,,,M,01,3,1,6.0,,1993
93IN00049,1987632448,K2448,63,87,2,61,1,06,601,151363,993762,0,,,1,,2,154,170,2,,1,,,,R,11,2,1,6.0,,1993
93IN00050,1987632457,K2457,63,87,2,60,1,06,614,216063,030063,0,,,3,,2,146,151,2,,2,,93,1108,,,,,6.0,CONDITION,1993
93IN00051,1987632461,K2461,63,87,2,68,1,06,602,151963,148563,0,,,3,,2,210,180,2,,2,3,93,1108,,,,,6.0,"VLTS,X",1993
93IN00052,1987632464,K2464,63,87,2,68,1,06,633,164863,961162,0,,,3,,1,157,167,2,,2,2,93,1108,,,,,6.0,CANCER EYE 93,1993
93IN00053,1987632466,K2466,63,87,2,68,1,06,633,164863,102563,7,,,3,32C,3,0,158,2,,0,,93,1108,,,,,6.0,POOR X,1993
93IN00054,1987632470,K2470,63,87,2,60,1,06,604,154663,091363,0,,,1,,2,200,207,2,,1,,,,M,02,4,1,6.0,SLOWEWE,1993
93IN00055,1987632476,K2476,63,87,2,62,1,06,604,154663,093763,0,,,6,,2,181,0,0,,1,,76,0816,,,,,6.0,,1993
93IN00056,1987632482,K2482,63,87,2,63,1,06,634,148863,816062,2,,,3,OVX,*,0,0,0,,0,X,,,,,,,6.0,OVX.EWE,1993
93IN00057,1987632488,K2488,63,87,2,68,1,06,613,221563,021263,7,,,3,30A,1,130,146,2,,0,,93,1108,,,,,6.0,"THIN,DYSTOCIA",1993
93IN00058,1987632516,K2516,63,87,2,60,1,06,633,164863,039963,0,,,3,,1,177,207,3,,2,,93,1108,,,,,6.0,"MLTS,X",1993
93IN00059,1987632521,K2521,63,87,2,62,1,06,632,168063,997862,0,,,7,,*,0,0,0,,0,,97,0110,,,,,6.0,"VLT,WORN TAG",1993
93IN00060,1987632540,K2540,63,87,2,68,1,06,633,164863,047263,0,,,3,,5,188,209,1,,0,3,93,1108,,,,,6.0,0 FOR '93,1993
93IN00061,1987632552,K2552,63,87,2,62,1,06,614,216063,966062,0,,,1,,1,182,185,2,,3,,,,H,51,3,1,6.0,,1993
93IN00062,1987632554,K2554,63,87,2,60,1,06,634,148863,122663,0,,,7,,*,0,0,0,,0,,97,0110,,,,,6.0,,1993
93IN00063,1987632560,K2560,63,87,2,62,1,06,611,215863,175163,0,,,7,,*,0,0,0,,0,,97,0110,,,,,6.0,LTS,1993
93IN00064,1987632565,K2565,63,87,2,68,1,06,604,154663,094263,2,,,6,OVX,*,0,0,0,,0,X,76,0528,,,,,6.0,OVX.EWE,1993
93IN00065,1987632570,K2570,63,87,2,62,1,06,633,164863,996962,0,,,1,,1,203,216,2,,2,,,,C,60,4,1,6.0,DYS.BREECH,1993
93IN00066,1987632602,K2602,63,87,2,61,1,06,603,125663,036563,0,,,1,,2,171,181,2,,2,2,,,R,12,2,1,6.0,,1993
93IN00067,1987632611,K2611,63,87,2,68,1,06,613,221563,150163,7,,,1,30B,3,0,176,2,,0,,,,,LIS,,L,6.0,,1993
93IN00068,1987632624,K2624,63,87,2,68,1,06,602,151963,151163,0,,,7,,1,167,0,0,,1,3,97,0915,,,,,6.0,LTS&CAKED,1993
93IN00069,1987632626,K2626,63,87,2,68,1,06,633,164863,142663,7,,,1,34D,3,0,156,2,,0,,,,,LIS,,L,6.0,,1993
93IN00070,1987632639,K2639,63,87,2,68,1,06,632,168063,020263,0,,,7,,*,0,0,0,,0,2,97,0110,,,,,6.0,R.EYE9-11-91,1993
93IN00071,1987632648,K2648,63,87,2,60,1,06,631,134963,079163,0,,,1,,2,191,219,3,,2,,,,M,03,3,1,6.0,LT'S,1993
93IN00072,1987632685,K2685,63,87,2,60,1,06,602,151963,004163,0,,,7,,*,0,0,0,,0,,97,0110,,,,,6.0,,1993
93IN00073,1987632698,K2698,63,87,2,68,1,06,613,221563,086963,0,,,3,,D,227,190,2,,2,3,93,1108,,,,,6.0,FAT DRY X,1993
93IN00074,1987632715,K2715,63,87,2,62,1,06,601,151363,979862,0,,,1,,1,156,198,3,,3,,,,C,61,3,1,6.0,BIGBAG,1993
93IN00075,1987632721,K2721,63,87,2,68,1,06,601,151363,033863,0,,,7,,*,0,0,0,,0,2,97,0110,,,,,6.0,,1993
93IN00076,1987632723,K2723,63,87,2,68,1,06,633,164863,907962,7,,,1,34A,3,0,182,2,,0,,,,,LIS,,L,6.0,,1993
93IN00077,1987632760,K2760,63,87,2,60,1,06,631,134963,124463,0,,,1,,2,166,171,2,,1,,,,M,04,2,1,6.0,LF.LAME,1993
93IN00078,1987632770,K2770,63,87,2,68,1,06,603,125663,968162,7,,,1,32C,3,0,167,2,,0,,,,,LIS,,L,6.0,,1993
93IN00079,1987632779,K2779,63,87,2,68,1,06,614,216063,032663,7,,,1,32A,3,0,184,2,,0,,,,,LIS,,L,6.0,,1993
93IN00080,1987632784,K2784,63,87,2,60,1,06,611,215863,130363,0,,,1,,1,184,181,3,,2,,,,M,01,3,1,6.0,,1993
93IN00081,1987632798,K2798,63,87,2,62,1,06,631,134963,011063,0,,,1,,5,149,189,1,,2,,,,C,62,4,1,6.0,,1993
93IN00082,1987632808,K2808,63,87,2,68,1,06,633,164863,044363,0,,,3,,5,146,184,1,,0,3,93,1108,,,,,6.0,0 FOR '93,1993
93IN00083,1987632809,K2809,63,87,2,68,1,06,633,164863,044363,7,,,1,34C,3,0,172,2,,0,,,,,LIS,,L,6.0,,1993
93IN00084,1987632846,K2846,63,87,2,62,1,06,601,151363,100363,0,,,1,,2,173,184,2,,1,,,,C,63,3,1,6.0,,1993
93IN00085,1987632852,K2852,63,87,2,60,1,06,631,134963,008263,0,,,7,,*,0,0,0,,0,,97,0110,,,,,6.0,,1993
93IN00086,1987632868,K2868,63,87,2,60,1,06,603,125663,044063,0,,,1,,5,158,185,1,,1,,,,M,02,4,1,6.0,,1993
93IN00087,1987632891,K2891,63,87,2,61,1,06,614,216063,165063,2,,,3,OVX,*,0,0,0,,0,X,,,,,,,6.0,OVX.EWE,1993
93IN00088,1987632916,K2916,63,87,2,68,1,06,612,203963,005063,7,,,1,29A,3,0,175,2,,0,,,,,LIS,,L,6.0,,1993
93IN00089,1987632924,K2924,63,87,2,62,1,06,612,203963,042563,0,,,1,,1,183,196,3,,2,,,,C,64,3,1,6.0,DYSTOCIA,1993
93IN00090,1987632936,K2936,63,87,2,61,1,06,613,221563,136263,0,,,1,,1,197,215,3,,3,2,,,R,13,3,1,6.0,?TRIPLET93,1993
93IN00091,1987632978,K2978,63,87,2,62,1,06,632,168063,038163,0,,,7,,*,0,0,0,,0,,97,0110,,,,,6.0,,1993
93IN00092,1987632987,K2987,63,87,2,68,1,06,632,168063,016463,0,,,7,,*,0,0,0,,0,3,97,0110,,,,,6.0,,1993
93IN00093,1987633010,K3010,63,87,2,60,1,06,634,148863,852962,0,,,1,,1,178,190,2,,1,,,,M,03,3,1,6.0,,1993
93IN00094,1987633035,K3035,63,87,2,62,1,06,  5,184163,191063,0,,,1,,2,233,183,3,,1,,,,C,65,3,1,6.0,EYE OK,1993
93IN00095,1987633053,K3053,63,87,2,62,1,06,  6,229863,197163,0,,,1,,1,180,216,2,,3,,,,H,52,4,1,6.0,DYSTOCIA,1993
93IN00096,1988633062,K3062,63,88,2,61,1,06,603,229863,843162,0,,,1,,1,174,197,3,,2,2,,,H,51,3,1,5.0,,1993
93IN00097,1988633066,K3066,63,88,2,68,1,06,604,183963,194963,7,,,1,35C,3,0,182,2,,0,,,,,LIS,,L,5.0,,1993
93IN00098,1988633070,K3070,63,88,2,68,1,06,614,244363,119563,0,,,3,,1,203,229,12,,3,3,93,1108,,,,,5.0,,1993
93IN00099,1988633072,K3072,63,88,2,68,1,06,604,183963,979862,7,,,1,34B,3,0,173,2,,0,,,,,LIS,,L,5.0,,1993
93IN00100,1988633084,K3084,63,88,2,68,1,06,633,194563,020163,0,,,3,,X,186,0,0,,2,2,93,0524,,,,,5.0,X.FIBERBAG,1993
93IN00101,1988633093,K3093,63,88,2,60,1,06,612,285463,170263,0,,,7,,*,0,0,0,,0,,97,0110,,,,,5.0,AB.NOSE,1993
93IN00102,1988633096,K3096,63,88,2,60,1,06,634,192263,111563,0,,,3,,1,195,188,12,,2,,93,1108,,,,,5.0,,1993
93IN00103,1988633098,K3098,63,88,2,61,1,06,502,182563,250863,0,,,1,,1,155,169,3,,1,,,,R,14,2,1,5.0,,1993
93IN00104,1988633101,K3101,63,88,2,68,1,06,601,208163,197163,7,,,6,SPG,*,0,0,0,,0,S,16,0117,,,,,5.0,,1993
93IN00105,1988633115,K3115,63,88,2,61,1,06,612,285463,032163,0,,,1,,1,165,189,2,,2,3,,,R,11,4,1,5.0,,1993
93IN00106,1988633117,K3117,63,88,2,60,1,06,604,183963,220363,0,,,1,,2,190,171,2,,2,,,,H,52,3,1,5.0,,1993
93IN00107,1988633122,K3122,63,88,2,60,1,06,612,285463,025263,0,,,7,,*,0,0,0,,0,,97,0110,,,,,5.0,,1993
93IN00108,1988633126,K3126,63,88,2,68,1,06,601,208163,203763,7,,,1,35A,3,0,152,2,,0,,,,,LIS,,L,5.0,,1993
93IN00109,1988633128,K3128,63,88,2,62,1,06,604,183963,936062,0,,,7,,*,0,0,0,,0,,97,0110,,,,,5.0,,1993
93IN00110,1988633130,K3130,63,88,2,68,1,06,604,183963,156763,0,,,3,,1,144,164,12,,3,2,93,1108,,,,,5.0,,1993
93IN00111,1988633131,K3131,63,88,2,68,1,06,602,190263,969062,7,,,7,31D,*,0,0,0,,0,,97,0503,,,,,5.0,HARDBAG,1993
93IN00112,1988633136,K3136,63,88,2,68,1,06,632,234363,076363,7,,,3,31A,3,0,177,12,,0,,93,1108,,,,,5.0,,1993
93IN00113,1988633172,K3172,63,88,2,62,1,06,634,192263,028663,0,,,7,,*,0,0,0,,0,,97,0110,,,,,5.0,OUT BPEN 16,1993
93IN00114,1988633181,K3181,63,88,2,60,1,06,601,208163,084363,0,,,1,,2,174,189,3,,2,,,,M,04,3,1,5.0,,1993
93IN00115,1988633203,K3203,63,88,2,61,1,06,633,194563,096363,0,,,1,,2,254,244,3,,2,3,,,R,12,3,1,5.0,,1993
93IN00116,1988633219,K3219,63,88,2,68,1,06,601,208163,973662,7,,,1,30D,3,0,186,2,,2,,,,,LIS,,L,5.0,NO EARTAGS'93,1993
93IN00117,1988633221,K3221,63,88,2,62,1,06,614,244363,054163,0,,,3,,1,199,227,12,,1,,93,1108,,,,,5.0,L.SPOILED,1993
93IN00118,1988633235,K3235,63,88,2,68,1,06,602,190263,182363,7,,,3,31A,3,0,169,6,,0,,93,1108,,,,,5.0,X BAG,1993
93IN00119,1988633248,K3248,63,88,2,68,1,06,601,208163,101663,7,,,1,34B,3,0,243,2,,0,,,,,LIS,,L,5.0,,1993
93IN00120,1988633249,K3249,63,88,2,62,1,06,601,208163,101663,0,,,1,,1,148,167,2,,2,,,,C,66,3,1,5.0,,1993
93IN00121,1988633250,K3250,63,88,2,60,1,06,633,194563,234063,0,,,1,,1,181,195,3,,2,,,,M,01,3,1,5.0,,1993
93IN00122,1988633259,K3259,63,88,2,62,1,06,633,194563,967062,0,,,1,,2,174,193,2,,2,,,,C,67,3,1,5.0,,1993
93IN00123,1988633269,K3269,63,88,2,68,1,06,604,183963,093763,7,,,1,31D,3,0,227,2,,0,,,,,LIS,,L,5.0,,1993
93IN00124,1988633272,K3272,63,88,2,61,1,06,631,216063,072463,0,,,1,,2,232,199,3,,1,2,,,R,13,4,1,5.0,,1993
93IN00125,1988633273,K3273,63,88,2,60,1,06,631,216063,072463,0,,,3,,5,181,211,1,,0,,93,1108,,,,,5.0,0 FOR '93,1993
93IN00126,1988633275,K3275,63,88,2,61,1,06,601,208163,127163,0,,,1,,2,253,194,2,,2,3,,,R,14,3,1,5.0,,1993
93IN00127,1988633280,K3280,63,88,2,68,1,06,613,269063,180463,0,,,3,,1,164,190,12,,1,2,93,1108,,,,,5.0,R.SPOILED,1993
93IN00128,1988633285,K3285,63,88,2,60,1,06,611,279163,104763,0,,,1,,1,134,187,12,,2,,,,M,02,,1,5.0,,1993
93IN00129,1988633302,K3302,63,88,2,68,1,06,603,229863,152063,7,,,1,31C,3,0,184,2,,0,,,,,LIS,,L,5.0,,1993
93IN00130,1988633315,K3315,63,88,2,68,1,06,602,190263,035963,7,,,1,31C,3,0,171,2,,0,,,,,LIS,,L,5.0,,1993
93IN00131,1988633340,K3340,63,88,2,60,1,06,603,229863,989162,0,,,1,,2,165,187,1,,1,,,,M,03,3,1,5.0,,1993
93IN00132,1988633347,K3347,63,88,2,62,1,06,632,234363,114263,0,,,7,,*,0,0,0,,0,,97,0110,,,,,5.0,,1993
93IN00133,1988633360,K3360,63,88,2,61,1,06,613,269063,039663,2,,,3,OVX,*,0,0,0,,0,X,,,,,,,5.0,OVX.EWE,1993
93IN00134,1988633362,K3362,63,88,2,68,1,06,611,279163,048763,7,,,1,29A,3,0,187,2,,0,,,,,LIS,,L,5.0,,1993
93IN00135,1988633368,K3368,63,88,2,61,1,06,633,194563,961162,0,,,1,,1,188,204,2,,2,3,,,R,11,3,1,5.0,,1993
93IN00136,1988633373,K3373,63,88,2,62,1,06,604,183963,149063,0,,,7,,*,0,0,0,,0,,97,0110,,,,,5.0,,1993
93IN00137,1988633389,K3389,63,88,2,68,1,06,601,208163,141363,7,,,1,31B,3,0,171,2,,0,,,,,LIS,,L,5.0,,1993
93IN00138,1988633391,K3391,63,88,2,61,1,06,602,190263,149763,0,,,1,,1,181,189,2,,1,2,,,R,12,3,1,5.0,,1993
93IN00139,1988633402,K3402,63,88,2,68,1,06,611,279163,183163,7,,,1,31B,3,0,175,2,,0,,,,,LIS,,L,5.0,,1993
93IN00140,1988633403,K3403,63,88,2,62,1,06,611,279163,183163,0,,,1,,2,135,151,2,,2,,,,C,68,3,1,5.0,,1993
93IN00141,1988633405,K3405,63,88,2,68,1,06,611,279163,923662,0,,,7,,2,141,0,0,,2,3,97,0915,,,,,5.0,PERFBLAD.1118,1993
93IN00142,1988633429,K3429,63,88,2,60,1,06,602,190263,945762,0,,,3,,1,176,206,11,,2,,93,1108,,,,,5.0,R SPOILED,1993
93IN00143,1988633457,K3457,63,88,2,68,1,06,613,269063,119663,7,,,1,31A,3,0,167,2,,0,,,,,LIS,,L,5.0,,1993
93IN00144,1988633464,K3464,63,88,2,60,1,06,634,192263,158263,0,,,1,,1,161,160,3,,2,,,,M,04,3,1,5.0,,1993
93IN00145,1988633469,K3469,63,88,2,68,1,06,632,234363,984462,7,,,1,30D,3,0,166,2,,0,,,,,LIS,,L,5.0,,1993
93IN00146,1988633470,K3470,63,88,2,60,1,06,505,269163,279463,0,,,1,,1,155,165,2,,2,,,,M,01,3,1,5.0,,1993
93IN00147,1988633479,K3479,63,88,2,62,1,06,631,216063,230563,0,,,6,,1,149,177,3,,2,,50,0909,,,,,5.0,"X THIN,OPP,CL",1993
93IN00148,1988633480,K3480,63,88,2,60,1,06,601,208163,208463,2,,,3,OVX,*,0,0,0,,0,X,,,,,,,5.0,OVX.EWE,1993
93IN00149,1988633498,K3498,63,88,2,68,1,06,612,285463,184863,7,,,1,31A,3,0,180,2,,0,,,,,LIS,,L,5.0,,1993
93IN00150,1988633503,K3503,63,88,2,62,1,06,604,183963,201663,0,,,1,,2,202,190,2,,2,,,,C,69,3,1,5.0,,1993
93IN00151,1988633504,K3504,63,88,2,68,1,06,604,183963,148563,0,,,3,,5,157,192,2,,0,2,93,1108,,,,,5.0,0 FOR '93,1993
93IN00152,1988633509,K3509,63,88,2,63,1,06,634,192263,941262,2,,,6,OVX,*,0,0,0,,0,X,50,0331,,,,,5.0,OVX.EWE,1993
93IN00153,1988633532,K3532,63,88,2,60,1,06,604,183963,029963,2,,,6,OVX,*,0,0,0,,0,X,76,0712,,,,,5.0,OVX.EWE,1993
93IN00154,1988633545,K3545,63,88,2,68,1,06,633,194563,115463,7,,,1,34B,3,0,210,1,,0,,,,,LIS,,L,5.0,,1993
93IN00155,1988633572,K3572,63,88,2,60,1,06,603,229863,020563,0,,,7,,*,0,0,0,,0,,97,0110,,,,,5.0,DYSTOCIA,1993
93IN00156,1988633573,K3573,63,88,2,60,1,06,603,229863,020563,2,,,3,OVX,*,0,0,0,,0,X,,,,,,,5.0,OVX.EWE,1993
93IN00157,1988633581,K3581,63,88,2,68,1,06,632,234363,160463,7,,,1,29A,3,0,159,2,,0,,,,,LIS,,L,5.0,,1993
93IN00158,1988633604,K3604,63,88,2,62,1,06,613,269063,053363,0,,,1,,2,157,172,2,,2,,,,C,70,3,1,5.0,,1993
93IN00159,1988633638,K3638,63,88,2,60,1,06,601,208163,004163,2,,,3,OVX,*,0,0,0,,0,X,,,,,,,5.0,OVX.EWE,1993
93IN00160,1988633644,K3644,63,88,2,68,1,06,631,216063,020263,7,,,1,30B,3,0,171,2,,0,,,,,LIS,,L,5.0,,1993
93IN00161,1988633660,K3660,63,88,2,68,1,06,611,279163,094563,0,,,7,,2,167,0,0,,3,3,97,0915,,,,,5.0,UDDER EDEMA,1993
93IN00162,1988633668,K3668,63,88,2,68,1,06,632,234363,186463,7,,,1,29C,3,0,224,2,,0,,,,,LIS,,L,5.0,,1993
93IN00163,1988633683,K3683,63,88,2,68,1,06,611,279163,960062,7,,,1,34D,3,0,204,2,,0,,,,,LIS,,L,5.0,,1993
93IN00164,1988633688,K3688,63,88,2,61,1,06,633,194563,130463,0,,,1,,2,209,178,2,,2,2,,,R,13,3,1,5.0,,1993
93IN00165,1988633713,K3713,63,88,2,68,1,06,631,216063,936862,7,,,3,SPG,S,129,162,1,,0,S,93,1108,,,,,5.0,SICK X,1993
93IN00166,1988633745,K3745,63,88,2,68,1,06,634,192263,016463,7,,,1,34B,3,0,188,2,,0,,,,,LIS,,L,5.0,,1993
93IN00167,1988633753,K3753,63,88,2,62,1,06,632,234363,051363,0,,,1,,5,188,219,2,,1,,,,C,71,4,1,5.0,FLTS,1993
93IN00168,1988633808,K3808,63,88,2,61,1,06,501,215863,292763,0,,,1,,1,147,155,2,,3,3,,,H,51,3,1,5.0,LOST EARTAGS!,1993
93IN00169,1989633834,K3834,63,89,2,68,1,06,634,271263,020163,7,,,1,32A,3,0,178,2,,0,,,,,LIS,,L,4.0,,1993
93IN00170,1989633835,K3835,63,89,2,62,1,06,601,285463,241763,0,,,1,,1,159,186,3,,2,,,,C,60,3,1,4.0,,1993
93IN00171,1989633837,K3837,63,89,2,68,1,06,602,273563,166463,7,,,1,31D,3,0,179,2,,0,,,,,LIS,,L,4.0,,1993
93IN00172,1989633844,K3844,63,89,2,68,1,06,601,285463,114763,7,,,1,32A,3,0,183,2,,0,,,,,LIS,,L,4.0,,1993
93IN00173,1989633846,K3846,63,89,2,68,1,06,604,272663,271563,0,,,3,,1,162,188,12,,3,2,93,1108,,,,,4.0,LTS,1993
93IN00174,1989633849,K3849,63,89,2,60,1,06,614,364563,200163,0,,,7,,*,0,0,0,,0,,97,0110,,,,,4.0,,1993
93IN00175,1989633855,K3855,63,89,2,60,1,06,601,285463,195063,0,,,1,,1,167,192,2,,1,,,,M,03,4,1,4.0,?BAG,1993
93IN00176,1989633857,K3857,63,89,2,68,1,06,634,271263,253263,7,,,1,35A,3,0,166,2,,0,,,,,LIS,,L,4.0,,1993
93IN00177,1989633863,K3863,63,89,2,68,1,06,613,328163,123563,7,,,1,35A,3,0,200,2,,2,,,,,LIS,,L,4.0,SW.BAG,1993
93IN00178,1989633867,K3867,63,89,2,60,1,06,631,267563,236263,0,,,6,,*,0,0,0,,2,,48,0422,,,,,4.0,DEADEWE,1993
93IN00179,1989633872,K3872,63,89,2,62,1,06,602,273563,293363,0,,,1,,1,176,199,3,,1,,,,H,52,4,1,4.0,,1993
93IN00180,1989633885,K3885,63,89,2,62,1,06,601,285463,979862,0,,,1,,5,139,187,2,,2,,,,C,62,4,1,4.0,,1993
93IN00181,1989633888,K3888,63,89,2,61,1,06,613,328163,042563,0,,,1,,5,169,193,2,,0,,,,R,14,5,1,4.0,,1993
