UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
90IN02237,1989033945,L3945,03,89,2,82,1,30,701,079503,053803,,,1,,,, 4,078,1,,2,146,157, 2,A,,,,,,323,3,,2,10,,1990
90IN02238,1989633945,K3945,63,89,2,60,1,06,604,272663,037363,,,,1,,1, 0,000,2,71,5,120,162, 1,C,,,92,0920,,,,,,10,,1990
90IN02239,1989033946,L3946,03,89,2,82,1,30,704,052303,717402,,,1,,,, 1,067,1,,2,137,147, 2,B,+,,,,,324,3,,2,10,,1990
90IN02240,1989633946,K3946,63,89,1,60,1,06,604,272663,037363,,,,,,,,,3,,Y,151,184,,V,,,93,0814,,,,,,10,,1990
90IN02241,1989633947,K3947,63,89,2,68,1,06,631,267563,240663,,,,,,, 0,000,1,,5,135,178, 1,B,,,,,,633,4,,1,10,,1990
90IN02242,1989633950,K3950,63,89,2,61,1,06,611,351563,222863,,,,,,, 1,068,1,,2,116,133, 2,B,,,,,,633,2,,1,10,,1990
90IN02243,1989033951,L3951,03,89,2,81,1,30,P5,120603,231803,,,1,,,, 2,092,1,,2,132,137, 2,A,,,,,,311,2,,2,10,,1990
90IN02244,1989633951,K3951,63,89,2,61,1,06,611,351563,222863,,,,,,, 2,000,1,,5,147,178, 1,B,,,,,,604,4,,1,10,,1990
90IN02245,1989033953,L3953,03,89,2,80,1,30,711,199903,786602,,,1,,,, 1,086,1,,1,130,142, 1,B,,,,,,304,3,,2,10,,1990
90IN02246,1989033954,L3954,03,89,2,81,1,30,711,199903,786602,,,1,,,, 3,137,1,,1,130,141, 2,C,,,,,,312,3,,2,10,,1990
90IN02247,1989633955,K3955,63,89,2,63,1,06,633,249563,252163,,,,,,, 1,039,3,X,2,129,152,12,B,,,93,1015,,,,,,10,BADBAG,1990
90IN02248,1989033957,L3957,03,89,1,71,1,30,712,250303,715102,,,1,,,,,,6,,Y,153,187,,C,,,04,0801,,,,,,10,LUPINE 8/1,1990
90IN02249,1989633958,K3958,63,89,2,63,1,06,632,278263,112263,,,,,,, 1,061,1,,2,125,141, 1,B,,,,,,611,4,,1,10,,1990
90IN02250,1989033958,L3958,03,89,1,71,1,30,712,250303,715102,,,1,,,,,,W,,Y,144,185,,V,,,,,,301,,,2,10,,1990
90IN02251,1989633959,K3959,63,89,2,63,1,06,632,278263,112263,,,,,,, 2,054,1,,2,115,144, 2,A,,,,,,613,4,,1,10,,1990
90IN02252,1989033959,L3959,03,89,2,82,1,30,714,198503,541902,,,1,,,, 3,067,1,,2,148,173, 2,C,,,,,,325,4,,2,10,,1990
90IN02253,1983023959,Y3959,02,83,2,74,1,30,003,121202,190902,6,,1,,,, 0,000,3,,X,170,0,,,,,93,0521,,,,,,70,CULLEWE,1990
90IN02254,1989633960,K3960,63,89,2,68,1,06,614,364563,240563,,,,,,, 1,054,1,,1,109,123, 1,A,,,,,,632,3,,1,10,,1990
90IN02255,1989033960,L3960,03,89,2,82,1,30,734,052503,111703,,,1,,,, 2,088,1,,1,129,137, 2,A,,,,,,326,4,,2,10,,1990
90IN02256,1987803961,X3961,80,87,2,65,1,56,633,164863,603294,7,,,,,, 2,184,1,,3,154,170, 2,A,,,,,,-0-,3,,3,30,,1990
90IN02257,1989033962,L3962,03,89,2,80,1,30,704,052303,951102,,,1,,,, 2,156,1,,2,127,143, 2,C,,,,,,301,3,,2,10,,1990
90IN02258,1987803962,X3962,80,87,2,65,1,56,633,164863,603294,7,,,,,, 1,106,1,,3,144,136, 2,B,,,,,,-0-,3,,3,30,,1990
90IN02259,1983023966,Y3966,02,83,2,72,1,30,004,182302,730201,6,,1,,,, 1,127,2,,5,159,0,,,,,,,,,,,,70,,1990
90IN02260,1987803966,X3966,80,87,2,45,1,55,442,213980,363943,7,,,,,, 2,158,1,,3,161,0,,B,,,97,0703,,,,,,30,,1990
90IN02261,1987803970,X3970,80,87,3,54,1,54,,000019,173880,9,,,,,,,,4,,*,0,0,,,,F,85,0416,,,,,,30,ESO.FISTULA,1990
90IN02262,1989633972,K3972,63,89,2,63,1,06,632,278263,091263,,,,,,, 0,000,1,,5,143,174, 1,B,,,,,,604,4,,1,10,,1990
90IN02263,1989633974,K3974,63,89,2,61,1,06,611,351563,170263,,,,,,, 1,066,1,,1,133,144, 2,C,,,,,,604,3,,1,10,,1990
90IN02264,1989033977,L3977,03,89,2,81,1,30,712,250303,919002,,,1,,,, 2,082,1,,2,127,133, 1,A,,,,,,313,3,,2,10,,1990
90IN02265,1989633977,K3977,63,89,1,63,1,06,633,249563,016463,,,,,,,,,3,,Y,148,182,,C,,,93,0814,,,,,,10,GDSMUTTON,1990
90IN02266,1989033978,L3978,03,89,1,71,1,30,712,250303,919002,,,1,,,,,,3,,Y,139,132,,V,+,,93,0806,,,,,,10,BAD L.F.FOOT,1990
