UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,YRREC
05IN00117,2000001161,01161,00,01161,00,2,18,1,07,L34,785310,868000,2,,,,1,.,1,,159,183,2,,,,.,08,1,5.0,,Ramb,,0,2005
05IN00118,2000001178,01178,00,01178,00,2,88,1,30,L46,551504,382404,2,,,,O,OVX,5,,177,198,1,X,,,.,OVX,O,5.0,"OVX, SMALL",Ovx,,0,2005
05IN00119,2000001242,01242,00,01242,00,2,68,1,06,L03,0143,694463,0,,JAR,,1,.,1,,174,179,2,,,,G,13,1,5.0,VLTS,Colu,,0,2005
05IN00120,2000001257,01257,00,01257,00,2,68,1,06,L05,011664,787763,2,,,,O,OVX,5,,192,0,0,X,,,.,OVX,O,5.0,OVX,Ovx,,0,2005
05IN00121,2000001267,01267,00,01267,00,2,18,1,07,L13,980110,000805,0,,,,3,.,5,,176,181,12,,93,1021,.,,,5.0,12 BAG X,Ramb,TK,5500,2005
05IN00122,2000001287,01287,00,01287,00,2,18,1,07,L34,785310,460510,2,,,,O,OVX,5,,180,0,0,X,,,.,OVX,O,5.0,OVX,Ovx,,0,2005
05IN00123,2000001328,01328,00,01328,00,2,88,1,30,L44,492004,036504,0,,,,1,.,1,,178,188,2,W,,,W, 1,2,5.0,"NICE, A",Flwt,,0,2005
05IN00124,2000001372,01372,00,01372,00,2,68,1,06,L04,988463,990963,0,,,,1,.,H,,172,183,2,,,,G,14,1,5.0,EYE TRT,Colu,,0,2005
05IN00125,2000001379,01379,00,01379,00,2,18,1,07,L31,952610,777510,2,,,,1,.,1,,174,190,2,,,,.,11,1,5.0,PNEU.,Ramb,,0,2005
05IN00126,2000001406,01406,00,01406,00,2,41,1,02,411,688944,652644,2,,,,O,OVX,5,,163,0,0,X,95,0523,.,OVX,O,5.0,OVX THIN X,Ovx,,0,2005
05IN00127,2000001417,01417,00,01417,00,2,41,1,02,412,658544,668944,2,,,,O,OVX,5,,166,0,0,X,,,.,OVX,O,5.0,"OVX, SMALL",Ovx,,0,2005
05IN00128,2000001422,01422,00,01422,00,2,18,1,07,L13,980110,748500,0,,,,1,.,2,,201,205,3,,,,.,12,1,5.0,,Ramb,,0,2005
05IN00129,2000001430,01430,00,01430,00,2,18,1,07,L34,785310,877300,0,,,,1,.,5,,200,204,2,,,,.,13,1,5.0,,Ramb,,0,2005
05IN00130,2000001470,01470,00,01470,00,2,18,1,07,L36,800810,792110,0,,,,1,.,1,,135,162,2,S,,,.,14,1,5.0,THIN,Ramb,,0,2005
05IN00131,2000001486,01486,00,01486,00,2,41,1,02,413,674844,662044,2,,,,O,OVX,5,,197,188,1,X,,,.,OVX,O,5.0,"F2,CLR, OVX",Ovx,,0,2005
05IN00132,2000001499,01499,00,01499,00,2,18,1,07,L14,784210,056205,2,,,,O,OVX,5,,175,200,1,X,,,.,OVX,O,5.0,"OVX, SMALL",Ovx,,0,2005
05IN00133,1999090018,90018,09,90018,99,2,18,1,43,L-4,785310,844100,2,,,,1,.,1,,152,183,2,,,,.,15,1,6.0,THIN,Ramb,,0,2005
05IN00134,1999090035,90035,09,90035,99,2,88,1,30,L-8,376004,872400,0,,,,6,.,*,,0,0,0,C,09,0426,C,,,6.0,"RUPTURE, DOWN",Ctrl,,0,2005
05IN00135,1999090053,90053,09,90053,99,2,88,1,30,L-8,376004,839200,0,,,,1,.,1,,158,173,2,W,,,W,01,2,6.0,DYSTOCIA,Flwt,,0,2005
05IN00136,1999090061,90061,09,90061,99,2,68,1,06,L-5,890163,821000,0,,,,1,.,2,,172,191,2,,,,G,41,1,6.0,NICE,Colu,,0,2005
05IN00137,1999090071,90071,09,90071,99,2,88,1,30,L-7,323404,844300,0,,,,1,.,2,,163,161,2,C,,,C,02,2,6.0,,Ctrl,,0,2005
05IN00138,1999090077,90077,09,90077,99,2,68,1,06,L-5,890163,838400,0,,,,1,.,2,,191,197,2,,,,G,04,1,6.0,,Colu,,0,2005
05IN00139,1999090096,90096,09,90096,99,2,18,1,07,L-1,712410,827100,2,,,,3,.,5,,177,197,1,,93,1021,.,,,6.0,LOW PROD.,Ramb,TK,5536,2005
05IN00140,1999090121,90121,09,90121,99,2,88,1,30,L-8,376004,842300,0,,,,3,.,5,,188,206,2,E,93,1021,M,,,6.0,LOW PROD.,Else,TK,5442,2005
05IN00141,1999090212,90212,09,90212,99,2,18,1,07,L13,000010,622900,0,,,,1,.,2,,169,184,2,,,,.,16,1,6.0,,Ramb,,0,2005
05IN00142,1999090216,90216,09,90216,99,2,18,1,07,L12,000010,014805,0,,,,1,.,1,,154,171,2,,,,.,17,1,6.0,,Ramb,,0,2005
05IN00143,1999090239,90239,09,90239,99,2,18,1,07,L15,000010,641900,0,,,,1,.,2,,155,178,2,,,,.,18,1,6.0,SW BAG,Ramb,,0,2005
05IN00144,1999090256,90256,09,90256,99,2,18,1,07,L12,000010,629300,2,,,,1,.,1,,159,189,2,,,,.,21,1,6.0,DYSTOCIA ok,Ramb,,0,2005
05IN00145,1999090257,90257,09,90257,99,2,18,1,07,L12,000010,556500,0,,,,1,.,1,,143,157,2,,,,.,22,1,6.0,BIG BAG,Ramb,,0,2005
05IN00146,1999090259,90259,09,90259,99,2,18,1,07,L13,000010,909000,0,,,,3,.,2,,192,151,4,,93,1021,.,,,6.0,LOW BAG X,Ramb,,5671,2005
