UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,C14,SEA,PD,RGRP,ELG,STM,TBR,ADAM,TRT1,TRT2,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,CAUSE,XVET,YRREC
75IN00021,1968102895,68,2,U2895,,,,,,,3,,07,,,,,,,,,,,144,,3,,,,10,0728,,,,,,,93,,1975
75IN00022,1968102900,68,2,U2900,,,10,,1,,,,07,,,,,,, 33,,,,169,,,,,,10,,,,000001,,,349301,,,1975
75IN00023,1965813684,65,2,Y3684,,,,,,,3,,09,,,,,,,,,,,141,,3,,,,81,0908,,,,,,,93,,1975
75IN00024,1965813875,65,2,Y3875,,,,,,,3,,09,,,,,,,,,,,186,,3,,,,81,0825,,,,,,,93,,1975
75IN00025,1965813901,65,2,Y3901,,,,,,,3,,07,,,,,,,,,,,143,,3,,,,81,0728,,,,,,,93,,1975
75IN00026,1965814342,65,2,Y4342,,,,,,,3,,09,,,,,,,,,,,146,,3,,,,81,0908,,,,,,,93,,1975
75IN00027,1969340008,69,2,40008,,,15,,1,,,,02,,,,,,, 01,,,,122,,,,,,34,,,,000004,,,065604,,,1975
75IN00028,1969340018,69,2,40018,,,15,,1,,,,02,,,,,,, 02,,,,165,,,,,,34,,,,000004,,,109104,,,1975
75IN00029,1969340026,69,2,40026,,,15,,1,,,,02,,,,,,, 03,,,,178,,6,,,,34,1124,,,000004,,,099404,10,-,1975
75IN00030,1969340043,69,2,40043,,,15,,1,,,,02,,,,,,, 01,,,,171,,,,,,34,,,,000004,,,068504,,,1975
75IN00031,1969340075,69,2,40075,,,15,,1,2,,,02,,,,,,, 34,,, 4,170,159,2,,,,34,0925,,,,3,,,92,,1975
75IN00032,1969340079,69,2,40079,,,15,,1,,,,02,,,,,,,,,,,,,7,,,,34,0527,,,,,,,97,,1975
75IN00033,1969340082,69,2,40082,,,15,,2,,,,02,,,,,,, 02,,, 2,125,160,,,,,34,,,,000004,,,084604,,,1975
75IN00034,1969340083,69,2,40083,,,15,,2,3,,,02,,,,,,,,,,12,178,195,4,,,,34,,,,,,,,,,1975
75IN00035,1969340084,69,2,40084,,,15,,2,,,,02,,,,,,, 03,,,,139,,,,,,34,,,,000004,,,051404,,,1975
75IN00036,1970340094,70,2,40094,,,16,,1,,,,02,,,,,,, 33,,,,160,,,,,,34,,,,004504,,,072404,,,1975
75IN00037,1970340114,70,2,40114,,,26,,1,,,,02,,,,,,, 32,,,,180,,,,,,34,,,,000004,,,329804,,,1975
75IN00038,1970340119,70,2,40119,,,16,,1,,,,02,,,,,,, 03,,,,132,,,,,,34,,,,004504,,,059404,,,1975
75IN00039,1970340120,70,2,40120,,,16,,1,2,,,02,,,,,,, 33,,, 1,144,182,2,,,,34,0925,,,,2,,,92,,1975
75IN00040,1970340123,70,2,40123,,,15,,1,,,,02,,,,,,, 01,,, 2,186,178,,,,,34,,,,000904,5,,108804,,,1975
75IN00041,1970340137,70,2,40137,,,26,,1,,,,02,,,,,,, 33,,,,170,,,,,,34,,,,000004,,,006204,,,1975
75IN00042,1970340138,70,2,40138,,,15,,1,,,,02,,,,,,, 01,,,,136,,,,,,34,,,,000904,,,070904,,,1975
75IN00043,1970340142,70,2,40142,,,16,,1,,,,02,,,,,,, 02,,,,158,,6,,,,34,1201,,,004504,,,068504,10,-,1975
75IN00044,1970340177,70,2,40177,,,15,,1,,,,02,,,,,,,,,,,,,6,,,,34,0311,,,,,,,15,,1975
75IN00045,1970340178,70,2,40178,,,16,,1,,,,02,,,,,,, 03,,,,165,,,,,,34,,,,004504,,,093204,,,1975
75IN00046,1970340219,70,2,40219,,,04,,2,3,,,02,,,,,,,,,,10,194,211,4,,,,34,,,,,,,,,,1975
75IN00047,1970340238,70,2,40238,,,05,,2,,,,02,,,,,,, 02,,,,140,,,,,,34,,,,000004,,,048304,,,1975
75IN00048,1971010565,71,2,P0565,,,,,,,3,,30,,,,,,,,127,,,121,,3,,,,01,0728,,,,,,,93,,1975
75IN00049,1971010583,71,2,P0583,,,16,,1,,,,02,,,,,,, 02,,,,112,,,,,,01,,,,011804,,,065604,,,1975
75IN00050,1971010615,71,2,P0615,,,15,,1,,,,02,,,,,,, 03,,,,123,,7,,,,01,1105,,,011504,,,051904,97,,1975
75IN00051,1971010661,71,2,P0661,,,17,,1,,,,02,,,,,,, 01,,,,175,,,,,,01,,,,000904,,,059404,,,1975
75IN00052,1964840684,64,2,N0684,,,,,,,3,,03,,,,,,,,,,,149,,3,,,,84,0929,,,,,,,93,,1975
75IN00053,1971010715,71,2,P0715,,,17,,1,,,,02,,,,,,, 03,,,,154,,,,,,01,,,,000904,,,063904,,,1975
75IN00054,1971010733,71,2,P0733,,,17,,1,,,,02,,,,,,, 01,,,,133,,,,,,01,,,,000904,,,072404,,,1975
75IN00055,1971010791,71,2,P0791,,,16,,1,2,,,02,,,,,,, 32,,, 2,119,151,2,,,,01,0925,,,011804,1,,095704,92,,1975
75IN00056,1971010798,71,2,P0798,,,16,,,,3,,02,,,,,,,,,,,158,,3,,,,01,0825,,,011804,,,052404,93,,1975
75IN00057,1964840904,64,2,N0904,,,,,1,2,,,02,,,,,,,,,, 3,114,135,3,,,,84,0929,,,,1,,,93,,1975
75IN00058,1971010908,71,2,P0908,,,16,,1,,,,02,,,,,,, 02,,,,115,,,,,,01,,,,011804,,,104504,,,1975
75IN00059,1971010977,71,2,P0977,,,17,,1,3,,,02,,,,,,,,,,,102,131,4,,,,01,,,,000904,5,,067404,,,1975
75IN00060,1964840989,64,2,N0989,,,,,1,2,,,02,,,,,,,,,,,205,152,4,,,,84,,,,,3,,,,,1975
75IN00061,1971011110,71,2,P1110,,,17,,1,,,,02,,,,,,, 32,,,,160,,,,,,01,,,,000904,,,101004,,,1975
75IN00062,1971011125,71,2,P1125,,,16,,1,,,,02,,,,,,,,,,,,,6,,,,01,0422,,,011804,,,009604,43,,1975
75IN00063,1971011172,71,2,P1172,,,02,,2,,,,01,,,,,,, 01,,,,124,,6,,,,01,1124,,,000001,,,014204,10,-,1975
75IN00064,1971011186,71,2,P1186,,,05,,2,2,,,02,,,,,,, 32,,, 2,139,141,2,,,,01,0925,,,000004,3,,330304,92,,1975
75IN00065,1971011188,71,2,P1188,,,05,,2,,,,02,,,,,,, 02,,,,145,,,,,,01,,,,000004,,,011404,,,1975
75IN00066,1971011218,71,2,P1218,,,05,,2,,,,02,,,,,,, 02,,,,114,,,,,,01,,,,000004,,,000704,,,1975
75IN00067,1971011229,71,2,P1229,,,04,,2,,,,02,,,,,,, 03,,,,101,,,,,,01,,,,000004,,,090404,,,1975
75IN00068,1971011230,71,2,P1230,,,04,,2,,,,02,,,,,,, 03,,, 5,120,146,,,,,01,,,,000004,1,,090404,,,1975
75IN00069,1972011330,72,2,P1330,,,16,,1,,,,02,,,,,,, 03,,,,166,,,,,,01,,,,011504,,,067404,,,1975
75IN00070,1972011399,72,2,P1399,,,15,,1,,,,02,,,,,,,,,,,,,6,,,,01,0428,,,009104,,,086204,01,,1975
75IN00071,1972011405,72,2,P1405,,,17,,1,,,,02,,,,,,, 03,,,,138,,,,,,01,,,,014804,,,009404,,,1975
75IN00072,1972011421,72,2,P1421,,,17,,1,,,,02,,,,,,, 33,,,,164,,,,,,01,,,,014804,,,103604,,,1975
75IN00073,1972011440,72,1,P1440,,,16,,1,3,,,02,,,,,,2,,,09,,247,215,3,,108,,01,0721,,,011504,,,098904,93,,1975
75IN00074,1972011448,72,2,P1448,,,16,,1,,,,02,,,,,,, 03,,,,153,,,,,,01,,,,011504,,,327104,,,1975
75IN00075,1972011487,72,2,P1487,,,16,,1,,,,02,,,,,,, 03,,,,120,,,,,,01,,,,011504,,,006904,,,1975
75IN00076,1972011490,72,1,P1490,,,17,,1,2,,,02,,,,,,1,179,,07,,244,247,2,,111,,01,0925,,,014804,,,007904,92,,1975
75IN00077,1972011510,72,2,P1510,,,15,,1,,,,02,,,,,,, 32,,,,142,,,,,,01,,,,009104,,,094004,,,1975
75IN00078,1972011523,72,2,P1523,,,15,,1,,,,02,,,,,,, 33,,,,136,,,,,,01,,,,009104,,,104504,,,1975
75IN00079,1972011527,72,2,P1527,,,15,,1,,,,02,,,,,,, 32,,,,180,,,,,,01,,,,009104,,,326104,,,1975
75IN00080,1972011571,72,2,P1571,,,16,,1,,,,02,,,,,,, 03,,,,132,,,,,,01,,,,011504,,,080104,,,1975
75IN00081,1972011576,72,2,P1576,,,17,,1,,,,02,,,,,,, 02,,,,126,,,,,,01,,,,014804,,,080304,,,1975
75IN00082,1972011598,72,2,P1598,,,17,,1,,,,02,,,,,,, 02,,,,127,,,,,,01,,,,014804,,,095104,,,1975
75IN00083,1972011696,72,2,P1696,,,17,,1,,,,02,,,,,,, 33,,,,135,,,,,,01,,,,014804,,,329804,,,1975
75IN00084,1972011717,72,2,P1717,,,15,,1,,,,02,,,,,,,,,,,126,,6,,,,01,0815,,,009104,1,,101004,01,,1975
75IN00085,1972011753,72,2,P1753,,,17,,1,,,,02,,,,,,, 02,,, 7,129,146,,,,,01,,,,014804,3,,012004,,,1975
75IN00086,1972011826,72,2,P1826,,,33,,1,,,,02,,,,,,, 01,,,,102,,,,,,01,,,,058104,,,083104,,,1975
75IN00087,1972011888,72,2,P1888,,,04,,2,,,,02,,,,,,, 32,,,,115,,,,,,01,,,,000004,,,008204,,,1975
75IN00088,1972011903,72,2,P1903,,,04,,2,,,,02,,,,,,, 01,,,,141,,,,,,01,,,,000004,,,090404,,,1975
75IN00089,1972011922,72,2,P1922,,,04,,2,,,,02,,,,,,, 01,,, 2,161,179,,,,,01,,,,000004,5,,000404,,,1975
75IN00090,1972011938,72,2,P1938,,,03,,2,3,,,02,,,,,,,,,,11,135,147,4,,,,01,,,,,,,001304,,,1975
75IN00091,1972011967,72,2,P1967,,,03,,2,,,,02,,,,,,, 03,,,,152,,,,,,01,,,,000004,,,007504,,,1975
75IN00092,1973012011,73,2,P2011,,,17,,1,,,,02,,,,,,1, 01,125,08,,134,,,,097,,01,,,,000904,,,006904,,,1975
75IN00093,1973012109,73,2,P2109,,,15,,1,3,,,02,,,,,,3,,105,07,12,139,135,4,,075,,01,,,,169704,5,,051904,,,1975
75IN00094,1973012145,73,1,P2145,,,16,,1,1,,,02,3,,,,,2,,152,09,,196,,,,072,,01,,,,011504,,,014204,,,1975
75IN00095,1973012152,73,2,P2152,,,16,,1,,,,02,,,,,,1, 33,128,08,,156,,,,100,,01,,,,011504,,,017704,,,1975
75IN00096,1973012168,73,1,P2168,,,15,,1,3,,,02,2,,,,,2,,135,04,,170,169,3,,087,,01,0721,,,169704,,,0684 4,93,,1975
75IN00097,1973012169,73,2,P2169,,,15,,1,,,,02,,,,,,1, 02,107,08, 3,134,152,,,082,,01,,,,169704,3,,068404,,,1975
75IN00098,1973012173,73,2,P2173,,,16,,1,,,,02,,,,,,1, 32,138,08,,131,,,,089,,01,,,,011504,,,326104,,,1975
75IN00099,1973012201,73,2,P2201,,,16,,1,,,,02,,,,,,1, 03,079,08,,108,,,,082,,01,,,,011504,,,013804,,,1975
75IN00100,1973012236,73,2,P2236,,,16,,1,,,,02,,,,,,1, 03,094,07,,108,,,,092,,01,,,,011504,,,101704,,,1975
75IN00101,1973012268,73,2,P2268,,,15,,1,,,,02,,,,,,1, 02,125,06,,146,,,,105,,01,,,,169704,,,090404,,,1975
75IN00102,1973012269,73,2,P2269,,,15,,1,,,,02,,,,,,1, 02,094,07, 2,131,140,,,098,,01,,,,169704,3,,090404,,,1975
75IN00103,1973012276,73,2,P2276,,,15,,1,,,,02,,,,,,1, 02,119,08,,152,,,,081,,01,,,,169704,,,001404,,,1975
75IN00104,1973012290,73,2,P2290,,,151,,1,,,,02,,,,,,1, 02,100,08,,101,,,,079,,01,,,,169704,,,140504,,,1975
75IN00105,1973012292,73,2,P2292,,,17,,1,,,,02,,,,,,1, 32,090,09,,102,,,,086,,01,,,,000904,,,084504,,,1975
75IN00106,1973012300,73,2,P2300,,,16,,1,,,,02,,,,,,1, 33,123,08,,116,,,,099,,01,,,,011504,,,071504,,,1975
75IN00107,1973012313,73,2,P2313,,,15,,1,,,,02,,,,,,1, 33,106,07,,115,,,,083,,01,,,,169704,,,080304,,,1975
75IN00108,1973012389,73,2,P2389,,,17,,1,,,,02,,,,,,1, 01,080,10, 2,109,126,,,089,,01,,,,000904,3,,090804,,,1975
75IN00109,1973012405,73,2,P2405,,,15,,1,,,,02,,,,,,1, 02,110,09,,141,,,,070,,01,,,,169704,,,094004,,,1975
75IN00110,1973012486,73,1,P2486,,,17,,1,1,,,02,2,,,,,2,,172,07,,250,246,,,123,,01,,,,000904,,,329804,,,1975
75IN00111,1973012502,73,2,P2502,,,16,,,,3,,02,,,,,,1,,103,11,,129,,3,,078,,01,0728,,,011504,,,0119 4,93,,1975
75IN00112,1973012509,73,2,P2509,,,17,,1,,,,02,,,,,,1, 01,123,07,,141,,,,096,,01,,,,000904,,,327104,,,1975
75IN00113,1973012540,73,2,P2540,,,33,,1,,,,02,,,,,,1, 01,104,09,,146,,,,069,,01,,,,143904,,,002604,,,1975
75IN00114,1973012588,73,2,P2588,,,15,,1,,,,02,,,,,,1, 02,119,06,,168,,,,079,,01,,,,169704,,,008404,,,1975
75IN00115,1973012594,73,2,P2594,,,551,,1,2,,,02,,,,,,1, 31,110,08, 1,143,154,2,,089,,01,0925,,,144004,,,1576 4,92,,1975
75IN00116,1973012600,73,2,P2600,,,551,,1,,,,02,,,,,,1, 03,120,08,,153,,,,077,,01,,,,144004,,,142104,,,1975
75IN00117,1973012667,73,2,P2667,,,06,,2,,,,02,,,,,,,,094,,,,,6,,,,01,0407,,,143904,,,122904,44,-,1975
75IN00118,1973012679,73,2,P2679,,,05,,2,2,,,02,,,,,,, 31,087,,,112,129,2,,,,01,0925,,,144004,5,,195904,92,,1975
75IN00119,1973012686,73,2,P2686,,,05,,2,,,,02,,,,,,, 03,084,,,115,,7,,,,01,1105,,,144004,,,188804,97,,1975
75IN00120,1973012687,73,2,P2687,,,06,,2,,,,02,,,,,,, 02,100,,,123,,,,,,01,,,,143904,,,007504,,,1975
75IN00121,1973012694,73,2,P2694,,,05,,2,,,,02,,,,,,, 33,108,,,154,,,,,,01,,,,144004,,,017804,,,1975
75IN00122,1973012757,73,2,P2757,,,06,,2,2,,,02,,,,,,, 31,059,, 2,81,110,2,,,,01,0925,,,190404,2,,148704,92,,1975
75IN00123,1974012870,74,2,P2870,,,17,,1,,,,02,1,,,,,, 33,,,,129,,,,,,01,,,,149004,,,112504,,,1975
75IN00124,1974012917,74,2,P2917,,,16,,1,,,,02,1,,,,,, 32,,,,120,,,,,,01,,,,248604,,,012004,,,1975
75IN00125,1974012950,74,2,P2950,,,16,,1,2,,,02,2,,,,,, 29,,,,97,128,2,,,,01,0925,,,248604,5,,1527 4,92,,1975
75IN00126,1974012965,74,2,P2965,,,15,,1,,,,02,2,,,,,, 32,,,,139,,,,,,01,,,,190404,,,329804,,,1975
75IN00127,1974012971,74,2,P2971,,,16,,1,,,,02,2,,,,,,,,,,,,3,,,,01,0310,,,248604,,,0177 4,93,,1975
75IN00128,1974012986,74,1,P2986,,,15,,1,1,,,02,3,,,,,,,,,,179,176,,,,,01,,,,190404,,,008304,,,1975
75IN00129,1974012987,74,1,P2987,,,15,,1,1,,,02,3,,,,,,,,,,176,188,,,,,01,,,,190404,,,008304,,,1975
75IN00130,1974013015,74,2,P3015,,,17,,1,,,,02,2,,,,,,,,,,,,3,,,,01,0310,,,149004,,,0684 4,93,,1975
75IN00131,1974013016,74,2,P3016,,,17,,1,,,,02,2,,,,,, 02,,, 2,106,115,,,,,01,,,,149004,3,,068404,,,1975
75IN00132,1974013023,74,2,P3023,,,17,,1,,,,02,2,,,,,, 02,,, 2,96,128,,,,,01,,,,149004,2,,097704,,,1975
75IN00133,1974013024,74,2,P3024,,,17,,1,,,,02,2,,,,,,,,,,,,3,,,,01,0421,,,149004,,,0977 4,93,,1975
75IN00134,1974013080,74,2,P3080,,,15,,1,,,,02,3,,,,,, 01,,,,122,,,,,,01,,,,190404,,,001804,,,1975
75IN00135,1974013110,74,2,P3110,,,16,,1,2,,,02,2,,,,,, 28,,,,95,130,2,,,,01,0925,,,248604,5,,0082 4,92,,1975
75IN00136,1974013114,74,2,P3114,,,17,,1,,,,02,2,,,,,, 03,,,,111,,,,,,01,,,,149004,,,152304,,,1975
75IN00137,1974013115,74,2,P3115,,,17,,1,2,,,02,2,,,,,, 29,,, 1,104,126,2,,,,01,0925,,,149004,,,1523 4,92,,1975
75IN00138,1974013127,74,2,P3127,,,17,,1,,,,02,2,,,,,, 03,,,,91,,,,,,01,,,,149004,,,122904,,,1975
75IN00139,1974013132,74,2,P3132,,,16,,1,,,,02,1,,,,,, 32,,,,132,,,,,,01,,,,248604,,,009404,,,1975
75IN00140,1974013135,74,2,P3135,,,17,,1,,,,02,2,,,,,, 02,,,,104,,,,,,01,,,,149004,,,071504,,,1975
75IN00141,1974013157,74,2,P3157,,,17,,1,,,,02,3,,,,,, 03,,,,124,,,,,,01,,,,149004,,,080304,,,1975
75IN00142,1974013161,74,2,P3161,,,15,,1,,,,02,1,,,,,, 01,,,,117,,,,,,01,,,,190404,,,001604,,,1975
75IN00143,1974013190,74,2,P3190,,,17,,1,,3,,02,2,,,,,,,,,,70,116,4,,,,01,,,,149004,5,,0756 4,,,1975
75IN00144,1974013191,74,2,P3191,,,17,,1,,,,02,2,,,,,, 33,,,,124,,,,,,01,,,,149004,,,075604,,,1975
75IN00145,1974013202,74,1,P3202,,,15,,1,1,,,02,2,,,,,,,,,,167,,,,,,01,,,,190404,,,000804,,,1975
75IN00146,1974013203,74,2,P3203,,,15,,1,3,,,02,2,,,,,,,,,13,111,117,3,,,,01,0929,,,190404,3,,0008 4,93,,1975
75IN00147,1974013205,74,2,P3205,,,15,,1,,,,02,3,,,,,, 01,,,,110,,,,,,01,,,,190404,,,157604,,,1975
75IN00148,1974013213,74,2,P3213,,,16,,1,,,,02,2,,,,,,,,,,,,3,,,,01,0310,,,248604,,,0142 4,93,,1975
75IN00149,1974013229,74,2,P3229,,,17,,1,2,,,02,3,,,,,, 30,,,,71,105,2,,,,01,0925,,,149004,5,,0801 4,92,,1975
75IN00150,1974013233,74,2,P3233,,,16,,1,2,,,02,2,,,,,, 29,,, 2,121,144,2,,,,01,0925,,,248604,5,,0114 4,92,,1975
75IN00151,1974013234,74,2,P3234,,,16,,1,,,,02,2,,,,,,,,,,,,7,,,,01,0527,,,248604,,,0114 4,97,,1975
75IN00152,1974013235,74,2,P3235,,,16,,1,,,,02,1,,,,,, 01,,,,116,,,,,,01,,,,248604,,,013804,,,1975
75IN00153,1974013241,74,1,P3241,,,33,,1,3,,,02,3,,,,,,,,,,131,171,3,,,,01,0721,,,214504,,,0178 4,93,,1975
75IN00154,1974013255,74,2,P3255,,,15,,1,2,,,02,2,,,,,, 30,,,,106,126,2,,,,01,0925,,,190404,,,0084 4,92,,1975
75IN00155,1974013256,74,2,P3256,,,15,,1,,,,02,2,,,,,, 33,,,,119,,,,,,01,,,,190404,,,008404,,,1975
75IN00156,1974013257,74,2,P3257,,,15,,1,,,,02,3,,,,,, 01,,,,99,,6,,,,01,1111,,,190404,,,008404,10,-,1975
75IN00157,1974013267,74,2,P3267,,,15,,1,2,,,02,3,,,,,, 28,,,,97,131,2,,,,01,0925,,,190404,5,,1172 4,92,,1975
75IN00158,1974013268,74,2,P3268,,,15,,1,,,,02,3,,,,,,,,,,99,,6,,,,01,0930,,,190404,,,1172 4,01,,1975
75IN00159,1968103271,68,2,U3271,,,,,2,,,,02,,,,,,,,,,,,,6,,,,10,0110,,,,,,,10,,1975
75IN00160,1974013295,74,2,P3295,,,15,,1,,,,02,3,,,,,, 01,,,,111,,7,,,,01,1105,,,190404,2,,133004,97,,1975
75IN00161,1968103298,68,2,U3298,,,15,,2,,,,02,,,,,,, 01,,,,150,,,,,,10,,,,000004,,,059404,,,1975
75IN00162,1968103303,68,2,U3303,,,15,,2,,,,02,,,,,,, 01,,,,173,,,,,,10,,,,000004,,,081204,,,1975
75IN00163,1974013338,74,2,P3338,,,17,,1,,,,02,1,,,,,, 03,,,,115,,,,,,01,,,,149004,,,188804,,,1975
75IN00164,1974013344,74,1,P3344,,,15,,1,3,,,02,2,,,,,,,,,,126,155,3,,,,01,0721,,,190404,,,0026 4,93,,1975
75IN00165,1974013345,74,1,P3345,,,15,,1,3,,,02,2,,,,,,,,,,165,162,3,,,,01,0721,,,190404,,,0026 4,93,,1975
75IN00166,1974013356,74,1,P3356,,,16,,1,3,,,02,2,,,,,,,,,,133,,3,,,,01,0721,,,248604,,,0119 4,93,,1975
75IN00167,1974013452,74,2,P3452,,,03,,2,,,,02,,,,,,, 33,,,,115,,,,,,01,,,,000004,,,193804,,,1975
75IN00168,1974013463,74,1,P3463,,,03,,2,,,,02,,,,,,,,,,,,,3,,,,01,0310,,,,,,148704,93,,1975
75IN00169,1974013465,74,1,P3465,,,03,,2,,,,02,,,,,,,,,,,,,3,,,,01,0310,,,,,,139904,93,,1975
75IN00170,1974013466,74,1,P3466,,,03,,2,,,,02,,,,,,,,,,,,,3,,,,01,0310,,,,,,139904,93,,1975
75IN00171,1974013482,74,3,P3482,,,02,,2,,,,02,,,,,,,,,,,,,3,,,,01,0310,,,,,,269404,93,,1975
75IN00172,1974013512,74,2,P3512,,,03,,2,,,,02,,,,,,, 02,,,,108,,6,,,,01,1124,,,000004,,,268604,10,-,1975
75IN00173,1974013513,74,3,P3513,,,03,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,268604,93,,1975
75IN00174,1974013516,74,3,P3516,,,01,,2,,,,02,,,,,,,,,,,,,3,,,,01,0310,,,,,,023804,93,,1975
75IN00175,1974013517,74,2,P3517,,,01,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,023804,93,,1975
75IN00176,1974013518,74,1,P3518,,,03,,2,1,,,02,,,,,,,,,,,119,133,,,,,01,,,,000004,,,152704,,,1975
75IN00177,1974013519,74,1,P3519,,,03,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,152704,93,,1975
75IN00178,1974013527,74,2,P3527,,,01,,2,,,,02,,,,,,, 03,,,,105,,6,,,,01,1120,,,000004,,,017704,10,-,1975
75IN00179,1974013533,74,3,P3533,,,03,,2,,,,02,,,,,,,,,,,,,3,,,,01,0310,,,,,,144804,93,,1975
75IN00180,1974013558,74,3,P3558,,,02,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,192204,93,,1975
75IN00181,1974013570,74,2,P3570,,,02,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,226904,93,,1975
75IN00182,1974013572,74,3,P3572,,,01,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,111004,93,,1975
75IN00183,1974013573,74,2,P3573,,,02,,2,,,,02,,,,,,, 32,,,,107,,,,,,01,,,,000004,,,142104,,,1975
75IN00184,1974013589,74,2,P3589,,,02,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,210904,93,,1975
75IN00185,1974013590,74,2,P3590,,,02,,2,,,,02,,,,,,, 02,,,,98,,7,,,,01,1105,,,000004,,,210904,97,,1975
75IN00186,1974013597,74,3,P3597,,,02,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,254004,93,,1975
75IN00187,1974013600,74,1,P3600,,,03,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,098904,93,,1975
75IN00188,1974013606,74,3,P3606,,,02,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,175304,93,,1975
75IN00189,1974013607,74,3,P3607,,,02,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,175304,93,,1975
75IN00190,1974013623,74,2,P3623,,,02,,2,,,,02,,,,,,,,,,,78,,6,,,,01,0724,,,,,,080304,01,,1975
75IN00191,1974013624,74,2,P3624,,,02,,2,,,,02,,,,,,, 03,,,,84,,,,,,01,,,,000004,,,080304,,,1975
75IN00192,1974013625,74,3,P3625,,,02,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,080304,93,,1975
75IN00193,1974013626,74,2,P3626,,,01,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,012304,93,,1975
75IN00194,1974013627,74,2,P3627,,,01,,2,,,,02,,,,,,,,,,,,,3,,,,01,0421,,,,,,012304,93,,1975
