UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,BLEED,STM,C1107,W1107,C0111,W0111
06BR00852,R4383,3.0,18,,16,1,7,180,2,W,1,.,.,07,6,182,7,189
06BR00853,R4384,3.0,18,ENTROPION,07,1,7,176,2,W,1,.,.,07,5,167,6,178
06BR00854,R4385,3.0,18,,17,1,0,155,2,W,1,.,.,07,6,157,6,162
06BR00855,R4390,3.0,18,HAIRY,06,1,7,155,2,W,1,.,.,07,6,148,6,156
06BR00856,R4397,3.0,18,,01,1,0,160,1,W,1,.,.,07,5,155,6,150
06BR00857,R4371,3.0,18,ENTROPION, 3,1,0,181,2,W,1,.,.,07,6,176,6,176
06BR00858,R4370,3.0,18,4TEATS, 2,1,0,179,1,W,1,.,.,07,6,171,6,172
06BR00859,R4411,3.0,18,,06,1,0,183,1,W,1,.,.,07,5,172,6,168
06BR00860,R4412,3.0,18,R.MILK.CHUNKY,24,1,0,197,2,W,1,.,.,07,7,181,7,192
06BR00861,R4418,3.0,18,, 1,1,0,179,1,W,1,.,.,07,7,161,7,175
06BR00862,R4417,3.0,18,, 7,1,0,163,1,W,1,.,.,07,6,155,5,163
06BR00863,R4409,3.0,18,THIN RACK,25,1,0,147,2,W,1,.,.,07,5,137,5,148
06BR00864,R4434,3.0,18,,27,1,7,168,1,W,1,.,.,07,5,164,5,167
06BR00865,R4435,3.0,18,, 5,1,0,168,2,W,1,.,.,07,7,162,6,174
06BR00866,R4442,3.0,18,,21,1,0,190,1,W,1,.,.,07,5,185,6,199
06BR00867,R4450,3.0,18,, 6,1,0,143,1,W,1,.,.,07,5,138,5,146
06BR00868,R4465,3.0,18,, 6,1,0,190,1,W,1,.,.,07,5,181,5,189
06BR00869,R4462,3.0,18,NICE LAMB,26,1,0,168,2,W,1,.,.,07,6,157,6,162
06BR00870,R4424,3.0,18,H2,29,1,7,175,2,W,1,.,.,07,6,166,7,174
06BR00871,R4429,3.0,18,,15,1,0,160,2,W,1,.,.,07,5,157,6,167
