UID,ETAG,YR,SEX,LINE,LOT,BPEN,PD,FAWT,COND,BGRP,GRP,RMK
92BR03195,X6502,88,2,47,32C,R-0,1,157,3,2,,
92BR03196,X6549,88,2,47,29C,R-0,1,137,2,2,,THINEWE
92BR03197,X6637,88,2,47,31B,R-0,1,156,3,2,,
92BR03198,X6722,88,2,45,32A,R-0,1,149,2,2,,
92BR03199,X6733,88,2,45,32A,R-0,1,155,3,2,,
92BR03200,X6799,88,2,47,32C,R-0,1,165,3,2,,
92BR03201,X6800,88,2,47,34D,R-0,1,140,3,2,,
92BR03202,X6882,88,2,47,35A,R-0,1,160,3,2,,BRN.NOSE.LEGS
92BR03203,X6945,88,2,47,34D,R-0,1,170,4,2,,
92BR03204,X6963,88,2,47,31D,R-0,1,147,3,2,,
92BR03205,X6999,88,2,47,35C,R-0,1,170,4,2,,
92BR03206,X7042,88,2,47,30A,R-0,1,170,2,2,,TINY BAG
92BR03207,X7052,88,2,47,35A,R-0,1,135,2,2,,
92BR03208,X7102,88,2,47,29A,R-0,1,174,4,2,,
92BR03209,X7150,88,2,47,29A,R-0,1,147,3,2,,
92BR03210,X7151,88,2,47,35A,R-0,1,162,3,2,,AB.L.FACE
92BR03211,X7166,88,2,47,30A,R-0,1,150,3,2,,
92BR03212,X7254,88,2,47,31B,R-0,1,168,4,2,,
92BR03213,X7290,88,2,47,35A,R-0,1,151,2,2,,CHK ?? DRY ??
92BR03214,X7417,88,2,47,35C,R-0,1,137,3,2,,
92BR03215,X7445,88,2,45,31B,R-0,1,135,2,2,,
92BR03216,X7482,88,2,45,35A,R-0,1,138,1,2,,
92BR03217,X7486,88,2,45,31D,R-0,1,164,4,2,,
92BR03218,X7514,88,2,47,30A,R-0,1,160,2,2,,
92BR03219,X7529,88,2,47,32C,R-0,1,172,3,2,,
92BR03220,X7572,88,2,45,31B,R-0,1,124,3,2,,
92BR03221,X7654,88,2,45,34D,R-0,1,156,3,2,,
92BR03222,X7682,88,2,47,34D,R-0,1,154,3,2,,
92BR03223,X7701,88,2,47,34D,R-0,1,168,3,2,,
92BR03224,X7728,88,2,45,35A,R-0,1,154,2,2,,
92BR03225,X7755,88,2,47,35A,R-0,1,144,3,2,,
92BR03226,X7776,88,2,45,35C,R-0,1,138,3,2,,
92BR03227,X7800,88,2,47,32C,R-0,1,152,3,2,,
92BR03228,X7805,88,2,97,,972,1,0,,1,,
92BR03229,X7815,88,2,47,32A,R-0,1,187,3,2,,
92BR03230,X7843,88,2,45,34D,R-0,1,155,3,2,,
92BR03231,X7867,88,2,45,34D,R-0,1,176,3,2,,
92BR03232,X7919,88,2,97,,972,1,0,,1,,
92BR03233,X8180,89,2,97,BFX,-X,3,0,,X,,DYSTOCIA
92BR03234,X8181,89,2,97,,971,1,0,,1,,LAMENESS D125
92BR03235,X8183,89,2,97,,972,1,0,,1,,
92BR03236,X8190,89,2,97,BFX,-X,3,0,,X,,?UDDER
92BR03237,X8206,89,2,97,,972,1,0,,1,,
92BR03238,X8219,89,2,97,,972,1,0,,1,,
92BR03239,X8224,89,2,97,,972,1,0,,1,,
92BR03240,X8232,89,2,97,,971,1,0,,1,,"THIN,REARED 2"
92BR03241,X8240,89,2,97,BFX,-X,3,0,,X,,1992=42#PROD.
92BR03242,X8241,89,2,97,,972,1,0,,1,,SLICK X-0 '92
92BR03243,X8248,89,2,97,BFX,-X,3,0,,X,,"TITETEAT,DYST"
92BR03244,X8254,89,2,97,,972,1,0,,1,,LATE2MILK
92BR03245,X8261,89,2,97,,972,1,0,,1,,RF.LAME
92BR03246,X8271,89,2,97,,972,1,0,,1,,
92BR03247,X8281,89,2,97,,971,1,0,,1,,
92BR03248,X8283,89,2,97,BFX,-X,3,0,,X,,DYSTOCIA
92BR03249,X8284,89,2,97,,972,1,0,,1,,
92BR03250,X8339,89,2,97,,971,1,0,,1,,
92BR03251,X8382,89,2,97,,971,1,0,,1,,
92BR03252,X8436,89,2,97,,972,1,0,,1,,
92BR03253,X9624,90,2,97,,971,1,0,,1,,FIGHTER
92BR03254,X9671,90,2,97,,971,1,0,,1,,
92BR03255,X9712,90,2,97,BFX,-X,3,0,,X,,X.VERY THIN
92BR03256,X9719,90,2,97,BFX,-X,3,0,,X,,
92BR03257,X9740,90,2,97,,972,1,0,,1,,
92BR03258,X9742,90,2,97,,971,1,0,,1,,
92BR03259,X9744,90,2,97,,972,1,0,,1,,
92BR03260,X9752,90,2,97,,972,1,0,,1,,
92BR03261,X9763,90,2,97,,971,1,0,,1,,SM.TEATS
92BR03262,X9768,90,2,97,,971,1,0,,1,,
92BR03263,X9769,90,2,97,,972,1,0,,1,,
92BR03264,X9773,90,2,97,,971,1,0,,1,,
92BR03265,X9807,90,2,97,BFX,-X,3,0,,X,,R.P.
92BR03266,X9808,90,2,97,,972,1,0,,1,,
92BR03267,X9892,90,2,97,,971,1,0,,1,,
92BR03268,X9975,90,2,97,,972,1,0,,1,,
92BR03269,Y8842,85,2,00,,B-0,1,183,5,1,B,"MID.LUMP,BLK."
92BR03270,Y9140,86,2,82,,69,1,156,2,2,,POSTPARTSTRES
92BR03271,Y9167,86,2,82,,70,1,175,2,2,,UDDERABRASION
92BR03272,Y9223,86,2,82,,71,1,174,3,2,,LT'S
92BR03273,Y9335,86,2,84,,R-0,1,166,3,2,,BRITCHY
92BR03274,Y9396,86,2,81,,P01,1,150,3,2,,5 BAG
92BR03275,Y9433,86,2,80,,F93,1,180,3,F,,
92BR03276,Y9457,86,2,81,,P02,1,116,2,2,,"SW.BAG,FLT"
92BR03277,Y9597,86,2,81,,P03,1,181,3,2,,?BAG
92BR03278,Y9678,86,2,80,,F93,1,165,2,F,,BROKEWOOL
92BR03279,Y9865,86,2,80,,F93,1,173,4,F,,
92BR03280,Y9897,86,2,72,,F93,1,0,,F,,
92BR03281,Y9959,86,2,73,,F93,1,0,,F,,
92BR03282,Y9963,86,2,72,,F93,1,0,,F,,
92BR03283,Z0056,90,2,97,,971,1,0,,1,,
92BR03284,Z0057,90,2,97,,971,1,0,,1,,
92BR03285,Z0058,90,2,00,,B-0,1,150,3,1,B,BLACK
92BR03286,Z0059,90,2,97,BFX,-X,3,0,,X,,BARREN
92BR03287,Z0115,90,2,97,,971,1,0,,1,,
92BR03288,Z0116,90,2,97,BFX,-X,3,0,,X,,
92BR03289,Z0123,90,2,97,,971,1,0,,1,,
92BR03290,Z0128,90,2,97,,971,1,0,,1,,
92BR03291,Z0156,90,2,97,,972,1,0,,1,,
92BR03292,Z0169,90,2,97,,971,1,0,,1,,
92BR03293,Z0446,90,2,97,,972,1,0,,1,,
92BR03294,Z0466,91,2,97,,972,1,0,,1,,
92BR03295,Z0506,91,2,97,,971,1,0,,1,,
92BR03296,Z0514,91,2,97,,972,1,0,,1,,
92BR03297,Z0541,91,2,97,,971,1,0,,1,,
92BR03298,Z0543,91,2,97,,971,1,0,,1,,
92BR03299,Z0544,91,2,97,,971,1,0,,1,,
92BR03300,Z0545,91,2,97,,971,1,0,,1,,
92BR03301,Z0576,91,2,97,,971,1,0,,1,,
92BR03302,Z0578,91,2,97,,972,1,0,,1,,
92BR03303,Z0584,91,2,97,,971,1,0,,1,,
92BR03304,Z0597,91,2,97,,971,1,0,,1,,
92BR03305,Z0607,91,2,97,,972,1,0,,1,,
92BR03306,Z0610,91,2,97,,971,1,0,,1,,
92BR03307,Z0613,91,2,97,BFX,-X,3,0,,X,,FX.RF.LEG
92BR03308,Z0634,91,2,97,,971,1,0,,1,,DYS.HEADFIRST
92BR03309,Z0667,91,2,97,BFX,-X,3,0,,X,,VAG.PROLAPSE
92BR03310,Z0681,91,2,97,,972,1,0,,1,,
92BR03311,Z0682,91,2,97,,972,1,0,,1,,
92BR03312,Z0683,91,2,97,,972,1,0,,1,,
92BR03313,Z0685,91,2,97,,971,1,0,,1,,
92BR03314,Z0729,91,2,97,,971,1,0,,1,,
92BR03315,Z0733,91,2,97,,972,1,0,,1,,
92BR03316,Z0786,91,2,97,,971,1,0,,1,,
92BR03317,Z0802,91,2,97,,971,1,0,,1,,
92BR03318,Z0848,91,2,97,,971,1,0,,1,,
92BR03319,Z0850,91,2,97,,971,1,0,,1,,
92BR03320,Z0958,91,2,97,,972,1,0,,1,,
