UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
19BR00646,S0839,3.0,,.,47,2,0,171,1,162,1008,W,1,,07,,,,
19BR00647,S0843,3.0,,.,49,2,0,163,1,149,1008,W,1,,07,158,1113,165,0108
19BR00648,S0847,3.0,,.,58,2,0,184,1,172,1008,W,1,,07,195,1113,196,0108
19BR00649,S0848,3.0,,.,58,2,0,220,2,217,1008,W,1,,07,226,1113,226,0108
19BR00650,S0849,3.0,,.,60,2,,189,2,179,1008,W,1,,07,193,1113,200,0108
19BR00651,S0855,3.0,,LameTx,64,2,0,201,1,198,1008,W,1,,42,198,1113,216,0108
19BR00652,S0861,3.0,,.,48,2,,165,2,155,1008,W,1,,07,163,1113,171,0108
19BR00653,S0863,3.0,,.,59,2,0,187,1,173,1008,W,1,,07,194,1113,208,0108
19BR00654,S0877,3.0,,.,51,2,,184,D,175,1008,W,1,,07,174,1113,174,0108
19BR00655,S0883,3.0,,.,62,2,0,180,2,179,1008,W,1,,07,179,1113,182,0108
19BR00656,S0892,3.0,,1ST,61,2,0,209,2,188,1010,W,1,,07,215,1113,213,0108
19BR00657,S0904,3.0,,.,52,2,0,172,2,172,1008,W,1,,07,183,1113,187,0108
19BR00658,S0906,3.0,,.,49,2,0,182,2,168,1008,W,1,,07,176,1113,189,0108
19BR00659,S0920,3.0,,.,45,2,0,167,1,162,1008,W,1,,07,174,1113,183,0108
19BR00660,S0923,3.0,,.,44,2,0,163,1,160,1008,W,1,,07,156,1113,163,0108
19BR00661,S0926,3.0,,.,52,2,,160,1,151,1008,W,1,,42,168,1113,163,0108
19BR00662,S0930,3.0,,.,55,2,,178,2,178,1008,W,1,,42,190,1113,195,0108
19BR00663,S0933,3.0,,.,52,2,0,185,1,175,1010,W,1,,07,198,1113,199,0108
19BR00664,S0934,3.0,,.,54,2,0,184,1,182,1008,W,1,,07,194,1113,189,0108
19BR00665,S0948,3.0,,.,46,2,0,189,2,165,1010,W,1,,07,177,1113,184,0108
19BR00666,S0955,3.0,,LameTx,47,2,0,193,2,171,1008,W,1,,07,190,1113,183,0108
19BR00667,S0963,3.0,,.,44,2,0,147,2,146,1008,W,1,,07,136,1113,149,0108
19BR00668,S0977,3.0,,.,51,2,,166,1,158,1010,W,1,,07,182,1113,190,0108
19BR00669,S0982,3.0,,.,57,2,,197,2,183,1008,W,1,,43,196,1113,202,0108
19BR00670,S0984,3.0,,.,48,2,,169,1,169,1008,W,1,,07,172,1113,187,0108
19BR00671,S0988,3.0,,.,60,2,0,162,1,156,1008,W,1,,07,166,1113,176,0108
19BR00672,S0993,3.0,,.,63,2,,152,1,156,1008,W,1,,07,164,1113,164,0108
19BR00673,S0995,3.0,,.,44,2,,177,1,176,1008,W,1,,07,176,1113,194,0108
19BR00674,S1005,3.0,,.,42,2,0,176,2,169,1008,W,1,,07,166,1113,169,0108
19BR00675,S1012,3.0,,.,54,2,0,173,1,162,1008,W,1,,42,176,1113,180,0108
19BR00676,S1014,3.0,,.,64,2,0,178,2,175,1008,W,1,,07,169,1113,188,0108
19BR00677,S1016,3.0,,.,45,2,0,190,1,185,1008,W,1,,07,186,1113,183,0108
19BR00678,S1023,3.0,,.,53,2,0,206,D,196,1008,W,1,,07,210,1113,205,0108
19BR00679,S1024,3.0,,.,54,2,0,174,1,167,1008,W,1,,07,182,1113,189,0108
19BR00680,S1025,3.0,,.,55,2,0,175,2,174,1008,W,1,,07,195,1113,194,0108
