UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK,DISP,PESSARY
03BR00161,90748,4.0,88,"VLT,R.",26P,1,.,172,2,W,,
03BR00162,90764,4.0,18,,31,2,.,187,5,W,,
03BR00163,90768,4.0,18,ASSISTED,33,2,.,150,1,W,,
03BR00164,90767,4.0,18,,32,2,.,160,1,W,,
03BR00165,90785,4.0,00,BLACK EWE,BLK,1,1,189,1,W,,
03BR00166,90786,4.0,18,"VLT,L.",34,2,.,189,4,W,,
03BR00167,90791,4.0,88,BIG TAG y2001,15,5,.,168,1,W,,
03BR00168,A4111,6.0,81,,21P,1,.,153,1,W,,
03BR00169,A4133,6.0,81,,22,5,.,136,2,W,,
03BR00170,A4134,6.0,81,,23,5,.,151,2,W,,
03BR00171,A4096,6.0,82,NICE TEATS,15P,1,.,158,2,W,,
03BR00172,A4343,6.0,81,NICE,24,5,.,176,3,W,,
03BR00173,A4345,6.0,73,,25,5,.,158,1,W,,None
03BR00174,A4368,6.0,73,,UTE,U,.,127,4,W,,
03BR00175,A4481,6.0,82,DYSTOCIA,22P,1,.,157,2,W,,
03BR00176,A4491,6.0,81,"FAT,LTS",23P,1,.,202,3,W,,
03BR00177,A4494,6.0,73,,24P,1,.,151,2,W,,
03BR00178,A4476,6.0,81,SUCK1SIDE,01P,1,.,195,1,W,,
03BR00179,A4477,6.0,73,THIN,03P,1,.,158,2,W,,
03BR00180,A4510,6.0,81,,26,5,.,171,1,W,,
03BR00181,A4501,6.0,73,THIN 7/2003,UTE,U,.,123,4,W,,
03BR00182,A4520,6.0,81,"DYSTOCIA,quad",04P,1,.,157,3,W,,
03BR00183,A4524,6.0,81,,27,5,.,155,4,W,,
03BR00184,A4596,6.0,82,,01P,1,.,170,3,W,,
03BR00185,A4598,6.0,73,CASEOUS?,02P,1,.,155,2,W,,
03BR00186,A4653,6.0,82,R.P.,25P,1,.,164,2,W,,
03BR00187,A4624,6.0,82,,03P,1,.,172,2,W,,
03BR00188,A4263,6.0,81,DIARRHEA,16P,1,.,158,1,W,,
03BR00189,A4267,6.0,82,PNEU.,04P,1,.,157,2,W,,
03BR00190,A4282,6.0,82,OK PINK,02P,1,.,171,1,W,,
03BR00191,A4801,5.5,73,DYSTOCIA,11P,1,.,168,2,W,,
03BR00192,A4848,5.5,73,,32,2,.,152,4,W,,
03BR00193,A4851,5.5,73,SUCK1SIDE,33,2,.,173,3,W,,
03BR00194,A4883,5.5,73,,12P,1,.,171,3,W,,
03BR00195,A4895,5.5,73,WOOL BREAK,03P,1,.,191,2,W,,
03BR00196,A4899,5.5,73,BREECH,UTE,U,.,142,4,W,,
03BR00197,A4897,5.5,73,,34,2,.,178,3,W,,
03BR00198,A4872,5.5,73,NICE,02P,1,.,193,5,W,,
03BR00199,A4913,5.5,73,FAT,13P,1,.,165,3,W,,
03BR00200,A4918,5.5,73,NICE,04P,1,.,183,3,W,,
03BR00201,A4956,5.5,73,DIARRHEA,35,2,.,160,3,W,,
03BR00202,A4971,5.5,73,"?EYE, NOV/01",14P,1,.,153,2,W,,
03BR00203,A4700,5.5,73,,04P,1,.,150,1,W,,
03BR00204,A4733,5.5,73,"Bio200,UDDER",UTE,U,.,154,4,W,,
03BR00205,A4740,5.5,73,MSG 3/8/00,28,5,.,144,4,W,,
03BR00206,A4743,5.5,73,LTS,UTE,U,.,152,4,W,,
03BR00207,A4762,5.5,73,,26P,1,.,183,5,W,,
03BR00208,A4793,5.5,73,,01P,1,.,167,3,W,,
03BR00209,A4798,5.5,73,,31,2,.,171,1,W,,
03BR00210,A4777,5.5,73,FLTS,UTE,U,.,149,4,W,,
03BR00211,A5115,5.0,81,"DYSTOCIA,twin",41,2,.,181,3,W,,
03BR00212,A5116,5.0,81,TRY3,21P,1,.,202,1,W,,
03BR00213,A5103,5.0,82,"METRITIS,mild",16P,1,.,162,2,W,,
03BR00214,A5161,5.0,82,LTS,01P,1,.,167,3,W,,
03BR00215,A5128,5.0,81,EYE OK,42,2,.,194,1,W,,
03BR00216,A5190,5.0,82,,43,2,.,167,1,W,,
03BR00217,A5194,5.0,81,"ODD L,TEAT",02P,1,.,168,1,W,,
03BR00218,A5050,5.0,81,NICE,15P,1,.,148,2,W,,
03BR00219,A5057,5.0,81,,37,2,.,177,3,W,,
03BR00220,A5026,5.0,82,,36,2,.,181,3,W,,
03BR00221,A5078,5.0,82,,38,2,.,181,1,.,10,
03BR00222,A5301,5.0,82,,03P,1,.,161,3,W,,
03BR00223,A5304,5.0,88,,46,2,.,162,4,W,,
03BR00224,A5335,5.0,81,HAIRY,04P,1,.,151,2,W,,
03BR00225,A5364,5.0,81,GOOD,24P,1,.,177,2,W,,
03BR00226,A5320,5.0,82,,47,2,.,158,4,W,12,
03BR00227,A5392,5.0,81,"TRT.EYE,11/01",01P,1,.,189,1,W,,
03BR00228,A5398,5.0,82,THICK MILK,02P,1,.,172,2,W,,
03BR00229,A5370,5.0,81,,48,2,.,173,3,W,,
03BR00230,A5405,5.0,82,NICE EWE,25P,1,.,150,3,W,,
03BR00231,A5434,5.0,82,ABS. L.FLANK,04P,1,.,170,2,W,,
03BR00232,A5429,5.0,82,R.P. OK,03P,1,.,169,1,W,,
03BR00233,A5473,5.0,81,METRITIS,26P,1,.,152,2,W,,
03BR00234,A5524,5.0,82,PNEU.,11P,1,.,166,2,W,17,
03BR00235,A5529,5.0,82,NICE,11,5,.,182,4,W,,
03BR00236,A5589,5.0,82,,01P,1,.,165,3,W,,
03BR00237,A5594,5.0,81,,12,5,.,170,2,W,,
03BR00238,A5600,5.0,82,,02P,1,.,170,3,W,,
03BR00239,A5605,5.0,82,,12P,1,.,173,1,W,,
03BR00240,A5606,5.0,82,TX.R.EYE'03,13,5,.,159,4,W,,
03BR00241,A5632,5.0,81,"THIN,CULLY",14,5,.,172,3,W,,
03BR00242,A5620,5.0,82,,03P,1,.,187,3,W,,
03BR00243,A5680,5.0,81,VAG.ASSISTED,13P,1,.,192,5,W,,
03BR00244,A5683,5.0,81,"BRITCHY,FLTS",UTE,U,.,157,2,W,,
03BR00245,A5674,5.0,82,,15,5,.,160,4,W,,
03BR00246,A5243,5.0,81,,22P,1,.,164,5,W,,
03BR00247,A5248,5.0,73,,44,2,.,144,1,W,,
03BR00248,A5295,5.0,82,VLTS,23P,1,.,153,1,W,,
03BR00249,A5279,5.0,81,,45,2,.,172,1,W,,
03BR00250,A5801,4.5,73,,15P,1,.,172,3,W,,
03BR00251,A5806,4.5,73,,21,5,.,122,4,W,,
03BR00252,A5836,4.5,73,DYSTOCIA,01P,1,.,167,3,W,,
03BR00253,A5847,4.5,73,,UTE,U,.,169,4,W,,
03BR00254,A5822,4.5,73,,22,5,.,132,4,W,,
03BR00255,A5873,4.5,73,,04P,1,.,166,5,W,,
03BR00256,A5874,4.5,73,"DYSTOCIA,THIN",16P,1,.,176,2,W,,
03BR00257,A5875,4.5,73,,01P,1,.,154,3,W,,
03BR00258,A5906,4.5,73,LTS,23,5,.,167,1,W,,
03BR00259,A5945,4.5,73,THIN,21P,1,.,163,3,W,,
03BR00260,A5957,4.5,73,,24,5,.,186,3,W,,
03BR00261,A5963,4.5,73,,25,5,.,141,1,W,,
03BR00262,A5711,5.0,82,BRN.FOOT,04P,1,.,178,1,W,,
03BR00263,A5764,4.5,73,,16,5,.,153,3,W,,
03BR00264,A5729,5.0,88,,02P,1,.,182,5,W,,
03BR00265,A5783,4.5,73,GONG 10/06/00,03P,1,.,140,3,W,,
03BR00266,A5782,4.5,73,R.P. OK,18,5,.,147,3,W,,
03BR00267,A5770,4.5,73,,14P,1,.,188,3,W,,
03BR00268,A5776,4.5,73,,17,5,.,139,4,W,,
03BR00269,A6138,4.0,82,,02P,1,.,172,1,W,,
03BR00270,A6146,4.0,81,,26,5,.,159,4,W,,
03BR00271,A6180,4.0,82,NICE EWE,23P,1,.,177,2,W,,
03BR00272,A6175,4.0,82,THIN,27,5,.,149,3,W,,
03BR00273,A6092,4.0,82,NICE,22P,1,.,142,1,W,,
03BR00274,A6300,4.0,82,SUCK1SIDE,03P,1,.,172,5,W,,
03BR00275,A6306,4.0,81,,32,2,.,187,4,W,,
03BR00276,A6335,4.0,88,R.P.,02P,1,.,162,1,W,,
03BR00277,A6338,4.0,82,,26P,1,.,176,2,W,,
03BR00278,A6341,4.0,81,,11P,1,.,157,1,W,,
03BR00279,A6323,4.0,88,,25P,1,.,167,3,W,,
03BR00280,A6379,4.0,88,L.EYE TRT '02,33,2,.,163,3,W,,
03BR00281,A6414,4.0,82,,04P,1,.,193,5,W,,
03BR00282,A6419,4.0,81,,34,2,.,164,3,W,,
03BR00283,A6435,4.0,88,,12P,1,.,190,1,W,,
03BR00284,A6441,4.0,88,TRT.2EYES'02,35,2,.,195,2,W,,
03BR00285,A6444,4.0,82,,01P,1,.,153,3,W,,
03BR00286,A6454,4.0,82,DIARRHEA,13P,1,.,156,2,W,,
03BR00287,A6498,4.0,82,ENTR,02P,1,.,148,1,W,,
03BR00288,A6497,4.0,82,NO COLOR,36,2,.,143,4,W,,
03BR00289,A6514,4.0,88,,03P,1,.,176,2,W,,
03BR00290,A6555,4.0,81,,37,2,.,165,3,W,,
03BR00291,A6565,4.0,81,,38,2,.,197,4,W,,
03BR00292,A6566,4.0,81,NICE,14P,1,.,202,3,W,,
03BR00293,A6588,4.0,82,,04P,1,.,167,2,W,,
03BR00294,A6589,4.0,82,R.EYE 9/02,15P,1,.,153,2,W,,
03BR00295,A6618,4.0,81,,43,2,.,168,3,W,,
03BR00296,A6617,4.0,81,,42,2,.,168,2,W,,
03BR00297,A6600,4.0,82,,01P,1,.,141,3,W,,
03BR00298,A6608,4.0,88,,41,2,.,197,3,W,,
03BR00299,A6607,4.0,88,,16P,1,.,172,3,W,,
03BR00300,A6640,4.0,88,,44,2,.,185,3,W,,
03BR00301,A6656,4.0,82,THIN EWE,45,2,.,153,4,W,,
03BR00302,A6668,4.0,88,"DYSTOCIA,feet",21P,1,.,157,3,W,,
03BR00303,A6628,4.0,82,NICE EWE,01P,1,.,142,2,W,,
03BR00304,A6686,4.0,81,,22P,1,.,175,1,W,,
03BR00305,A6697,4.0,88,,03P,1,.,176,2,W,,
03BR00306,A6678,4.0,88,,46,2,.,167,2,W,,
03BR00307,A6233,4.0,88,,24P,1,.,189,3,W,,
03BR00308,A6235,4.0,88,PNEU.?,03P,1,.,169,2,W,,
03BR00309,A6254,4.0,88,,04P,1,.,169,1,W,,
03BR00310,A6265,4.0,82,,28,5,.,176,3,.,10,
03BR00311,A6285,4.0,81,,01P,1,.,178,1,W,,
03BR00312,A6295,4.0,88,HAIRY,31,2,.,158,4,W,,
03BR00313,A6803,4.0,81,TRT EYE '01,04P,1,.,181,3,W,,
03BR00314,A6845,4.0,82,,02P,1,.,171,3,W,,
03BR00315,A6849,4.0,88,GRAFT FAILED,13,5,.,172,3,W,,
03BR00316,A6854,4.0,81,,26P,1,.,180,3,W,,
03BR00317,A6885,4.0,82,STRONG,15,5,.,160,4,W,,
03BR00318,A6898,4.0,88,L.EYE WHITE,UTE,U,.,142,4,W,,
03BR00319,A6879,4.0,81,,14,5,.,143,4,W,,
03BR00320,A6906,4.0,81,,17,5,.,190,2,W,,
03BR00321,A6902,4.0,82,R.EYE OK,16,5,.,159,3,W,,
03BR00322,A6907,4.0,81,,18,5,.,174,3,W,,
03BR00323,A6931,4.0,88,,21,5,.,173,4,W,,
03BR00324,A6943,4.0,82,,25P,1,.,186,1,W,,
03BR00325,A6947,4.0,82,R.EYE TRT'01,22,5,.,161,3,W,,
03BR00326,A6708,4.0,88,,23P,1,.,147,1,W,,
03BR00327,A6732,4.0,82,,12,5,.,143,4,W,,
03BR00328,A6769,4.0,82,,24P,1,.,134,5,W,,
03BR00329,A6723,4.0,81,,47,2,.,176,4,W,,
03BR00330,A6724,4.0,81,JUMPER,48,2,.,185,2,W,,
03BR00331,A6726,4.0,88,,11,5,.,190,3,W,,
03BR00332,A8198,2.0,82,WEAK,04P,1,.,145,2,W,,
03BR00333,A8197,2.0,82,4TEATS,34,2,.,158,3,W,,
03BR00334,A8172,2.0,84,HAIRY,25P,1,.,161,1,W,,
03BR00335,A8039,3.0,81,,23P,1,.,161,2,W,,
03BR00336,A8062,3.0,81,VLTS,33,2,.,180,2,W,,
03BR00337,A8074,3.0,88,,24P,1,.,169,2,W,,
03BR00338,A8310,2.0,84,INT.TRAUMA?,14P,1,.,167,3,W,,
03BR00339,A8316,2.0,81,,43,2,.,161,2,W,,
03BR00340,A8318,2.0,84,,45,2,.,153,5,W,,
03BR00341,A8319,2.0,81,,15P,1,.,191,5,W,,
03BR00342,A8317,2.0,84,,44,2,.,141,2,W,,
03BR00343,A8305,2.0,84,NICE,42,2,.,136,3,W,,
03BR00344,A8333,2.0,81,,04P,1,.,171,2,W,,
03BR00345,A8336,2.0,81,,01P,1,.,186,5,W,,
03BR00346,A8339,2.0,82,WEAK,21P,1,.,140,1,W,,
03BR00347,A8359,2.0,81,NICE,22P,1,.,158,1,W,,
03BR00348,A8360,2.0,81,DIARRHEA,46,2,.,152,2,W,,
03BR00349,A8326,2.0,84,4TEATS,16P,1,.,162,3,W,,
03BR00350,A8380,2.0,83,,23P,1,.,192,2,W,,
03BR00351,A8386,2.0,84,,11,5,.,158,2,W,,
03BR00352,A8393,2.0,81,,02P,1,.,156,2,W,,
03BR00353,A8394,2.0,82,OPEN/LAMBED,04P,1,.,133,1,W,,
03BR00354,A8399,2.0,84,,01P,1,.,135,2,W,,
03BR00355,A8371,2.0,82,,47,2,.,120,4,W,,
03BR00356,A8373,2.0,82,,48,2,.,157,1,W,,
03BR00357,A8375,2.0,00,BLACK EWE,BLK,1,1,144,1,W,,
03BR00358,A8376,2.0,83,,03P,1,.,172,1,W,,
03BR00359,A8413,2.0,82,,12,5,.,154,3,W,,
03BR00360,A8414,2.0,82,4TEATS,26P,1,.,165,3,W,,
03BR00361,A8416,2.0,84,,03P,1,.,132,1,W,,
03BR00362,A8401,2.0,84,WILD,24P,1,.,152,1,W,,
03BR00363,A8404,2.0,82,NOT B3 2003,25P,1,.,163,1,W,,
03BR00364,A8405,2.0,82,,02P,1,.,130,1,W,,
03BR00365,A8434,2.0,81,,13,5,.,154,4,W,,
03BR00366,A8439,2.0,84,,14,5,.,157,1,W,,
03BR00367,A8443,2.0,84,HAIRY,11P,1,.,180,2,W,,
03BR00368,A8456,2.0,84,,04P,1,.,158,2,W,,
03BR00369,A8460,2.0,84,DIARRHEA,01P,1,.,144,2,W,,
03BR00370,A8481,2.0,81,,16,5,.,163,1,W,,
03BR00371,A8480,2.0,81,,13P,1,.,155,2,W,,
03BR00372,A8493,2.0,83,,03P,1,.,171,2,W,,
03BR00373,A8498,2.0,84,BUSH,01P,1,.,149,1,W,,
03BR00374,A8499,2.0,84,SMALL,14P,1,.,135,2,W,,
03BR00375,A8497,2.0,83,ROUGH SHORN,04P,1,.,147,3,W,,
03BR00376,A8473,2.0,84,BLK.R.EYE,12P,1,.,117,3,W,,
03BR00377,A8474,2.0,84,,15,5,.,144,4,W,,
03BR00378,A8475,2.0,84,,02P,1,.,148,2,W,,
03BR00379,A8511,2.0,81,,17,5,.,152,3,W,,
03BR00380,A8505,2.0,84,,02P,1,.,154,3,W,,
03BR00381,A8507,2.0,84,,03P,1,.,165,2,W,,
03BR00382,A8531,2.0,84,,18,5,.,193,1,W,,
03BR00383,A8530,2.0,84,,21P,1,.,159,3,W,,
03BR00384,A8532,2.0,84,GASH R.SHOU.,21,5,.,143,2,W,,
03BR00385,A8543,2.0,84,,23P,1,.,154,1,W,,
03BR00386,A8546,2.0,81,"DYSTOCIA,dry",04P,1,.,180,5,W,,
03BR00387,A8522,2.0,83,,15P,1,.,152,3,W,,
03BR00388,A8528,2.0,81,4TEATS,16P,1,.,155,3,W,,
03BR00389,A8580,2.0,83,"ROUGH,THIN",01P,1,.,163,3,W,,
03BR00390,A8586,2.0,83,DYSTOCIA,04P,1,.,158,3,W,,
03BR00391,A8599,2.0,84,,22,5,.,179,3,W,,
03BR00392,A8597,2.0,84,,01P,1,.,151,1,W,,
03BR00393,A8616,2.0,81,TRT L.EYE '03,23,5,.,155,1,W,,
03BR00394,A8600,2.0,84,,22P,1,.,175,3,W,,
03BR00395,A8631,2.0,81,,25P,1,.,186,3,W,,
03BR00396,A8642,2.0,83,,03P,1,.,163,1,W,,
03BR00397,A8660,2.0,81,BUSH,24,5,.,155,2,W,,
03BR00398,A8662,2.0,82,,01P,1,.,129,1,W,,
03BR00399,A8623,2.0,83,,24P,1,.,165,3,W,,
03BR00400,A8684,2.0,84,,25,5,.,129,4,W,,
03BR00401,A8685,2.0,84,,26,5,.,158,4,W,,
03BR00402,A8695,2.0,84,,02P,1,.,139,3,W,,
03BR00403,A8696,2.0,82,TINY,04P,1,.,144,1,W,,
03BR00404,A8670,2.0,83,,03P,1,.,143,1,W,,
03BR00405,A8673,2.0,83,R.P. OK,26P,1,.,164,2,W,,
03BR00406,A8677,2.0,84,WEAK,11P,1,.,179,1,W,,
