UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,GET,WORK
98BR00170, 2099,4.0,00,,L-,3,7,157,N,*
98BR00171, 2076,5.0,18,LAME RR 52094,L-,3,7,170,N,*
98BR00172, 2505,5.0,18,,L-,3,7,144,N,*
98BR00173, 2534,5.0,00,,L-,3,7,168,N,*
98BR00174, 2541,5.0,18,,L-,3,7,143,N,*
98BR00175, 2540,5.0,18,SHED LAMBED95,L-,3,7,158,N,*
98BR00176, 2552,4.0,00,,L-,3,7,165,N,*
98BR00177, 2527,6.0,18,,L-,3,7,163,N,*
98BR00178, 9111,4.0,00,,L-,3,7,208,N,*
98BR00179, 9113,4.0,00,CHECK BAG,L-,3,7,188,N,*
98BR00180, 9104,4.0,00,,L-,3,7,172,N,*
98BR00181, 9003,6.0,18,,L-,3,7,154,N,*
98BR00182, 9024,5.0,18,,L-,3,7,141,N,*
98BR00183, 9029,5.0,18,,L-,3,7,184,N,*
98BR00184, 9090,4.0,00,,L-,3,7,161,N,*
98BR00185, 9092,4.0,00,BAG OK,L-,3,7,153,N,*
98BR00186, 9530,4.0,00,FIX YTEX TAG,L-,3,7,150,N,*
98BR00187, 9532,4.0,00,,L-,3,7,170,N,*
98BR00188, 9526,5.0,18,,L-,3,7,159,N,*
98BR00189, 9527,6.0,18,,L-,3,7,156,N,*
98BR00190, 7105,1.0,00,,L-,3,7,123,N,*
98BR00191, 7133,1.0,00,,L-,3,7,142,N,*
98BR00192, 7134,1.0,00,,L-,3,7,138,N,W
98BR00193, 7144,1.0,00,,L-,3,7,128,N,*
98BR00194, 7153,1.0,00,,L-,3,7,124,N,*
98BR00195, 7156,1.0,00,THIN,L-,3,7,143,N,*
98BR00196, 7158,1.0,00,,L-,3,7,121,N,*
98BR00197, 7164,1.0,00,,L-,3,7,131,N,*
98BR00198, 7168,1.0,00,,L-,3,7,113,N,*
98BR00199, 7167,1.0,00,,L-,3,7,145,N,*
98BR00200, 7123,1.0,00,,L-,3,7,115,N,*
98BR00201, 7124,1.0,00,,L-,3,7,133,N,W
98BR00202, 7055,1.0,00,,L-,3,7,130,N,*
98BR00203, 7058,1.0,00,,L-,3,7,127,N,*
98BR00204, 7060,1.0,00,,L-,3,7,130,N,*
98BR00205, 7067,1.0,00,,L-,3,7,146,N,W
98BR00206, 7075,1.0,00,,L-,3,7,126,N,*
98BR00207, 7316,1.0,00,,L-,3,7,124,N,*
98BR00208, 7300,1.0,00,,L-,3,7,129,N,*
98BR00209, 7334,1.0,00,,L-,3,7,142,N,*
98BR00210, 7337,1.0,00,,L-,3,7,138,N,*
98BR00211, 7340,1.0,00,,L-,3,7,138,N,*
98BR00212, 7362,1.0,00,,L-,3,7,162,N,W
98BR00213, 7324,1.0,00,,L-,3,7,129,N,*
98BR00214, 7326,1.0,00,,L-,3,7,140,N,*
98BR00215, 7389,1.0,00,,L-,3,7,127,N,*
98BR00216, 7395,1.0,00,TRT R.EYE '98,L-,3,7,140,N,W
98BR00217, 7371,1.0,00,,L-,3,7,165,N,W
98BR00218, 7414,1.0,00,,L-,3,7,134,N,*
98BR00219, 7415,1.0,00,,L-,3,7,121,N,*
98BR00220, 7416,1.0,00,,L-,3,7,132,N,*
98BR00221, 7412,1.0,00,,L-,3,7,127,N,*
98BR00222, 7417,1.0,00,,L-,3,7,133,N,*
98BR00223, 7403,1.0,00,NICE,L-,3,7,150,N,W
98BR00224, 7439,1.0,00,,L-,3,7,123,N,*
98BR00225, 7446,1.0,00,,L-,3,7,140,N,W
98BR00226, 7426,1.0,00,,L-,3,7,124,N,*
98BR00227, 7485,1.0,00,,L-,3,7,138,N,*
98BR00228, 7215,1.0,00,,L-,3,7,131,N,*
98BR00229, 7205,1.0,00,,L-,3,7,124,N,*
98BR00230, 7246,1.0,00,,L-,3,7,155,N,W
98BR00231, 7253,1.0,00,,L-,3,7,146,N,*
98BR00232, 7254,1.0,00,,L-,3,7,159,N,W
