UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,WORK
94BR01190,S1413,3.0,10,, 24,1,0,W
94BR01191,S1415,3.0,12,"SWBAG,DYSTOCI", 87,1,0,W
94BR01192,S1416,3.0,13,, 44,1,0,W
94BR01193,S1433,3.0,13,, 42,1,0,W
94BR01194,S1436,3.0,10,"SWBAG,DYSTOCI", 21,1,0,W
94BR01195,S1441,3.0,11,TENDER, 33,1,0,W
94BR01196,S1449,3.0,10,, 22,1,0,W
94BR01197,S1451,3.0,10,, 23,1,0,W
94BR01198,S1453,3.0,12,, 88,1,0,W
94BR01199,S1459,3.0,11,, 34,1,0,W
94BR01200,S1424,3.0,11,, 32,1,0,W
94BR01201,S1481,3.0,13,, 43,1,0,W
94BR01202,S1485,3.0,10,, 24,1,0,W
94BR01203,S1499,3.0,10,, 21,1,0,W
94BR01204,S1470,3.0,13,, 44,1,0,W
94BR01205,S1513,3.0,12,THIN93, 89,1,0,W
94BR01206,S1516,3.0,10,, 22,1,0,W
94BR01207,S1518,3.0,10,, 23,1,0,W
94BR01208,S1500,3.0,11,TORN L EAR, 31,1,0,W
94BR01209,S1533,3.0,10,, 21,1,0,W
94BR01210,S1538,3.0,13,, 44,1,0,W
94BR01211,S1551,3.0,12,FLTS, 90,1,0,W
94BR01212,S1556,3.0,13,LT RIGHT, 42,1,0,W
94BR01213,S1521,3.0,10,, 24,1,0,W
94BR01214,S1522,3.0,11,, 32,1,0,W
94BR01215,S1589,3.0,12,ASSYM.TEATS, 80,1,0,W
94BR01216,S1590,3.0,12,, 81,1,0,W
94BR01217,S1571,3.0,11,, 33,1,0,W
94BR01218,S1579,3.0,12,FIBERY?, 91,1,0,W
94BR01219,S1611,3.0,11,DYSTOCIA, 31,1,0,W
94BR01220,S1614,3.0,13,, 41,1,0,W
94BR01221,S1637,3.0,12,LAME LR ?BAG, 82,1,0,W
94BR01222,S1640,3.0,11,, 32,1,0,W
94BR01223,S1643,3.0,11,, 33,1,0,W
94BR01224,S1645,3.0,12,, 83,1,0,W
94BR01225,S1652,3.0,12,, 84,1,0,W
94BR01226,S1659,3.0,12,, 85,1,0,W
94BR01227,S1664,3.0,13,FIBER BAG, 43,1,0,W
94BR01228,S1667,3.0,12,DYSTOCIA 94, 86,1,0,W
94BR01229,S1621,3.0,11,, 34,1,0,W
94BR01230,S1622,3.0,10,, 22,1,0,W
94BR01231,S1690,3.0,11,L TEAT WART, 34,1,0,W
94BR01232,S1292,3.0,11,, 32,1,0,W
94BR01233,S1810,3.0,13,, 41,1,0,W
94BR01234,S1806,3.0,11,RP, 32,1,0,W
94BR01235,S1802,3.0,12,, 89,1,0,W
94BR01236,S1830,3.0,13,, 42,1,0,W
94BR01237,S1845,3.0,10,, 23,1,0,W
94BR01238,S1846,3.0,12,HARD BAG, 91,1,0,W
94BR01239,S1829,3.0,12,, 90,1,0,W
94BR01240,S1885,3.0,12,SM.BAG, 80,1,0,W
94BR01241,S1889,3.0,13,, 43,1,0,W
94BR01242,S1894,3.0,11,, 33,1,0,W
94BR01243,S1895,3.0,11,, 34,1,0,W
94BR01244,S1910,3.0,13,, 41,1,0,W
94BR01245,S1919,3.0,13,LTS, 42,1,0,W
94BR01246,S1900,3.0,11,"4"" HORNS", 31,1,0,W
94BR01247,S1904,3.0,13,, 41,1,0,W
94BR01248,S1931,3.0,10,, 24,1,0,W
94BR01249,S1934,3.0,13,, 44,1,0,W
94BR01250,S1936,3.0,11,, 33,1,0,W
94BR01251,S1943,3.0,12,, 81,1,0,W
94BR01252,S1942,3.0,11,, 32,1,0,W
94BR01253,S1953,3.0,18,,CCz,1,0,W
94BR01254,S1956,3.0,11,, 34,1,0,W
94BR01255,S1925,3.0,13,, 43,1,0,7
94BR01256,S1929,3.0,11,, 32,1,0,W
94BR01257,S1986,3.0,13,LT 1SIDE, 41,1,0,W
94BR01258,S1989,3.0,13,, 42,1,0,W
94BR01259,S1735,3.0,12,, 87,1,0,W
94BR01260,S1738,3.0,13,, 44,1,0,W
94BR01261,S1749,3.0,12,, 88,1,0,W
94BR01262,S1795,3.0,11,, 31,1,0,W
94BR01263,S0102,5.0,18,,CCz,1,0,W
94BR01264,S0138,5.0,13,, 44,1,0,W
94BR01265,S0150,5.0,13,SW BAG, 41,1,0,W
94BR01266,S0159,5.0,13,POSTPARTFEVER, 42,1,0,W
94BR01267,S0169,5.0,12,R.BLOODY ABNK, 90,1,0,W
94BR01268,S0121,5.0,12,, 88,1,0,W
94BR01269,S0128,5.0,10,, 21,1,0,W
94BR01270,S0127,5.0,11,, 31,1,0,W
94BR01271,S0011,5.0,13,, 42,1,0,W
94BR01272,S0031,5.0,13,DYSTOCIA 93, 41,1,0,W
94BR01273,S0047,5.0,12,SM.BAG, 87,1,0,W
94BR01274,S0061,5.0,10,SUCK1SIDE, 24,1,0,W
94BR01275,S0060,5.0,13,, 43,1,0,W
94BR01276,S0072,5.0,11,"THIN,LBWN 162", 34,1,0,W
94BR01277,S0336,4.0,13,DYSTOCIA '93, 41,1,0,W
94BR01278,S0337,4.0,11,, 33,1,0,W
94BR01279,S0340,4.0,12,, 85,1,0,W
94BR01280,S0346,4.0,10,HARD BAG 94, 23,1,0,W
94BR01281,S0347,4.0,10,VLTS, 21,1,0,W
94BR01282,S0357,4.0,11,, 34,1,0,W
94BR01283,S0360,4.0,13,, 42,1,0,W
94BR01284,S0363,4.0,11,, 31,1,0,W
94BR01285,S0365,4.0,11,LTS, 32,1,0,W
94BR01286,S0366,4.0,10,, 22,1,0,W
94BR01287,S0362,4.0,10,, 24,1,0,W
94BR01288,S0323,4.0,12,, 83,1,0,W
94BR01289,S0324,4.0,11,TENDER, 31,1,0,W
94BR01290,S0328,4.0,11,, 32,1,0,W
94BR01291,S0381,4.0,11,, 33,1,0,W
94BR01292,S0385,4.0,11,TENDER, 34,1,0,W
94BR01293,S0386,4.0,12,, 87,1,0,W
94BR01294,S0388,4.0,10,, 23,1,0,W
94BR01295,S0389,4.0,12,, 88,1,0,W
94BR01296,S0392,4.0,10,, 22,1,0,W
94BR01297,S0399,4.0,10,LT SUCK1SIDE, 24,1,0,W
94BR01298,S0374,4.0,12,"4"" HORNS", 84,1,0,W
94BR01299,S0415,4.0,13,, 43,1,0,W
94BR01300,S0416,4.0,12,, 86,1,0,W
94BR01301,S0417,4.0,13,SHORTSTAPLE, 44,1,0,W
94BR01302,S0401,4.0,10,, 21,1,0,W
94BR01303,S0433,4.0,12,, 90,1,0,W
94BR01304,S0436,4.0,12,, 91,1,0,W
94BR01305,S0438,4.0,11,, 31,1,0,W
94BR01306,S0439,4.0,10,, 23,1,0,W
94BR01307,S0440,4.0,13,ENTR, 43,1,0,W
94BR01308,S0456,4.0,12,"5"" HORNS", 81,1,0,W
94BR01309,S0452,4.0,12,, 80,1,0,W
94BR01310,S0459,4.0,11,LAME RF TRT, 32,1,0,W
94BR01311,S0461,4.0,10,ENTR, 24,1,0,W
94BR01312,S0466,4.0,12,, 82,1,0,W
94BR01313,S0469,4.0,11,, 33,1,0,W
94BR01314,S0421,4.0,13,, 41,1,0,W
94BR01315,S0420,4.0,12,ENTR, 89,1,0,W
94BR01316,S0427,4.0,13,, 42,1,0,W
94BR01317,S0484,4.0,10,FLT SUCK1SIDE, 21,1,0,W
94BR01318,S0493,4.0,10,R BLOODY MILK, 22,1,0,W
94BR01319,S0499,4.0,12,ENTR, 83,1,0,W
94BR01320,S0470,4.0,13,VLT, 44,1,0,W
94BR01321,S0476,4.0,13,, 41,1,0,W
94BR01322,S0514,4.0,18,HORNS,CCz,1,0,W
94BR01323,S0512,4.0,12,ENTR, 84,1,0,W
94BR01324,S0518,4.0,12,OPP?94SUSPECT, 85,1,0,W
94BR01325,S0519,4.0,10,FLTS, 23,1,0,W
94BR01326,S0509,4.0,11,, 34,1,0,W
94BR01327,S0536,4.0,13,, 43,1,0,W
94BR01328,S0560,4.0,11,, 33,1,0,W
94BR01329,S0563,4.0,13,, 44,1,0,W
94BR01330,S0569,4.0,13,, 41,1,0,W
94BR01331,S0521,4.0,10,, 24,1,0,W
94BR01332,S0523,4.0,12,, 87,1,0,W
94BR01333,S0526,4.0,11,, 31,1,0,W
94BR01334,S0528,4.0,13,, 42,1,0,W
94BR01335,S0527,4.0,11,, 32,1,0,W
94BR01336,S0590,4.0,12,, 89,1,0,W
94BR01337,S0593,4.0,11,, 34,1,0,W
94BR01338,S0596,4.0,13,, 44,1,0,W
94BR01339,S0599,4.0,12,DYSTOCIA '93, 86,1,0,W
94BR01340,S0597,4.0,10,, 22,1,0,W
94BR01341,S0570,4.0,13,, 42,1,0,W
94BR01342,S0573,4.0,10,, 21,1,0,W
94BR01343,S0575,4.0,13,, 43,1,0,W
94BR01344,S0578,4.0,12,, 88,1,0,W
94BR01345,S0619,4.0,10,, 22,1,0,W
94BR01346,S0606,4.0,10,, 24,1,0,W
94BR01347,S0602,4.0,10,, 23,1,0,W
94BR01348,S0608,4.0,10,, 21,1,0,W
94BR01349,S0637,4.0,10,EWE 1TAG, 23,1,0,W
94BR01350,S0641,4.0,12,, 90,1,0,W
94BR01351,S0640,4.0,13,, 41,1,0,W
94BR01352,S0644,4.0,12,, 91,1,0,W
94BR01353,S0642,4.0,10,, 24,1,0,W
94BR01354,S0656,4.0,11,, 33,1,0,W
94BR01355,S0657,4.0,11,, 31,1,0,W
94BR01356,S0626,4.0,11,SW BAG, 31,1,0,W
94BR01357,S0628,4.0,11,, 32,1,0,W
94BR01358,S0688,4.0,12,?BAG, 80,1,0,W
94BR01359,S0691,4.0,11,, 33,1,0,W
94BR01360,S0690,4.0,11,ENTR.SM.BAG, 32,1,0,W
94BR01361,S0695,4.0,11,, 34,1,0,W
94BR01362,S0692,4.0,13,, 42,1,0,W
94BR01363,S0674,4.0,10,"1TAG,TORNEAR", 21,1,0,W
94BR01364,S0675,4.0,11,, 34,1,0,W
94BR01365,S0679,4.0,10,SW.BAG, 22,1,0,W
94BR01366,S0811,4.0,12,, 89,1,0,W
94BR01367,S0810,4.0,12,LTS, 88,1,0,W
94BR01368,S0812,4.0,13,THINEWE, 41,1,0,W
94BR01369,S0818,4.0,12,DYSTOCIA LTS, 90,1,0,W
94BR01370,S0800,4.0,10,DYSUPSIDEDOWN, 22,1,0,W
94BR01371,S0804,4.0,18,,CCz,1,0,W
94BR01372,S0805,4.0,10,SM.BAG, 24,1,0,W
94BR01373,S0802,4.0,10,TICKS?, 23,1,0,W
