UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
14BR00499,R9677,1.0,,.,19,1,0,155,D,W,1,,07,166,1107,169,0106
14BR00500,R9678,1.0,,HAIRY SCOURS,22,1,,147,2,W,1,,07,155,1107,164,0106
14BR00501,R9682,1.0,,SLOWTOPUSH,22,1,0,136,2,W,1,,07,146,1107,154,0106
14BR00502,R9683,1.0,,.,23,1,0,142,1,0,1,93,07,,,,
14BR00503,R9686,1.0,,.,20,1,0,157,D,W,1,,07,177,1107,172,0106
14BR00504,R9693,1.0,,HAIRY,24,1,0,166,2,W,1,,07,175,1107,171,0106
14BR00505,R9695,1.0,,HAIRY SCOURS,31,2,0,143,D,W,1,,07,155,1112,155,0106
14BR00506,R9706,1.0,,SM.UDDER,21,1,,147,D,W,1,,07,156,1107,164,0106
14BR00507,R9709,1.0,,SMBAG.StinkyV,30,2,,184,D,W,1,,07,183,1112,186,0106
14BR00508,R9711,1.0,,NICE,23,1,0,138,2,W,1,,07,144,1107,151,0106
14BR00509,R9717,1.0,,1ST.HAIRY,23,1,0,126,1,W,1,,07,144,1107,146,0106
14BR00510,R9728,1.0,,FEVER,21,1,,158,1,W,1,,07,172,1107,184,0106
14BR00511,R9733,1.0,,HAIRY,32,2,0,120,2,W,1,,07,128,1112,125,0106
14BR00512,R9735,1.0,,HAIRY,28,2,0,165,2,W,1,,07,162,1112,155,0106
14BR00513,R9744,1.0,,H.1ST. SCOURS,19,1,,141,2,W,1,,07,151,1107,166,0106
14BR00514,R9745,1.0,,H.2ND,21,1,,156,1,W,1,,07,168,1107,175,0106
14BR00515,R9751,1.0,,.,22,1,,132,1,W,1,,07,144,1107,156,0106
14BR00516,R9753,1.0,,.,24,1,,129,1,W,1,,07,142,1107,147,0106
14BR00517,R9758,1.0,,HAIRY,19,1,,131,1,W,1,,07,153,1107,161,0106
14BR00518,R9759,1.0,,HAIRY,20,1,,138,2,W,1,,07,145,1107,149,0106
14BR00519,R9789,1.0,,HAIRY,22,1,0,135,D,0,1,97,07,,,,
14BR00520,R9795,1.0,,.,36,2,0,122,1,W,1,,07,128,1112,139,0106
14BR00521,R9797,1.0,,SCOURS,24,1,,133,2,W,1,,07,142,1107,145,0106
14BR00522,R9799,1.0,,.,19,1,,153,D,W,1,,07,182,1107,175,0106
14BR00523,R9809,1.0,,TurnedOutNice,35,2,0,138,1,W,1,,07,140,1112,155,0106
14BR00524,R9812,1.0,,TerminalOnly,23,1,0,132,2,W,1,,07,151,1107,152,0106
14BR00525,R9824,1.0,,.,22,1,0,152,D,W,1,,07,172,1107,176,0106
14BR00526,R9835,1.0,,JUMPER,31,2,0,149,D,W,1,,07,162,1112,157,0106
14BR00527,R9846,1.0,,Nice; saved,29,2,0,141,1,W,1,,07,143,1112,149,0106
14BR00528,R9849,1.0,,.,21,1,,155,2,W,1,,07,162,1107,165,0106
14BR00529,R9859,1.0,,.,27,2,0,153,D,W,1,,07,161,1112,157,0106
14BR00530,R9870,1.0,,OKMILK4SMBAG,32,2,,146,D,W,1,,07,158,1112,158,0106
14BR00531,R9872,1.0,,Saved,25,1,0,139,2,W,1,,07,153,1107,160,0106
14BR00532,R9879,1.0,,Horns,24,1,,157,2,W,1,,07,172,1107,180,0106
14BR00533,R9881,1.0,,.,34,2,0,140,D,W,1,,07,141,1112,147,0106
14BR00534,R9902,1.0,,SM.BAG,21,1,0,116,2,W,1,,07,117,1107,138,0106
14BR00535,R9906,1.0,,HAIRY,20,1,0,122,1,W,1,,07,136,1107,150,0106
14BR00536,R9911,1.0,,SCOURS,27,2,0,132,2,W,1,,07,141,1112,141,0106
14BR00537,R9918,1.0,,SCOURS,25,1,0,159,D,W,1,,07,162,1107,166,0106
14BR00538,R9920,1.0,,.,21,1,0,145,2,W,1,,07,162,1107,160,0106
14BR00539,R9923,1.0,,.,19,1,0,139,2,W,1,,07,141,1107,156,0106
14BR00540,R9924,1.0,,HAIRY,20,1,0,160,D,W,1,,07,163,1107,165,0106
14BR00541,R9926,1.0,,.,25,1,0,145,D,W,1,,07,152,1107,149,0106
14BR00542,R9927,1.0,,.,21,1,0,150,D,W,1,,07,160,1107,158,0106
14BR00543,R9942,1.0,,TurnedOutNice,24,1,0,135,1,W,1,,07,150,1107,160,0106
14BR00544,R9951,1.0,,.,22,1,0,148,D,W,1,,07,156,1107,163,0106
14BR00545,R9960,1.0,,SLIGHTLY.HAIR,25,1,0,125,1,W,1,,07,145,1107,165,0106
14BR00546,R9973,1.0,,.,23,1,0,152,D,W,1,,07,184,1107,173,0106
14BR00547,T1880,6.0,48,4TEATS,35,2,,159,1,W,1,,02,161,1112,175,0106
14BR00548,T1990,6.0,42,Laz101910Mkt,32,2,,176,2,W,1,,02,185,1112,179,0106
14BR00549,T2002,6.0,48,LAME.LF,27,2,,173,H,W,1,,02,186,1112,197,0106
14BR00550,T2019,6.0,48,ENTROPION,35,2,,187,1,W,1,,02,186,1112,194,0106
14BR00551,T2075,6.0,48,.,29,2,,179,2,W,1,,02,178,1112,178,0106
14BR00552,T2089,6.0,48,4TEATS,31,2,,126,1,W,1,,02,127,1112,133,0106
14BR00553,T2092,6.0,48,.,29,2,,200,2,W,1,,02,204,1112,201,0106
14BR00554,T2104,6.0,48,.,30,2,,159,1,W,1,,02,166,1112,175,0106
14BR00555,T2145,6.0,48,3 TEATS,30,2,,222,2,W,1,,02,210,1112,211,0106
14BR00556,T2148,6.0,48,.,29,2,,165,1,W,1,,02,171,1112,162,0106
14BR00557,T2149,6.0,48,DRY,23,1,,195,D,W,1,,02,208,1107,202,0106
14BR00558,T2176,6.0,48,.,31,2,,180,1,W,1,,02,184,1112,177,0106
14BR00559,T2237,6.0,48,4TEATS,28,2,,166,1,W,1,,02,167,1112,175,0106
14BR00560,T2319,6.0,48,.,24,1,,195,2,W,1,,02,201,1107,208,0106
14BR00561,T2335,6.0,48,.,22,1,,170,1,W,1,,02,178,1107,180,0106
14BR00562,T2419,5.0,,In w/ Bgrp 1,V1,5,,206,H,,1,,02,224,1126,201,0106
14BR00563,T2439,5.0,,,35,2,,186,2,W,1,,02,178,1112,180,0106
14BR00564,T2460,5.0,,SRS.MORE,34,2,,160,1,W,1,,02,169,1112,177,0106
14BR00565,T2471,5.0,,TerminalOnly,36,2,,174,1,W,1,,02,176,1112,178,0106
14BR00566,T2487,5.0,,,32,2,,212,1,W,1,,02,217,1112,220,0106
14BR00567,T2488,5.0,,,22,1,,180,1,W,1,,02,184,1107,182,0106
14BR00568,T2497,5.0,,,27,2,,177,1,W,1,,02,186,1112,190,0106
