UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BCS_FALL,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,BCS_NOV,WTWIN,WDAYW,BCS_WIN
23BR00261,L2425,3.0,A,1ST.60BL,27,1,0,212,3.5,H,206,1011,W,1,,PC,212,1115,4.5,226,1228,5.0
23BR00262,L2430,3.0,A,.,19,1,0,187,4.0,H,179,1010,W,1,,PC,196,1115,4.0,198,1228,4.0
23BR00263,L2443,3.0,,20BLK,30,1,0,195,3.5,H,196,1010,W,1,,PC,205,1115,4.0,222,1228,4.0
23BR00264,L2456,3.0,A,.,28,1,0,149,3.0,H,155,1010,W,1,,PC,161,1115,3.5,182,1228,4.5
23BR00265,L2462,3.0,A,25TAN,29,1,0,218,4.5,D,205,1010,W,1,,PC,212,1115,4.0,229,1228,4.0
23BR00266,L2470,3.0,A,10BL,15,1,0,164,3.5,H,145,1010,W,1,,PC,166,1115,4.0,187,1228,4.0
23BR00267,L2477,3.0,A,WRAPPED LEG,24,1,0,166,3.0,H,171,1010,W,1,,PC,171,1115,3.0,204,1228,4.5
23BR00268,L2481,3.0,A,1ST.60TAN,23,1,,233,4.5,H,231,1010,W,1,,PC,242,1115,4.0,252,1228,4.5
23BR00269,L2489,3.0,A,SMBAG,17,1,0,184,3.5,H,185,1010,W,1,,PC,198,1115,4.0,210,1228,4.0
23BR00270,L2492,3.0,A,05BR,16,1,0,205,3.5,H,204,1011,W,1,,PC,210,1115,4.0,228,1228,4.5
23BR00271,L2495,3.0,A,30BL,19,1,0,209,4.0,H,195,1010,W,1,,PC,226,1115,4.0,223,1228,4.0
23BR00272,L2508,3.0,A,50BR,30,1,0,212,3.5,H,210,1010,W,1,,PC,221,1115,4.0,243,1228,4.0
23BR00273,L2515,3.0,A,90TAN,20,1,,240,4.0,H,219,1011,W,1,,PC,239,1115,4.0,241,1228,4.0
23BR00274,L2541,3.0,,50BL,29,1,0,204,4.0,H,194,1011,W,1,,PC,205,1115,3.5,222,1228,4.0
23BR00275,L2551,3.0,,40BL,21,1,0,172,3.0,H,174,1010,W,1,,PC,182,1115,3.5,201,1228,3.5
23BR00276,L2553,3.0,A,.,24,1,0,177,3.0,H,174,1010,W,1,,PC,193,1115,4.0,213,1228,4.0
