UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK,PD,DISP,BLEED,STM
05BR01359,T0196,1.0,48,,64,2,7,168,S,W,1,,.,02
05BR01360,T0199,1.0,48,NICE LAMB,67,2,0,187,5,W,1,,.,02
05BR01361,T0176,1.0,ID,HAIRY check,53,2,I,206,5,W,1,,.,02
05BR01362,T0178,1.0,48,,64,2,7,188,5,W,1,,.,02
05BR01363,T0016,1.0,48,BIG4HER,63,2,0,131,2,W,1,,.,02
05BR01364,T0030,1.0,48,,64,2,0,172,5,W,1,,.,02
05BR01365,T0035,1.0,ID,BIG4HER,52,2,I,168,2,W,1,,.,02
05BR01366,T0041,1.0,48,4TEATS,65,2,0,170,1,W,1,,.,02
05BR01367,T0048,1.0,48,,67,2,7,121,S,W,1,,.,02
05BR01368,T0051,1.0,48,,61,2,7,181,5,W,1,,.,02
05BR01369,T0056,1.0,48,,66,2,7,180,5,W,1,,.,02
05BR01370,T0058,1.0,48,,64,2,0,132,2,W,1,,.,02
05BR01371,T0057,1.0,48,,62,2,7,136,S,W,1,,.,02
05BR01372,T0021,1.0,48,,61,2,0,161,1,W,1,,.,02
05BR01373,T0020,1.0,48,,65,2,0,163,5,W,1,,.,02
05BR01374,T0025,1.0,48,,63,2,7,134,S,W,1,,.,02
05BR01375,T0022,1.0,48,,62,2,0,157,2,W,1,,.,02
05BR01376,T0028,1.0,ID,,62,2,I,161,5,W,1,,.,02
05BR01377,T0083,1.0,ID,,53,2,I,151,1,W,1,,.,02
05BR01378,T0095,1.0,ID,,63,2,I,173,5,W,1,,.,02
05BR01379,T0092,1.0,48,,62,2,7,164,5,W,1,,.,02
05BR01380,T0098,1.0,ID,"SCOURS, PNEU.",52,2,I,213,1,W,1,,.,02
05BR01381,T0070,1.0,48,,63,2,0,143,2,W,1,,.,02
05BR01382,T0074,1.0,48,4TEATS,66,2,0,155,5,W,1,,.,02
05BR01383,T0072,1.0,48,,65,2,7,173,5,W,1,,.,02
05BR01384,T0078,1.0,48,,67,2,0,155,5,W,1,,.,02
05BR01385,T0214,1.0,48,,61,2,0,166,1,W,1,,.,02
05BR01386,T0219,1.0,ID,,63,2,I,168,5,W,1,,.,02
05BR01387,T0204,1.0,48,,63,2,7,167,5,W,1,,.,02
05BR01388,T0205,1.0,48,,66,2,7,142,S,W,1,,.,02
05BR01389,T0202,1.0,48,NICE LAMB,66,2,0,153,2,W,1,,.,02
05BR01390,T0208,1.0,ID,"ENTR,WRINKLES",52,2,I,196,2,W,1,,.,02
05BR01391,T6481,7.0,ID,THIN OLD,d.3,3,I,198,H,W,U,93,.,02
05BR01392,T6525,7.0,41,LTS,65,2,0,187,2,W,1,,.,02
05BR01393,T6576,7.0,42,X 11 BAG,d.4,3,0,157,1,W,U,93,.,02
05BR01394,T6631,7.0,42,X BAG AGE,d.1,3,0,141,2,W,U,93,.,02
05BR01395,T6640,7.0,42,L.SPOILED,d.2,3,0,196,2,W,U,93,.,02
05BR01396,T6850,7.0,42,X THROAT,Mkt,.,0,173,1,W,3,93,.,02
05BR01397,T6829,7.0,42,X COARSE !,Mkt,.,0,153,2,W,3,93,.,02
05BR01398,T6884,7.0,41,X LAME,Mkt,.,0,220,2,W,3,93,.,02
05BR01399,T6904,7.0,41,THIN,ORE,O,0,156,1,W,E,93,.,02
05BR01400,T6708,7.0,41,BAD SW BAG,Mkt,.,0,190,H,W,3,93,.,02
05BR01401,T6752,7.0,ID,X 11 BAG,d.3,3,I,188,2,W,U,18,.,02
05BR01402,T6780,7.0,41,BAD SW.BAG,d.4,3,0,191,H,W,U,93,.,02
05BR01403,T8144,5.0,ID,VLT R. chk,52,2,I,196,H,W,1,,.,02
05BR01404,T8128,5.0,42,@Henninger8/1,64,2,0,178,2,W,1,,.,02
05BR01405,T8009,5.0,42,"ENTR,OVX",OVX,O,2,0,5,W,O,,.,02
05BR01406,T8026,5.0,42,,66,2,0,136,2,W,1,,.,02
05BR01407,T8087,5.0,41,THIN,63,2,0,165,1,W,1,,.,02
05BR01408,T8099,5.0,42,,62,2,0,160,2,W,1,,.,02
05BR01409,T8071,5.0,42,ENTR,61,2,0,186,2,W,1,,.,02
05BR01410,T8313,4.0,ID,SM.BAG,51,2,I,175,1,W,1,,.,02
05BR01411,T8314,4.0,ID,,51,2,I,228,1,W,1,,.,02
05BR01412,T8330,4.0,ID,MEAN,51,2,I,189,1,W,1,,.,02
05BR01413,T8339,4.0,ID,4TEATS,ORE,O,I,222,1,W,E,93,.,02
05BR01414,T8356,4.0,ID,,51,2,I,199,1,W,1,,.,02
05BR01415,T8364,4.0,ID,X 12 BAG,Mkt,.,I,190,2,W,3,93,.,02
05BR01416,T8320,4.0,ID,,53,2,I,193,2,W,1,,.,02
05BR01417,T8324,4.0,ID,,51,2,I,184,2,W,1,,.,02
05BR01418,T8328,4.0,ID,FLTS,52,2,I,220,1,W,1,,.,02
05BR01419,T8385,4.0,ID,NICE,52,2,I,214,1,W,1,,.,02
05BR01420,T8386,4.0,ID,4TEATS,51,2,I,194,2,W,1,,.,02
05BR01421,T8370,4.0,ID,X 12 BAG,Mkt,.,I,189,2,W,3,93,.,02
05BR01422,T8373,4.0,41,R.SPOILED ok,63,2,0,219,2,W,1,,.,02
05BR01423,T8406,4.0,ID,THIN,53,2,I,195,2,W,1,,.,02
05BR01424,T8455,4.0,41,,65,2,0,173,1,W,1,,.,02
05BR01425,T8456,4.0,41,RUPTURE,Mkt,.,0,193,H,W,3,93,.,02
05BR01426,T8421,4.0,ID,NICE,51,2,I,193,1,W,1,,.,02
05BR01427,T8420,4.0,41,NICE,64,2,0,163,2,W,1,,.,02
05BR01428,T8487,4.0,41,,66,2,0,201,5,W,1,,.,02
05BR01429,T8514,4.0,41,TEATS DOWN,Mkt,.,0,161,1,W,3,93,.,02
05BR01430,T8502,4.0,42,OVX,OVX,O,2,0,5,W,O,,.,02
05BR01431,T8509,4.0,41,SW BAG,67,2,0,198,1,W,1,,.,02
05BR01432,T8534,4.0,41,,64,2,0,166,1,W,1,,.,02
05BR01433,T8551,4.0,41,LEAN,65,2,0,189,1,W,1,,.,02
05BR01434,T8523,4.0,42,,61,2,0,174,2,W,1,,.,02
05BR01435,T8526,4.0,41,,62,2,0,222,5,W,1,,.,02
05BR01436,T8529,4.0,41,4TEATS,63,2,0,187,1,W,1,,.,02
05BR01437,T8576,4.0,42,LOW PROD.,Mkt,.,0,180,1,W,3,93,.,02
05BR01438,T8579,4.0,ID,BRN.EARTIPS,53,2,I,185,1,W,1,,.,02
05BR01439,T8618,4.0,42,VLTS,66,2,0,181,1,W,1,,.,02
05BR01440,T8638,4.0,41,4TEATS,67,2,0,162,2,W,1,,.,02
05BR01441,T8659,4.0,42,EYE ok,61,2,0,170,1,W,1,,.,02
05BR01442,T8216,5.0,42,ENTR,65,2,0,158,1,W,1,,.,02
05BR01443,T8239,5.0,41,METRITIS,61,2,0,215,1,W,1,,.,02
05BR01444,T8254,5.0,41,RF LAME FOOT,62,2,0,182,2,W,1,,.,02
05BR01445,T8264,5.0,42,"OVX, SMALL",OVX,O,2,0,5,W,O,,.,02
05BR01446,T8224,5.0,41,,67,2,0,187,2,W,1,,.,02
05BR01447,T8228,5.0,42,THIN,66,2,0,150,2,W,1,,.,02
05BR01448,T8299,4.0,ID,12 BAG X,d.4,3,I,168,H,W,U,93,.,02
05BR01449,T8297,4.0,ID,,53,2,I,169,1,W,1,,.,02
05BR01450,T8814,3.0,ID,SIEZURE POLIO,52,2,I,181,5,W,1,,.,02
05BR01451,T8815,3.0,ID,,53,2,I,180,1,W,1,,.,02
05BR01452,T8816,3.0,ID,,53,2,I,174,2,W,1,,.,02
05BR01453,T8845,3.0,ID,SL.ENTR,52,2,I,212,1,W,1,,.,02
05BR01454,T8827,3.0,ID,ENTR,51,2,I,224,2,W,1,,.,02
05BR01455,T8880,3.0,ID,LTS,52,2,I,226,1,W,1,,.,02
05BR01456,T8887,3.0,ID,"wasOPEN, NOT",52,2,I,211,1,W,1,,.,02
05BR01457,T8918,3.0,ID,FOUND,51,2,I,190,1,W,1,,.,02
05BR01458,T8906,3.0,ID,THIN,53,2,I,180,1,W,1,,.,02
05BR01459,T8908,3.0,48,12 BAG X,Mkt,.,7,200,S,W,3,93,.,02
05BR01460,T8933,3.0,ID,ENTR,51,2,I,188,2,W,1,,.,02
05BR01461,T8938,3.0,ID,,52,2,I,178,2,W,1,,.,02
05BR01462,T8958,3.0,42,THIN + POOR,66,2,7,175,S,W,1,,.,02
05BR01463,T8959,3.0,42,THIN,67,2,7,181,S,W,1,,.,02
05BR01464,T8960,3.0,ID,FLT.R.,52,2,I,210,1,W,1,,.,02
05BR01465,T8969,3.0,42,,61,2,7,160,S,W,1,,.,02
05BR01466,T8921,3.0,42,THIN,65,2,7,151,S,W,1,,.,02
05BR01467,T8928,3.0,ID,,ORE,O,I,189,1,W,E,93,.,02
05BR01468,T8985,3.0,42,THIN,63,2,7,150,S,W,1,,.,02
05BR01469,T8992,3.0,ID,,53,2,I,213,1,W,1,,.,02
05BR01470,T8997,3.0,42,THIN,64,2,7,153,S,W,1,,.,02
05BR01471,T8970,3.0,ID,ENTR,52,2,I,169,1,W,1,,.,02
05BR01472,T8977,3.0,42,THIN,62,2,7,145,S,W,1,,.,02
05BR01473,T8710,4.0,42,4TEATS,62,2,0,187,2,W,1,,.,02
05BR01474,T8717,4.0,41,THIN,63,2,0,190,2,W,1,,.,02
05BR01475,T8705,4.0,42,OVX,OVX,O,2,0,5,W,O,,.,02
05BR01476,T8748,4.0,41,.135 inbr,64,2,0,185,H,W,1,,.,02
05BR01477,T8799,3.0,ID,,52,2,I,223,1,W,1,,.,02
05BR01478,T9113,3.0,41,VAG.PRO. SPG!,Mkt,.,7,226,5,W,3,93,.,02
05BR01479,T9114,3.0,41,THIN,67,2,7,157,S,W,1,,.,02
05BR01480,T9108,3.0,42,L.SPOILED,Mkt,.,7,177,S,W,3,93,.,02
05BR01481,T9145,3.0,48,,62,2,7,179,S,W,1,,.,02
05BR01482,T9147,3.0,41,,63,2,7,176,2,W,1,,.,02
05BR01483,T9156,3.0,42,THIN,64,2,7,159,S,W,1,,.,02
05BR01484,T9126,3.0,41,THIN,61,2,7,193,S,W,1,,.,02
05BR01485,T9185,3.0,ID,NICE,51,2,I,193,1,W,1,,.,02
05BR01486,T9189,3.0,41,R.SPOILED,Mkt,.,7,204,S,W,3,93,.,02
05BR01487,T9196,3.0,41,THIN,66,2,7,182,S,W,1,,.,02
05BR01488,T9177,3.0,41,FOUND 9/23,65,2,7,196,S,W,1,,.,02
05BR01489,T9006,3.0,41,VLT R.SIDE,65,2,7,180,H,W,1,,.,02
05BR01490,T9033,3.0,ID,NICE BAG!,53,2,I,163,2,W,1,,.,02
05BR01491,T9036,3.0,ID,,53,2,I,216,2,W,1,,.,02
05BR01492,T9037,3.0,41,LT 1SIDED,67,2,7,215,S,W,1,,.,02
05BR01493,T9048,3.0,41,,61,2,7,170,S,W,1,,.,02
05BR01494,T9055,3.0,42,THIN + POOR,63,2,7,166,S,W,1,,.,02
05BR01495,T9052,3.0,48,,62,2,7,179,S,W,1,,.,02
05BR01496,T9064,3.0,42,THIN,64,2,7,173,S,W,1,,.,02
05BR01497,T9020,3.0,42,NICE,66,2,7,170,S,W,1,,.,02
05BR01498,T9076,3.0,42,THIN + POOR,65,2,7,135,S,W,1,,.,02
