UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1208,IDZ65,CLR,STM,DIETPEN
08EW00143,H3887,,.,,1,,93,e17,,,98,,1,30,
08EW00144,X5781,,.,,1,,92,e21,,,73,,1,TR,
08EW00145,R7174,,HAIRY,,1,,94,e16,,,86,,1,07,
08EW00146,K4199,,.,,1,,110,e13,,,115,,1,06,
08EW00147,X6045,,4TEATS,,1,,95,e9,,,98,,5,TC,
08EW00148,X6934,,BORN M LAKE,,1,,110,e13,,,106,,1,06,
08EW00149,T1876,,.,,1,,92,T3,,,93,,1,02,
08EW00150,T2162,,SLIGHTLY H,,1,,70,T3,,,82,,1,02,
08EW00151,H4396,,.,,1,,99,e17,,,117,,1,30,
08EW00152,T2200,,.,,1,,106,T2,,,118,,1,02,
08EW00153,R7418,,.,,1,,87,e14,,,81,,1,07,
08EW00154,K4185,,4TEATS,,1,,130,e13,,,137,,1,06,
08EW00155,R7172,,.,,1,,106,e16,,,115,,1,07,
08EW00156,X6788,,.,,1,,140,21,,,141,,9,00,
08EW00157,H4358,,.,,1,,73,e17,,,80,,1,30,
08EW00158,R7386,,4TEATS,,1,,81,e16,,,91,,1,07,
08EW00159,H4310,,.,,1,,92,e23,,,89,,1,30,
08EW00160,X6377,,.,,1,,113,e6,,,107,,5,SC,
08EW00161,T2300,,.,,1,,97,T1,,,106,,1,02,
08EW00162,T2306,,.,,1,,77,T1,,,76,,1,02,
08EW00163,K4361,,E 4T,,1,,103,e3,,,106,,1,06,
08EW00164,X5960,,.,,1,,108,e2,,,105,,3,C3,
08EW00165,X5810,,.,,1,,104,e7,,,124,,5,SC,
08EW00166,T2176,,.,,1,,95,T3,,,104,,1,02,
08EW00167,H4196,,.,,1,,91,e19,,,82,,1,30,
08EW00168,T1912,,4TEATS,,1,,77,T1,,,84,,1,02,
08EW00169,K4169,,.,,1,,94,e13,,,105,,1,06,
08EW00170,H4317,,.,,1,,83,e22,,,90,,1,30,
08EW00171,X6831,,.,,1,,111,e4,,,114,,1,T3,
08EW00172,K4214,,E 4,,1,,107,e12,,,120,,1,06,
08EW00173,T1880,,4TEATS,,1,,89,T1,,,111,,1,02,
08EW00174,X6152,,ENTROPION,,1,,97,e9,,,94,,1,TC,
08EW00175,X6809,,.,,1,,100,e8,,,103,,1,C3,
08EW00176,T2274,,.,,1,,89,T1,,,91,,1,02,
08EW00177,R7204,,4TEATS,,1,,97,e16,,,98,,2,07,
08EW00178,R7211,,BLK SP LT LG,,1,,92,e16,,,114,,2,07,
08EW00179,R7136,,BRN.SPOT.TAIL,,1,,109,e14,,,126,,2,07,
08EW00180,H3883,,BLK BAND,,1,,81,e22,,,83,,1,30,
08EW00181,T1895,,.,,1,,116,T2,,,126,,1,02,
08EW00182,T2138,,.,,1,,68,T1,,,77,,1,02,
08EW00183,R7164,,ENTROPION,,1,,88,e16,,,90,,1,07,
08EW00184,R7186,,4TEATS,,1,,119,e14,,,121,,1,07,
08EW00185,H4264,,.,,1,,93,e22,,,92,,1,30,
08EW00186,T2145,,3 TEATS,,1,,79,T1,,,95,,1,02,
08EW00187,H4301,,.,,1,,90,e23,,,83,,1,30,
08EW00188,T2154,,.,,1,,86,T1,,,97,,1,02,
08EW00189,T2166,,NICE LAMB,,1,,109,T2,,,119,,1,02,
08EW00190,T2147,,4TEATS,,1,,81,T2,,,87,,1,02,
08EW00191,R7184,,.,,1,,86,e15,,,87,,1,07,
08EW00192,R7153,,.,,1,,101,e14,,,114,,1,07,
08EW00193,T1892,,.,,1,,100,T1,,,105,,1,02,
08EW00194,T2137,,.,,1,,93,T3,,,92,,1,02,
08EW00195,H4208,,.,,1,,98,e23,,,99,,1,30,
08EW00196,K4359,,4T BRN.EAR,,1,,97,e13,,,110,,2,06,
08EW00197,H3846,,.,,1,,106,e23,,,116,,1,30,
08EW00198,H4187,,.,,1,,76,e22,,,68,,1,30,
08EW00199,H4372,,HAIRY,,1,,69,e22,,,89,,1,30,
08EW00200,K4209,,.,,1,,115,e3,,,107,,1,06,
08EW00201,T2146,,E BOTH EYES,,1,,82,T2,,,93,,1,02,
08EW00202,H3857,,.,,1,,101,e24,,,110,,1,30,
08EW00203,T2119,,H.4.UGLY,,1,,119,T1,,,129,,1,02,
08EW00204,X6086,,.,,1,,104,e4,,,105,,5,T3,
08EW00205,T2164,,4TEATS,,1,,99,T1,,,104,,1,02,
08EW00206,X6467,,.,,1,,92,e7,,,102,,5,CS,
08EW00207,X5817,,.,,1,,99,e9,,,103,,1,TC,
08EW00208,H4383,,.,,1,,89,e22,,,91,,1,30,
08EW00209,T2293,,.,,1,,85,T3,,,87,,1,02,
08EW00210,T2185,,.,,1,,88,T2,,,89,,1,02,
08EW00211,H4255,,.,,1,,95,e18,,,85,,1,30,
08EW00212,H4363,,.,,1,,94,e19,,,67,,1,30,
08EW00213,H4281,,.,,1,,84,e24,,,93,,1,30,
