UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
22EW00510,X0021,A,.,1,105,e5,W,123,1021,144,1129,,,,1,,Preg,,6,97
22EW00511,X0022,A,.,1,109,e6,W,125,1021,139,1129,,,,1-,,Preg,,5,S3
22EW00512,X0024,,.,1,105,e1,W,141,1021,149,1129,,,,2-,,Preg,,5,10
22EW00513,X0025,,.,1,113,e2,W,134,1021,138,1129,,,,3+,,Preg,,5,10
22EW00514,X0028,A,.,1,122,e3,W,134,1021,140,1129,,,,2,,Preg,,5,SC
22EW00515,X0030,,NICE LAMB,1,133,e4,W,157,1021,175,1129,,,,1-,,Preg,,6,97
22EW00516,X0039,A,.,1,103,e5,W,121,1021,130,1129,,,,1-,,Preg,,6,97
22EW00517,X0044,A,.,1,121,e6,W,144,1021,163,1129,,,,2+,,Preg,,5,00
22EW00518,X0051,A,.,1,109,e1,W,134,1021,135,1129,,,,,,Open,,6,97
22EW00519,X0052,A,.,1,112,e2,W,139,1021,143,1129,,,,1,,Preg,,6,97
22EW00520,X0053,A,HAIRY,1,135,e3,W,143,1021,135,1129,,,,1,,Preg,,6,97
22EW00521,X0054,A,.,1,97,e4,W,118,1021,122,1129,,,,1-,,Preg,,6,97
22EW00522,X0056,,HAIRY,1,108,e5,W,127,1021,139,1129,,,,2+,,Preg,,5,00
22EW00523,X0060,A,.,1,112,e6,W,131,1021,143,1129,,,,1,,Preg,,6,97
22EW00524,X0064,A,.,1,105,e1,W,130,1021,142,1129,,,,1-,,Preg,,6,97
22EW00525,X0078,A,.,1,133,e2,0,,,,,,,,,,,,6,97
22EW00526,X0079,A,HAIRY,1,123,e3,W,131,1021,143,1129,,,,2+,,Preg,,5,C3
22EW00527,X0082,A,.,1,107,e4,W,134,1021,153,1129,,,,1-,,Preg,,6,97
22EW00528,X0083,A,.,1,123,e5,W,113,1021,132,1129,,,,1-,,Preg,,6,97
22EW00529,X0084,,.,1,100,e6,W,127,1021,146,1129,,,,2+,,Preg,,5,S3
22EW00530,X0089,A,.,1,128,e1,W,133,1021,142,1129,,,,2+,,Preg,,5,S3
22EW00531,X0091,A,HAIRY,1,125,e2,W,141,1021,85,1129,,,,1-,,Preg,,6,97
22EW00532,X0094,,.,1,105,e3,W,117,1021,139,1129,,,,2,,Preg,,5,80
22EW00533,X0097,,HAIRY,1,109,e4,W,139,1021,145,1129,,,,2+,,Preg,,9,BL
22EW00534,X0098,,.,1,111,e5,W,132,1021,146,1129,,,,3,,Preg,,9,BL
22EW00535,X0099,A,.,1,112,e6,W,132,1021,151,1129,,,,1-,,Preg,,6,97
22EW00536,X0100,A,Prolapse,1,103,e1,W,113,1021,,,,,,,,,,6,97
22EW00537,X0107,A,.,1,127,e2,W,143,1021,156,1129,,,,1-,,Preg,,6,97
22EW00538,X0114,A,.,1,128,e3,W,146,1021,147,1129,,,,1-,,Preg,,6,97
22EW00539,X0118,,HAIRY,1,87,e4,W,108,1021,117,1129,,,,3,,Preg,,2,02
22EW00540,X0121,A,.,1,142,e5,W,153,1021,182,1129,,,,1-,,Preg,,6,97
22EW00541,X0122,A,.,1,125,e6,W,139,1021,167,1129,,,,1-,,Preg,,6,97
22EW00542,X0130,,.,1,98,e1,W,130,1021,135,1129,,,,2+,,Preg,,5,00
22EW00543,X0131,,.,1,99,e2,W,113,1021,124,1129,,,,2+,,Preg,,5,00
22EW00544,X0134,,.,1,87,e3,W,102,1021,118,1129,,,,2,,Preg,,5,LT
22EW00545,X0143,,.,1,96,e4,W,125,1021,133,1129,,,,1-,,Preg,,5,00
22EW00546,X0146,A,.,1,118,e5,W,124,1021,147,1129,,,,2,,Preg,,5,S3
22EW00547,X0151,A,.,1,109,e6,W,112,1021,139,1129,,,,1-,,Preg,,6,97
22EW00548,X0154,,.,1,96,e1,W,122,1021,119,1129,,,,3-,,Preg,,9,BL
22EW00549,X0155,A,.,1,113,e2,W,128,1021,132,1129,,,,1,,Preg,,6,97
22EW00550,X0158,A,.,1,107,e3,W,116,1021,132,1129,,,,2,,Preg,,5,S3
22EW00551,X0159,A,.,1,101,e4,W,107,1021,106,1129,,,,2,,Preg,,5,S3
22EW00552,X0160,,.,1,127,e5,W,147,1021,163,1129,,,,,,Open,,6,97
22EW00553,X0168,,.,1,120,e6,W,138,1021,151,1129,,,,2+,,Preg,,5,C3
22EW00554,X0174,,2ND,1,92,e1,W,107,1021,123,1129,,,,2+,,Preg,,5,20
22EW00555,X0181,,.,1,109,e2,W,122,1021,123,1129,,,,1,,Preg,,5,00
22EW00556,X0185,,.,1,89,e3,W,101,1021,116,1129,,,,1-,,Preg,,5,80
22EW00557,X0187,A,DUMB,1,114,e4,W,136,1021,149,1129,,,,,,Open,,6,97
22EW00558,X0188,A,.,1,110,e5,W,124,1021,150,1129,,,,1,,Preg,,6,97
22EW00559,X0201,A,.,1,144,e6,W,172,1021,190,1129,,,,,,Open,,6,97
22EW00560,X0205,,.,1,107,e1,W,127,1021,131,1129,,,,3,,Preg,,9,BL
22EW00561,X0212,A,.,1,127,e2,W,141,1021,150,1129,,,,1,,Preg,,6,97
