UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,OCT31,DEC11
95EW00101,A2336,82,HAIRY,94,1,74,e.7,blue,81,84
95EW00102,A2338,81,,95,1,92,e.7,blue,102,104
95EW00103,A2343,82,4TEATS,98,1,91,e.8,blue,103,111
95EW00104,A2351,73,,97,1,73,-fl,blue,87,0
95EW00105,A2356,ch,"ENTR,FEVER,RI",109,1,80,j.5,blue,93,0
95EW00106,A2358,81,,123,1,101,e.8,blue,113,123
95EW00107,A2361,ch,3TEATS,112,1,69,j.9,blue,82,0
95EW00108,A2364,ch,4TEATS,111,1,79,j.5,blue,91,0
95EW00109,A2365,ch,,106,1,80,j.6,blue,89,0
95EW00110,A2366,ch,HAIRY,106,1,67,j.8,blue,69,0
95EW00111,A2368,ch,3TEATS,89,1,73,j.0,blue,83,0
95EW00112,A2369,ch,"4TEATS,AB.EAR",86,1,69,j.8,blue,76,0
95EW00113,A2367,ch,4TEATS,83,1,63,j.2,blue,70,0
95EW00114,A2323,ch,,94,1,72,j.0,blue,81,0
95EW00115,A2325,73,4TEATS,94,1,62,-fl,blue,74,0
95EW00116,A2326,ch,4TEATS,127,1,93,j.7,blue,104,0
95EW00117,A2322,ch,,99,1,81,j.2,blue,86,0
95EW00118,A2329,ch,,102,1,104,j.4,blue,120,0
95EW00119,A2327,ch,,127,1,91,j.8,blue,99,0
95EW00120,A2388,ch,4TEATS,115,1,89,j.1,blue,100,0
95EW00121,A2387,73,"HAIRY,4TEATS",103,1,70,-fl,blue,85,0
95EW00122,A2395,ch,4TEATS,94,1,73,j.3,blue,84,0
95EW00123,A2392,ch,,112,1,101,j.9,blue,112,0
95EW00124,A2398,ch,,111,1,91,j.2,blue,99,0
95EW00125,A2370,ch,4TEATS,116,1,88,j.6,blue,96,0
95EW00126,A2379,73,4TEATS,103,1,81,-fl,blue,92,0
95EW00127,A2411,73,,96,1,72,-fl,blue,82,0
95EW00128,A2414,ch,,97,1,63,j.6,blue,75,0
95EW00129,A2403,ch,,111,1,81,j.0,blue,92,0
95EW00130,A2404,ch,,115,1,106,j.4,blue,111,0
95EW00131,A2402,ch,,115,1,87,j.6,blue,98,0
95EW00132,A2442,ch,"4TEAT,SCOURS",89,1,78,j.4,blue,86,0
95EW00133,A2449,ch,,90,1,65,j.3,blue,71,0
95EW00134,A2453,ch,,115,1,81,j.5,blue,85,0
95EW00135,A2456,ch,,103,1,90,j.7,blue,100,0
95EW00136,A2421,73,,99,1,68,-fl,blue,79,0
95EW00137,A2490,73,"4TEATS,?EYES",101,1,69,-fl,blue,85,0
95EW00138,A2471,ch,,102,1,79,j.8,blue,94,0
95EW00139,A2474,82,,98,1,76,e.7,blue,90,94
95EW00140,A2476,ch,,107,1,85,j.7,blue,99,0
95EW00141,A2478,ch,,118,1,100,j.0,blue,121,0
95EW00142,A2479,ch,"URI,COUGH",109,1,79,j.0,blue,90,0
95EW00143,A2477,ch,,111,1,91,j.9,blue,106,0
95EW00144,A2511,ch,,112,1,80,j.8,blue,86,0
95EW00145,A2510,ch,"FX.RIBS,DYSTO",111,1,95,j.5,blue,110,0
95EW00146,A2517,82,,95,1,72,e.8,blue,88,94
95EW00147,A2506,82,"BLACK,LAME,ok",86,1,65,974,blue,82,93
95EW00148,A2534,81,,100,1,92,e.7,blue,95,100
95EW00149,A2535,81,,107,1,92,e.8,blue,100,106
95EW00150,A2536,81,3TEATS,103,1,82,e.8,blue,90,93
95EW00151,A2539,82,,96,1,85,e.7,blue,92,104
95EW00152,A2543,73,,101,1,63,-fl,blue,78,0
95EW00153,A2544,73,,102,1,69,-fl,blue,86,0
95EW00154,A2546,81,HAIRY,99,1,97,e.8,blue,101,103
95EW00155,A2542,ch,,104,1,68,j.9,blue,74,0
95EW00156,A2548,ch,"BLK 1"" R.SHOU",111,1,76,j.1,blue,87,0
95EW00157,A2547,ch,BRN FEET *4,113,1,81,j.4,blue,92,0
95EW00158,A2551,ch,,107,1,72,j.2,blue,77,0
95EW00159,A2559,ch,,108,1,76,j.1,blue,85,0
95EW00160,A2523,81,,107,1,90,e.7,blue,101,115
95EW00161,A2529,81,,111,1,100,e.8,blue,111,127
95EW00162,A2570,ch,,100,1,61,j.7,blue,77,0
95EW00163,A2213,73,,101,1,78,-fl,blue,85,0
95EW00164,A2203,82,,104,1,91,e.8,blue,104,113
95EW00165,A2202,82,,100,1,88,e.7,blue,95,106
95EW00166,A2207,ch,4TEATS,107,1,89,j.3,blue,93,0
95EW00167,A2233,81,,108,1,82,e.8,blue,88,89
95EW00168,A2237,73,HAIRY,104,1,82,-fl,blue,90,0
95EW00169,A2243,82,,109,1,98,e.7,blue,104,110
95EW00170,A2248,ch,,84,1,76,j.1,blue,90,0
95EW00171,A2250,ch,,100,1,94,j.1,blue,102,0
95EW00172,A2252,81,,102,1,98,e.7,blue,104,113
95EW00173,A2257,81,,99,1,94,e.8,blue,113,118
95EW00174,A2223,ch,,108,1,97,j.4,blue,111,0
95EW00175,A2283,ch,4TEATS,113,1,88,j.2,blue,98,0
95EW00176,A2286,82,,107,1,86,e.8,blue,97,111
95EW00177,A2293,ch,4TEATS,113,1,98,j.2,blue,109,0
