UID,ETAG,LINE,RMK,IDX,PD,MASTITRT,CUWT,BPEN,BRAND,OCT31,DEC14,IDZ65,PREG
01EW00043,A8294,84,,93,1,none,88,e66,purple,79,97,0,1
01EW00044,A8295,84,,94,1,none,94,e66,purple,93,101,0,1
01EW00045,A8296,81,,102,1,none,104,e12,purple,105,115,0,1
01EW00046,A8299,00,BRN.EARS,0,1,none,100,e62,purple,101,114,0,1
01EW00047,A8305,84,NICE,110,1,none,90,e62,purple,88,95,0,1
01EW00048,A8306,84,,110,1,none,91,e62,purple,92,99,0,1
01EW00049,A8310,84,INT.TRAUMA?,98,1,none,106,e66,purple,115,132,0,1
01EW00050,A8311,84,PNEU,81,1,none,92,e64,purple,93,101,0,1
01EW00051,A8316,81,,104,1,none,109,e13,purple,110,127,0,1
01EW00052,A8317,84,,101,1,none,86,e66,purple,93,103,0,1
01EW00053,A8318,84,,100,1,none,83,e66,purple,95,106,0,1
01EW00054,A8319,81,,112,1,none,104,e14,purple,108,125,0,1
01EW00055,A8323,82,,96,1,none,86,e12,purple,90,104,0,1
01EW00056,A8326,84,4TEATS,88,1,none,101,e66,purple,111,113,0,1
01EW00057,A8329,82,,100,1,none,96,e13,purple,96,110,0,1
01EW00058,A8333,81,,113,1,none,123,e11,purple,121,139,0,1
01EW00059,A8334,84,,113,1,none,112,e62,purple,114,128,0,1
01EW00060,A8336,81,,106,1,none,104,e12,purple,107,121,0,1
01EW00061,A8339,82,WEAK,87,1,none,84,e14,purple,83,87,0,1
01EW00062,A8359,81,NICE,111,1,none,98,e13,purple,104,119,0,1
01EW00063,A8360,81,,108,1,none,88,e14,purple,94,110,0,1
01EW00064,A8362,81,,100,1,none,84,e11,purple,93,105,0,1
01EW00065,A8371,82,,97,1,none,91,e11,purple,80,89,0,1
01EW00066,A8372,82,,101,1,none,100,e12,purple,100,106,0,1
01EW00067,A8373,82,,105,1,none,94,e13,purple,108,116,0,1
01EW00068,A8375,83,BLACK EWE,102,1,none,86,e12,purple,83,92,0,1
01EW00069,A8376,83,,105,1,none,94,e13,purple,97,108,0,1
01EW00070,A8380,83,,115,1,none,102,e14,purple,104,118,0,1
01EW00071,A8386,84,,105,1,none,94,e64,purple,95,102,0,1
01EW00072,A8393,81,,96,1,none,90,e12,purple,90,103,0,1
01EW00073,A8394,82,,96,1,none,81,e14,purple,80,84,0,0
01EW00074,A8396,82,,105,1,none,108,e11,purple,103,118,0,1
01EW00075,A8397,84,,0,1,none,62,e64,purple,69,83,0,1
01EW00076,A8398,84,,97,1,none,79,e64,purple,76,87,0,1
01EW00077,A8399,84,,96,1,none,74,e64,purple,63,67,0,1
01EW00078,A8401,84,,107,1,none,71,e63,purple,77,84,0,1
01EW00079,A8404,82,,110,1,none,91,e12,purple,88,96,0,1
01EW00080,A8405,82,,106,1,none,77,e13,purple,75,84,0,1
01EW00081,A8406,00,PNEU,0,1,none,81,e63,purple,91,101,0,1
01EW00082,A8407,00,PNEU,0,1,none,101,e64,purple,115,126,0,1
01EW00083,A8409,84,BRN.R.FACE,100,1,none,100,e64,purple,101,106,0,1
01EW00084,A8410,82,,105,1,none,79,e14,purple,85,95,0,1
01EW00085,A8412,82,,108,1,none,93,e11,purple,83,92,0,0
01EW00086,A8413,82,,109,1,none,98,e12,purple,101,108,0,1
01EW00087,A8414,82,4TEATS,109,1,none,92,e13,purple,100,115,0,1
01EW00088,A8415,84,,102,1,none,89,e64,purple,83,93,0,1
01EW00089,A8416,84,,95,1,none,72,e64,purple,70,75,0,1
01EW00090,A8426,84,,107,1,none,81,e62,purple,81,92,0,1
01EW00091,A8428,84,,103,1,none,103,e65,purple,101,105,0,1
01EW00092,A8429,00,WEAK,0,1,none,88,e65,purple,94,97,0,1
01EW00093,A8434,81,,102,1,none,102,e13,purple,108,119,0,1
01EW00094,A8439,84,,100,1,none,110,e64,purple,108,117,0,1
01EW00095,A8443,84,HAIRY,119,1,none,94,e62,purple,104,113,0,1
01EW00096,A8447,83,4TEATS,110,1,none,99,e11,purple,98,113,0,1
01EW00097,A8448,83,MSG 2/28/02,104,1,none,82,e12,purple,79,96,0,0
01EW00098,A8454,83,,104,1,none,88,e13,purple,86,92,0,0
01EW00099,A8455,84,,99,1,none,83,e66,purple,78,90,0,1
01EW00100,A8456,84,,98,1,none,79,e66,purple,86,97,0,1
01EW00101,A8459,84,,100,1,none,81,e64,purple,81,85,0,1
01EW00102,A8460,84,,97,1,none,82,e64,purple,80,83,0,1
01EW00103,A8473,84,,91,1,none,85,e63,purple,90,92,0,1
01EW00104,A8474,84,,82,1,none,77,e63,purple,76,85,0,1
01EW00105,A8475,84,,87,1,none,83,e63,purple,82,88,0,1
01EW00106,A8480,81,,112,1,none,101,e14,purple,106,111,0,1
01EW00107,A8481,81,,113,1,none,105,e11,purple,109,126,0,1
01EW00108,A8485,84,4TEATS,104,1,none,84,e66,purple,89,104,0,1
01EW00109,A8486,84,,103,1,none,90,e66,purple,95,113,0,1
