UID,ETAG,LINE,LRMK,IDX,PD,WNWT,CUWT,BPEN,BRAND,SITE,SYNC,SEP18,NOV13,NOV25,JAN04,TB
92EW00039,K5965,68,,106,1,77,92,c.3,Blue 3,feedlot,,0.0,0.0,96,0.0,0
92EW00040,K5971,68,4TEATS,102,1,105,112,c.1,Blue 1,feedlot,,0.0,0.0,120,0.0,1
92EW00041,K5972,68,,100,1,107,125,c.2,Blue 2,feedlot,,0.0,0.0,135,0.0,1
92EW00042,K5977,68,4TEATS,86,3,64,71,MKT,Scott,feedlot,,0.0,0.0,82,0.0,0
92EW00043,K5980,68,,101,1,96,110,c.3,Blue 3,feedlot,,0.0,0.0,127,0.0,0
92EW00044,K5984,68,WEAK,97,1,98,103,c.1,Blue 1,feedlot,,0.0,0.0,108,0.0,1
92EW00045,K5986,68,,99,1,91,96,c.2,Blue 2,feedlot,,0.0,0.0,108,0.0,1
92EW00046,K5989,68,4TEATS,105,1,99,104,c.3,Blue 3,feedlot,,0.0,0.0,107,0.0,0
92EW00047,K5991,68,ENTR,98,1,71,81,c.1,Blue 1,feedlot,,0.0,0.0,91,0.0,0
92EW00048,K5996,68,4TEATS,93,3,72,77,MKT,Scott,feedlot,,0.0,0.0,80,0.0,0
92EW00049,K5997,68,,93,3,72,84,MKT,Scott,feedlot,,0.0,0.0,85,0.0,0
92EW00050,K5999,68,ENTR,95,1,76,91,c.2,Blue 2,feedlot,,0.0,0.0,89,0.0,0
92EW00051,K6003,68,4TEATS,95,1,83,93,c.3,Blue 3,feedlot,,0.0,0.0,95,0.0,0
92EW00052,K6006,68,4TEATS,108,1,79,86,c.1,Blue 1,feedlot,,0.0,0.0,96,0.0,1
92EW00053,K6007,68,4TEATS,106,1,75,87,c.2,Blue 2,feedlot,,0.0,0.0,92,0.0,0
92EW00054,K6013,68,,100,1,107,139,c.3,Blue 3,feedlot,,0.0,0.0,115,0.0,0
92EW00055,K6015,68,4TEATS,101,1,101,109,c.2,Blue 2,feedlot,,0.0,0.0,109,0.0,1
92EW00056,K6018,68,4TEATS,97,1,91,107,c.1,Blue 1,feedlot,,0.0,0.0,116,0.0,1
92EW00057,K6024,68,,108,1,83,89,c.3,Blue 3,feedlot,,0.0,0.0,95,0.0,0
92EW00058,K6037,68,,108,1,83,103,c.1,Blue 1,feedlot,,0.0,0.0,105,0.0,0
92EW00059,K6038,68,,95,1,103,108,c.2,Blue 2,feedlot,,0.0,0.0,118,0.0,0
92EW00060,K6046,68,,102,1,84,97,c.3,Blue 3,feedlot,,0.0,0.0,108,0.0,1
92EW00061,K6048,68,,105,1,79,82,c.1,Blue 1,feedlot,,0.0,0.0,86,0.0,0
92EW00062,K6049,68,,105,1,78,79,c.2,Blue 2,feedlot,,0.0,0.0,89,0.0,0
92EW00063,K6063,68,4TEATS,111,1,75,89,c.3,Blue 3,feedlot,,0.0,0.0,95,0.0,0
92EW00064,K6064,68,4TEATS,112,1,69,84,c.1,Blue 1,feedlot,,0.0,0.0,83,0.0,0
92EW00065,K6065,68,,119,1,86,102,c.3,Blue 3,feedlot,,0.0,0.0,101,0.0,1
92EW00066,K6066,68,,118,1,85,96,c.1,Blue 1,feedlot,,0.0,0.0,100,0.0,0
92EW00067,K6067,68,,115,1,88,103,c.3,Blue 3,feedlot,,0.0,0.0,107,0.0,2
92EW00068,K6073,68,,116,1,92,99,c.2,Blue 2,feedlot,,0.0,0.0,96,0.0,0
92EW00069,K6080,68,ENTR.4TEATS,99,1,80,101,c.2,Blue 2,feedlot,,0.0,0.0,106,0.0,0
92EW00070,K6091,68,4TEATS,98,1,78,81,c.1,Blue 1,feedlot,,0.0,0.0,78,0.0,1
92EW00071,K6095,68,4TEATS,108,1,87,95,c.2,Blue 2,feedlot,,0.0,0.0,100,0.0,0
92EW00072,K6107,68,,100,1,87,102,c.3,Blue 3,feedlot,,0.0,0.0,98,0.0,0
92EW00073,K6109,68,4TEATS,108,1,82,98,c.1,Blue 1,feedlot,,0.0,0.0,106,0.0,0
92EW00074,K6113,68,4TEATS,113,1,79,98,c.3,Blue 3,feedlot,,0.0,0.0,107,0.0,0
92EW00075,K6118,68,4TEATS,106,1,71,83,c.2,Blue 2,feedlot,,0.0,0.0,91,0.0,0
92EW00076,K6119,68,4TEATS,115,1,88,104,c.1,Blue 1,feedlot,,0.0,0.0,113,0.0,1
92EW00077,K6123,68,HAIRY,114,1,76,86,c.2,Blue 2,feedlot,,0.0,0.0,87,0.0,0
92EW00078,K6124,68,4TEATS,112,1,93,104,c.3,Blue 3,feedlot,,0.0,0.0,106,0.0,0
92EW00079,K6127,68,4TEATS,102,1,82,98,c.2,Blue 2,feedlot,,0.0,0.0,112,0.0,1
92EW00080,K6128,68,HAIRY,99,1,75,91,c.3,Blue 3,feedlot,,0.0,0.0,100,0.0,2
92EW00081,K6129,68,,116,1,87,106,c.1,Blue 1,feedlot,,0.0,0.0,114,0.0,0
92EW00082,K6133,68,GRAFT,91,3,75,78,MKT,Scott,feedlot,,0.0,0.0,82,0.0,0
92EW00083,K6134,68,HAIRY,102,1,86,88,c.1,Blue 1,feedlot,,0.0,0.0,105,0.0,0
92EW00084,K6135,68,,105,1,93,99,c.2,Blue 2,feedlot,,0.0,0.0,113,0.0,0
92EW00085,K6143,68,,94,3,80,82,MKT,Scott,feedlot,,0.0,0.0,87,0.0,0
92EW00086,K6145,68,,103,1,77,83,c.3,Blue 3,feedlot,,0.0,0.0,85,0.0,0
92EW00087,K6148,68,,112,1,90,102,c.1,Blue 1,feedlot,,0.0,0.0,111,0.0,0
92EW00088,K6151,68,,104,1,75,92,c.2,Blue 2,feedlot,,0.0,0.0,90,0.0,0
92EW00089,K6155,68,4TEATS,110,1,97,116,c.3,Blue 3,feedlot,,0.0,0.0,113,0.0,0
92EW00090,K6162,68,MSG.9/17/92,91,3,64,77,MKT,Scott,feedlot,,0.0,0.0,81,0.0,0
92EW00091,K6163,68,4TEATS,101,1,72,87,c.2,Blue 2,feedlot,,0.0,0.0,86,0.0,2
92EW00092,K6165,68,,104,1,86,97,c.1,Blue 1,feedlot,,0.0,0.0,100,0.0,0
92EW00093,K6172,68,GRAFT,99,1,67,74,c.3,Blue 3,feedlot,,0.0,0.0,81,0.0,0
92EW00094,K6173,68,4TEATS,110,1,81,89,c.1,Blue 1,feedlot,,0.0,0.0,91,0.0,0
92EW00095,K6174,68,4TEATS,104,1,80,84,c.2,Blue 2,feedlot,,0.0,0.0,92,0.0,0
92EW00096,K6177,68,4TEATS,87,1,108,113,c.3,Blue 3,feedlot,,0.0,0.0,131,0.0,1
92EW00097,K6184,68,,103,1,71,86,c.1,Blue 1,feedlot,,0.0,0.0,96,0.0,0
92EW00098,K6187,68,4TEATS,108,1,82,97,c.2,Blue 2,feedlot,,0.0,0.0,103,0.0,1
92EW00099,K6188,68,GRAFT,97,1,71,77,c.3,Blue 3,feedlot,,0.0,0.0,76,0.0,0
92EW00100,K6189,68,ENTR,108,1,100,102,c.1,Blue 1,feedlot,,0.0,0.0,111,0.0,0
92EW00101,K6190,68,4TEATS,97,1,78,83,c.2,Blue 2,feedlot,,0.0,0.0,93,0.0,0
92EW00102,K6191,68,,118,1,84,90,c.3,Blue 3,feedlot,,0.0,0.0,113,0.0,0
92EW00103,K6192,68,ENTR,113,1,73,91,c.1,Blue 1,feedlot,,0.0,0.0,102,0.0,1
92EW00104,K6201,68,GRAFT,103,1,81,86,c.2,Blue 2,feedlot,,0.0,0.0,94,0.0,0
92EW00105,K6202,68,,87,3,63,66,MKT,Scott,feedlot,,0.0,0.0,75,0.0,0
92EW00106,K6205,68,4TEATS,106,1,77,94,c.3,Blue 3,feedlot,,0.0,0.0,103,0.0,1
92EW00107,K6210,68,4TEATS,115,1,96,111,c.1,Blue 1,feedlot,,0.0,0.0,113,0.0,0
92EW00108,K6211,68,,98,1,93,103,c.2,Blue 2,feedlot,,0.0,0.0,87,0.0,0
92EW00109,K6215,68,4TEATS,104,1,86,101,c.3,Blue 3,feedlot,,0.0,0.0,103,0.0,0
92EW00110,K6216,68,,97,1,90,101,c.2,Blue 2,feedlot,,0.0,0.0,105,0.0,0
92EW00111,K6226,68,4TEATS,100,1,74,88,c.1,Blue 1,feedlot,,0.0,0.0,89,0.0,0
92EW00112,K6233,68,4TEATS,104,1,87,100,c.3,Blue 3,feedlot,,0.0,0.0,110,0.0,2
92EW00113,K6236,68,,96,1,81,88,c.2,Blue 2,feedlot,,0.0,0.0,85,0.0,1
92EW00114,K6238,68,,97,1,89,108,c.1,Blue 1,feedlot,,0.0,0.0,108,0.0,0
92EW00115,K6239,68,,109,1,81,94,c.3,Blue 3,feedlot,,0.0,0.0,103,0.0,0
92EW00116,K6242,68,4TEATS,115,1,92,110,c.1,Blue 1,feedlot,,0.0,0.0,114,0.0,0
92EW00117,K6244,68,,101,1,72,84,c.2,Blue 2,feedlot,,0.0,0.0,89,0.0,0
92EW00118,K6248,68,,106,1,78,101,c.3,Blue 3,feedlot,,0.0,0.0,103,0.0,0
92EW00119,K6250,68,,101,1,96,100,c.3,Blue 3,feedlot,,0.0,0.0,110,0.0,1
92EW00120,K6252,68,4TEATS,109,1,93,107,c.1,Blue 1,feedlot,,0.0,0.0,113,0.0,0
92EW00121,K6256,68,,95,1,96,97,c.2,Blue 2,feedlot,,0.0,0.0,109,0.0,0
92EW00122,K6258,68,,112,1,84,95,c.1,Blue 1,feedlot,,0.0,0.0,92,0.0,0
92EW00123,K6264,68,,95,1,103,117,c.2,Blue 2,feedlot,,0.0,0.0,119,0.0,0
92EW00124,K6266,68,4TEATS,111,1,83,102,c.3,Blue 3,feedlot,,0.0,0.0,92,0.0,0
92EW00125,K6268,68,,106,1,73,94,c.1,Blue 1,feedlot,,0.0,0.0,97,0.0,2
92EW00126,K6269,68,4TEATS,107,1,77,94,c.3,Blue 3,feedlot,,0.0,0.0,115,0.0,0
92EW00127,K6271,68,4TEATS,113,1,85,96,c.2,Blue 2,feedlot,,0.0,0.0,100,0.0,0
92EW00128,K6277,68,,84,3,62,70,MKT,Scott,feedlot,,0.0,0.0,75,0.0,0
92EW00129,K6278,68,,83,3,69,77,MKT,Scott,feedlot,,0.0,0.0,86,0.0,0
92EW00130,K6290,68,,103,1,81,95,c.1,Blue 1,feedlot,,0.0,0.0,100,0.0,1
92EW00131,K6291,68,ENTR,95,1,96,104,c.2,Blue 2,feedlot,,0.0,0.0,97,0.0,0
92EW00132,K6292,68,ENTR,100,1,74,78,c.3,Blue 3,feedlot,,0.0,0.0,79,0.0,0
92EW00133,K6293,68,,96,1,75,77,c.2,Blue 2,feedlot,,0.0,0.0,83,0.0,0
92EW00134,K6299,68,4TEATS,112,1,76,94,c.1,Blue 1,feedlot,,0.0,0.0,95,0.0,0
92EW00135,K6305,68,4TEATS,113,1,82,95,c.3,Blue 3,feedlot,,0.0,0.0,108,0.0,1
92EW00136,K6306,68,4TEATS,106,1,75,89,c.2,Blue 2,feedlot,,0.0,0.0,91,0.0,1
92EW00137,K6309,68,4TEATS,103,1,85,97,c.1,Blue 1,feedlot,,0.0,0.0,102,0.0,0
92EW00138,K6311,68,4TEATS,107,1,99,114,c.3,Blue 3,feedlot,,0.0,0.0,123,0.0,1
92EW00139,K6312,68,4TEATS,101,1,102,116,c.1,Blue 1,feedlot,,0.0,0.0,112,0.0,0
92EW00140,K6313,68,,107,1,93,108,c.2,Blue 2,feedlot,,0.0,0.0,110,0.0,1
92EW00141,K6314,68,4TEATS,102,1,90,95,c.3,Blue 3,feedlot,,0.0,0.0,86,0.0,0
92EW00142,K6322,68,,110,1,80,92,c.2,Blue 2,feedlot,,0.0,0.0,100,0.0,0
92EW00143,K6327,68,,109,1,92,108,c.1,Blue 1,feedlot,,0.0,0.0,109,0.0,0
92EW00144,K6335,68,,118,1,111,127,c.3,Blue 3,feedlot,,0.0,0.0,138,0.0,1
92EW00145,K6340,68,4TEATS,90,3,85,90,MKT,Scott,feedlot,,0.0,0.0,94,0.0,0
92EW00146,K6342,68,,81,3,83,98,MKT,Scott,feedlot,,0.0,0.0,92,0.0,0
92EW00147,K6352,68,,110,1,82,94,c.2,Blue 2,feedlot,,0.0,0.0,100,0.0,1
92EW00148,K6353,68,,96,1,71,86,c.3,Blue 3,feedlot,,0.0,0.0,89,0.0,0
92EW00149,K6354,68,,104,1,85,101,c.2,Blue 2,feedlot,,0.0,0.0,108,0.0,0
92EW00150,K6355,68,4TEATS,113,1,82,97,c.1,Blue 1,feedlot,,0.0,0.0,99,0.0,0
92EW00151,K6358,68,,114,1,75,88,c.1,Blue 1,feedlot,,0.0,0.0,88,0.0,0
92EW00152,K6360,68,4TEATS,118,1,90,102,c.3,Blue 3,feedlot,,0.0,0.0,107,0.0,0
92EW00153,K6361,68,4TEATS,110,1,82,91,c.1,Blue 1,feedlot,,0.0,0.0,102,0.0,0
92EW00154,K6362,68,,99,1,94,101,c.2,Blue 2,feedlot,,0.0,0.0,101,0.0,0
92EW00155,K6364,68,,105,1,73,87,c.3,Blue 3,feedlot,,0.0,0.0,97,0.0,0
92EW00156,K6368,68,933,106,1,90,104,c.2,Blue 2,feedlot,,0.0,0.0,113,0.0,0
92EW00157,K6378,68,4TEATS,105,1,79,81,c.1,Blue 1,feedlot,,0.0,0.0,93,0.0,0
92EW00158,K6379,68,,109,1,86,90,c.3,Blue 3,feedlot,,0.0,0.0,104,0.0,0
92EW00159,K6383,68,4TEATS,101,1,76,100,c.3,Blue 3,feedlot,,0.0,0.0,109,0.0,1
92EW00160,K6386,00,BLACK WETHER,98,1,65,77,,,feedlot,,0.0,0.0,83,0.0,0
92EW00161,K6388,68,4TEATS,97,1,94,108,c.2,Blue 2,feedlot,,0.0,0.0,113,0.0,0
92EW00162,K6391,68,4TEATS,107,1,71,87,c.1,Blue 1,feedlot,,0.0,0.0,92,0.0,0
92EW00163,K6394,68,,92,1,101,106,c.1,Blue 1,feedlot,,0.0,0.0,123,0.0,0
92EW00164,K6396,68,,102,1,75,94,c.2,Blue 2,feedlot,,0.0,0.0,109,0.0,0
92EW00165,K6402,68,,99,1,77,89,c.3,Blue 3,feedlot,,0.0,0.0,97,0.0,0
92EW00166,K6404,68,4TEATS,122,1,68,85,c.1,Blue 1,feedlot,,0.0,0.0,87,0.0,0
92EW00167,K6406,68,,108,1,90,110,c.2,Blue 2,feedlot,,0.0,0.0,112,0.0,0
92EW00168,K6426,68,,116,1,79,91,c.3,Blue 3,feedlot,,0.0,0.0,98,0.0,1
92EW00169,K6427,68,,86,3,66,69,MKT,Scott,feedlot,,0.0,0.0,69,0.0,0
92EW00170,K6433,68,,106,1,87,101,c.1,Blue 1,feedlot,,0.0,0.0,105,0.0,0
92EW00171,K6435,68,4TEATS,104,1,92,106,c.2,Blue 2,feedlot,,0.0,0.0,112,0.0,0
92EW00172,K6446,68,4TEATS,113,1,70,82,c.3,Blue 3,feedlot,,0.0,0.0,86,0.0,0
92EW00173,K6447,68,4TEATS,114,1,74,85,c.2,Blue 2,feedlot,,0.0,0.0,93,0.0,0
92EW00174,K6448,68,ENTR,116,1,79,89,c.3,Blue 3,feedlot,,0.0,0.0,94,0.0,0
92EW00175,K6469,68,,85,3,90,89,MKT,Scott,feedlot,,0.0,0.0,100,0.0,0
92EW00176,K6479,68,,109,1,70,90,c.1,Blue 1,feedlot,,0.0,0.0,93,0.0,0
92EW00177,K6485,68,SWOLLEN HEAD,106,1,83,94,c.1,Blue 1,feedlot,,0.0,0.0,94,0.0,0
92EW00178,K6491,68,,111,1,71,88,c.2,Blue 2,feedlot,,0.0,0.0,94,0.0,0
92EW00179,K6492,68,4TEATS,94,1,105,108,c.3,Blue 3,feedlot,,0.0,0.0,113,0.0,1
92EW00180,K6499,68,ENTR,105,1,104,121,c.3,Blue 3,feedlot,,0.0,0.0,127,0.0,0
92EW00181,K6504,68,,104,1,88,102,c.2,Blue 2,feedlot,,0.0,0.0,105,0.0,0
92EW00182,K6515,68,4TEATS,111,1,85,97,c.1,Blue 1,feedlot,,0.0,0.0,98,0.0,0
92EW00183,K6516,68,"4TEATS,AT HQ.",118,1,98,106,c.1,Blue 1,feedlot,,0.0,0.0,127,0.0,0
92EW00184,K6517,68,HAIRY,113,1,78,92,c.2,Blue 2,feedlot,,0.0,0.0,91,0.0,0
92EW00185,K6523,68,,98,1,76,92,c.3,Blue 3,feedlot,,0.0,0.0,95,0.0,0
92EW00186,K6530,68,4TEATS,120,1,83,88,c.1,Blue 1,feedlot,,0.0,0.0,95,0.0,0
92EW00187,K6531,68,4TEATS,119,1,80,81,c.2,Blue 2,feedlot,,0.0,0.0,87,0.0,0
92EW00188,K6532,68,4TEATS,103,1,69,83,c.3,Blue 3,feedlot,,0.0,0.0,91,0.0,0
92EW00189,K6548,68,4TEATS,102,1,80,81,c.1,Blue 1,feedlot,,0.0,0.0,93,0.0,0
92EW00190,K6550,68,,95,1,91,96,c.2,Blue 2,feedlot,,0.0,0.0,107,0.0,0
92EW00191,K6552,68,4TEATS,114,1,86,97,c.3,Blue 3,feedlot,,0.0,0.0,101,0.0,0
92EW00192,K6576,68,GRAFT,85,3,81,87,MKT,Scott,feedlot,,0.0,0.0,91,0.0,0
92EW00193,K6581,68,,106,1,78,83,c.1,Blue 1,feedlot,,0.0,0.0,99,0.0,0
92EW00194,K6584,68,,100,1,74,89,c.2,Blue 2,feedlot,,0.0,0.0,100,0.0,0
92EW00195,K6586,68,ENTR,102,1,96,98,c.3,Blue 3,feedlot,,0.0,0.0,104,0.0,0
92EW00196,K6593,68,4TEATS,102,1,71,84,c.1,Blue 1,feedlot,,0.0,0.0,95,0.0,0
92EW00197,K6596,68,4TEATS,107,1,76,76,c.2,Blue 2,feedlot,,0.0,0.0,100,0.0,0
92EW00198,K6598,68,,108,1,79,92,c.3,Blue 3,feedlot,,0.0,0.0,93,0.0,0
92EW00199,K6603,68,,104,1,73,88,c.1,Blue 1,feedlot,,0.0,0.0,89,0.0,0
92EW00200,K6611,00,4TEATS,0,1,66,71,SPG,Spurge,feedlot,,0.0,0.0,77,0.0,0
92EW00201,K6612,00,,0,1,67,68,SPG,Spurge,feedlot,,0.0,0.0,81,0.0,0
92EW00202,K6627,68,4TEATS,104,1,71,82,c.2,Blue 2,feedlot,,0.0,0.0,93,0.0,0
92EW00203,K6633,68,WEAK,107,1,73,83,c.3,Blue 3,feedlot,,0.0,0.0,86,0.0,0
92EW00204,L8350,00,,,1,71,,r.0,Red 0,feedlot,,0.0,0.0,135,0.0,2
92EW00205,L8354,00,,,1,62,,r.0,Red 0,feedlot,,0.0,0.0,130,0.0,0
92EW00206,L8357,00,,,1,71,,r.0,Red 0,feedlot,,0.0,0.0,122,0.0,2
92EW00207,L8359,00,,,1,71,,r.0,Red 0,feedlot,,0.0,0.0,119,0.0,2
92EW00208,L8365,00,,,1,81,,r.0,Red 0,feedlot,,0.0,0.0,123,0.0,0
92EW00209,L8366,00,,,1,76,,r.0,Red 0,feedlot,,0.0,0.0,116,0.0,0
92EW00210,L8369,00,,,1,62,,r.0,Red 0,feedlot,,0.0,0.0,114,0.0,2
92EW00211,L8370,00,,,1,62,,r.0,Red 0,feedlot,,0.0,0.0,119,0.0,1
92EW00212,L8377,00,,,1,71,,r.0,Red 0,feedlot,,0.0,0.0,126,0.0,2
92EW00213,L8379,00,,,1,71,,r.0,Red 0,feedlot,,0.0,0.0,124,0.0,0
92EW00214,L8381,00,,,1,81,,r.0,Red 0,feedlot,,0.0,0.0,127,0.0,2
92EW00215,L8399,00,,,1,71,,r.0,Red 0,feedlot,,0.0,0.0,134,0.0,0
92EW00216,L8402,00,,,1,81,,r.0,Red 0,feedlot,,0.0,0.0,100,0.0,0
92EW00217,L8406,00,,,1,71,,r.0,Red 0,feedlot,,0.0,0.0,104,0.0,0
92EW00218,L8409,00,,,1,81,,r.0,Red 0,feedlot,,0.0,0.0,132,0.0,1
92EW00219,L8421,82,,101,3,76,80,MKT,Scott,feedlot,,0.0,0.0,96,0.0,0
92EW00220,L8432,81,4TEATS,106,1,68,80,p.1,Red 01,feedlot,,0.0,0.0,82,0.0,1
92EW00221,L8441,81,,105,1,66,78,p.2,Red 02,feedlot,,0.0,0.0,84,0.0,1
92EW00222,L8445,81,,106,3,62,75,MKT,Scott,feedlot,,0.0,0.0,86,0.0,0
92EW00223,L8451,81,,113,1,70,82,p.3,Red 03,feedlot,,0.0,0.0,97,0.0,2
92EW00224,L8456,82,,101,1,82,89,p.1,Red 01,feedlot,,0.0,0.0,112,0.0,2
92EW00225,L8461,80,,97,1,74,83,p.3,Red 03,feedlot,,0.0,0.0,86,0.0,1
92EW00226,L8462,82,,88,3,81,89,MKT,Scott,feedlot,,0.0,0.0,109,0.0,0
92EW00227,L8482,82,,101,1,83,94,p.2,Red 02,feedlot,,0.0,0.0,108,0.0,1
92EW00228,L8484,82,,95,1,81,94,p.1,Red 01,feedlot,,0.0,0.0,92,0.0,0
92EW00229,L8485,82,,101,1,65,80,p.2,Red 02,feedlot,,0.0,0.0,74,0.0,1
92EW00230,L8493,81,,107,1,91,104,p.3,Red 03,feedlot,,0.0,0.0,119,0.0,2
92EW00231,L8501,82,,113,1,68,84,p.1,Red 01,feedlot,,0.0,0.0,84,0.0,0
92EW00232,L8506,82,,102,3,71,81,MKT,Scott,feedlot,,0.0,0.0,77,0.0,0
92EW00233,L8507,80,,100,1,77,89,p.2,Red 02,feedlot,,0.0,0.0,88,0.0,1
92EW00234,L8516,81,,97,1,77,90,p.3,Red 03,feedlot,,0.0,0.0,92,0.0,1
92EW00235,L8517,81,,99,1,80,92,p.1,Red 01,feedlot,,0.0,0.0,96,0.0,2
92EW00236,L8521,82,,107,1,75,90,p.2,Red 02,feedlot,,0.0,0.0,90,0.0,1
92EW00237,L8527,82,,102,3,66,82,MKT,Scott,feedlot,,0.0,0.0,82,0.0,0
92EW00238,L8532,80,,99,1,80,93,p.3,Red 03,feedlot,,0.0,0.0,99,0.0,1
92EW00239,L8534,82,,100,1,91,106,p.1,Red 01,feedlot,,0.0,0.0,99,0.0,1
92EW00240,L8535,81,,116,1,73,87,p.2,Red 02,feedlot,,0.0,0.0,88,0.0,1
92EW00241,L8541,81,,109,1,79,92,p.3,Red 03,feedlot,,0.0,0.0,99,0.0,2
92EW00242,L8548,82,,98,1,67,87,p.1,Red 01,feedlot,,0.0,0.0,90,0.0,1
92EW00243,L8556,82,,97,3,71,83,MKT,Scott,feedlot,,0.0,0.0,99,0.0,0
92EW00244,L8562,80,,97,1,75,87,p.2,Red 02,feedlot,,0.0,0.0,88,0.0,0
92EW00245,L8565,82,,107,1,73,89,p.1,Red 01,feedlot,,0.0,0.0,93,0.0,0
92EW00246,L8577,82,,101,3,68,79,MKT,Scott,feedlot,,0.0,0.0,77,0.0,0
92EW00247,L8587,82,,104,1,97,112,p.3,Red 03,feedlot,,0.0,0.0,123,0.0,1
92EW00248,L8591,81,,103,1,84,98,p.1,Red 01,feedlot,,0.0,0.0,99,0.0,1
92EW00249,L8594,82,,96,1,71,92,p.2,Red 02,feedlot,,0.0,0.0,93,0.0,2
92EW00250,L8596,81,,109,3,65,74,MKT,Scott,feedlot,,0.0,0.0,82,0.0,0
92EW00251,L8600,80,,99,1,81,88,p.3,Red 03,feedlot,,0.0,0.0,96,0.0,1
92EW00252,L8601,82,,108,1,93,89,p.1,Red 01,feedlot,,0.0,0.0,102,0.0,1
92EW00253,L8604,82,,94,1,82,97,p.2,Red 02,feedlot,,0.0,0.0,106,0.0,1
