UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDAR,CLR,STM
20EW00520,Z7496,A,.,1,108,e3,W,120,1015,143,1120,,,,1-,1,Preg,,6,97
20EW00521,Z7498,A,.,1,121,e4,W,132,1015,149,1120,,,,1-,1,Preg,,6,97
20EW00522,Z7506,,2ND,1,95,e5,W,108,1015,125,1120,,,,1,1,Preg,,9,BL
20EW00523,Z7507,,NICE LAMB,1,99,e6,W,117,1015,127,1120,,,,1,1,Preg,,6,97
20EW00524,Z7509,,.,1,98,e1,W,107,1015,125,1120,,,,1,1,Preg,,6,97
20EW00525,Z7510,,.,1,102,e2,W,116,1015,138,1120,,,,1,1,Preg,,6,97
20EW00526,Z7514,A,50BLK,1,80,e3,W,96,1015,111,1120,,,,1-,1,Preg,,5,TS
20EW00527,Z7515,A,40BLK,1,84,e4,W,94,1015,111,1120,,,,1-,1,Preg,,5,TS
20EW00528,Z7518,A,POSS.MIXUP,1,101,e5,W,120,1015,135,1120,,,,,,Open,2857,6,97
20EW00529,Z7519,A,.,1,81,e6,W,102,1015,117,1120,,,,1,1,Preg,,6,97
20EW00530,Z7522,,2ND.40BLK,1,112,e1,W,133,1015,144,1120,,,,1-,1,Preg,,5,80
20EW00531,Z7524,A,.,1,105,e2,W,116,1015,133,1120,,,,1,1,Preg,,6,97
20EW00532,Z7532,,.,1,108,e3,W,121,1015,139,1120,,,,2-,,Preg,,1,00
20EW00533,Z7534,A,.,1,131,e4,W,143,1015,154,1120,,,,1,1,Preg,,6,97
20EW00534,Z7542,A,.,1,99,e5,W,116,1015,133,1120,,,,1-,1,Preg,,6,97
20EW00535,Z7546,A,NICE LAMB,1,130,e6,W,145,1015,160,1120,,,,1,1,Preg,,6,97
20EW00536,Z7553,,.,1,95,e1,W,99,1015,120,1120,,,,2+,1,Preg,,5,SY
20EW00537,Z7559,,.,1,124,e2,W,135,1015,153,1120,,,,3,,Preg,,5,00
20EW00538,Z7561,,.,1,92,e3,W,112,1015,134,1120,,,,1,1,Preg,,6,97
20EW00539,Z7568,A,.,1,112,e4,W,120,1015,131,1120,,,,1,1,Preg,,6,97
20EW00540,Z7572,A,.,1,106,e5,W,125,1015,144,1120,,,,1-,1,Preg,,6,97
20EW00541,Z7577,,.,1,111,e6,W,133,1015,143,1120,,,,1-,1,Preg,,6,97
20EW00542,Z7579,,.,1,119,e1,W,125,1015,141,1120,,,,1-,1,Preg,,5,TS
20EW00543,Z7583,A,.,1,87,e2,W,101,1015,113,1120,,,,1-,1,Preg,,6,97
20EW00544,Z7584,,.,1,113,e3,W,130,1015,150,1120,,,,2+,1,Preg,,2,LR
20EW00545,Z7587,,.,1,107,e4,W,119,1015,140,1120,,,,2-,1,Preg,,5,00
20EW00546,Z7589,,.,1,120,e5,W,128,1015,150,1120,,,,3-,1,Preg,,5,00
20EW00547,Z7591,,.,1,123,e6,W,136,1015,154,1120,,,,2,1,Preg,,5,00
20EW00548,Z7599,,.,1,107,e1,W,118,1015,131,1120,,,,2+,1,Preg,,1,TC
20EW00549,Z7604,,.,1,119,e2,W,124,1015,145,1120,,,,2,1,Preg,,5,00
20EW00550,Z7606,,.,1,110,e3,W,136,1015,156,1120,,,,2,,Preg,,5,00
20EW00551,Z7607,,.,1,86,e4,W,100,1015,112,1120,,,,1-,1,Preg,,6,97
20EW00552,Z7609,,.,1,95,e5,W,103,1015,117,1120,,,,1,1,Preg,,6,97
20EW00553,Z7612,,.,1,114,e6,W,136,1015,152,1120,,,,1,1,Preg,,9,BL
20EW00554,Z7616,,.,1,112,e1,W,131,1015,150,1120,,,,1,1,Preg,,5,00
20EW00555,Z7620,,.,1,83,e2,W,85,1015,96,1120,,,,1-,1,Preg,,5,TS
20EW00556,Z7623,A,.,1,85,e3,W,109,1015,127,1120,,,,2,1,Preg,,5,SY
20EW00557,Z7639,,.,1,111,e4,W,130,1015,145,1120,,,,2-,1,Preg,,5,00
20EW00558,Z7640,,.,1,105,e5,W,118,1015,135,1120,,,,2-,,Preg,,5,00
20EW00559,Z7641,A,.,1,88,e6,W,101,1015,113,1120,,,,1,1,Preg,,6,97
20EW00560,Z7644,A,.,1,84,e1,W,97,1015,114,1120,,,,1,1,Preg,,6,97
20EW00561,Z7649,,.,1,124,e2,W,147,1015,168,1120,,,,1-,,Preg,,6,00
20EW00562,Z7656,,.,1,92,e3,W,102,1015,111,1120,,,,1,1,Preg,,6,97
20EW00563,Z7664,A,2ND,1,98,e4,W,119,1015,133,1120,,,,1-,1,Preg,,5,TS
20EW00564,Z7678,,.,1,99,e5,W,117,1015,130,1120,,,,1,1,Preg,,6,97
20EW00565,Z7683,,.,1,89,e6,W,105,1015,128,1120,,,,2+,1,Preg,,6,97
20EW00566,Z7685,,40BLK,1,85,e1,W,80,1015,109,1120,,,,2,,Open,,5,SY
20EW00567,Z7692,,90BRN,1,117,e2,W,135,1015,155,1120,,,,2+,1,Preg,,5,00
20EW00568,Z7703,,.,1,83,e3,W,97,1015,118,1120,,,,,,Open,2845,6,97
20EW00569,Z7705,,.,1,112,e4,W,129,1015,143,1120,,,,1,1,Preg,,6,97
20EW00570,Z7707,,80BLK,1,111,e5,W,138,1015,157,1120,,,,2,1,Preg,,5,00
20EW00571,Z7710,,90BRN,1,98,e6,W,109,1015,121,1120,,,,1,1,Preg,,5,TS
20EW00572,Z7711,,.,1,106,e1,W,118,1015,131,1120,,,,2-,1,Preg,,1,LR
20EW00573,Z7716,,30GRAY,1,109,e2,W,119,1015,142,1120,,,,1-,1,Preg,,5,00
20EW00574,Z7725,,70BLK,1,84,e3,W,92,1015,107,1120,,,,1-,1,Preg,,5,TS
20EW00575,Z7732,,.,1,92,e4,W,109,1015,129,1120,,,,,,Open,2801,6,97
20EW00576,Z7740,,.,1,112,e5,W,121,1015,144,1120,,,,2-,1,Preg,,2,00
20EW00577,Z7745,,.,1,111,e6,W,136,1015,151,1120,,,,2,1,Preg,,5,00
20EW00578,Z7746,,.,1,111,e1,W,108,1015,123,1120,,,,3-,1,Preg,,1,00
20EW00579,Z7751,,.,1,121,e2,W,142,1015,164,1120,,,,2-,,Preg,,5,00
20EW00580,Z7753,A,2ND.2@ONCE,1,113,e3,W,128,1015,151,1120,,,,1-,1,Preg,,6,97
20EW00581,Z7755,A,2ND.BACKWARDS,1,116,e4,W,119,1015,129,1120,,,,1-,1,Preg,,5,TS
20EW00582,Z7758,,.,1,85,e5,W,97,1015,112,1120,,,,3+,1,Preg,,1,07
20EW00583,Z7759,,.,1,85,e6,W,97,1015,109,1120,,,,,,Open,2814,1,07
20EW00584,Z7762,,.,1,108,e1,W,122,1015,132,1120,,,,2-,,Preg,,5,00
20EW00585,Z7765,A,.,1,97,e2,W,107,1015,133,1120,,,,1,1,Preg,,6,97
20EW00586,Z7770,,.,1,81,e3,W,98,1015,111,1120,,,,,,Open,2780,6,97
