UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM
96WN00565, 96042835,96,A2835,04,1,82,30,27,9,3,2,5.0,5,4,2,92,220,128,8,7.2,66,88,0.631,83,1,2,,,0,C,,,A1399,04,L6769,03,82,3,93,239,8,5,96,2.37,118.0,3,96,,16.91,0,0,0,,15.85,17.97
96WN00566, 96042832,96,A2832,04,2,88,30,e.7,5,1,1,1.0,1,1,2,92,220,128,1,7.2,53,75,0.53,71,1,2,,,0,e,20,,A0708,04,A1927,04,82,2,92,263,1,1,96,2.02,122.6,2,87,88,16.23,0,0,0,,18.39,14.06
96WN00567, 96042838,96,A2838,04,3,88,30,e.7,5,1,1,1.0,1,1,2,92,220,128,1,10.0,78,104,0.734,98,1,1,,,0,e,,,A0708,04,A2079,04,81,3,93,268,1,1,113,2.02,128.0,3,119,,19.04,0,0,0,,18.39,19.68
96WN00568, 96042839,96,A2839,04,2,81,30,02,5,1,2,5.0,5,4,2,93,220,127,6,8.9,74,100,0.717,95,1,1,,,0,M,e.8,,A1423,04,L6630,03,81,1,,0,3,5,107,2.04,117.8,1,115,,20.57,0,0,0,,19.9,21.23
96WN00569, 96042837,96,A2837,04,3,88,30,e.7,5,1,1,1.0,1,1,2,92,220,128,10,14.8,78,100,0.666,95,1,1,,,0,e,,BIG2HAVE,A0708,04,A1919,04,81,3,93,268,1,1,111,2.02,127.4,3,108,,17.9,0,0,0,,18.39,17.41
96WN00570, 96042841,96,A2841,04,2,88,30,e.7,8,2,1,1.0,1,1,2,93,220,127,17,9.0,62,81,0.567,77,1,1,,,0,e,,BRITCHY!,A0708,04,A1796,04,82,3,93,268,3,2,100,2.12,123.8,3,97,,17.54,0,0,0,,18.39,16.68
96WN00571, 96042840,96,A2840,04,1,ch,31,j.5,5,1,1,1.0,1,1,H,93,222,129,5,11.6,76,100,0.685,94,1,1,,,2,h,-CH,,A1444,04,A2510,04,ch,1,,0,1,1,107,1.0,94.0,1,103,,14.26,0,0,0,,22.82,5.69
96WN00572, 96042843,96,A2843,04,2,88,30,e.7,8,2,1,1.0,1,1,2,93,220,127,6,5.1,55,77,0.566,73,1,1,,,0,e,21,BRITCHY,A0708,04,A1876,04,82,2,92,263,3,2,97,2.12,123.0,2,92,96,21.93,0,0,0,,18.39,25.47
96WN00573, 96042845,96,A2845,04,1,82,30,28,9,3,2,6.0,6,4,2,93,220,127,2,8.7,65,88,0.624,84,1,1,,,0,C,,,A1063,04,L5045,03,82,1,,0,8,4,112,2.48,151.5,1,93,,22.58,0,0,0,,13.49,31.66
96WN00574, 96042846,96,A2846,04,2,82,30,28,9,3,2,6.0,6,4,2,93,220,127,17,7.1,61,80,0.574,76,1,1,,,0,C,e.8,4TEATS,A1063,04,L5045,03,82,1,,0,8,6,112,2.48,151.5,1,91,,22.58,0,0,0,,13.5,31.66
96WN00575, 96042848,96,A2848,04,2,73,30,743,8,2,1,1.5,1,1,H,93,222,129,3,6.5,54,68,0.477,64,1,1,,,6,,-FL,RAT,A1638,04,A1679,04,73,1,,0,3,2,91,2.12,121.2,1,73,,0.0,0,0,0,,4.46,0.0
96WN00576, 96042847,96,A2847,04,2,82,30,28,9,3,2,6.0,6,4,2,93,220,127,11,9.1,62,85,0.598,81,1,1,,,0,C,12,4TEATS,A1063,04,L5045,03,82,2,92,263,8,7,115,2.48,151.5,2,93,95,22.58,0,0,0,,13.5,31.66
96WN00577, 96042851,96,A2851,04,2,82,30,25,8,2,2,3.0,3,3,2,93,220,127,7,8.0,52,77,0.543,73,1,1,,,0,C,e.9,ENTR,A1030,04,L9721,03,82,1,,0,5,6,101,1.98,130.5,1,91,,16.86,0,0,0,,20.42,13.29
96WN00578, 96042850,96,A2850,04,2,82,30,25,8,2,2,3.0,3,3,2,93,220,127,1,10.2,73,91,0.636,87,1,1,,,0,C,21,,A1030,04,L9721,03,82,2,92,263,5,4,108,1.98,130.5,2,103,109,16.86,0,0,0,,20.42,13.29
96WN00579, 96042853,96,A2853,04,1,82,30,22,9,3,2,5.0,5,4,2,93,220,127,17,8.2,62,89,0.636,85,1,1,4,,0,C,,H4X,A0944,04,L7769,03,82,3,93,239,8,5,106,2.04,137.5,3,98,,10.96,0,0,0,,11.73,10.19
96WN00580, 96042854,96,A2854,04,1,82,30,22,9,3,1,5.0,5,4,1,93,218,125,14,7.8,65,88,0.642,85,1,1,,,0,C,,,A0944,04,L7769,03,82,1,,0,7,2,106,2.04,137.5,1,98,,10.96,0,0,0,,11.73,10.19
96WN00581, 96042855,96,A2855,04,2,81,30,02,8,2,2,2.0,2,2,2,93,220,127,1,7.1,52,72,0.511,68,1,1,,,0,M,22,SCOURS!,A1423,04,A0751,04,81,2,92,263,5,5,91,1.94,114.9,2,85,95,16.24,0,0,0,,19.9,12.58
96WN00582, 96042856,96,A2856,04,2,81,30,02,8,2,2,2.0,2,2,2,93,220,127,17,7.9,54,69,0.481,66,1,1,,,0,M,22,BRITCHY,A1423,04,A0751,04,81,2,92,263,5,5,89,1.94,114.9,2,82,88,16.24,0,0,0,,19.9,12.58
96WN00583, 96042852,96,A2852,04,1,82,30,22,9,3,2,5.0,5,4,2,93,220,127,17,8.3,63,85,0.604,81,1,1,,,0,C,,,A0944,04,L7769,03,82,1,,0,8,5,104,2.04,137.5,1,92,,10.96,0,0,0,,11.73,10.19
96WN00584, 96042858,96,A2858,04,1,82,30,25,8,2,2,4.0,4,4,2,94,220,126,17,10.6,78,96,0.678,92,1,1,,,0,C,,NICE,A1030,04,L8534,03,82,1,,0,5,5,98,1.84,114.2,1,108,,14.99,0,0,0,,20.42,9.55
96WN00585, 96042859,96,A2859,04,1,82,30,27,8,2,1,2.0,2,2,2,94,220,126,6,10.0,56,88,0.619,84,1,1,,,0,C,,,A1399,04,A1085,04,82,1,,0,3,2,98,2.28,121.2,1,93,,15.61,0,0,0,,15.85,15.36
96WN00586, 96042857,96,A2857,04,1,82,30,25,8,2,2,4.0,4,4,2,94,220,126,9,10.9,65,88,0.612,84,1,1,,,0,C,,NICE,A1030,04,L8534,03,82,3,93,239,5,5,94,1.84,114.2,3,95,,14.99,0,0,0,,20.42,9.55
96WN00587, 96042861,96,A2861,04,2,ch,31,j.3,8,2,1,1.0,1,1,H,94,222,128,7,8.9,60,86,0.602,81,1,1,,,2,h,j.7,,A1264,04,A2395,04,ch,1,,0,3,2,97,2.0,81.0,1,88,,8.48,0,0,0,,13.22,3.74
96WN00588, 96042864,96,A2864,04,3,82,30,20,8,2,1,2.0,2,2,2,94,220,126,17,9.5,60,86,0.607,82,1,2,,,0,C,,,A0740,04,A1250,04,82,3,93,268,3,2,96,2.11,111.0,3,100,,11.73,0,0,0,,13.92,9.53
96WN00589, 96042865,96,A2865,04,3,82,30,27,8,2,1,7.0,7,5,2,94,220,126,12,12.2,75,98,0.681,94,1,1,,,0,C,,,A1399,04,L3909,03,82,3,93,268,3,2,120,1.93,149.0,3,111,,15.07,0,0,0,,15.85,14.28
96WN00590, 96042866,96,A2866,04,2,82,30,27,8,2,2,7.0,7,5,2,94,220,126,10,12.0,63,80,0.54,77,1,1,,,0,C,16,,A1399,04,L3909,03,82,2,92,263,5,6,111,1.93,149.0,2,92,97,15.07,0,0,0,,15.85,14.28
96WN00591, 96042869,96,A2869,04,3,73,30,743,8,2,2,1.5,1,1,H,94,222,128,4,8.8,51,69,0.47,65,1,2,,,6,,-FL,,A1638,04,A1609,04,73,3,93,268,5,5,98,2.12,134.4,3,71,,0.0,0,0,0,,4.46,0.0
96WN00592, 96042867,96,A2867,04,2,ch,31,j.2,8,2,1,1.0,1,1,H,94,222,128,5,8.2,61,80,0.561,76,1,1,,,2,c,j.5,,A1126,04,A2398,04,ch,1,,0,3,2,91,2.0,76.0,1,86,,12.84,0,0,0,,15.46,10.21
96WN00593, 96042820,96,A2820,04,2,88,30,e.7,8,2,1,1.0,1,1,1,89,218,129,1,6.5,55,78,0.554,73,1,1,,,0,e,21,BRITCHY,A0708,04,A2523,04,81,2,92,263,3,2,97,2.12,123.0,2,92,93,20.14,0,0,0,,18.39,21.88
96WN00594, 96042823,96,A2823,04,3,88,30,e.8,5,1,1,1.0,1,1,1,90,218,128,5,10.6,55,73,0.488,69,1,1,,,0,e,,PNEUMO+NAXCEL,A1368,04,A1918,04,81,3,93,268,1,1,94,2.02,122.2,3,87,,19.25,0,0,0,,15.94,22.56
96WN00595, 96042825,96,A2825,04,2,88,30,e.7,5,1,1,1.0,1,1,1,91,218,127,17,5.2,53,68,0.494,65,1,1,,,0,e,,X BRITCHY,A0708,04,A2017,04,81,3,93,268,1,1,92,2.02,121.4,3,88,,20.29,0,0,0,,18.39,22.18
96WN00596, 96042826,96,A2826,04,2,88,30,e.8,5,1,1,1.0,1,1,1,91,218,127,6,9.5,43,58,0.382,55,1,1,,,0,e,,,A1368,04,A2233,04,81,3,93,268,1,1,85,2.02,119.4,3,73,,17.79,0,0,0,,15.94,19.63
96WN00597, 96042822,96,A2822,04,2,ch,00,j.6,5,1,1,1.0,1,1,H,90,222,132,5,9.5,64,85,0.572,78,1,1,,,2,h,j.3,,T4244,44,A2402,04,ch,1,,0,1,1,94,1.0,78.0,1,85,,0.0,0,0,0,,6.54,0.0
