UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
88WN03064, 88806115,88,80,X6115,2,67,56,674,2,2,5,5,7.0,7,5,2,99,130,4,110,80,531, 5, 3,10, 7, 40,,5,6,1,1,1,161,190,1177,,,,,3780,80,1119,94,,75,554,65,1,79
88WN03065, 88806116,88,80,X6116,2,67,56,674,2,2,5,5,7.0,7,5,2,99,130,9,102,71,468, 6, 3, 9, 7, 43,,7,8,2,1,1,150,190,1177,92,,266,,3780,80,1119,94,,66,498,65,2,78
88WN03066, 88806117,88,80,X6117,3,54,54,  9,2,2,5,5,1.0,1,1,1,100,121,12,68,50,357, 8, 3, 9, 9, 31,,4,5,1,1,1,125,227,1193,15,,267,,0000,19,5102,80,,50,387,14,6,61
88WN03067, 88806118,88,80,X6118,3,54,54,  9,2,2,5,5,1.0,1,1,1,100,121,8,68,61,448, 8, 3,10, 8, 21,,3,5,1,1,2,126,227,1193,93,,,,0000,19,5102,80,,61,474,14,3,75
88WN03068, 88806119,88,80,X6119,1,97,97,397,1,1,1,1,1.0,1,1,5,100,117,4,97,75,558,,,,,,,,,,6,,,100,770,,,,7,0949,80,3518,80,,77,,,1,93
88WN03069, 88806120,88,80,X6120,2,45,55,441,1,1,1,1,4.0,4,4,3,100,124,17,102,75,523, 6, 2, 8, 6, 45,,5,6,1,1,1,148,164,1082,,,,,4416,80,6325,43,,73,480,41,1,88
88WN03070, 88806121,88,80,X6121,1,67,56,671,2,2,5,5,2.0,2,2,3,100,124,14,95,81,577, 6, 3, 8, 7, 41,244,6,7,2,1,1,159,210,1166,93,,,,3742,80,0906,80,,79,585,65,3,89
88WN03071, 88806122,88,80,X6122,2,67,56,671,2,2,5,5,2.0,2,2,3,100,124,21,82,46,305, 7, 2,11,10, 44,,5,6,5,1,1,139,210,1166,93,26,,,3742,80,0906,80,,45,370,65,3,59
88WN03072, 88806123,88,80,X6123,1,67,56,671,2,2,5,4,4.0,4,4,3,100,124,17,118,76,518, 5, 2, 8, 7, 56,240,6,7,1,1,1,167,197,1239,93,,,,3742,80,7084,94,,74,498,67,3,83
88WN03073, 88806124,88,80,X6124,1,67,56,671,2,2,5,6,4.0,4,4,3,100,124,24,98,83,590, 6, 2, 8, 6, 56,263,5,6,1,1,1,175,197,1239,93,,,,3742,80,7084,94,,81,605,67,3,92
88WN03074, 88806125,88,80,X6125,2,16,51,162,3,2,8,5,6.0,6,4,3,100,124,2,80,56,387, 4, 2,10, 9, 53,,6,7,1,2,1,160,232,1122,92,,266,,3912,80,3921,94,,54,404,16,2,60
88WN03075, 88806126,88,80,X6126,2,16,51,162,3,2,8,5,6.0,6,4,3,100,124,9,70,59,419, 5, 2,10, 8, 46,,5,6,1,1,1,151,232,1122,92,,266,,3912,80,3921,94,,57,446,16,2,69
88WN03076, 88806127,88,80,X6127,2,16,51,162,3,1,6,2,6.0,6,4,9,100,118,5,66,62,469, 6, 3,10, 8, 54,,6,7,1,1,1,157,232,1122,93,,235,,3912,80,3921,94,,63,501,16,9,
88WN03077, 88806128,88,80,X6128,3,56,56,  9,2,2,5,5,1.0,1,1,3,100,124,18,52,58,426, 6, 2,10, 7, 35,,5,6,2,1,1,143,227,1233,93,,,,0000,19,3967,80,,56,479,64,3,75
88WN03078, 88806129,88,80,X6129,3,56,56,  9,2,2,5,5,1.0,1,1,3,100,124,10,52,70,523,10, 3, 9, 7, 35,,2,3,1,1,1,130,227,1233,93,,,,0000,19,3967,80,,68,568,64,3,80
88WN03079, 88806130,88,80,X6130,3,54,54,  9,1,1,1,1,1.0,1,1,3,100,124,10,80,81,589, 8, 3, 9, 6, 48,,5,6,2,1,1,142,217,1139,93,,,,0000,19,4034,80,,79,533,16,3,91
88WN03080, 88806131,88,80,X6131,2,59,59,  9,3,1,7,2,1.0,1,1,3,100,124,4,46,59,439,10, 3, 9, 8, 33,,3,4,2,1,1,110,208,1088,92,,266,,0000,19,3834,80,,57,424,67,2,69
88WN03081, 88806135,88,80,X6135,2,54,54,  9,3,1,7,2,1.0,1,1,3,100,124,15,66,71,519, 8, 4, 9, 7, 32,,4,5,1,1,1,127,237,1125,92,,266,,0000,19,4272,80,,69,516,16,2,76
88WN03082, 88806137,88,80,X6137,1,55,55,  9,1,1,1,1,1.0,1,1,5,100,117,2,54,49,373,,,,,,,,,,1,,0,217,1103,93,,,7,0000,19,5107,80,,50,401,46,4,
88WN03083, 88806138,88,80,X6138,2,54,54,  9,2,1,3,2,1.0,1,1,3,100,124,1,55,64,472, 7, 2,10, 8, 33,,4,5,1,1,1,133,227,1107,92,,266,,0000,19,4345,80,,62,454,14,2,68
