UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,SIRE,LBRD,ADG,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
54WN00781,54,2,2097,2,46,461,0947,2,13,24,5,4,62,122,1,3,07,3,60,11,03,08,07,032,14,2,3,2,28,0,7,1,,14,411,5,2,46,1,,5,129,98,,1,,0,4
54WN00782,54,2,2098,2,46,461,0947,2,13,24,5,4,62,122,1,3,06,1,51,13,04,09,09,027,12,1,2,2,33,,,,,14,366,5,2,,1,,5,108,64,,2,10,0,4
54WN00783,54,1,2099,2,40,400,9520,2,13,29,1,6,62,122,1,7,10,1,81,09,04,08,07,035,12,2,2,1,28,2,7,,,14,597,1,1,40,1,1,5,147,82,,1,,0,4
54WN00784,54,1,2100,2,29,290,0641,2,13,,1,5,62,122,1,5,07,1,68,14,03,10,10,034,14,2,2,1,30,,,,,14,451,1,1,,1,2,5,115,130,,3,10,0,4
54WN00785,54,1,2101,2,82,354,9883,2,13,,5,6,62,122,1,7,10,1,78,13,03,06,08,032,12,1,2,2,28,,,,,14,561,5,2,50,7,1,5,133,96,,3,10,0,4
54WN00786,54,1,2102,2,82,354,9883,2,13,,5,6,62,122,2,7,07,1,75,13,03,08,08,032,11,2,2,1,35,,,,,14,539,5,2,50,7,2,5,130,92,1,3,10,0,4
54WN00787,54,1,2103,2,49,491,0181,2,13,20,1,5,62,122,1,7,08,3,73,11,04,10,10,027,12,1,2,2,24,1,3,,,14,523,1,1,49,1,3,5,130,92,,1,,0,4
54WN00788,54,1,2106,2,39,391,9813,2,13,11,5,6,82,142,1,7,12,1,62,14,03,09,11,032,13,2,4,3,32,,,,,14,372,5,2,,1,1,8,108,92,,3,10,0,4
54WN00789,54,2,2107,2,39,391,9813,2,13,11,5,6,62,122,3,3,05,1,69,15,03,07,09,039,9,2,2,1,32,,,,,14,489,5,2,,1,,5,121,94,,2,10,0,4
54WN00790,54,1,2108,2,82,264,0100,2,13,,4,5,70,130,1,7,09,6,81,09,05,09,10,031,13,2,3,2,23,,,,,14,560,3,3,51,7,2,9,136,82,,3,34,0,4
54WN00791,54,2,2109,2,82,264,0100,2,13,,3,5,62,122,1,3,07,1,71,13,03,06,07,036,13,2,2,1,31,1,4,1,,14,508,3,3,51,7,,5,123,90,,1,,0,4
54WN00792,54,2,2112,2,44,441,0432,2,14,16,3,2,70,130,1,1,07,1,74,12,03,13,10,038,11,2,2,1,21,,,,,14,505,3,3,,1,,9,138,84,,2,,0,2
54WN00793,54,1,2114,2,46,460,0886,2,13,24,5,4,62,122,1,7,06,1,61,15,04,12,10,028,14,1,2,2,26,,,,,14,418,5,2,,1,1,5,110,100,,3,10,0,4
54WN00794,54,2,2115,2,46,460,0886,2,13,24,5,4,62,122,1,3,07,1,70,08,06,09,08,030,12,2,3,2,29,0,7,1,,14,505,5,2,46,1,,5,144,84,,1,,0,4
54WN00795,54,2,2117,2,22,220,1532,2,13,33,3,3,62,122,2,4,07,1,81,08,04,07,08,030,12,2,2,1,28,2,3,1,,14,590,3,3,22,1,,5,159,90,,1,,0,3
54WN00796,54,2,2118,2,63,660,9025,2,13,,5,7,62,122,1,1,06,1,53,12,03,09,09,036,14,2,3,2,28,,,,,14,362,5,2,,6,,5,120,88,,2,10,0,5
54WN00797,54,2,2119,2,63,660,9025,2,13,,5,7,62,122,1,1,07,1,67,08,04,09,08,041,9,2,2,1,28,0,6,1,,14,467,5,2,53,6,,5,152,100,,1,,0,5
54WN00798,54,1,2121,2,82,354,0703,2,13,,3,5,62,122,1,7,09,1,73,13,03,09,09,028,15,2,2,1,28,,,,,14,541,3,3,51,7,1,5,123,70,,3,10,0,4
54WN00799,54,2,2122,2,45,450,0075,2,14,00,1,3,62,122,1,4,05,1,75,10,04,06,08,042,10,2,3,2,29,1,3,1,,14,539,1,1,45,1,,5,140,92,,1,,0,3
54WN00800,54,1,2123,2,54,540,0749,2,14,11,1,2,62,122,1,4,09,1,74,10,03,08,07,032,14,2,2,1,28,0,9,,,14,544,1,1,54,1,5,5,140,76,,1,,0,2
54WN00801,54,2,2124,2,51,511,9750,2,13,18,1,6,62,122,1,3,05,1,63,12,04,07,08,033,14,2,2,1,28,1,7,1,,14,438,1,1,51,1,,5,115,96,,1,,0,4
54WN00802,54,1,2125,2,44,440,9916,2,13,14,1,6,62,122,3,4,08,1,83,10,05,07,07,036,14,1,2,2,26,,,,,14,608,1,1,,1,3,5,138,88,,3,10,0,4
54WN00803,54,1,2126,2,29,290,0349,2,13,,3,5,62,122,1,6,05,1,77,07,04,07,08,041,12,2,2,1,27,,,,,14,551,3,3,29,1,3,5,160,98,,1,,0,4
54WN00804,54,1,2128,2,50,501,9368,2,13,11,3,6,62,122,1,7,07,3,89,13,04,06,06,037,12,2,3,2,34,,,,,14,648,3,3,50,1,5,5,135,100,,1,,0,4
54WN00805,54,2,2130,2,35,351,8574,2,13,09,5,7,62,122,3,3,07,1,56,12,03,12,13,035,13,2,2,1,31,,,,,14,392,5,2,,1,,5,136,82,,2,40,0,5
54WN00806,54,2,2131,2,35,351,8574,2,13,09,5,7,62,122,1,3,07,1,89,06,04,06,07,039,12,2,2,1,33,,,1,,14,651,5,2,35,1,,5,181,96,,1,,0,5
54WN00807,54,2,2132,2,63,680,0039,2,13,,1,5,62,122,1,3,06,1,61,09,04,07,11,041,12,2,2,1,32,1,1,1,,14,405,1,1,54,6,,5,139,116,,1,,0,4
54WN00808,54,2,2133,2,00,000,0056,,14,,5,3,62,122,2,1,10,1,56,08,03,06,09,037,12,2,2,1,37,,,,,14,372,5,2,39,7,,5,139,106,,2,17,0,4
54WN00809,54,1,2134,2,82,405,0056,2,14,,5,3,62,122,2,7,07,1,87,08,03,07,08,041,11,2,2,1,26,0,0,,,14,607,5,2,39,7,2,5,168,130,,1,,0,3
54WN00810,54,2,2136,2,51,511,0737,2,13,21,3,4,62,122,1,3,06,1,66,11,04,07,08,033,14,2,2,1,29,2,4,1,,14,467,3,3,51,1,,5,129,90,,1,,0,4
54WN00811,54,2,2138,2,82,404,0673,2,13,,5,5,62,122,1,4,10,1,83,10,06,08,07,034,12,2,3,2,32,,,,,14,600,5,2,51,7,,5,143,98,,2,,0,4
54WN00812,54,1,2139,2,82,404,0673,2,13,,5,5,62,122,1,7,13,1,49,13,04,11,12,021,15,1,1,1,27,,,,,14,325,5,2,51,7,1,5,103,94,,3,10,0,4
54WN00813,54,2,2140,2,40,401,0135,2,13,24,5,5,62,122,1,3,07,1,65,08,03,08,09,035,14,2,2,1,34,0,8,1,,14,451,5,2,40,1,,5,156,100,,1,,0,4
54WN00814,54,2,2141,2,40,401,0135,2,13,24,5,5,62,122,1,4,05,1,68,09,04,08,08,033,14,2,2,1,30,0,8,1,,14,484,5,2,40,1,,5,146,90,,1,,0,4
54WN00815,54,2,2142,2,22,220,0073,2,14,31,3,3,62,122,1,3,08,1,63,08,03,08,09,037,12,2,2,1,32,1,7,2,,14,459,3,3,22,1,,5,152,70,,1,,0,3
54WN00816,54,2,2144,2,54,540,0753,2,13,16,5,4,62,122,1,1,07,1,71,08,04,07,10,028,14,2,2,1,30,0,6,1,,14,515,5,2,54,1,,5,155,82,,1,,0,4
54WN00817,54,2,2145,2,54,540,0753,2,13,16,5,4,62,122,1,1,07,1,51,09,04,12,11,029,12,2,2,1,27,0,6,1,,14,357,5,2,54,1,,5,134,74,,1,,0,4
54WN00818,54,1,2146,2,26,261,1559,2,13,23,1,3,61,121,1,7,10,6,89,09,05,10,09,029,14,1,2,2,30,,,,,14,638,1,1,,1,1,5,152,118,,3,34,0,3
54WN00819,54,2,2147,2,46,460,0839,2,14,30,1,2,69,129,1,4,07,1,65,15,09,10,10,037,13,2,3,2,24,,,,,14,436,1,1,,1,,9,89,88,,2,10,0,2
54WN00820,54,1,2148,2,40,400,8591,2,13,12,5,7,61,121,1,7,07,1,66,13,04,08,09,031,12,2,2,1,29,,,,,14,468,5,2,,1,1,5,122,94,,3,10,0,5
54WN00821,54,2,2149,2,40,400,8591,2,13,12,5,7,61,121,1,5,07,1,67,09,05,09,10,036,12,2,2,1,28,,,1,,14,466,5,2,40,1,,5,148,106,,1,,0,5
54WN00822,54,1,2150,2,44,440,1050,2,13,15,1,4,61,121,1,7,06,1,85,08,03,09,09,037,9,1,2,2,28,,,,,14,620,1,1,,1,1,5,165,100,,3,10,0,4
54WN00823,54,2,2151,2,39,390,9420,2,13,14,1,6,61,121,1,4,05,3,79,09,05,07,07,039,13,2,2,1,26,0,5,1,,14,565,1,1,39,1,,5,144,106,,1,,0,4
