UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,DISP,IDX,BRWT,ABN,CJAW,CADAM,TBRE,CTBR,TRT,BAND
63WN01051,63,2,7970,4,17,172,0402,4,41,11,5,7,80,140,1,1,,1,82,08,03,07,07,051,26,3,3,1,,1,41,5306,41,511,51,06,17,1,1,,164,104,,4,5,5,2,,1
63WN01052,63,1,7971,4,70,722,6369,4,41,,5,2,82,142,1,1,,1,67,11,03,08,09,059,2,3,4,2,,1,41,4975,41,413,41,,70,2,3,3,143,83,,4,2,5,2,,4
63WN01053,63,2,7972,4,70,722,6369,4,41,,5,2,82,142,1,1,,1,61,09,03,08,08,054,1,3,4,2,,1,41,4975,41,373,37,,70,2,3,2,146,81,,4,2,5,2,,4
63WN01054,63,1,7973,4,04,042,9980,4,40,27,3,8,80,140,1,4,,1,77,12,03,07,09,059,16,5,6,2,,0,41,5849,41,484,48,10,04,1,4,3,136,92,,4,5,3,3,,1
63WN01055,63,1,7975,4,72,922,4380,4,41,,5,4,80,140,1,1,,2,90,08,03,08,08,052,27,2,3,2,,1,41,6138,41,561,56,,71,3,1,,164,115,,5,4,5,2,,1
63WN01056,63,1,7976,4,72,922,4380,4,41,,5,4,80,140,1,1,,4,96,09,03,08,08,049,39,4,5,2,,1,41,6138,41,608,60,,71,3,8,,164,109,,6,4,5,2,,1
63WN01057,63,2,7977,4,13,132,9047,4,40,16,5,9,80,140,1,1,,1,65,10,03,08,08,062,38,3,4,2,,0,41,6671,41,391,39,06,13,1,1,,149,102,,4,5,5,2,,1
63WN01058,63,1,7978,4,13,132,9047,4,40,16,5,9,80,140,1,2,,1,64,10,03,09,09,051,24,3,3,1,,0,41,6671,41,381,38,06,13,1,1,,137,106,,4,5,5,2,,1
63WN01059,63,1,7979,4,16,162,2841,4,41,22,5,5,80,140,1,2,,1,69,13,03,08,08,066,27,7,9,3,,1,41,4827,41,423,42,17,16,1,3,3,131,98,,4,4,5,2,,1
63WN01060,63,1,7980,4,16,162,2841,4,41,22,5,5,80,140,1,2,,1,89,10,03,06,06,057,13,3,3,1,,1,41,4827,41,554,55,17,16,1,4,,154,114,,4,4,5,2,,1
63WN01061,63,1,7981,4,02,022,0849,4,41,32,5,7,80,140,4,7,,2,80,08,03,08,08,048,16,2,3,2,,1,41,4306,41,498,49,23,02,1,8,3,160,103,,5,5,5,2,,1
63WN01062,63,1,7982,4,02,022,0849,4,41,32,5,7,80,140,3,2,,2,71,09,03,08,09,053,34,2,3,2,,1,41,4306,41,437,43,23,02,1,7,3,153,98,,5,5,5,2,,1
63WN01063,63,2,7983,4,16,162,4026,4,41,19,1,4,80,140,1,1,,1,88,07,03,07,05,064,37,3,4,2,,1,41,4827,41,559,55,17,16,1,9,,163,98,,4,4,1,1,,1
63WN01064,63,1,7984,4,12,122,1836,4,41,13,9,6,80,140,1,4,,1,92,06,03,07,07,066,37,4,4,1,,1,41,5435,41,584,58,09,12,1,4,,186,102,,4,4,8,2,,1
63WN01065,63,1,7985,4,12,122,1836,4,41,13,9,6,80,140,1,1,,2,77,08,03,09,09,057,24,4,4,1,,1,41,5435,41,473,47,09,12,1,3,,160,108,,5,4,8,2,,1
63WN01066,63,1,7989,4,12,122,4327,4,41,18,3,4,80,140,1,2,,1,114,08,03,07,06,063,6,4,5,2,,1,41,5435,41,736,73,10,12,1,6,,182,109,,4,4,3,3,,1
63WN01067,63,2,7993,4,03,032,2866,4,41,22,5,5,80,140,1,1,,1,82,09,03,06,06,060,9,3,4,2,,1,41,6603,41,513,51,19,03,1,3,,159,102,,4,4,5,2,,1
63WN01068,63,1,7994,4,03,032,2866,4,41,22,5,5,80,140,1,4,,1,81,10,03,07,07,051,4,3,4,2,,1,41,6603,41,504,50,19,03,1,4,3,144,104,,4,4,5,2,,1
63WN01069,63,1,7995,4,72,802,5367,4,41,,3,3,80,140,1,2,,4,82,09,04,08,08,043,7,2,3,2,,1,41,6514,41,546,54,,71,3,6,,132,55,,6,3,3,3,,1
63WN01070,63,1,7996,4,18,182,9934,4,40,36,3,8,80,140,1,4,,1,58,12,03,09,10,054,8,4,4,1,,0,41,5274,41,354,35,06,18,1,4,,118,85,,4,5,3,3,,1
63WN01071,63,2,7997,4,18,182,9934,4,40,36,4,8,80,140,1,1,,1,68,09,03,07,09,051,18,2,2,1,,0,41,5274,41,441,44,06,18,1,1,2,144,62,,4,5,3,3,,1
63WN01072,63,1,7998,4,16,162,5835,4,41,23,1,2,80,140,1,2,,1,78,11,03,09,08,047,26,2,3,2,,1,41,4827,41,474,47,26,16,1,4,3,132,116,,4,2,1,1,,1
63WN01073,63,1,7999,4,72,812,2502,4,41,,1,5,80,140,1,1,,1,110,05,03,06,06,057,4,4,5,2,,1,41,6579,41,689,68,,71,3,9,,184,135,,4,4,1,1,,1
63WN01074,63,1,8000,4,03,032,5217,4,41,23,1,3,80,140,1,2,,1,96,07,03,07,08,048,8,2,2,1,,1,41,6603,41,613,61,19,03,1,3,3,164,102,,4,3,1,1,,1
63WN01075,63,2,8001,4,12,122,1154,4,41,13,5,7,80,140,1,1,,1,65,08,03,09,10,052,36,3,4,2,,1,41,5435,41,384,38,08,12,1,4,2,156,112,,4,5,5,2,,1
63WN01076,63,1,8002,4,12,122,1154,4,41,13,5,7,80,140,1,2,,1,102,07,04,08,08,050,39,4,4,1,,1,41,5435,41,646,64,08,12,1,6,,183,116,,4,5,5,2,,1
63WN01077,63,2,8003,4,11,112,6461,4,41,17,1,2,80,140,1,1,,1,76,10,03,07,06,056,2,3,3,1,,1,41,6599,41,461,46,24,11,1,1,2,139,115,,4,2,1,1,,1
63WN01078,63,1,8004,4,17,172,2961,4,41,12,3,5,80,140,1,1,,2,97,09,03,08,08,054,15,3,3,1,,1,41,5306,41,615,61,12,17,1,5,,158,109,,5,4,3,3,,1
63WN01079,63,2,8006,4,10,102,3883,4,41,20,1,4,80,140,1,1,,1,94,07,03,06,05,064,1,4,5,2,,1,41,3944,41,573,57,23,10,1,3,,167,138,,4,4,1,1,,1
63WN01080,63,1,8007,4,72,812,4816,4,41,,1,3,80,140,1,1,,1,107,05,03,08,06,049,6,4,5,2,,1,41,6579,41,661,66,,71,3,1,,177,144,,4,3,1,1,,1
63WN01081,63,2,8008,4,10,102,4151,4,41,15,1,4,80,140,1,1,,1,98,09,03,06,04,046,14,3,4,2,,1,41,3944,41,610,61,15,10,1,0,,146,126,,4,4,1,1,,1
63WN01082,63,2,8009,4,04,042,1585,4,41,33,5,6,80,140,1,3,,1,58,13,03,09,10,053,15,2,3,2,,1,41,5849,41,354,35,31,04,1,4,2,123,85,,4,4,5,2,,1
63WN01083,63,2,8010,4,04,042,1585,4,41,33,5,6,80,140,1,1,,1,67,10,03,08,08,059,37,4,4,1,,1,41,5849,41,416,41,31,04,1,6,,146,88,,4,4,5,2,,1
63WN01084,63,1,8012,4,18,182,1594,4,41,21,3,6,79,139,1,2,,1,69,09,03,08,08,057,13,3,4,2,,1,41,5274,41,417,41,11,18,1,7,,134,111,,4,4,3,3,,1
63WN01085,63,2,8013,4,18,182,4117,4,41,17,1,4,79,139,1,1,,2,89,06,03,06,05,061,14,4,4,1,,1,41,5274,41,553,55,16,18,1,3,3,166,121,,5,4,1,1,,1
63WN01086,63,1,8014,4,06,062,5320,4,41,40,1,3,79,139,1,2,,1,115,03,04,06,06,050,9,4,4,1,,1,41,4985,41,742,74,41,06,1,2,,198,118,,4,3,1,1,,1
63WN01087,63,2,8015,4,70,732,5765,4,41,,3,3,79,139,1,1,,2,92,06,03,06,06,050,9,2,3,2,,1,41,6100,41,598,59,,70,2,8,,165,89,,5,3,3,3,,1
63WN01088,63,2,8017,4,72,942,3739,4,41,,5,4,79,139,1,1,,1,79,09,03,07,07,066,39,4,4,1,,1,41,6580,41,487,48,,71,3,7,,162,113,,4,4,5,2,,1
63WN01089,63,2,8018,4,72,942,3739,4,41,,5,4,79,139,1,1,,1,72,09,03,08,09,057,35,2,3,2,,1,41,6580,41,429,42,,71,3,9,,154,123,,4,4,5,2,,1
63WN01090,63,2,8019,4,72,852,5051,4,41,,5,3,79,139,1,1,,5,90,09,03,07,07,054,3,3,4,2,,1,41,6526,41,566,56,,71,3,6,,164,113,,2,3,5,2,,1
