UID,IDLAMB,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DBRD,DB1,LINBR,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,CAUSE,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,C75,DISP,CADAM,CTBR,ABN
73WN02730,73909157,73,1,9157,9,98,03,2122,42,4,,5,6,55,115,1,4,52,1,80,04,03,08,09,042,6,4,5,2,,2,90,0010,95,609,60,,77,8,9,2,178,100,,3,4,2,
73WN02731,73909158,73,2,9158,9,98,03,2122,42,4,,5,6,55,115,1,1,52,1,73,03,03,08,08,040,27,4,4,1,,2,90,0010,95,548,54,,77,8,8,2,179,100,,2,4,2,
73WN02732,73909159,73,1,9159,9,98,08,2488,42,4,,5,5,55,115,1,2,52,2,93,02,03,08,08,041,24,4,5,2,,2,90,0015,95,704,70,,78,8,4,2,199,120,,,4,2,
73WN02733,73909160,73,1,9160,9,98,08,2488,42,4,,5,5,55,115,1,2,52,1,75,03,03,09,09,040,2,3,5,3,,2,90,0015,95,570,57,,78,8,0,2,177,94,,3,4,2,
73WN02734,73909161,73,1,9161,9,97,12,9500,14,1,,5,5,55,115,1,1,54,2,88,08,03,08,08,045,29,4,5,2,,4,90,0042,95,647,64,,77,8,7,2,167,136,,3,4,2,
73WN02735,73909162,73,2,9162,9,97,12,9500,14,1,,5,5,55,115,1,1,54,2,73,04,03,09,09,041,31,3,4,2,,4,90,0042,95,548,54,,77,8,8,2,178,100,,,4,2,
73WN02736,73909163,73,1,9163,9,97,02,9473,14,1,,5,5,56,116,2,7,51,1,77,04,03,10,10,044,14,4,5,2,,4,90,0009,95,564,56,,77,8,4,3,185,116,,3,4,2,
73WN02737,73909164,73,2,9164,9,97,02,9473,14,1,,5,5,56,116,2,1,51,1,62,06,03,08,07,038,11,4,5,2,,4,90,0009,95,457,45,,77,8,7,3,153,90,,,4,2,
73WN02738,73909165,73,1,9165,9,99,01,0615,62,6,,1,4,55,115,2,2,53,2,79,02,03,09,11,043,16,4,4,1,,2,90,0008,95,617,61,,74,8,7,2,185,80,,3,4,1,
73WN02739,73909166,73,1,9166,9,97,04,9435,14,1,,1,5,56,116,1,6,51,4,88,04,03,08,08,040,10,3,4,2,,4,90,0011,95,655,65,,78,8,5,3,179,120,,3,4,1,
73WN02740,73909167,73,1,9167,9,99,02,9191,61,6,,1,6,56,116,2,7,53,1,101,05,03,07,08,044,19,3,5,3,,1,90,0009,95,750,75,,73,8,0,3,190,140,,3,4,1,
73WN02741,73909168,73,2,9168,9,99,07,9332,61,6,,5,5,55,115,2,1,53,2,76,04,03,09,09,042,6,4,6,3,,1,90,0014,95,565,56,,73,8,5,2,180,110,,,4,2,
73WN02742,73909169,73,2,9169,9,99,07,9332,61,6,,5,5,55,115,1,1,53,2,49,05,03,10,12,059,28,6,8,3,,1,90,0014,95,336,33,,73,8,6,2,169,104,,,4,2,
73WN02743,73909170,73,2,9170,9,97,01,4004,18,1,,5,4,56,116,1,1,51,1,61,03,03,09,08,050,6,4,6,3,,8,90,0008,95,452,45,,78,8,2,3,178,86,,,4,2,
73WN02744,73909171,73,2,9171,9,97,01,4004,18,1,,5,4,56,116,1,1,51,1,57,05,03,09,10,044,6,4,5,2,,8,90,0008,95,431,43,,78,8,1,3,165,70,,,4,2,
73WN02745,73909172,73,1,9172,9,98,07,3982,42,4,,5,4,55,115,1,2,52,2,85,04,03,09,09,044,6,4,4,1,,2,90,0014,95,638,63,,77,8,8,2,185,116,,6,4,2,
73WN02746,73909173,73,2,9173,9,98,07,3982,42,4,,5,4,55,115,1,1,52,2,70,03,03,09,07,041,22,4,5,2,,2,90,0014,95,527,52,,77,8,7,2,174,94,,,4,2,
73WN02747,73909175,73,2,9175,9,97,03,5640,18,1,,3,2,56,116,1,1,51,1,49,06,03,11,09,029,1,3,3,1,,8,90,0010,95,357,35,,78,8,7,3,143,76,,,2,3,
73WN02748,73909176,73,2,9176,9,97,05,4286,18,1,,3,3,56,116,1,1,51,2,72,03,03,09,07,041,24,3,4,2,,8,90,0012,95,540,54,,78,8,0,3,183,94,,,3,3,
73WN02749,73909177,73,2,9177,9,97,05,4286,18,1,,4,3,57,117,1,1,51,3,50,10,03,10,09,031,,2,2,1,,8,90,0012,95,354,35,,78,8,4,9,,86,,2,3,3,
73WN02750,73909178,73,1,9178,9,97,03,8913,14,1,,1,6,56,116,2,6,51,2,85,04,03,08,08,039,23,3,4,2,,4,90,0010,95,647,64,,78,8,7,3,176,100,,3,4,1,
73WN02751,73909179,73,1,9179,9,98,23,3467,42,4,,1,4,55,115,1,1,55,1,64,08,03,11,10,031,5,2,3,2,,2,90,0066,95,473,47,,78,8,3,2,129,96,,3,4,1,
73WN02752,73909180,73,2,9180,9,00,000,0000,00,0,,1,4,56,116,1,1,,1,38,08,03,12,12,040,19,4,4,1,,0,90,0000,00,236,23,,00,0,6,3,,106,,2,4,1,
73WN02753,73909181,73,2,9181,9,98,09,2866,42,4,,5,5,54,114,1,1,52,2,72,04,03,09,09,051,22,6,7,2,,2,90,0016,95,553,55,,77,8,3,2,184,90,,,4,2,
73WN02754,73909182,73,1,9182,9,98,09,2866,42,4,,5,5,54,114,1,4,52,2,79,07,03,08,09,046,21,6,8,3,,2,90,0016,95,596,59,,77,8,6,2,166,110,,3,4,2,
73WN02755,73909183,73,1,9183,9,98,23,3576,42,4,,1,4,54,114,1,2,55,2,95,03,03,07,07,040,12,4,4,1,,2,90,0066,95,728,72,,78,8,8,2,183,120,,3,4,1,
73WN02756,73909185,73,2,9185,9,98,19,5022,42,4,,5,3,55,115,1,1,55,1,62,04,03,09,09,045,12,3,4,2,,2,90,0062,95,440,44,,77,8,0,3,177,114,,,3,2,
73WN02757,73909186,73,2,9186,9,98,19,5022,42,4,,5,3,55,115,3,1,55,1,72,04,03,08,08,044,19,3,5,3,,2,90,0062,95,539,53,,77,8,9,3,184,100,,,3,2,
73WN02758,73909187,73,2,9187,9,99,30,2714,62,6,,1,2,54,114,1,1,56,2,77,07,03,07,06,043,31,4,4,1,,2,90,0085,95,591,59,,74,8,1,2,155,96,,,2,1,
73WN02759,73909188,73,2,9188,9,97,15,5116,18,1,,5,3,55,115,1,1,54,1,71,09,03,08,08,041,20,2,3,2,,8,90,0045,95,518,51,,77,8,8,3,156,114,,,3,2,
73WN02760,73909189,73,2,9189,9,97,15,5116,18,1,,5,3,55,115,1,1,54,1,59,06,03,09,09,032,19,3,4,2,,8,90,0045,95,430,43,,77,8,0,3,155,96,,,3,2,
73WN02761,73909190,73,2,9190,9,97,08,4237,18,1,,1,3,55,115,1,1,51,2,70,03,03,13,10,027,14,3,4,2,,8,90,0015,95,543,54,,77,8,3,3,171,76,,,3,1,
73WN02762,73909192,73,1,9192,9,98,17,3419,42,4,,1,4,54,114,1,1,55,1,81,05,03,08,10,047,27,4,5,2,,2,90,0060,95,591,59,,78,8,1,2,173,136,,3,4,1,
73WN02763,73909193,73,2,9193,9,98,17,5715,42,4,,5,3,54,114,1,1,55,1,54,08,03,10,10,036,5,4,5,2,,2,90,0060,95,374,37,,77,8,4,2,140,114,,,3,2,
73WN02764,73909194,73,2,9194,9,98,17,5715,42,4,,5,3,54,114,1,1,55,2,51,07,03,12,10,038,27,3,5,3,,2,90,0060,95,339,33,,77,8,9,2,145,124,,,3,2,
73WN02765,73909195,73,1,9195,9,97,11,5058,18,1,,1,3,55,115,1,7,54,2,72,06,03,11,09,035,4,2,3,2,,8,90,0041,95,522,52,,77,8,2,3,155,120,,3,3,1,
73WN02766,73909196,73,2,9196,9,99,24,9369,61,6,,1,5,54,114,1,1,56,1,94,05,03,05,06,050,24,4,6,3,,1,90,0080,95,711,71,,74,8,1,2,181,130,,,4,1,
73WN02767,73909198,73,1,9198,9,97,01,4510,18,1,,1,3,55,115,1,2,51,1,67,04,03,09,11,044,10,3,5,3,,8,90,0008,95,478,47,,78,8,8,3,172,120,,3,3,1,
73WN02768,73909199,73,1,9199,9,98,08,4115,42,4,,5,4,54,114,1,1,52,1,73,03,03,09,09,035,24,2,3,2,,2,90,0015,95,556,55,,78,8,6,2,173,96,,3,4,2,
73WN02769,73909200,73,2,9200,9,98,08,4115,42,4,,5,4,54,114,1,1,52,2,67,03,03,09,09,037,7,3,4,2,,2,90,0015,95,504,50,,78,8,4,2,173,96,,,4,2,
73WN02770,73909201,73,1,9201,9,98,06,4350,42,4,,5,4,55,115,1,2,52,1,68,05,03,08,11,054,6,4,6,3,,2,90,0013,95,510,51,,78,8,0,3,181,94,,3,4,2,
73WN02771,73909202,73,2,9202,9,98,06,4350,42,4,,5,4,55,115,1,1,52,1,65,05,03,09,06,050,7,5,6,2,,2,90,0013,95,496,49,,78,8,6,3,167,80,,,4,2,
73WN02772,73909203,73,1,9203,9,98,05,5268,42,4,,3,3,54,114,1,2,52,2,92,03,03,08,08,040,8,5,7,3,,2,90,0012,95,719,71,,77,8,9,2,185,100,,3,3,3,
73WN02773,73909205,73,2,9205,9,99,05,1311,62,6,,1,3,55,115,2,1,53,2,63,03,03,09,08,048,23,5,6,2,,2,90,0012,95,473,47,,73,8,3,3,173,86,,,3,1,
73WN02774,73909206,73,1,9206,9,97,04,5312,18,1,,1,2,55,115,1,2,51,2,70,04,03,12,11,038,11,4,5,2,,8,90,0011,95,501,50,,77,8,1,3,173,124,,3,2,1,
73WN02775,73909207,73,1,9207,9,99,02,0819,62,6,,5,4,55,115,2,1,53,1,80,08,03,07,08,053,23,6,8,3,,2,90,0009,95,614,61,,73,8,4,3,170,94,,3,4,2,
73WN02776,73909208,73,2,9208,9,99,02,0819,62,6,,5,4,55,115,1,2,53,1,72,04,03,09,07,036,6,3,4,2,,2,90,0009,95,557,55,,73,8,7,3,172,80,,,4,2,
73WN02777,73909209,73,1,9209,9,99,02,8673,61,6,,3,6,55,115,2,2,53,2,78,07,03,08,07,042,23,5,6,2,,1,90,0009,95,562,56,,74,8,2,3,153,134,,2,4,3,
73WN02778,73909210,73,2,9210,9,99,02,8673,61,6,,3,6,55,115,2,1,53,5,77,06,03,06,07,049,1,4,5,2,,1,90,0009,95,553,55,,74,8,3,3,175,134,,,4,3,
73WN02779,73909211,73,2,9211,9,97,16,5771,18,1,,1,2,54,114,1,1,54,1,66,05,03,08,09,045,11,4,5,2,,8,90,0046,95,486,48,,77,8,6,3,168,106,,,2,1,
73WN02780,73909214,73,1,9214,9,98,23,6208,42,4,,1,2,54,114,1,4,55,2,82,08,03,08,06,038,23,2,2,1,,2,90,0066,95,605,60,,78,8,5,3,152,130,,3,2,1,
73WN02781,73909215,73,1,9215,9,98,19,1195,42,4,,5,7,53,113,3,1,55,3,70,06,03,10,08,032,10,2,2,1,,2,90,0062,95,527,52,,78,8,7,2,153,104,,3,5,2,
