UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
01WN01614,101112877,01,R2877,11,2,10,07,22,8,2,2,6.0,6,4,1,104,218,114,2,11.2,60,82,0.621,86,1,1,,,0,M,.,e.2,,R0044,11,S5811,10,10,1,,0,5,5,109,1.84,124.1,1,90,0,,0,0,,,0.066,0.0,,,,,,-0.0069,Lww
01WN01615,101112878,01,R2878,11,2,10,07,22,8,2,2,6.0,6,4,1,104,218,114,7,11.2,54,74,0.551,77,1,1,,,0,M,.,e.3,,R0044,11,S5811,10,10,1,,0,5,5,102,1.84,124.1,1,85,0,,0,0,,,0.066,0.0,,,,,,-0.0069,Lww
01WN01616,101112879,01,R2879,11,2,13,07,33,8,2,2,5.0,5,4,1,105,218,113,12,11.5,57,76,0.571,80,1,1,,,0,F,.,e.1,4TEATS,R0047,11,S6703,10,13,1,,0,5,5,99,1.5,107.3,1,89,0,,0,0,,,0.017,0.0,,,,,,-0.2241,Sage
01WN01617,101112880,01,R2880,11,1,13,07,33,8,2,2,5.0,5,4,1,105,218,113,10,13.0,38,55,0.372,58,1,1,,,0,F,.,,,R0047,11,S6703,10,13,3,93,243,5,5,78,1.5,107.3,3,60,0,,0,0,,,0.017,0.0,,,,,,-0.2241,X
01WN01618,101112881,01,R2881,11,1,13,07,31,8,2,2,6.0,6,4,1,105,218,113,5,11.2,41,50,0.343,52,1,1,,,0,F,.,,X,R0127,11,S6427,10,13,3,93,243,5,5,66,1.74,84.0,3,61,0,,0,0,,,0.004,0.0,,,,,,-0.196,X
01WN01619,101112882,01,R2882,11,1,13,07,31,8,2,2,6.0,6,4,1,105,218,113,13,10.4,41,56,0.404,59,1,1,6,,0,F,.,,H6,R0127,11,S6427,10,13,3,93,243,5,5,71,1.74,84.0,3,63,0,,0,0,,,0.004,0.0,,,,,,-0.196,X
01WN01620,101112883,01,R2883,11,2,10,07,22,5,1,1,3.0,3,3,1,105,218,113,1,12.4,62,71,0.519,75,1,1,,,0,M,.,e.4,"ENTR,SL.",R0044,11,S9588,10,10,1,,0,1,1,87,1.58,84.5,1,90,0,,0,0,,,0.042,0.0,,,,,,0.0,Ctrl
01WN01621,101112884,01,R2884,11,2,13,43,33,8,2,2,2.0,2,2,1,105,218,113,18,9.9,34,55,0.399,58,1,1,,,0,F,.,,,R0047,11,R0259,11,13,3,93,262,5,5,89,1.99,118.6,3,65,0,,0,0,,,0.036,0.0,,,,,,0.0,
01WN01622,101112885,01,R2885,11,3,13,43,33,8,2,2,2.0,2,2,1,105,218,113,1,9.8,46,59,0.435,62,1,1,,,0,F,.,,,R0047,11,R0259,11,13,3,93,262,5,5,88,1.99,118.6,3,73,0,,0,0,,,0.036,0.0,,,,,,0.0,
01WN01623,101112886,01,R2886,11,2,18,07,m.3,6,2,1,1.0,1,1,1,105,218,113,14,7.3,49,72,0.573,76,1,1,,,0,3,27,,,R0000,11,R1086,11,10,2,92,263,3,2,99,1.88,116.9,2,82,84,,0,0,,,0.0,0.0,,,,,,0.0,Sale
01WN01624,101112887,01,R2887,11,2,10,43,22,8,2,2,3.0,3,3,1,105,218,113,16,13.2,51,73,0.529,77,1,1,,,0,M,.,e.0,,R0044,11,S9634,10,10,1,,0,5,5,108,1.78,129.2,1,86,0,,0,0,,,0.037,0.0,,,,,,0.0,Lww
01WN01625,101112888,01,R2888,11,2,10,43,22,8,2,2,3.0,3,3,1,105,218,113,12,11.8,49,65,0.471,68,1,1,,,0,M,.,,,R0044,11,S9634,10,10,6,01,220,5,5,100,1.78,129.2,6,0,0,,0,0,,,0.037,0.0,,,,,,0.0,
01WN01626,101112889,01,R2889,11,1,12,07,80,9,3,1,4.0,4,4,1,105,218,113,13,12.2,81,106,0.83,112,1,1,,,0,C,.,,,R0118,11,S8488,10,12,1,,0,7,2,124,1.86,126.6,1,119,0,,0,0,,,0.036,0.0,,,,,,0.0128,Ctrl
01WN01627,101112891,01,R2891,11,2,12,07,80,9,3,1,4.0,4,4,1,105,218,113,7,10.3,60,85,0.661,90,1,1,,,0,C,.,e.1,,R0118,11,S8488,10,12,1,,0,7,2,113,1.86,126.6,1,96,0,,0,0,,,0.036,0.0,,,,,,0.0128,Ctrl
01WN01628,101112892,01,R2892,11,1,12,07,81,5,1,1,4.0,4,4,1,105,218,113,4,14.3,83,111,0.856,117,1,1,,,0,C,.,,,R0612,11,S7951,10,12,1,,0,1,1,122,1.48,110.3,1,110,0,,0,0,,,0.033,0.0,,,,,,0.1733,Ctrl
01WN01629,101112893,01,R2893,11,2,13,43,32,8,2,2,3.0,3,3,1,105,218,113,17,10.0,44,62,0.46,65,1,1,,,0,F,.,,4TEATS,R0475,11,S9646,10,13,3,93,262,5,5,95,1.93,121.3,3,74,0,,0,0,,,0.036,0.0,,,,,,0.0,
01WN01630,101112894,01,R2894,11,2,13,43,32,8,2,2,3.0,3,3,1,105,218,113,12,11.5,49,70,0.518,74,1,1,,,0,F,.,e.2,,R0475,11,S9646,10,13,1,,0,5,5,103,1.93,121.3,1,83,0,,0,0,,,0.036,0.0,,,,,,0.0,Wool
01WN01631,101112895,01,R2895,11,2,12,43,81,8,2,2,5.0,5,4,1,105,218,113,11,13.0,68,90,0.681,95,1,1,,,0,C,.,e.3,,R0612,11,S7513,10,12,1,,0,5,5,114,1.73,105.5,1,108,0,,0,0,,,0.024,0.0,,,,,,0.2988,Sage
01WN01632,101112896,01,R2896,11,2,12,43,81,8,2,2,5.0,5,4,1,105,218,113,5,12.7,52,73,0.534,77,1,1,,,0,C,.,e.4,,R0612,11,S7513,10,12,1,,0,5,5,99,1.73,105.5,1,80,0,,0,0,,,0.024,0.0,,,,,,0.2988,Sage
01WN01633,101112897,01,R2897,11,2,12,07,90,8,2,2,2.0,2,2,1,105,218,113,7,12.5,64,88,0.668,93,1,1,,,0,C,.,e.0,SL.ENTR,R0304,11,R0949,11,12,1,,0,5,5,116,1.99,129.4,1,104,0,,0,0,,,0.038,0.0,,,,,,0.0,Ctrl
01WN01634,101112898,01,R2898,11,3,12,07,90,8,2,2,2.0,2,2,1,105,218,113,14,12.1,55,66,0.477,69,1,1,,,0,C,.,,ENTR,R0304,11,R0949,11,12,3,93,262,5,5,98,1.99,129.4,3,86,0,,0,0,,,0.038,0.0,,,,,,0.0,
01WN01635,101112899,01,R2899,11,1,11,07,11,8,2,2,4.0,4,4,1,105,218,113,5,15.5,61,85,0.615,89,1,1,,,0,R,.,,,R0831,11,S8103,10,11,1,,0,5,4,109,1.86,131.4,1,89,0,,0,0,,,0.061,0.0,,,,,,0.0631,Lww
01WN01636,101112900,01,R2900,11,1,11,07,11,8,2,2,4.0,4,4,1,105,218,113,4,12.0,55,80,0.602,84,1,1,,3-,0,R,.,,F3-,R0831,11,S8103,10,11,1,,0,5,6,105,1.86,131.4,1,85,0,,0,0,,,0.061,0.0,,,,,,0.0631,Lww
01WN01637,101112901,01,R2901,11,2,12,07,89,8,2,2,2.0,2,2,1,106,218,112,5,10.4,45,64,0.479,68,1,1,,,0,C,.,e.1,,R0886,11,R0460,11,12,1,,0,5,5,96,1.82,125.7,1,77,0,,0,0,,,0.032,0.0,,,,,,0.0,Ctrl
01WN01638,101112902,01,R2902,11,2,12,07,89,8,2,2,2.0,2,2,1,106,218,112,3,12.1,51,68,0.499,72,1,1,,,0,C,.,e.4,,R0886,11,R0460,11,12,1,,0,5,5,99,1.82,125.7,1,81,0,,0,0,,,0.032,0.0,,,,,,0.0,Ctrl
