UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CADAM,TBRE,CTBR,TRT,MATRIX
67WN00023,67,1,6336,1,82,324,5727,1,11,,5,6,54,114,1,4,07,2,66,06,03,09,09,033,0,2,2,1,,1,11,6208,11,475,47,31,20,7,5,1,155,118,,,4,5,2,,
67WN00024,67,2,6337,1,82,324,5727,1,11,,5,6,54,114,1,1,07,1,63,07,03,08,08,038,0,2,3,2,,1,11,6208,11,463,46,31,20,7,3,1,149,102,,,4,5,2,,
67WN00025,67,2,6339,1,34,340,5132,1,11,47,3,9,53,113,1,3,,2,52,08,03,09,11,039,0,2,3,2,,1,11,6195,11,377,37,43,34,1,7,1,141,94,,,5,3,3,,
67WN00026,67,2,6340,1,27,270,6141,1,11,39,5,3,53,113,1,3,,1,44,08,03,13,12,029,0,2,2,1,,1,11,6227,11,319,31,36,27,1,9,1,137,80,,,3,5,2,,
67WN00027,67,2,6341,1,27,270,6141,1,11,39,5,3,53,113,1,3,,1,56,09,03,10,10,039,0,2,2,1,,1,11,6227,11,418,41,36,27,1,8,1,143,88,,,3,5,2,,
67WN00028,67,1,6342,1,34,341,5850,1,11,44,7,5,53,113,1,7,,2,53,08,03,10,11,035,0,2,3,2,,1,11,6168,11,389,38,46,34,1,9,1,136,90,,3,4,7,3,,
67WN00029,67,2,6345,1,82,244,5203,1,11,,1,9,52,112,1,1,07,1,67,08,03,09,08,038,0,2,2,1,,1,11,6212,11,489,48,34,19,7,9,1,143,122,,,5,1,1,,
67WN00030,67,2,6346,1,82,195,5634,1,11,,5,6,52,112,1,1,07,1,63,09,03,10,08,032,0,2,2,1,,1,11,6210,11,475,47,32,24,7,5,1,140,98,,,4,5,2,,
67WN00031,67,1,6347,1,82,195,5634,1,11,,5,6,52,112,1,4,07,2,70,10,04,11,10,032,0,2,2,1,,1,11,6210,11,543,54,32,24,7,3,1,142,92,,3,4,5,2,,
67WN00032,67,1,6348,1,82,194,6105,1,11,,1,3,52,112,1,7,07,1,92,15,06,08,08,039,0,2,2,1,,1,11,6237,11,705,70,29,24,7,5,1,122,130,,,3,1,1,,
67WN00033,67,1,6349,1,21,211,6065,1,11,44,3,3,52,112,1,7,,1,78,14,04,08,06,036,0,2,2,1,,1,11,6074,11,600,60,36,21,1,0,1,115,108,,3,3,3,3,,
67WN00034,67,1,6351,1,34,341,5181,1,11,45,3,9,53,113,1,7,,2,63,09,03,11,10,035,0,2,3,2,,1,11,6168,11,480,48,44,34,1,0,2,143,88,,,5,3,3,,
67WN00035,67,2,6353,1,19,190,5777,1,11,44,3,5,51,111,1,3,,3,59,11,03,11,09,032,0,2,2,1,,1,11,6237,11,443,44,41,19,1,3,1,125,98,,,4,3,3,,
67WN00036,67,1,6354,1,82,204,5484,1,11,,5,7,51,111,1,4,07,3,53,10,04,12,10,029,0,2,2,1,,1,11,5981,11,386,38,22,32,7,6,1,124,102,,3,5,5,2,,
67WN00037,67,2,6355,1,82,204,5484,1,11,,5,7,51,111,1,1,07,2,57,10,03,10,08,032,0,2,2,1,,1,11,5981,11,427,42,22,32,7,7,1,127,96,,,5,5,2,,
67WN00038,67,2,6356,1,82,194,5979,1,11,,5,3,51,111,1,1,07,1,62,09,05,10,10,034,0,2,2,1,,1,11,6237,11,463,46,31,24,7,3,1,139,106,,,3,5,2,,
67WN00039,67,1,6357,1,82,194,5979,1,11,,5,3,51,111,1,1,07,2,74,11,03,11,11,030,0,2,2,1,,1,11,6237,11,571,57,31,24,7,1,1,145,106,,,3,5,2,,
67WN00040,67,1,6358,1,21,211,5767,1,11,42,1,5,51,111,1,7,,1,78,09,04,10,08,045,0,2,3,2,,1,11,6074,11,577,57,32,21,1,7,1,149,140,,,4,1,1,,
67WN00041,67,1,6360,1,27,271,5798,1,11,35,1,5,50,110,1,7,,1,83,09,03,10,10,034,0,2,2,1,,1,11,6163,11,627,62,37,27,1,7,1,158,140,,,4,1,1,,
67WN00042,67,2,6361,1,82,244,5524,1,11,,3,7,50,110,1,1,07,1,66,08,03,07,07,046,0,2,3,2,,1,11,6212,11,513,51,43,19,7,3,1,151,96,,,5,3,3,,
67WN00043,67,1,6362,1,82,204,6110,1,11,,5,3,50,110,1,4,07,1,55,10,03,10,10,031,0,2,2,1,,1,11,5981,11,402,40,26,32,7,2,1,131,108,,,3,5,2,,
67WN00044,67,2,6363,1,82,204,6110,1,11,,5,3,50,110,1,1,07,1,44,11,04,13,11,030,0,2,2,1,,1,11,5981,11,313,31,26,32,7,3,1,117,96,,,3,5,2,,
67WN00045,67,2,6364,1,82,194,5602,1,11,,1,6,51,111,1,1,07,2,80,10,03,11,08,035,0,2,2,1,,1,11,6237,11,593,59,29,24,7,3,2,147,142,,,4,1,1,,
67WN00046,67,2,6366,1,34,340,5807,1,11,44,3,5,50,110,1,3,,1,44,09,03,12,12,040,0,2,2,1,,1,11,6195,11,335,33,43,34,1,5,2,140,72,,,4,3,3,,
67WN00047,67,1,6367,1,19,190,5424,1,11,42,5,7,50,110,1,1,,1,66,09,09,13,11,023,0,2,2,1,,1,11,6237,11,513,51,39,19,1,3,2,127,96,,3,5,5,2,,
67WN00048,67,1,6368,1,19,190,5424,1,11,42,5,7,50,110,1,7,,1,60,08,03,13,11,023,0,2,2,1,,1,11,6237,11,447,44,39,19,1,7,2,146,108,,3,5,5,2,,
67WN00049,67,1,6369,1,20,200,4756,1,11,28,1,-,50,110,1,7,,1,58,11,04,12,09,031,0,2,2,1,,1,11,5981,11,447,44,21,20,1,7,2,116,88,,3,5,1,1,,
67WN00050,67,1,6370,1,20,201,6124,1,11,37,1,3,55,115,1,7,,1,59,09,03,08,09,034,0,2,2,1,,1,11,6176,11,402,40,41,20,1,2,3,135,128,,3,3,1,1,,
67WN00051,67,1,6371,1,82,325,6029,1,11,,1,3,49,109,1,4,07,2,68,07,02,11,10,028,0,2,2,1,,1,11,6231,11,517,51,32,20,7,7,3,158,116,,3,3,1,1,,
67WN00052,67,2,6372,1,82,195,6010,1,11,,5,3,49,109,1,1,07,1,48,13,03,13,11,027,0,2,2,1,,1,11,6210,11,361,36,38,24,7,1,3,123,86,,,3,5,2,,
67WN00053,67,2,6373,1,82,195,6010,1,11,,5,3,49,109,1,1,07,1,58,10,03,11,09,029,0,2,2,1,,1,11,6210,11,442,44,38,24,7,2,3,144,98,,,3,5,2,,
67WN00054,67,1,6374,1,82,245,5838,1,11,,1,5,48,108,1,5,07,3,74,09,03,10,08,040,0,2,2,1,,1,11,6036,11,580,58,26,19,7,0,3,151,114,,,4,1,1,,
67WN00055,67,2,6375,1,19,191,5817,1,11,44,1,5,48,108,1,1,,1,61,10,03,10,08,036,0,2,2,1,,1,11,6210,11,476,47,38,19,1,6,3,133,96,,,4,1,1,,
67WN00056,67,1,6376,1,23,231,6133,1,11,18,1,3,47,107,2,4,,3,71,13,03,10,09,028,0,2,2,1,,1,11,6162,11,568,56,22,23,1,8,3,123,102,,,3,1,1,,
67WN00057,67,1,6379,1,20,200,5456,1,11,33,1,7,25,85,1,4,,1,82,08,03,06,06,052,0,2,2,1,,1,11,5981,11,859,85,33,20,1,9,1,173,90,,2,5,1,1,,
67WN00058,67,2,8752,2,82,454,7536,1,14,,3,3,64,124,1,1,07,2,80,09,03,10,08,039,0,2,2,1,,4,14,7224,14,573,57,28,54,7,3,1,156,90,,,3,3,3,,
67WN00059,67,2,8753,2,82,454,7536,1,14,,4,3,68,128,1,1,07,3,58,11,03,09,10,033,0,2,2,1,,4,14,7224,14,386,38,,54,7,6,9,,86,,3,3,4,3,,
67WN00060,67,1,8754,2,82,394,6227,1,14,,3,5,64,124,1,7,07,2,77,13,04,09,08,035,0,2,2,1,,4,14,7945,14,561,56,37,22,7,1,1,123,74,,,4,3,3,,
67WN00061,67,2,8756,2,82,264,6086,1,14,,3,6,63,123,1,3,07,1,65,09,03,08,08,041,0,3,3,1,,4,14,7680,14,468,46,00,25,7,8,1,132,74,,,4,3,3,,
67WN00062,67,2,8758,2,82,295,5635,1,11,,5,6,63,123,1,1,07,1,70,07,03,07,09,045,0,2,3,2,,1,14,8020,14,475,47,23,24,7,5,1,157,116,,,4,5,2,,
67WN00063,67,2,8759,2,82,295,5635,1,11,,5,6,63,123,1,1,07,1,60,07,03,10,09,039,0,2,3,2,,1,14,8020,14,408,40,23,24,7,8,1,144,98,,3,4,5,2,,
67WN00064,67,2,8760,2,82,394,7487,1,14,,1,3,62,122,1,3,07,2,78,11,03,07,05,039,0,2,2,1,,4,14,7945,14,559,55,26,46,7,9,1,128,98,,3,3,1,1,,
67WN00065,67,2,8761,2,82,344,7480,1,14,,7,3,62,122,1,1,07,3,80,09,04,08,07,037,0,2,2,1,,4,14,6195,11,579,57,37,36,7,9,1,150,94,,,3,7,3,,
67WN00066,67,3,8762,2,41,08,6776,1,14,,3,4,62,122,1,7,10,1,76,10,04,11,10,034,0,2,2,1,,4,14,0113,70,538,53,,82,9,8,3,133,104,,3,4,3,3,,4
67WN00067,67,2,8764,2,82,504,6142,1,11,,1,3,62,122,1,3,07,1,66,10,03,09,09,037,0,2,2,1,,1,14,7624,14,477,47,40,27,7,7,1,132,78,,,3,1,1,,
67WN00068,67,1,8765,2,82,404,6131,1,14,,3,6,62,122,1,7,07,2,60,09,04,12,11,032,0,2,2,1,,4,14,7535,14,405,40,33,50,7,5,1,133,106,,,4,3,3,,
67WN00069,67,2,8768,2,50,501,6492,1,14,29,5,5,62,122,1,3,,1,58,09,03,09,09,033,0,2,2,1,,4,14,6749,14,403,40,13,50,1,3,1,130,88,,,4,5,2,,
67WN00070,67,2,8769,2,50,501,6492,1,14,29,5,5,62,122,1,3,,1,60,08,03,09,09,041,0,2,2,1,,4,14,6749,14,416,41,13,50,1,6,1,143,92,,,4,5,2,,
67WN00071,67,2,8770,2,82,415,7310,1,14,,1,3,62,122,1,1,07,1,82,08,03,07,07,049,0,3,3,1,,4,14,7593,14,566,56,34,40,7,6,1,160,130,,,3,1,1,,
67WN00072,67,2,8773,2,82,225,5769,1,11,,3,5,61,121,1,3,07,1,68,10,04,08,07,048,0,2,3,2,,1,14,7793,14,484,48,33,21,7,4,1,135,94,,,4,3,3,,
67WN00073,67,1,8775,2,39,390,6335,1,14,31,3,5,61,121,1,7,,2,93,11,03,10,08,038,0,2,2,1,,4,14,7945,14,684,68,19,39,1,4,1,147,102,,,4,3,3,,
67WN00074,67,1,8777,2,82,454,2886,1,14,,1,-,61,121,1,7,07,1,78,09,04,09,09,038,0,2,2,1,,4,14,7224,14,545,54,11,54,7,5,1,140,120,,3,5,1,1,,
67WN00075,67,2,8778,2,82,274,7297,1,14,,5,3,61,121,1,1,07,1,72,09,05,08,07,040,0,2,2,1,,4,14,6227,11,521,52,12,41,7,1,1,139,90,,,3,5,2,,
67WN00076,67,1,8779,2,82,274,7297,1,14,,5,3,61,121,1,4,07,1,64,09,04,10,10,032,0,2,2,1,,4,14,6227,11,458,45,12,41,7,8,1,134,86,,3,3,5,2,,
67WN00077,67,2,8780,2,82,505,5691,1,11,,1,6,61,121,1,3,07,1,83,07,03,07,06,047,0,2,3,2,,1,14,6749,14,592,59,29,27,7,2,1,157,114,,,4,1,1,,
67WN00078,67,1,8781,2,82,194,6486,1,14,,5,5,61,121,1,7,07,2,73,10,03,10,09,033,0,2,2,1,,4,14,6237,11,521,52,23,51,7,1,1,141,100,,3,4,5,2,,
67WN00079,67,2,8782,2,82,194,6486,1,14,,5,5,61,121,1,3,07,2,58,11,03,09,10,043,0,2,3,2,,4,14,6237,11,408,40,23,51,7,8,1,132,86,,,4,5,2,,
67WN00080,67,1,8783,2,82,275,7476,1,14,,3,3,61,121,1,7,07,1,74,12,04,11,10,031,0,2,2,1,,4,14,6163,11,534,53,24,40,7,4,1,130,94,,3,3,3,3,,
67WN00081,67,2,8784,2,50,501,8008,1,14,55,1,2,61,121,1,3,,2,54,07,03,10,08,037,0,2,2,1,,4,14,6749,14,372,37,42,50,1,2,1,138,90,,,2,1,1,,
67WN00082,67,2,8787,2,50,500,6471,1,14,37,1,5,61,121,1,4,,1,62,09,03,09,10,035,0,2,3,2,,4,14,7624,14,417,41,56,50,1,7,1,136,116,,,4,1,1,,
67WN00083,67,1,8788,2,82,294,6080,1,11,,1,3,61,121,1,4,07,1,80,09,04,09,09,037,0,2,2,1,,1,14,6619,14,570,57,44,19,7,0,1,148,110,,,3,1,1,,
67WN00084,67,2,8789,2,82,194,7423,1,14,,1,3,61,121,1,1,07,1,74,10,03,08,07,038,0,2,2,1,,4,14,6237,11,544,54,16,29,7,4,1,134,82,,,3,1,1,,
67WN00085,67,2,8790,2,82,504,5037,1,11,,5,9,61,121,1,3,07,1,74,09,03,07,08,041,0,2,2,1,,1,14,7624,14,524,52,30,27,7,4,1,152,106,,,5,5,2,,
67WN00086,67,2,8791,2,82,504,5037,1,11,,5,9,61,121,1,3,07,1,60,10,04,10,09,037,0,2,3,2,,1,14,7624,14,408,40,30,27,7,8,1,127,106,,,5,5,2,,
67WN00087,67,1,8792,2,54,541,6043,1,14,29,5,6,61,121,1,2,,1,73,06,03,09,08,039,0,2,3,2,,4,14,7152,14,534,53,24,54,1,4,1,157,84,,,4,5,2,,
67WN00088,67,2,8793,2,54,541,6043,1,14,29,5,6,61,121,1,1,,1,54,08,03,09,09,042,0,2,2,1,,4,14,7152,14,379,37,24,54,1,9,1,140,82,,7,4,5,2,,
67WN00089,67,1,8794,2,54,540,6056,1,14,29,1,6,61,121,1,4,,1,83,08,03,09,10,030,0,2,2,1,,4,14,8103,14,590,59,21,54,1,0,1,148,116,,,4,1,1,,
67WN00090,67,2,8795,2,46,461,7307,1,14,25,1,3,61,121,1,3,,1,72,07,03,08,07,039,0,2,3,2,,4,14,8099,14,504,50,29,46,1,4,1,144,110,,,3,1,1,,
67WN00091,67,1,8797,2,82,274,6009,1,14,,1,6,60,120,1,7,07,2,84,09,03,09,08,042,0,2,2,1,,4,14,6227,11,602,60,28,40,7,2,1,154,118,,,4,1,1,,
67WN00092,67,1,8798,2,82,374,7301,1,14,,1,3,60,120,1,5,07,1,78,09,04,09,10,040,0,2,3,2,,4,14,7354,14,555,55,12,25,7,5,1,146,114,,,3,1,1,,
67WN00093,67,2,8799,2,39,391,5412,1,14,22,5,7,60,120,1,3,,1,63,12,05,09,08,035,0,2,2,1,,4,14,7671,14,438,43,15,39,1,8,1,112,104,,,5,5,2,,
67WN00094,67,2,8800,2,39,391,5412,1,14,22,5,7,60,120,1,1,,1,68,10,03,09,09,040,0,2,2,1,,4,14,7671,14,473,47,15,39,1,3,1,141,112,,,5,5,2,,
67WN00095,67,2,8801,2,82,254,5745,1,14,,9,6,60,120,1,1,07,2,69,09,03,09,09,037,0,2,2,1,,4,14,7108,14,480,48,15,37,7,0,1,144,114,,,4,8,2,,
67WN00096,67,2,8802,2,82,254,5745,1,14,,9,6,60,120,1,1,07,1,68,09,05,10,08,037,0,2,2,1,,4,14,7108,14,467,46,15,37,7,7,1,134,120,,,4,8,2,,
67WN00097,67,2,8803,2,82,254,5745,1,14,,8,6,60,120,1,1,07,1,70,09,03,07,05,048,0,2,2,1,,4,14,7108,14,498,49,15,37,7,8,1,138,102,,,4,7,3,,
67WN00098,67,1,8804,2,82,234,6090,1,14,,3,6,60,120,1,7,07,1,98,14,04,08,06,043,0,2,2,1,,4,14,6161,11,725,72,05,45,7,5,1,134,110,,,4,3,3,,
67WN00099,67,1,8805,2,82,234,6090,1,14,,4,6,64,124,1,7,07,1,65,13,03,10,08,037,0,2,2,1,,4,14,6161,11,452,45,,45,7,2,9,,90,,3,4,4,3,,
67WN00100,67,2,8806,2,82,254,7330,1,14,,5,3,60,120,1,5,07,1,69,10,03,08,08,043,0,2,3,2,,4,14,7108,14,497,49,17,37,7,7,1,145,94,,,3,5,2,,
67WN00101,67,1,8807,2,82,254,7330,1,14,,5,3,60,120,1,5,07,2,65,10,04,12,12,036,0,2,3,2,,4,14,7108,14,462,46,17,37,7,2,1,137,96,,,3,5,2,,
67WN00102,67,1,8808,2,82,494,5741,1,11,,5,5,60,120,1,7,07,2,80,10,04,09,08,034,0,2,2,1,,1,14,7515,14,580,58,22,32,7,0,1,141,104,,,4,5,2,,
67WN00103,67,1,8809,2,82,494,5741,1,11,,5,5,60,120,1,5,07,4,78,09,04,09,09,037,0,2,2,1,,1,14,7515,14,557,55,22,32,7,7,1,152,112,,,4,5,2,,
67WN00104,67,1,8810,2,82,494,5002,1,14,,3,8,60,120,1,7,07,2,78,13,03,08,08,036,0,2,2,1,,4,14,7515,14,567,56,21,44,7,7,1,123,100,,6,5,3,3,,
67WN00105,67,1,8812,2,22,221,5021,1,14,36,1,8,60,120,1,7,,2,65,10,11,12,09,032,0,2,2,1,,4,14,7793,14,452,45,32,22,1,2,1,93,108,,3,5,1,1,,
67WN00106,67,2,8814,2,82,475,6099,1,11,,5,3,60,120,1,3,07,2,66,13,04,09,09,038,0,2,2,1,,1,14,7868,14,467,46,42,34,7,7,1,128,100,,,3,5,2,,
67WN00107,67,2,8815,2,82,475,6099,1,11,,5,3,60,120,1,3,07,1,67,13,03,10,08,037,0,2,3,2,,1,14,7868,14,482,48,42,34,7,2,1,124,92,,,3,5,2,,
67WN00108,67,1,8818,2,82,244,4221,1,14,,4,9,62,122,1,3,07,1,63,09,03,12,11,032,0,2,2,1,,4,14,6212,11,434,43,20,29,7,4,2,139,100,,3,5,3,3,,
67WN00109,67,2,8819,2,82,244,4221,1,14,,3,9,60,120,1,1,07,1,47,10,04,11,12,032,0,4,4,1,,4,14,6212,11,317,31,20,29,7,7,1,113,90,,,5,3,3,,
67WN00110,67,1,8820,2,49,491,5346,1,14,21,3,7,60,120,1,7,,2,70,14,04,11,08,035,0,2,2,1,,4,14,7462,14,503,50,18,49,1,3,1,108,96,,,5,3,3,,
67WN00111,67,2,8823,2,82,544,5645,1,11,,3,6,60,120,1,1,07,2,85,08,03,08,06,033,0,2,2,1,,1,14,8103,14,610,61,14,23,7,0,1,152,118,,,4,3,3,,
67WN00112,67,1,8824,2,82,345,4825,1,14,,1,8,60,120,1,7,07,2,80,09,03,10,07,034,0,2,2,1,,4,14,6168,11,567,56,25,36,7,7,1,142,120,,,5,1,1,,
67WN00113,67,1,8825,2,82,545,6034,1,11,,1,3,60,120,1,6,07,5,83,08,08,09,07,034,0,2,2,1,,1,14,7152,14,582,58,18,23,7,2,1,129,132,,,3,1,1,,
67WN00114,67,1,8826,2,49,490,6063,1,14,28,3,6,60,120,1,7,,1,78,09,03,08,06,040,0,2,2,1,,4,14,7515,14,560,56,18,49,1,0,1,143,108,,3,4,3,3,,
67WN00115,67,1,8828,2,82,514,7286,1,14,,5,3,60,120,1,5,07,1,63,08,04,08,08,041,0,2,2,1,,4,14,6366,14,443,44,26,29,7,3,1,141,98,,6,3,5,2,,
67WN00116,67,2,8829,2,82,514,7286,1,14,,5,3,60,120,1,1,07,1,80,07,03,07,06,051,0,2,3,2,,4,14,6366,14,587,58,26,29,7,7,1,170,96,,,3,5,2,,
67WN00117,67,2,8830,2,82,444,5947,1,14,,5,6,60,120,1,1,07,2,58,08,04,10,09,037,0,2,2,1,,4,14,6715,14,395,39,17,49,7,5,1,137,106,,,4,5,2,,
67WN00118,67,2,8831,2,82,444,5947,1,14,,5,6,60,120,1,1,07,1,66,11,03,08,10,037,0,2,2,1,,4,14,6715,14,450,45,17,49,7,0,1,137,120,,,4,5,2,,
67WN00119,67,1,8832,2,44,441,6262,1,14,26,1,5,60,120,1,7,,4,78,11,04,09,10,037,0,2,2,1,,4,14,7705,14,545,54,23,44,1,5,1,131,126,,,4,1,1,,
67WN00120,67,1,8833,2,82,414,6101,1,11,,1,3,59,119,1,2,07,1,82,08,03,09,08,044,0,2,2,1,,1,14,7918,14,592,59,35,27,7,2,1,157,116,,,3,1,1,,
67WN00121,67,1,8834,2,82,444,5863,1,11,,1,5,59,119,1,2,07,1,75,08,03,09,09,035,0,2,2,1,,1,14,6715,14,521,52,31,20,7,1,1,146,130,,,4,1,1,,
67WN00122,67,1,8835,2,82,405,5555,1,11,,1,7,59,119,1,7,07,1,88,07,05,08,07,045,0,2,3,2,,1,14,7190,14,639,63,28,27,7,9,1,157,120,,,5,1,1,,
67WN00123,67,2,8836,2,82,445,4928,1,11,,1,0,59,119,1,3,07,2,58,10,03,10,09,038,0,2,2,1,,1,14,7705,14,376,37,27,20,7,6,1,125,132,,7,5,1,1,,
67WN00124,67,2,8837,2,82,355,5090,1,14,,5,8,59,119,1,6,07,1,68,06,03,09,09,041,0,2,3,2,,4,14,8034,14,489,48,16,45,7,9,1,159,98,,7,5,5,2,,
67WN00125,67,1,8838,2,82,355,5090,1,14,,5,8,59,119,1,7,07,1,68,09,03,11,10,044,0,2,3,2,,4,14,8034,14,481,48,16,45,7,1,1,148,108,,3,5,5,2,,
67WN00126,67,1,8839,2,82,354,5376,1,14,,4,7,62,122,2,4,07,4,90,09,04,09,06,034,0,2,2,1,,4,14,7189,14,644,64,14,45,7,4,3,152,114,,,5,3,3,,
67WN00127,67,1,8840,2,82,354,5376,1,14,,3,7,59,119,1,5,07,2,78,11,03,10,09,037,0,2,2,1,,4,14,7189,14,555,55,14,45,7,5,1,138,120,,3,5,3,3,,
67WN00128,67,1,8841,2,82,214,5925,1,14,,5,6,59,119,1,7,07,2,94,12,04,08,06,046,0,2,3,2,,4,14,5747,11,687,68,29,39,7,7,1,148,122,,,4,5,2,,
67WN00129,67,1,8842,2,41,411,5183,1,14,09,5,7,59,119,1,4,,1,73,10,03,09,10,046,0,2,3,2,,4,14,7593,14,524,52,00,41,1,4,1,149,106,,,5,5,2,,
67WN00130,67,2,8843,2,41,411,5183,1,14,09,5,7,59,119,1,1,,2,78,09,03,08,08,046,0,4,4,1,,4,14,7593,14,563,56,00,41,1,3,1,155,110,,,5,5,2,,
67WN00131,67,2,8846,2,82,294,6024,1,11,,1,3,59,119,1,1,07,2,83,08,03,07,06,044,0,3,3,1,,1,14,6619,14,593,59,32,24,7,3,1,157,124,,,3,1,1,,
67WN00132,67,1,8847,2,82,324,6205,1,14,,1,5,59,119,1,6,07,4,80,09,04,08,08,039,0,2,2,1,,4,14,6208,11,570,57,31,44,7,0,1,143,122,,,4,1,1,,
67WN00133,67,2,8848,2,82,445,5762,1,14,,1,6,59,119,1,1,07,1,70,10,04,09,07,043,0,2,2,1,,4,14,7705,14,504,50,16,49,7,4,1,125,100,,,4,1,1,,
67WN00134,67,1,8849,2,82,394,5351,1,14,,1,7,59,119,1,7,07,2,90,13,08,07,08,039,0,2,2,1,,4,14,7945,14,661,66,30,22,7,1,1,119,114,,,5,1,1,,
