UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,DISP,IDX,BRWT,ABN,CJAW,CADAM,TBRE,CTBR,TM2,BAND
64WN00051,64,2,6044,1,19,190,5417,1,11,45,3,4,57,117,1,1,,2,64,08,04,08,08,038,13,2,2,1,3,1,11,5806,11,467,46,42,19,1,7,,145,94,,5,4,3,3,1,2
64WN00052,64,1,6045,1,32,320,5253,1,11,29,1,5,57,117,1,5,,1,84,10,05,10,11,026,13,1,2,2,1,1,11,5785,11,619,61,22,32,1,9,3,140,116,,4,4,1,1,1,2
64WN00053,64,1,6046,1,21,210,5769,1,11,49,1,2,56,116,1,1,,1,72,14,04,07,09,037,3,2,2,1,1,1,11,5229,11,514,51,33,21,1,4,3,129,124,,4,2,1,1,1,2
64WN00054,64,1,6049,1,32,320,5566,1,11,29,1,4,56,116,1,5,,2,86,09,05,09,09,031,21,2,2,1,1,1,11,5785,11,638,63,31,32,1,8,3,146,120,,5,4,1,1,1,2
64WN00055,64,2,6051,1,19,190,5098,1,11,39,3,6,56,116,1,3,,1,63,10,05,08,08,030,4,2,2,1,3,1,11,5806,11,461,46,29,19,1,1,,123,95,,4,4,3,3,1,2
64WN00056,64,2,6052,1,21,210,5262,1,11,40,5,5,56,116,1,3,,1,54,12,04,09,10,036,6,2,2,1,5,1,11,5229,11,386,38,31,21,1,6,,123,92,,4,4,5,2,1,2
64WN00057,64,1,6053,1,21,210,5262,1,11,40,5,5,56,116,1,7,,1,58,09,03,10,09,035,1,2,2,1,5,1,11,5229,11,400,40,31,21,1,0,6,143,116,,4,4,5,2,1,2
64WN00058,64,2,6054,1,23,230,5852,1,11,35,3,2,56,116,1,3,,2,60,13,04,09,09,030,7,2,2,1,3,1,11,5819,11,441,44,26,23,1,1,,125,88,,5,2,3,3,1,2
64WN00059,64,2,6055,1,23,230,5852,1,11,35,6,2,55,115,1,3,,1,39,15,04,12,14,026,3,2,2,1,6,1,11,5819,11,268,26,26,23,1,8,2,105,82,,4,2,5,2,1,2
64WN00060,64,1,6056,1,20,200,4756,1,11,32,1,8,55,115,1,7,,1,68,13,06,11,08,031,21,2,2,1,1,1,11,5699,11,509,50,21,20,1,9,,107,95,,4,5,1,1,1,2
64WN00061,64,2,6058,1,34,340,4932,1,11,50,1,7,55,115,1,3,,1,73,08,03,08,08,042,3,2,2,1,1,1,11,5780,11,541,54,42,34,1,1,,161,108,,4,5,1,1,1,2
64WN00062,64,1,6059,1,27,270,5631,1,11,39,3,3,54,114,1,7,,1,68,09,05,08,09,041,1,2,3,2,3,1,11,5477,11,521,52,30,27,1,1,6,146,86,2,4,3,3,3,1,2
64WN00063,64,3,6061,1,32,320,5613,1,11,28,3,3,55,115,9,3,,1,68,14,04,09,09,030,13,2,2,1,3,1,11,5785,11,490,49,24,32,1,0,3,113,116,,4,3,3,3,1,2
64WN00064,64,1,6063,1,20,200,5727,1,11,41,1,3,55,115,1,7,,1,63,11,06,09,10,036,22,2,2,1,1,1,11,5699,11,473,47,31,20,1,3,,121,86,,4,3,1,1,1,2
64WN00065,64,1,6064,1,24,240,5814,1,11,40,1,2,54,114,1,2,,1,77,15,03,09,07,029,14,2,2,1,1,1,11,5771,11,581,58,40,24,1,1,6,121,108,,4,2,1,1,1,2
64WN00066,64,2,6065,1,21,210,4895,1,11,36,5,7,54,114,1,3,,1,52,12,05,08,10,038,6,2,2,1,5,1,11,5229,11,363,36,39,21,1,3,,123,106,,4,5,5,2,1,2
64WN00067,64,1,6066,1,21,210,4895,1,11,36,5,7,54,114,1,7,,2,58,14,05,10,10,034,22,2,2,1,5,1,11,5229,11,405,40,39,21,1,5,,118,118,,5,5,5,2,1,2
64WN00068,64,2,6067,1,27,270,4693,1,11,36,5,8,54,114,1,3,,1,58,10,03,08,11,034,22,2,3,2,5,1,11,5477,11,423,42,36,27,1,3,,147,98,,4,5,5,2,1,2
64WN00069,64,2,6068,1,27,270,4693,1,11,36,5,8,54,114,1,3,,1,65,10,04,08,08,034,22,2,2,1,5,1,11,5477,11,491,49,36,27,1,1,,143,90,,4,5,5,2,1,2
64WN00070,64,1,6069,1,19,190,5620,1,11,43,1,3,54,114,1,7,,1,80,08,04,08,08,037,12,2,2,1,1,1,11,5806,11,605,60,40,19,1,5,6,157,110,,4,3,1,1,1,2
64WN00071,64,2,6070,1,20,200,4227,1,11,24,3,0,53,113,1,3,,3,63,10,03,09,09,041,10,2,2,1,3,1,11,5699,11,471,47,18,20,1,1,,141,98,,3,5,3,3,1,2
64WN00072,64,2,6071,1,24,240,5445,1,11,31,5,4,53,113,1,1,,1,56,11,04,10,09,033,10,2,2,1,5,1,11,5771,11,412,41,26,24,1,2,,125,94,,4,4,5,2,1,2
64WN00073,64,1,6072,1,24,240,5445,1,11,31,5,4,53,113,1,5,,1,88,14,04,09,09,034,20,2,2,1,5,1,11,5771,11,676,67,26,24,1,6,6,143,116,,4,4,5,2,1,2
64WN00074,64,2,6073,1,21,210,5591,1,11,50,2,3,53,113,1,1,,2,69,09,03,08,08,038,23,2,2,1,2,1,11,5229,11,487,48,36,21,1,7,,148,140,,5,3,1,1,1,2
64WN00075,64,1,6074,1,21,210,5506,1,11,38,3,4,53,113,1,7,,3,68,12,04,08,08,040,10,2,2,1,3,1,11,5229,11,501,50,38,21,1,1,,131,114,,3,4,3,3,1,2
64WN00076,64,1,6075,1,21,210,5506,1,11,38,4,4,53,113,1,7,,1,74,13,05,08,08,033,22,2,2,1,4,1,11,5229,11,556,55,38,21,1,6,,124,112,,4,4,3,3,1,2
64WN00077,64,1,6076,1,27,270,5287,1,11,43,5,5,51,111,1,7,,1,66,10,03,10,10,036,1,2,2,1,5,1,11,5477,11,499,49,30,27,1,9,6,153,106,,4,4,5,2,1,2
64WN00078,64,1,6077,1,27,270,5287,1,11,43,5,5,52,112,1,7,,1,52,11,04,09,11,031,22,2,2,1,5,1,11,5477,11,368,36,30,27,1,8,6,130,108,,4,4,5,2,1,2
64WN00079,64,2,6079,1,21,210,5273,1,11,41,1,5,52,112,1,1,,1,68,09,05,08,08,035,7,2,2,1,1,1,11,5229,11,493,49,38,21,1,3,,134,128,,4,4,1,1,1,2
64WN00080,64,2,6080,1,19,190,5424,1,11,44,1,4,52,112,1,3,,1,68,09,03,08,07,035,15,2,2,1,1,1,11,5806,11,513,51,39,19,1,3,,400,106,,4,4,1,1,1,2
64WN00081,64,1,6081,1,24,240,5760,1,11,36,1,2,52,112,1,4,,1,48,13,04,11,11,027,12,2,2,1,1,1,11,5771,11,341,34,27,24,1,1,3,107,98,,4,2,1,1,1,2
64WN00082,64,1,6082,1,19,190,5640,1,11,44,1,3,51,111,1,7,,1,74,08,03,08,08,044,1,4,4,1,1,1,11,5806,11,564,56,39,19,1,4,6,161,114,,4,3,1,1,1,2
64WN00083,64,2,6083,1,23,230,5410,1,11,14,5,5,50,110,1,3,,1,56,14,07,11,09,028,5,1,2,2,5,1,11,5819,11,405,40,00,23,1,5,2,90,114,,4,4,5,2,1,2
64WN00084,64,1,6084,1,23,230,5410,1,11,14,5,5,51,111,1,6,,1,70,12,04,09,08,031,23,2,2,1,5,1,11,5819,11,535,53,00,23,1,5,,125,106,,4,4,5,2,1,2
64WN00085,64,1,6085,1,24,240,5766,1,11,42,1,2,51,111,1,5,,2,87,10,05,08,08,032,5,2,2,1,1,1,11,5771,11,674,67,32,24,1,4,6,155,122,,5,2,1,1,1,2
64WN00086,64,2,6086,1,34,340,5265,1,11,48,5,5,51,111,1,1,,1,62,10,06,09,07,035,13,2,2,1,5,1,11,5780,11,467,46,44,34,1,7,,131,102,,4,4,5,2,1,2
64WN00087,64,1,6087,1,34,340,5265,1,11,48,5,5,51,111,1,7,,2,70,08,03,09,08,032,7,2,2,1,5,1,11,5780,11,537,53,44,34,1,7,6,161,104,,5,4,5,2,1,2
64WN00088,64,2,6088,1,24,240,5333,1,11,28,5,5,50,110,1,1,,2,60,14,04,07,09,039,3,2,2,1,5,1,11,5771,11,453,45,24,24,1,3,,118,102,,5,4,5,2,1,2
64WN00089,64,2,6089,1,24,240,5333,1,11,28,5,5,51,111,1,3,,5,58,11,04,08,09,036,5,2,2,1,5,1,11,5771,11,431,43,24,24,1,1,3,128,102,,2,4,5,2,1,2
64WN00090,64,2,6090,1,23,230,5645,1,11,28,5,3,51,111,1,1,,1,61,09,04,09,09,025,4,2,2,1,5,1,11,5819,11,452,45,14,23,1,2,,134,108,,4,3,5,2,1,2
64WN00091,64,1,6091,1,23,230,5645,1,11,28,5,3,51,111,1,6,,1,68,12,04,11,09,028,11,1,2,2,5,1,11,5819,11,505,50,14,23,1,5,6,129,120,,4,3,5,2,1,2
64WN00092,64,1,6092,1,19,190,5653,1,11,44,3,3,51,111,1,7,,1,76,08,04,07,07,041,3,2,2,1,3,1,11,5806,11,596,59,37,19,1,6,6,160,98,,4,3,3,3,1,2
64WN00093,64,2,6093,1,19,190,5649,1,11,45,3,3,49,109,1,3,,1,53,09,04,09,12,031,3,2,2,1,3,1,11,5806,11,415,41,42,19,1,5,,140,78,,4,3,3,3,1,2
64WN00094,64,1,6095,1,21,210,4361,1,11,30,3,0,50,110,1,7,,1,56,13,05,10,10,034,10,2,2,1,3,1,11,5229,11,418,41,26,21,1,8,,114,100,,4,5,3,3,1,2
64WN00095,64,2,6096,1,27,270,5691,1,11,41,1,3,50,110,1,3,,1,63,08,04,09,09,041,14,2,2,1,1,1,11,5477,11,473,47,29,27,1,3,,146,110,,4,3,1,1,1,2
64WN00096,64,3,6097,1,32,320,5060,1,11,25,1,6,50,110,9,1,,2,72,13,04,10,09,031,21,2,3,2,1,1,11,5785,11,540,54,20,32,1,0,3,117,126,,5,4,1,1,1,2
64WN00097,64,2,6098,1,34,340,5498,1,11,42,5,4,49,109,1,3,,1,45,09,04,12,14,037,5,5,5,1,5,1,11,5780,11,328,32,40,34,1,8,7,146,92,,4,4,5,2,1,2
64WN00098,64,2,6099,1,34,340,5498,1,11,42,5,4,50,110,1,3,,1,54,12,04,09,09,034,21,2,2,1,5,1,11,5780,11,409,40,40,34,1,9,,124,90,,4,4,5,2,1,2
64WN00099,64,2,6100,1,24,240,5602,1,11,30,1,3,50,110,1,1,,2,78,11,03,07,07,039,6,2,2,1,1,1,11,5771,11,591,59,29,24,1,1,,139,130,,5,3,1,1,1,2
64WN00100,64,2,6101,1,27,270,4697,1,11,35,3,8,50,110,1,1,,1,53,09,04,09,11,033,13,2,2,1,3,1,11,5477,11,409,40,37,27,1,9,,138,80,,4,5,3,3,1,2
64WN00101,64,2,6103,1,24,240,5501,1,11,33,3,4,50,110,1,1,,2,77,15,04,08,09,034,7,2,2,1,3,1,11,5771,11,598,59,25,24,1,8,,122,112,,5,4,3,3,1,2
64WN00102,64,2,6105,1,24,240,4777,1,11,29,1,8,50,110,1,1,,2,78,10,04,09,07,039,21,2,2,1,1,1,11,5771,11,596,59,28,24,1,6,,144,124,,5,5,1,1,1,2
64WN00103,64,2,6108,1,19,190,5418,1,11,45,4,4,50,110,1,3,,1,63,09,03,07,07,039,22,2,2,1,4,1,11,5806,11,493,49,42,19,1,3,,145,88,,4,4,3,3,1,2
64WN00104,64,1,6109,1,32,320,5167,1,11,42,1,6,50,110,1,6,,1,68,12,05,10,09,027,21,1,2,2,1,1,11,5785,11,524,52,25,32,1,4,,117,104,,4,4,1,1,1,2
64WN00105,64,2,6110,1,32,320,5695,1,11,26,1,3,50,110,1,1,,2,60,10,03,11,09,029,10,1,2,2,1,1,11,5785,11,460,46,32,32,1,0,,124,94,,5,3,1,1,1,2
64WN00106,64,2,6112,1,34,340,5181,1,11,48,3,6,50,110,1,3,,2,55,08,03,08,09,037,12,2,3,2,3,1,11,5780,11,424,42,44,34,1,4,,146,84,,5,4,3,3,1,2
64WN00107,64,2,6114,1,21,210,5758,1,11,52,3,2,49,109,1,1,,1,54,12,04,09,10,040,1,2,3,2,3,1,11,5229,11,398,39,40,21,1,8,,137,106,,4,2,3,3,1,2
64WN00108,64,1,6115,1,23,230,4914,1,11,43,1,7,49,109,1,7,,1,65,10,06,10,09,027,3,2,2,1,1,1,11,5819,11,475,47,20,23,1,5,3,124,132,,4,5,1,1,1,2
64WN00109,64,2,6116,1,24,240,4340,1,11,44,1,0,49,109,1,1,,1,64,13,05,09,09,027,1,2,2,1,1,1,11,5771,11,468,46,22,24,1,8,2,112,130,,4,5,1,1,1,2
64WN00110,64,2,6120,1,20,200,5726,1,11,41,3,3,48,108,1,1,,3,35,10,04,12,15,025,5,1,2,2,3,1,11,5699,11,257,25,37,20,1,7,7,121,72,,3,3,3,3,1,2
64WN00111,64,2,6122,1,32,320,5135,1,11,28,3,6,49,109,1,1,,4,69,09,04,09,08,031,8,2,2,1,3,1,11,5785,11,545,54,23,32,1,5,,138,96,,6,4,3,3,1,2
64WN00112,64,1,6123,1,32,320,5484,1,11,28,1,4,49,109,1,5,,2,74,08,04,09,07,031,3,1,2,2,1,1,11,5785,11,567,56,22,32,1,7,6,140,122,,5,4,1,1,1,2
64WN00113,64,2,6124,1,20,200,5709,1,11,41,1,3,49,109,1,3,,1,55,09,04,10,10,035,20,2,2,1,1,1,11,5699,11,409,40,32,20,1,9,,133,104,,4,3,1,1,1,2
64WN00114,64,1,6125,1,19,190,5589,1,11,46,1,3,48,108,1,7,,1,76,12,07,08,08,035,5,1,2,2,1,1,11,5806,11,598,59,43,19,1,8,6,125,114,,4,3,1,1,1,2
64WN00115,64,2,6127,1,27,270,5690,1,11,41,3,3,54,114,1,3,,3,44,13,03,13,11,028,1,2,2,1,3,1,11,5477,11,325,32,29,27,1,5,3,106,70,,3,3,3,3,1,2
64WN00116,64,1,6130,1,23,230,4787,1,11,29,3,8,48,108,1,5,,1,72,09,08,09,07,027,12,2,2,1,3,1,11,5819,11,589,58,18,23,1,9,,126,84,,4,5,3,3,1,2
64WN00117,64,2,6131,1,23,230,5479,1,11,29,4,4,48,108,1,3,,1,63,09,04,09,08,029,1,2,2,1,4,1,11,5819,11,487,48,15,23,1,7,,131,104,,4,4,3,3,1,2
64WN00118,64,2,6132,1,23,230,5479,1,11,29,3,4,47,107,1,4,,1,72,08,03,08,07,031,2,2,2,1,3,1,11,5819,11,566,56,15,23,1,6,,148,114,,4,4,3,3,1,2
64WN00119,64,2,6133,1,23,230,5657,1,11,22,1,3,47,107,1,1,,1,63,13,04,08,08,040,10,2,2,1,1,1,11,5819,11,480,48,21,23,1,0,,113,116,,4,3,1,1,1,2
64WN00120,64,2,6136,1,32,320,5243,1,11,26,1,5,46,106,1,1,,2,79,09,03,08,07,039,2,2,2,1,1,1,11,5785,11,628,62,24,32,1,8,,150,124,,5,4,1,1,1,2
64WN00121,64,1,6139,1,27,270,4617,1,11,35,1,8,47,107,1,7,,1,66,09,03,10,11,026,2,2,2,1,1,1,11,5477,11,508,50,37,27,1,8,6,146,116,,4,5,1,1,1,2
64WN00122,64,2,6140,1,27,270,5297,1,11,36,5,5,45,105,1,3,,1,58,10,05,09,11,031,1,2,2,1,5,1,11,5477,11,470,47,29,27,1,0,,137,86,,4,4,5,2,1,2
64WN00123,64,2,6141,1,27,270,5297,1,11,36,5,5,46,106,1,1,,2,53,08,04,10,12,035,7,2,2,1,5,1,11,5477,11,417,41,29,27,1,7,,151,88,,5,4,5,2,1,2
64WN00124,64,2,6142,1,27,270,5719,1,11,40,1,3,46,106,1,3,,1,64,10,04,10,09,040,13,2,2,1,1,1,11,5477,11,508,50,28,27,1,8,,138,102,,4,3,1,1,1,2
64WN00125,64,1,6145,1,23,230,5683,1,11,16,1,3,45,105,1,5,,1,78,15,06,09,09,028,8,2,2,1,1,1,11,5819,11,617,61,19,23,1,7,3,104,132,,4,3,1,1,1,2
64WN00126,64,2,6147,1,19,190,4713,1,11,37,1,8,45,105,1,3,,1,63,08,04,09,09,040,13,2,2,1,1,1,11,5806,11,501,50,26,19,1,1,,150,104,,4,5,1,1,1,2
64WN00127,64,2,6148,1,27,270,4800,1,11,36,3,8,45,105,1,3,,2,62,10,03,10,09,034,12,2,2,1,3,1,11,5477,11,507,50,30,27,1,7,,144,88,,5,5,3,3,1,2
