UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
83WN03518, 83945183,83,94,5183,2,46,52,462,3,1,6,2, 50,5,4,9,99,125,23,59,64,465, 4, 3,10, 8, 49,  0,6,7,5,1,1,0,213,1285,93,,  0,,4153,94,6320,93,8,62,499,46,3,78,80,
83WN03519, 83945184,83,94,5184,1,67,56,671,2,2,5,5, 30,3,3,5,99,125,28,121,77,519, 8, 3, 9, 8, 67,271,6,7,3,1,4,170,197,1289,93,,  0,,3619,94,9213,93,8,74,512,67,3,78,0,
83WN03520, 83945185,83,94,5185,3,67,56,671,2,2,5,5, 30,3,3,2,99,130,30,112,93,629, 4, 3, 6, 6, 53,  0,6,7,1,5,1,190,197,1289,93,99,  0,,3619,94,9213,93,8,87,619,67,3,0,0,
83WN03521, 83945188,83,94,5188,2,47,55,471,2,1,4,2, 50,5,4,9,99,125,30,102,55,358,12, 4,10, 9, 52,  0,6,7,1,1,1,0,187,1097,92,,  0,,3003,94,6689,93,8,53,410,47,2,65,75,079
83WN03522, 83945189,83,94,5189,1,47,55,471,2,1,3,2, 50,5,4,2,99,130,18,107,62,395, 6, 3, 9, 9, 43,201,5,7,2,1,1,141,187,1097,97,,  0,,3003,94,6689,93,8,58,327,47,3,72,0,
83WN03523, 83945190,83,94,5190,2,38,38,,2,2,5,7, 10,1,1,2,99,130,18,66,81,572, 4, 3,10, 7, 41,  0,6,8,1,1,1,171,220,1303,92,,  0,,0000,02,3955,94,4,75,629,44,2,84,93,055
83WN03524, 83945191,83,94,5191,2,38,38,,2,2,5,3, 10,1,1,4,99,125,20,91,71,495, 5, 3, 8, 8, 52,  0,5,7,1,2,1,170,220,1303,92,,  0,,0000,02,3955,94,4,69,555,44,2,76,82,055
83WN03525, 83945192,83,94,5192,3,47,55,472,2,2,5,5, 40,4,4,2,99,130,5,112,79,522, 7, 3, 8, 8, 46,  0,6,7,1,1,1,159,198,1037,93,,  0,,4256,94,7761,93,8,74,498,47,3,0,0,
83WN03526, 83945193,83,94,5193,2,47,55,472,2,2,5,5, 40,4,4,2,99,130,25,108,66,425, 6, 3,10, 8, 41,  0,5,7,2,1,1,150,198,1037,92,,  0,,4256,94,7761,93,8,62,462,47,2,73,82,077
83WN03527, 83945194,83,94,5194,2,65,56,601,3,2,8,5, 90,9,5,2,99,130,6,108,77,509, 5, 3, 8, 7, 38,  0,5,7,4,1,1,159,197,1267,,,  0,,9699,62,0136,93,8,72,549,53,,82,85,
83WN03528, 83945195,83,94,5195,2,65,56,601,3,2,8,5, 90,9,5,2,99,130,23,98,79,532, 5, 3, 9, 6, 41,  0,4,6,2,1,1,163,197,1267,,,  0,,9699,62,0136,93,8,74,580,53,,89,88,
83WN03529, 83945196,83,94,5196,2,65,56,601,3,1,6,2, 90,9,5,9,99,125,26,89,56,377, 7, 4,10, 8, 38,  0,6,7,1,1,1,0,197,1267,92,,  0,,9699,62,0136,93,8,54,426,53,2,66,69,083
83WN03530, 83945197,83,94,5197,3,67,56,671,2,1,3,2, 20,2,2,2,99,130,13,99,87,593, 6, 3, 8, 7, 43,  0,4,6,2,1,1,173,218,955,93,,  0,,3619,94,1585,94,8,81,614,65,3,0,0,
83WN03531, 83945199,83,94,5199,2,30,30,,1,1,1,1, 10,1,1,5,99,125,23,80,61,424, 7, 3, 9, 8, 41,  0,3,5,3,1,1,135,187,1082,92,,  0,,0000,02,3133,02,4,59,410,71,2,74,77,027
83WN03532, 83945200,83,94,5200,2,47,55,471,2,1,4,2, 20,2,2,9,99,125,23,86,60,411, 5, 3, 9, 9, 37,  0,6,7,2,1,1,0,201,918,92,,  0,,3003,94,2120,94,8,58,454,47,2,76,79,077
83WN03533, 83945201,83,94,5201,2,47,55,471,2,1,4,2, 20,2,2,9,99,125,22,70,63,448,10, 4, 9, 8, 45,  0,5,7,1,1,1,0,201,918,92,,  0,,3003,94,2120,94,8,61,489,47,2,79,79,077
83WN03534, 83945202,83,94,5202,3,46,52,461,2,2,5,4, 40,4,4,2,99,130,19,104,75,497, 4, 3, 9, 8, 68,  0,6,8,2,1,2,183,195,1166,93,,  0,,4070,94,7453,93,8,70,502,44,3,0,0,
83WN03535, 83945203,83,94,5203,3,46,52,461,2,2,5,6, 40,4,4,2,99,130,9,81,69,468, 4, 3, 9, 7, 63,  0,6,7,2,1,1,180,195,1166,93,,  0,,4070,94,7453,93,8,64,514,44,3,0,0,
83WN03536, 83945204,83,94,5204,2,67,56,674,2,1,3,2, 20,2,2,2,99,130,15,90,83,569, 7, 3, 8, 6, 83,  0,7,8,2,1,1,186,201,1040,,,  0,,3857,94,1491,94,8,77,591,67,,91,88,
83WN03537, 83945206,83,94,5206,1,16,51,164,3,2,8,5, 20,2,2,2,99,130,17,99,89,608, 6, 3, 8, 8, 44,278,5,7,2,1,2,171,244,1338,,,  0,,3126,94,0990,94,8,83,589,14,1,90,0,
83WN03538, 83945207,83,94,5207,2,16,51,164,3,2,8,5, 20,2,2,2,99,130,4,94,75,505, 5, 3, 9, 8, 49,  0,6,7,2,1,1,170,244,1338,92,,  0,,3126,94,0990,94,8,70,539,14,2,81,87,064
83WN03539, 83945208,83,94,5208,2,31,31,,1,1,1,1, 10,1,1,4,99,125,14,85,56,380, 6, 3, 9, 8, 52,  0,4,6,1,1,1,142,153,822,92,,  0,,0000,02,4329,19,4,54,358,10,2,59,65,043
83WN03540, 83945209,83,94,5209,1,44,52,004,2,2,5,5, 80,8,5,1,99,128,25,105,89,613, 7, 3, 8, 8, 59,,6,8,1,1,2,173,175,1028,11,,236,,4881,95,0376,43,8,84,591,48,6,0,0,
83WN03541, 83945210,83,94,5210,1,44,52,004,2,2,5,5, 80,8,5,1,99,128,13,101,90,624, 5, 3, 9, 8, 55,280,5,7,2,1,2,180,175,1028,93,,  0,,4881,95,0376,43,8,85,596,48,3,106,0,
83WN03542, 83945211,83,94,5211,2,16,51,161,2,2,5,5, 40,4,4,2,99,130,5,119,81,532, 6, 3, 8, 6, 59,  0,6,7,2,4,1,170,208,1125,93,,  0,,2933,94,8299,93,8,76,559,16,3,86,91,
83WN03543, 83945212,83,94,5212,1,16,51,161,2,2,5,5, 40,4,4,2,99,130,6,111,77,507, 5, 3,10, 8, 60,235,6,7,2,1,2,173,208,1125,93,,  0,,2933,94,8299,93,8,72,475,16,3,81,0,
