UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
11WN00095,2011644749,11,K4749,64,2,,PC,3,8,2,1,3.0,3,3,H,76,206,130,0,10.0,,84,0.569,78,2,1,,,0,.,STC,e2,BLK.L.EYE.BRN,X7894,82,X6550,82,99,3,,0,3,2,,,,1,106,,,0.039,,,0
11WN00096,2011644751,11,K4751,64,2,,PC,16,9,3,1,3.0,3,3,1,76,199,123,0,8.8,,77,0.554,75,2,1,,,0,.,SC,,4T.FRECKLEFEE,X7416,82,X6208,82,99,3,93,272,7,2,,,,,88,,,0.004,,,0
11WN00097,2011700283,11,L0283,70,2,,PC,9,8,2,2,2.0,2,2,1,76,199,123,0,10.1,,61,0.414,60,5,1,,,0,.,.,e14,.,X7737,82,X7250,82,.,3,,0,5,4,,,,1,93,,,0.01,,,0
11WN00098,2011700284,11,L0284,70,1,,PC,9,8,2,2,2.0,2,2,1,76,199,123,0,7.6,,53,0.369,52,2,1,,,0,.,.,,.,X7737,82,X7250,82,.,3,93,230,5,6,,,,,58,,,0.01,,,0
11WN00099,2011700285,11,L0285,70,2,,PC,14,8,2,1,2.0,2,2,1,76,199,123,0,11.6,,86,0.605,84,5,1,,,0,.,SC,e14,SL.E.R.EYE,X7402,82,X7660,82,.,1,,0,3,2,,,,,108,,,0.012,,,0
11WN00100,2011829888,11,X9888,82,2,,CS,19,8,2,2,2.0,2,2,H,76,206,130,0,12.9,,81,0.524,76,5,1,,,0,.,.,,1ST.E2E,K4233,64,X7466,82,.,3,93,272,5,5,,,,,108,,,0.0,,,0
11WN00101,2011829889,11,X9889,82,2,,CS,19,8,2,2,2.0,2,2,H,76,206,130,0,11.7,,87,0.579,81,5,1,,,0,.,.,e16,2ND,K4233,64,X7466,82,.,1,,0,5,5,,,,,110,,,0.0,,,0
11WN00102,2011829890,11,X9890,82,2,,C3,1,8,2,1,6.0,6,4,1,76,199,123,0,10.6,,83,0.589,81,2,1,,,0,.,Ter,e3,BRN.SPT.BTH.H,X7326,82,K3527,64,6T,1,,0,3,2,,,,,101,,,0.0,,,0
11WN00103,2011500007,11,Y0007,50,3,,00,e27,8,2,2,1.0,1,1,1,77,199,122,0,9.5,,53,0.357,52,2,1,,,0,.,MP,,HAIRY.TAILCHE,X0000,82,X9210,82,.,3,93,272,5,4,,,,,78,,,0.0,,,0
11WN00104,2011500008,11,Y0008,50,2,,00,e27,8,2,2,1.0,1,1,1,77,199,122,0,7.6,,57,0.405,56,5,1,,,0,.,MP,,PINK,X0000,82,X9210,82,.,3,93,272,5,6,,,,,84,,,0.0,,,0
11WN00105,2011644752,11,K4752,64,1,,06,5,8,2,2,4.0,4,4,1,77,199,122,0,11.2,,69,0.474,68,1,1,,,0,.,Mat,,NICE LAMB,K4312,64,K3931,64,6M,3,93,230,5,5,,,,,75,,,0.047,,,0
11WN00106,2011644753,11,K4753,64,2,,06,5,8,2,2,4.0,4,4,1,77,199,122,0,11.3,,61,0.407,60,2,1,,,0,.,Mat,,BRNKNEESFRCLP,K4312,64,K3931,64,6M,3,93,272,5,5,,,,,92,,,0.047,,,0
11WN00107,2011453573,11,T3573,45,3,,02,29,8,2,1,2.0,2,2,1,77,199,122,0,9.0,,66,0.467,65,1,1,,,7,.,.,,3T  SCOURS,T1926,45,T2778,45,.,3,93,272,3,2,,,,,90,,,0.007,,,0
11WN00108,2011700287,11,L0287,70,1,,PC,4,8,2,2,4.0,4,4,1,77,199,122,0,11.5,,57,0.373,56,5,1,,,0,.,STC,,4T.LTSMUT,X6640,82,X5491,82,00,3,93,230,5,5,,,,,70,,,0.0,,,0
11WN00109,2011700288,11,L0288,70,1,,PC,4,8,2,2,4.0,4,4,1,77,199,122,0,12.4,,74,0.505,73,5,1,,,0,.,STC,,E2E.NICE,X6640,82,X5491,82,00,3,93,230,5,5,,,,,89,,,0.0,,,0
11WN00110,2011829895,11,X9895,82,2,,97,22,8,2,1,2.0,2,2,H,77,206,129,0,8.4,,89,0.625,83,6,1,,,0,.,.,e5,.SCOURS,X7352,82,X7566,82,.,1,,0,3,2,,,,,107,,,0.03,,,0
11WN00111,2011453574,11,T3574,45,2,,02,30,5,1,1,5.0,5,4,1,77,199,122,0,13.2,,85,0.589,84,1,1,,,7,.,WSW,e26,4T.HAIRY.NICE,T2224,45,T1162,45,48,1,,0,1,1,,,,,110,,,0.053,,,0
11WN00112,2011829896,11,X9896,82,2,,CS,18,8,2,2,2.0,2,2,H,77,206,129,0,9.5,,81,0.554,76,5,1,,,0,.,.,e16,.,K4025,64,X7384,82,.,1,,0,5,5,,,,,102,,,0.0,,,0
11WN00113,2011829897,11,X9897,82,1,,CS,18,8,2,2,2.0,2,2,H,77,206,129,0,10.2,,84,0.572,79,5,1,,,0,.,.,,Little scurs,K4025,64,X7384,82,.,3,93,230,5,5,,,,,84,,,0.0,,,0
11WN00114,2011829898,11,X9898,82,3,,BL,12,8,2,2,5.0,5,4,1,77,199,122,0,10.3,,83,0.596,82,9,1,,,1,.,BLK,,WHITE.HEAD,H5144,05,X3217,82,00,3,93,272,5,5,,,,,108,,,0.0,,,0
11WN00115,2011829899,11,X9899,82,2,,BL,12,8,2,2,5.0,5,4,1,77,199,122,0,10.4,,69,0.48,68,9,1,,,1,.,BLK,,Lupine,H5144,05,X3217,82,00,1,04,264,5,5,,,,6,101,,,0.0,,,0
11WN00116,2011453578,11,T3578,45,1,,02,36,9,3,1,6.0,6,4,1,77,199,122,0,12.6,,61,0.397,60,1,1,,,7,.,.,,3RD.HAIRY.NIC,T2734,45,T0541,45,ID,3,93,230,7,2,,,,,61,,,0.047,,,0
11WN00117,2011453581,11,T3581,45,3,,02,33,8,2,1,2.0,2,2,1,77,199,122,0,11.1,,72,0.499,71,1,1,,,7,.,.,,1ST,T2482,45,T2490,45,.,3,93,272,3,2,,,,,85,,,0.014,,,0
11WN00118,2011829900,11,X9900,82,2,,97,25,7,2,1,8.0,8,5,H,77,206,129,0,10.6,,99,0.685,93,6,1,,,0,.,.,e5,TAIL.CHEWED,X7440,82,Z9175,81,97,1,,0,3,2,,,,,123,,,0.05,,,0
11WN00119,2011829902,11,X9902,82,1,,CM,8,8,2,1,4.0,4,4,1,77,199,122,0,10.2,,83,0.597,82,2,1,,,0,.,Mat,,BRTCHY.BR.L.E,X7419,82,K3883,64,6M,3,93,230,3,2,,,,,90,,,0.051,,,0
11WN00120,2011453583,11,T3583,45,2,,02,36,5,1,1,3.0,3,3,1,77,199,122,0,12.5,,98,0.701,97,1,1,,,7,.,.,e26,4T.E.L.E,T2734,45,T2145,45,48,1,,0,1,1,,,,,117,,,0.04,,,0
11WN00121,2011500009,11,Y0009,50,2,,00,e26,5,1,1,1.0,1,1,1,77,199,122,0,10.5,,77,0.545,76,5,1,,,0,.,MP,,.,X0000,82,X9116,82,.,3,93,272,1,1,,,,,104,,,0.0,,,0
11WN00122,2011056536,11,H6536,05,3,,30,e21,5,1,1,1.0,1,1,1,77,199,122,0,7.5,,74,0.545,73,1,1,,,0,.,.,,.,H5285,05,H6289,05,.,3,93,272,1,1,,,,,96,,,0.052,,,0
11WN00123,2011829903,11,X9903,82,2,,00,BRT,5,1,1,1.0,1,1,1,77,199,122,0,13.1,,81,0.557,80,1,1,,,7,.,BRT,,NICE LAMB,,,T2971,45,.,3,93,272,1,1,,,,,100,,,0.0,,,0
11WN00124,2011700289,11,L0289,70,1,,PC,3,5,1,1,3.0,3,3,1,77,199,122,0,13.3,,106,0.76,105,5,1,,,0,.,STC,,NICE LAMB SCO,X7894,82,X6812,82,99,1,,0,1,1,,,,,116,,,0.0,,,0
11WN00125,2011700290,11,L0290,70,1,,PC,16,5,1,1,4.0,4,4,1,77,199,122,0,14.5,,124,0.898,122,5,1,,,0,.,CS,,Scurs,X7416,82,X4487,82,00,3,93,230,1,1,,,,,134,,,0.006,,,0
11WN00126,2011829904,11,X9904,82,2,,S3,24,5,1,1,2.0,2,2,1,77,199,122,0,14.1,,67,0.434,66,5,1,,,0,.,TC,e7,E2E.NICE,X7364,82,X7355,82,.,1,,0,1,1,,,,,95,,,0.0,,,0
11WN00127,2011500010,11,Y0010,50,3,,00,e28,8,2,1,1.0,1,1,1,77,199,122,0,8.9,,48,0.32,47,1,1,,,0,.,MP,,HAIRY,K0000,64,X9032,82,.,3,93,272,3,2,,,,,75,,,0.0,,,0
11WN00128,2011829905,11,X9905,82,1,,97,24,8,2,1,4.0,4,4,H,77,206,129,0,13.3,,119,0.819,112,6,1,,,0,.,.,,Scurs,X7364,82,X5017,82,97,3,93,230,3,2,,,,,116,,,0.009,,,0
11WN00129,2011829908,11,X9908,82,3,,00,12,8,2,2,5.0,5,4,1,77,199,122,0,10.5,,81,0.578,80,2,1,,,1,.,BLK,,.,H5144,05,X3584,82,00,3,93,272,5,5,,,,,107,,,0.0,,,0
11WN00130,2011829909,11,X9909,82,3,,00,12,8,2,2,5.0,5,4,1,77,199,122,0,10.0,,78,0.557,77,1,1,,,1,.,BLK,,BRITCHY,H5144,05,X3584,82,00,3,93,272,5,5,,,,,103,,,0.0,,,0
11WN00131,2011829910,11,X9910,82,1,,97,24,5,1,1,2.0,2,2,H,77,206,129,0,14.0,,78,0.496,74,6,1,,,0,.,.,,NICE.LAMBSCOU,X7364,82,X7463,82,.,1,,0,1,1,,,,,81,,,0.02,,,0
11WN00132,2011700291,11,L0291,70,2,,PC,16,8,2,2,3.0,3,3,1,77,199,122,0,13.5,,82,0.561,81,5,1,,,0,.,CS,e14,BRITCHY.NICE,X7416,82,X6292,82,99,1,,0,5,4,,,,,104,,,0.007,,,0
11WN00133,2011700292,11,L0292,70,2,,PC,16,8,2,2,3.0,3,3,1,77,199,122,0,11.1,,65,0.442,64,5,1,,,0,.,CS,,E2E.4T,X7416,82,X6292,82,99,3,93,272,5,6,,,,,89,,,0.007,,,0
11WN00134,2011700293,11,L0293,70,2,,PC,14,8,2,1,2.0,2,2,1,77,199,122,0,10.5,,72,0.504,71,5,1,,,0,.,SC,e15,.,X7402,82,X7798,82,.,1,,0,3,2,,,,,101,,,0.012,,,0
11WN00135,2011829911,11,X9911,82,1,,C3,1,5,1,1,2.0,2,2,1,77,199,122,0,11.0,,84,0.598,83,2,1,,,0,.,.,,SL.E2E,X7326,82,K4475,64,.,3,93,230,1,1,,,,,90,,,0.0,,,0
11WN00136,2011700296,11,L0296,70,2,,PC,15,8,2,1,2.0,2,2,1,77,199,122,0,11.0,,92,0.664,91,2,1,,,0,.,SC,e15,SCOURS.BRITCH,X7276,82,X7790,82,.,1,,0,3,2,,,,,114,,,0.002,,,0
