UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,ADG,C5758,C5960,LBRD,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
53WN00727,53,2,1496,2,40,400,0583,2,13,28,3,4,59,119,1,3,07,1,34,15,03,11,14,025,13,2,2,1,19,2,2,,227,23,19,14,3,3,,1,,5,97,70,,3,50,0,4
53WN00728,53,2,1498,2,45,450,9651,2,13,15,3,5,59,119,1,4,06,1,61,13,03,09,09,037,9,2,3,2,15,2,2,1,439,23,12,14,3,3,,1,,5,126,88,,1,,0,4
53WN00729,53,2,1500,2,45,450,1595,2,13,26,1,2,58,118,1,3,05,1,60,15,03,08,08,029,16,2,2,1,25,2,3,,415,24,12,14,1,1,,1,,5,110,110,,2,10,0,2
53WN00730,53,2,1501,2,35,350,0968,2,13,20,5,3,58,118,1,3,06,1,45,09,03,11,14,029,12,2,2,1,21,3,2,,320,24,24,14,5,2,,1,,5,144,72,,2,10,0,3
53WN00731,53,2,1502,2,35,350,0968,2,13,20,5,3,58,118,1,3,06,3,40,09,03,10,14,022,14,2,2,1,22,2,2,,285,24,24,14,5,2,,1,,5,134,64,,2,10,0,3
53WN00732,53,2,1503,2,40,401,0055,2,13,21,1,4,58,118,1,3,07,1,67,09,03,07,09,033,12,2,2,1,20,3,2,1,486,24,12,14,1,1,,1,,5,146,96,,1,,0,4
53WN00733,53,2,1504,2,44,440,1856,2,13,24,1,2,58,118,1,1,06,1,53,12,03,09,13,027,11,3,4,2,19,2,2,1,385,24,14,14,1,1,,1,,5,130,76,,1,,0,2
53WN00734,53,1,1505,2,26,261,0193,2,13,24,5,4,57,117,1,7,07,1,68,12,03,10,12,022,7,2,2,1,20,2,2,,501,25,09,14,5,2,,1,1,5,140,94,,1,,0,4
53WN00735,53,2,1506,2,26,261,0193,2,13,24,5,4,57,117,1,3,08,1,71,11,05,08,08,027,10,2,2,1,20,2,2,1,530,25,09,14,5,2,,1,,5,136,90,,1,,0,4
53WN00736,53,1,1507,2,25,250,1847,2,13,24,1,2,57,117,1,7,07,1,69,12,03,08,09,028,13,2,2,1,20,2,2,,501,25,17,14,1,1,,1,1,5,133,104,,3,10,0,2
53WN00737,53,2,1508,2,40,401,0299,2,14,25,1,2,57,117,4,3,07,1,66,09,03,09,10,031,12,2,2,1,21,2,2,,477,25,23,14,1,1,,1,,5,153,102,,3,40,0,2
53WN00738,53,2,1510,2,46,460,1660,2,13,33,1,2,57,117,1,3,09,3,55,09,04,10,11,021,16,2,2,1,19,2,2,,398,25,20,14,1,1,,1,,5,136,84,,2,40,0,2
53WN00739,53,1,1511,2,25,251,9366,2,13,27,1,5,56,116,2,7,07,1,70,13,03,08,10,031,14,2,2,1,22,2,2,,493,26,13,14,1,1,,1,1,5,129,128,,3,10,0,4
53WN00740,53,2,1512,2,36,360,9460,2,13,29,1,5,56,116,1,5,07,6,67,10,03,09,11,028,11,1,2,2,19,2,2,,481,26,27,14,1,1,,1,,5,146,112,,2,34,0,4
53WN00741,53,1,1513,2,82,354,9026,2,13,,5,6,56,116,1,7,07,1,65,12,03,10,10,032,10,2,3,2,17,2,3,,483,26,09,14,5,2,,7,1,5,134,90,,3,10,0,4
53WN00742,53,2,1514,2,82,354,9026,2,13,,5,6,56,116,1,3,06,1,59,12,03,09,09,029,13,2,2,1,19,2,2,,428,26,09,14,5,2,,7,,5,127,94,,2,10,0,4
53WN00743,53,2,1515,2,35,351,1628,2,13,27,1,2,56,116,1,3,10,1,60,12,03,11,11,023,16,2,2,1,26,2,2,,448,26,14,14,1,1,,1,,5,131,80,,2,10,0,2
53WN00744,53,2,1516,2,26,261,1398,2,13,26,1,3,55,115,1,3,05,1,64,15,03,10,09,029,11,2,2,1,28,2,3,,454,27,11,14,1,1,,1,,5,113,118,,2,10,0,3
53WN00745,53,2,1517,2,00,490,1872,2,13,,1,2,55,115,1,1,06,1,58,09,03,09,10,029,12,2,2,1,19,3,3,,419,27,14,14,1,1,,0,,5,140,98,,2,17,0,2
53WN00746,53,1,1518,2,47,470,1598,2,13,27,1,2,55,115,1,7,06,1,56,12,03,09,11,033,8,2,2,1,24,2,3,,400,27,18,14,1,1,,1,1,5,131,100,,1,,0,2
53WN00747,53,1,1519,2,26,260,8901,2,13,17,1,6,55,115,2,7,05,2,102,14,03,06,07,030,10,2,2,1,25,2,3,,783,27,12,14,1,1,,1,5,5,146,120,,3,10,0,4
53WN00748,53,2,1521,2,25,250,9800,2,13,30,3,5,55,115,1,4,07,1,60,14,03,09,10,030,12,2,2,1,26,2,2,,456,27,09,14,3,3,,1,,5,123,76,,2,12,0,4
53WN00749,53,1,1522,2,82,405,8174,2,13,,3,7,54,114,1,7,07,4,78,09,03,07,09,031,7,2,2,1,27,5,2,,621,28,14,14,3,3,,7,1,5,155,72,,3,34,0,5
53WN00750,53,2,1524,2,82,265,1100,2,13,,1,3,53,113,1,3,06,3,68,14,03,09,08,035,11,2,2,1,22,4,4,,497,29,27,14,1,1,,7,,5,120,118,,2,10,0,3
53WN00751,53,1,1525,2,51,511,1819,2,13,29,1,2,53,113,1,7,07,1,64,11,03,09,10,026,13,2,2,1,19,3,2,,485,29,26,14,1,1,,1,1,5,137,92,,3,10,0,2
53WN00752,53,2,1526,2,44,440,0019,2,13,17,1,4,50,110,1,1,06,1,52,15,03,08,11,036,9,2,3,2,20,2,3,1,382,32,05,14,1,1,,1,,5,112,100,,1,,0,4
53WN00753,53,2,1527,2,29,290,0612,2,13,22,3,4,51,111,1,3,07,1,67,09,03,08,10,028,12,2,2,1,20,2,2,1,517,31,22,14,3,3,,1,,5,154,96,,1,,0,4
53WN00754,53,1,7133,3,63,700,0857,2,13,,4,3,78,138,1,2,07,1,76,11,03,06,09,033,13,2,2,1,22,1,1,,491,04,11,17,3,3,,6,3,1,131,82,,1,,0,3
53WN00755,53,2,7134,3,63,700,0857,2,13,,3,3,78,138,1,3,08,1,61,10,03,06,09,033,11,2,2,1,30,1,2,1,381,04,11,17,3,3,,6,,1,124,84,,1,,0,3
53WN00756,53,2,7135,3,70,740,6318,3,17,,1,3,78,138,1,3,06,1,85,09,03,05,06,037,9,2,2,1,20,2,3,2,536,04, 5,17,1,1,,2,,1,143,110,,1,,0,3
