UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM
99WN00027, 99046028,99,A6028,04,1,81,30,02,8,2,1,2.0,2,2,1,93,221,128,3,6.0,63,82,0.594,77,1,1,,,0,M,,,"RAT,SCOURS",A3079,04,A4111,04,81,3,93,250,3,2,97,2.24,128.7,3,92,0,,0,0,0,,,
99WN00028, 99046030,99,A6030,04,3,88,30,e.9,5,1,1,1.0,1,1,1,93,221,128,6,11.2,73,95,0.655,90,1,1,,,0,C,,,,A4314,04,A5605,04,82,3,93,270,1,1,107,2.12,132.9,3,107,0,,0,0,0,,,
99WN00029, 99046031,99,A6031,04,2,88,30,e.9,5,1,1,1.0,1,1,1,93,221,128,10,8.8,64,86,0.603,81,1,1,,,0,M,, 16,4TEATS,A4314,04,A5345,04,81,2,92,266,1,1,103,2.12,131.1,2,93,99,,0,0,0,,,
99WN00030, 99046032,99,A6032,04,2,88,30,e.8,5,1,1,1.0,1,1,1,94,221,127,7,9.8,64,89,0.624,85,1,1,,,0,M,, 14,ENTR,A4328,04,A5327,04,81,2,92,266,1,1,106,2.12,131.9,2,99,105,,0,0,0,,,
99WN00031, 99046034,99,A6034,04,2,88,30,e.8,8,2,1,1.0,1,1,1,94,221,127,13,7.3,56,77,0.549,73,1,1,,,0,M,,  8,,A4328,04,A5683,04,81,2,92,266,3,2,99,2.22,129.5,2,88,96,,0,0,0,,,
99WN00032, 99046035,99,A6035,04,3,88,30,e.9,8,2,1,1.0,1,1,B,94,229,135,3,10.2,0,100,0.665,90,1,1,,,0,M,,,,A4314,04,A5392,04,81,3,93,270,3,2,110,2.22,139.3,3,111,0,,0,0,0,,,
99WN00033, 99046036,99,A6036,04,2,88,30,e.9,8,2,1,1.0,1,1,1,94,221,127,18,8.6,65,81,0.57,77,1,1,,,0,M,,  8,4TEATS,A4314,04,A5392,04,81,2,92,266,3,2,105,2.22,139.3,2,94,97,,0,0,0,,,
99WN00034, 99046038,99,A6038,04,3,88,30,e.9,8,2,1,1.0,1,1,1,94,221,127,2,8.8,69,93,0.663,88,1,1,,,0,M,,,T,A4314,04,A5473,04,81,T,99,365,3,2,106,2.22,132.5,T,,0,,0,0,0,,,
99WN00035, 99046039,99,A6039,04,2,88,30,e.8,5,1,1,1.0,1,1,1,94,221,127,20,10.2,62,81,0.557,77,1,1,,,0,C,,,X,A4328,04,A5429,04,82,3,93,270,1,1,101,2.12,130.3,3,99,0,,0,0,0,,,
99WN00036, 99046040,99,A6040,04,3,88,30,e.8,5,1,1,1.0,1,1,1,95,221,126,3,10.0,63,93,0.659,89,1,1,,,0,C,,,BLK.@NECK,A4328,04,A5340,04,82,7,97,251,1,1,107,2.12,132.7,7,,0,,0,0,0,,,
99WN00037, 99046041,99,A6041,04,2,88,30,e.9,5,1,1,1.0,1,1,1,95,221,126,22,8.0,58,74,0.524,71,1,1,,,0,C,, 18,,A4314,04,A5419,04,82,2,92,266,1,1,97,2.12,129.1,2,87,90,,0,0,0,,,
99WN00038, 99046043,99,A6043,04,3,88,30,e.9,5,1,1,1.0,1,1,2,96,223,127,6,10.5,63,93,0.65,88,1,1,,,0,M,,,"WEAK,CHEWEAR",A4314,04,A5115,04,81,3,93,270,1,1,106,2.12,132.5,3,101,0,,0,0,0,,,
99WN00039, 99046044,99,A6044,04,2,88,30,e.9,8,2,2,1.0,1,1,2,96,223,127,22,9.2,52,66,0.447,63,1,1,,,7,.,GXE, 12,,A4314,04,A5450,04,73,2,92,266,5,4,100,2.22,142.9,2,80,86,,0,0,0,,,
99WN00040, 99046045,99,A6045,04,3,88,30,e.9,8,2,2,1.0,1,1,2,96,223,127,11,7.1,60,81,0.582,77,1,1,,,7,.,GXE,,,A4314,04,A5450,04,73,3,93,270,5,6,106,2.22,142.9,3,90,0,,0,0,0,,,
99WN00041, 99046046,99,A6046,04,2,88,30,e.9,5,1,1,1.0,1,1,2,96,223,127,15,10.3,64,82,0.565,78,1,1,,,0,C,, 16,,A4314,04,A5078,04,82,2,92,266,1,1,102,2.12,130.5,2,90,94,,0,0,0,,,
99WN00042, 99046047,99,A6047,04,2,82,30,30,8,2,1,5.0,5,4,2,96,223,127,2,8.0,64,91,0.654,86,1,1,,,0,C,,  6,,A4206,04,A1026,04,82,2,92,266,3,2,101,1.97,120.3,2,100,102,,0,0,0,,,
99WN00043, 99046049,99,A6049,04,3,88,30,e.9,5,1,1,1.0,1,1,2,96,223,127,18,10.9,69,86,0.591,82,1,1,,,0,C,,,,A4314,04,A5070,04,82,3,93,270,1,1,103,2.12,131.3,3,84,0,,0,0,0,,,
99WN00044, 99046050,99,A6050,04,3,88,30,e.9,8,2,2,1.0,1,1,2,96,223,127,13,8.3,45,70,0.486,67,1,1,,,0,C,,,,A4314,04,A5566,04,82,3,93,270,5,5,101,2.22,143.9,3,84,0,,0,0,0,,,
99WN00045, 99046051,99,A6051,04,3,88,30,e.9,8,2,2,1.0,1,1,2,96,223,127,21,8.0,55,82,0.583,78,1,1,,,0,C,,,,A4314,04,A5566,04,82,3,93,270,5,5,107,2.22,143.9,3,91,0,,0,0,0,,,
99WN00046, 99046053,99,A6053,04,2,88,30,e.9,8,2,1,1.0,1,1,1,96,221,125,14,7.5,68,89,0.652,86,1,1,,,7,.,GXE,  7,"GOITER,PNEU",A4314,04,A5089,04,82,2,92,266,3,2,107,2.22,132.1,2,99,104,,0,0,0,,,
99WN00047, 99046056,99,A6056,04,2,88,30,e.8,5,1,1,1.0,1,1,2,97,223,126,19,9.6,70,97,0.694,93,1,1,,,0,C,, 14,,A4328,04,A5079,04,82,2,92,266,1,1,111,2.12,133.5,2,106,107,,0,0,0,,,
99WN00048, 99046057,99,A6057,04,2,88,30,e.8,5,1,1,1.0,1,1,2,97,223,126,13,8.5,63,88,0.631,84,1,1,,,7,.,GXE, 15,"GOITER,ENTR",A4328,04,A5248,04,73,2,92,266,1,1,105,2.12,131.7,2,95,97,,0,0,0,,,
99WN00049, 99046059,99,A6059,04,2,88,30,e.9,5,1,1,1.0,1,1,2,98,223,125,1,9.0,57,86,0.616,83,1,1,,,0,C,, 15,COARSE,A4314,04,A5320,04,82,2,92,266,1,1,105,2.12,131.5,2,98,99,,0,0,0,,,
99WN00050, 99046060,99,A6060,04,2,88,30,e.9,8,2,2,1.0,1,1,2,98,223,125,4,8.3,54,75,0.534,72,1,1,,,0,M,,  9,,A4314,04,A5132,04,81,2,92,266,5,4,104,2.22,141.3,2,86,88,,0,0,0,,,
99WN00051, 99046061,99,A6061,04,2,88,30,e.9,8,2,2,1.0,1,1,2,98,223,125,22,6.9,38,62,0.441,60,1,1,,,0,M,,,,A4314,04,A5132,04,81,3,93,270,5,6,98,2.22,141.3,3,67,0,,0,0,0,,,
99WN00052, 99046062,99,A6062,04,2,88,30,e.8,5,1,1,1.0,1,1,2,98,223,125,10,9.1,72,96,0.695,93,1,1,,,0,M,,,PNEU,A4328,04,A5128,04,81,7,97,223,1,1,111,2.12,133.5,7,,0,,0,0,0,,,
99WN00053, 99046063,99,A6063,04,2,88,30,e.8,5,1,1,1.0,1,1,2,99,223,124,8,9.5,68,88,0.633,85,1,1,,,0,M,NR, 17,BRITCHY TB1,A4328,04,A5077,04,81,2,92,266,1,1,106,2.12,131.9,2,97,101,,0,0,0,,,
99WN00054, 99046064,99,A6064,04,2,82,30,31,9,3,2,4.0,4,4,2,99,223,124,15,10.0,63,85,0.605,83,1,1,,,0,C,NR, 17,HAIRY,A4487,04,A2075,04,82,2,92,266,8,3,106,2.19,134.5,2,104,105,,0,0,0,,,
99WN00055, 99046065,99,A6065,04,2,82,30,31,9,3,2,4.0,4,4,2,99,223,124,18,6.8,54,61,0.437,59,1,1,,,0,C,,,X,A4487,04,A2075,04,82,3,93,270,8,7,94,2.19,134.5,3,65,0,,0,0,0,,,
99WN00056, 99046067,99,A6067,04,2,88,30,e.9,5,1,1,1.0,1,1,2,99,223,124,16,9.4,58,76,0.537,74,1,1,,,7,.,NR, 18,BRITCHY,A4314,04,A5594,04,81,2,92,266,1,1,99,2.12,129.7,2,89,94,,0,0,0,,,
99WN00057, 99046068,99,A6068,04,1,82,30,25,8,2,2,2.0,2,2,2,99,223,124,8,8.1,60,88,0.644,85,1,1,,,0,C,,,,A4125,04,A4281,04,82,3,93,250,5,5,115,2.24,159.1,3,94,0,,0,0,0,,,
99WN00058, 99046069,99,A6069,04,1,82,30,25,8,2,2,2.0,2,2,2,99,223,124,16,9.5,67,98,0.714,95,1,1,,,0,C,,,,A4125,04,A4281,04,82,7,97,239,5,5,120,2.24,159.1,7,0,0,,0,0,0,,,
99WN00059, 99046070,99,A6070,04,2,88,30,e.8,5,1,1,1.0,1,1,2,99,223,124,16,8.4,65,88,0.642,85,1,1,,,0,M,, 15,,A4328,04,A5153,04,81,2,92,266,1,1,106,2.12,131.9,2,94,100,,0,0,0,,,
99WN00060, 99046071,99,A6071,04,3,88,30,43-,8,2,2,1.5,1,1,2,99,223,124,17,7.0,55,83,0.613,81,1,1,,,7,.,GXE,,,A4395,04,A4729,04,73,3,93,270,5,5,109,2.22,146.3,3,93,0,,0,0,0,,,
99WN00061, 99046072,99,A6072,04,2,88,30,43-,8,2,2,1.5,1,1,2,99,223,124,14,6.2,54,78,0.579,76,1,1,,,7,.,GXE,e.7,,A4395,04,A4729,04,73,1,,0,5,5,108,2.22,146.3,1,92,0,,0,0,0,,,
99WN00062, 99046073,99,A6073,04,1,88,30,41-,9,3,2,2.5,2,2,1,100,221,121,8,8.2,52,69,0.502,68,1,1,,,7,.,GXE,,,A4441,04,A3809,04,73,3,93,250,8,5,102,2.41,147.3,3,78,0,,0,0,0,,,
99WN00063, 99046075,99,A6075,04,2,88,30,41-,9,3,2,2.5,2,2,1,100,221,121,21,7.1,45,65,0.479,65,1,1,,,7,.,GXE,  3,,A4441,04,A3809,04,73,2,92,266,8,5,103,2.41,147.3,2,81,86,,0,0,0,,,
99WN00064, 99046076,99,A6076,04,3,88,30,e.9,5,1,1,1.0,1,1,1,100,221,121,23,9.7,68,86,0.631,85,1,1,,,0,M,,,,A4314,04,A5335,04,81,3,93,270,1,1,104,2.12,131.9,3,105,0,,0,0,0,,,
99WN00065, 99046077,99,A6077,04,2,82,30,22,8,2,2,2.0,2,2,2,100,223,123,15,8.1,61,77,0.56,75,1,1,,,0,C,,,BRITCHY,A3176,04,A4253,04,82,Z,93,260,5,5,106,2.07,142.4,Z,90,0,,0,0,0,,,
99WN00066, 99046078,99,A6078,04,1,82,30,22,8,2,2,2.0,2,2,2,100,223,123,14,9.2,60,85,0.616,83,1,1,,,0,C,,,BRITCHY,A3176,04,A4253,04,82,3,93,250,5,5,106,2.07,142.4,3,91,0,,0,0,0,,,
99WN00067, 99046079,99,A6079,04,2,88,30,e.8,5,1,1,1.0,1,1,1,100,221,121,21,9.0,63,82,0.603,81,1,1,,,7,.,GXE, 18,,A4328,04,A5731,04,73,2,92,266,1,1,103,2.12,131.1,2,87,91,,0,0,0,,,
99WN00068, 99046080,99,A6080,04,2,88,30,e.8,5,1,1,1.0,1,1,2,100,223,123,3,9.8,61,79,0.563,77,1,1,,,0,M,, 16,,A4328,04,A5243,04,81,2,92,266,1,1,101,2.12,130.3,2,91,98,,0,0,0,,,
99WN00069, 99046083,99,A6083,04,2,81,30,02,5,1,1,4.0,4,4,1,100,221,121,7,13.2,83,105,0.759,104,1,1,,,0,M,,,,A3079,04,A2128,04,81,6,11,225,1,1,122,2.07,144.3,6,,0,,0,0,0,,,
99WN00070, 99046084,99,A6084,04,3,88,30,e.9,5,1,1,1.0,1,1,1,100,221,121,13,10.0,53,68,0.479,68,1,1,,,0,C,,,,A4314,04,A5085,04,82,3,93,270,1,1,94,2.12,128.5,3,83,0,,0,0,0,,,
99WN00071, 99046086,99,A6086,04,2,88,30,e.9,8,2,1,1.0,1,1,1,100,221,121,9,9.1,69,91,0.677,90,1,1,,,0,M,,  7,,A4314,04,A5498,04,81,2,92,266,3,2,105,2.22,123.9,2,100,105,,0,0,0,,,
99WN00072, 99046087,99,A6087,04,2,81,30,03,8,2,2,4.0,4,4,1,100,221,121,21,11.0,61,70,0.488,70,1,1,,,0,M,NR, 18,BRITCHY,A4591,04,A2546,04,81,2,92,266,5,5,100,1.94,134.9,2,89,94,,0,0,0,,,
99WN00073, 99046088,99,A6088,04,2,81,30,03,8,2,2,4.0,4,4,1,100,221,121,22,10.7,59,75,0.531,74,1,1,,,0,M,NR, 20,BRITCHY,A4591,04,A2546,04,81,2,92,266,5,5,102,1.94,134.9,2,74,81,,0,0,0,,,
99WN00074, 99046089,99,A6089,04,2,81,30,03,8,2,2,2.0,2,2,1,101,221,120,11,4.7,47,62,0.478,62,1,1,,,0,M,,,BRITCHY,A4591,04,A4128,04,81,3,93,270,5,7,95,2.07,133.0,3,72,0,,0,0,0,,,
99WN00075, 99046090,99,A6090,04,2,81,30,03,8,2,2,2.0,2,2,1,101,221,120,20,7.5,49,69,0.513,69,1,1,,,0,M,, 10,BRN.EARS,A4591,04,A4128,04,81,2,92,266,5,3,98,2.07,133.0,2,85,87,,0,0,0,,,
99WN00076, 99046091,99,A6091,04,2,82,30,31,8,2,2,2.0,2,2,1,101,221,120,19,7.9,57,74,0.551,74,1,1,,,0,C,,e.7,,A4487,04,A4172,04,82,1,,0,5,5,103,2.07,136.9,1,90,0,,0,0,0,,,
99WN00077, 99046092,99,A6092,04,2,82,30,31,8,2,2,2.0,2,2,1,101,221,120,18,8.0,54,66,0.483,66,1,1,,,0,C,SAV,e.8,4TEATS,A4487,04,A4172,04,82,1,,0,5,5,99,2.07,136.9,1,77,83,,0,0,0,,,
99WN00078, 99046093,99,A6093,04,1,82,30,21,8,2,2,3.0,3,3,1,101,221,120,11,10.5,66,83,0.604,83,1,1,,,0,C,,,PNEU,A2854,04,A2884,04,82,3,93,250,5,5,93,1.85,113.3,3,96,0,,0,0,0,,,
99WN00079, 99046094,99,A6094,04,2,82,30,21,8,2,2,3.0,3,3,1,101,221,120,19,10.0,53,67,0.475,67,1,1,,,0,C,, 10,,A2854,04,A2884,04,82,2,92,266,5,5,88,1.85,113.3,2,85,87,,0,0,0,,,
99WN00080, 99046096,99,A6096,04,2,81,30,04,9,3,1,5.0,5,4,2,101,223,122,18,8.8,58,75,0.543,74,1,1,,,0,M,,,,A4528,04,A0825,04,81,Z,93,260,7,2,94,2.3,118.7,Z,88,0,,0,0,0,,,
99WN00081, 99046097,99,A6097,04,2,81,30,04,9,3,2,5.0,5,4,1,101,221,120,4,10.3,60,85,0.623,85,1,1,,,0,M,NR, 17,?POLYPAY,A4528,04,A0825,04,81,2,92,266,8,5,100,2.3,118.7,2,100,99,,0,0,0,,,
99WN00082, 99046098,99,A6098,04,2,88,30,e.8,5,1,1,1.0,1,1,1,101,221,120,17,8.3,61,84,0.631,84,1,1,,,0,M,, 16,,A4328,04,A5703,04,81,2,92,266,1,1,105,2.12,131.7,2,92,94,,0,0,0,,,
99WN00083, 99046099,99,A6099,04,2,00,30,02,8,2,2,4.0,4,4,1,101,221,120,18,9.9,61,79,0.576,79,1,1,,,1,.,BLK,,BLK dam,A3079,04,A2506,04,00,Z,93,260,5,6,0,2.0,138.8,Z,91,0,,0,0,0,,,
99WN00084, 99046100,99,A6100,04,3,00,30,02,8,2,2,4.0,4,4,1,101,221,120,18,12.8,71,90,0.643,90,1,1,,,1,.,BLK,,,A3079,04,A2506,04,00,3,93,270,5,4,0,2.0,138.8,3,98,0,,0,0,0,,,
99WN00085, 99046101,99,A6101,04,2,81,30,02,8,2,2,6.0,6,4,1,101,221,120,5,8.7,40,61,0.436,61,1,1,,,0,M,,,HAIRY,A3079,04,L9990,03,81,3,93,270,5,5,97,2.0,138.7,3,69,0,,0,0,0,,,
99WN00086, 99046102,99,A6102,04,1,81,30,02,8,2,2,6.0,6,4,1,101,221,120,20,9.1,53,75,0.549,75,1,1,,,0,M,,,,A3079,04,L9990,03,81,1,,0,5,5,101,2.0,138.7,1,89,0,,0,0,0,,,
99WN00087, 99046103,99,A6103,04,1,81,30,01,8,2,2,6.0,6,4,1,101,221,120,8,8.0,63,90,0.683,90,1,1,,,0,M,,,PINK,A4254,04,L9685,03,81,1,,0,5,7,112,2.5,148.1,1,109,0,,0,0,0,,,
99WN00088, 99046104,99,A6104,04,1,81,30,01,8,2,2,6.0,6,4,1,101,221,120,6,11.0,65,94,0.692,94,1,1,,,0,M,,,,A4254,04,L9685,03,81,1,,0,5,3,114,2.5,148.1,1,106,0,,0,0,0,,,
99WN00089, 99046105,99,A6105,04,2,81,30,02,8,2,2,3.0,3,3,1,101,221,120,20,11.1,66,88,0.641,88,1,1,,,0,M,,,ENTR,A3079,04,A3297,04,81,Z,93,260,5,5,114,2.28,146.6,Z,97,0,,0,0,0,,,
99WN00090, 99046106,99,A6106,04,1,81,30,02,8,2,2,3.0,3,3,1,101,221,120,20,12.1,61,82,0.583,82,1,1,6,,0,M,,,H6 X,A3079,04,A3297,04,81,3,93,250,5,5,108,2.28,146.6,3,89,0,,0,0,0,,,
99WN00091, 99046107,99,A6107,04,1,81,30,03,9,3,2,3.0,3,3,1,102,221,119,12,10.8,60,87,0.64,88,1,1,,,0,M,,,,A4591,04,A2879,04,81,1,,0,8,5,110,2.28,144.2,1,102,0,,0,0,0,,,
99WN00092, 99046108,99,A6108,04,2,81,30,03,9,3,2,3.0,3,3,1,102,221,119,16,10.4,66,89,0.661,90,1,1,,,0,M,,e.7,,A4591,04,A2879,04,81,1,,0,8,5,114,2.28,144.2,1,101,0,,0,0,0,,,
99WN00093, 99046109,99,A6109,04,1,81,30,03,9,3,1,3.0,3,3,1,102,221,119,1,8.1,54,78,0.587,79,1,1,,,0,M,,,,A4591,04,A2879,04,81,3,93,250,7,2,105,2.28,144.2,3,84,0,,0,0,0,,,
99WN00094, 99046110,99,A6110,04,1,88,30,42-,9,3,2,4.0,4,4,1,102,221,119,5,8.9,59,81,0.606,82,1,1,,,7,.,GXE,,,A3724,04,A2351,04,73,3,93,250,8,5,84,1.69,97.0,3,94,0,,0,0,0,,,
99WN00095, 99046111,99,A6111,04,1,88,30,42-,9,3,2,4.0,4,4,1,102,221,119,10,9.2,60,82,0.612,83,1,1,,,7,.,GXE,,PINK,A3724,04,A2351,04,73,3,93,250,8,5,85,1.69,97.0,3,98,0,,0,0,0,,,
99WN00096, 99046112,99,A6112,04,1,88,30,44-,8,2,2,2.5,2,2,1,102,221,119,23,9.7,66,83,0.616,84,1,1,,,7,.,GXE,,,A3678,04,A3782,04,73,1,,0,5,5,113,2.24,155.4,1,97,0,,0,0,0,,,
99WN00097, 99046113,99,A6113,04,1,88,30,44-,8,2,2,2.5,2,2,1,102,221,119,4,9.9,61,78,0.572,79,1,1,,,7,.,GXE,,,A3678,04,A3782,04,73,1,,0,5,5,111,2.24,155.4,1,94,0,,0,0,0,,,
99WN00098, 99046114,99,A6114,04,1,81,30,03,8,2,2,5.0,5,4,1,102,221,119,13,12.9,69,89,0.639,90,1,1,,,0,M,,,,A4591,04,A1101,04,81,1,,0,5,4,112,2.19,146.8,1,99,0,,0,0,0,,,
99WN00099, 99046115,99,A6115,04,1,81,30,03,8,2,2,5.0,5,4,1,102,221,119,17,10.9,62,80,0.581,81,1,1,,,0,M,,,,A4591,04,A1101,04,81,1,,0,5,6,107,2.19,146.8,1,93,0,,0,0,0,,,
99WN00100, 99046116,99,A6116,04,1,88,30,41-,8,2,2,2.5,2,2,1,102,221,119,1,9.8,63,84,0.624,85,1,1,,,7,.,GXE,,X,A4441,04,A3721,04,73,3,93,250,5,5,99,1.9,124.2,3,91,0,,0,0,0,,,
