UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,C4951,TBRE,CTBR,CADAM_25,SIRE,SB1,C59,ADG,ADG6061,LBRD,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,C80
56WN00021,56,2,1911,0,69,328,1645,0,10,,5,5,71,131,1,1,10,1,75,09,04,09,08,036,11,1,2,2,,5,2,4,4164,1,,489,48,10,68,4,9,1,147,110,,2,17,0,
56WN00022,56,1,1912,0,69,328,1645,0,10,,5,5,71,131,1,4,10,1,73,10,03,10,11,035,11,2,2,1,,5,2,4,4164,1,,475,47,10,68,4,5,1,149,108,,3,49,0,
56WN00023,56,2,1913,0,69,499,1691,0,10,,1,4,71,131,1,3,08,1,88,12,05,07,08,039,15,2,2,1,,1,1,4,2103,2,,591,59,10,68,4,1,1,134,106,,,,0,
56WN00024,56,2,1914,0,69,408,1694,0,10,,1,4,71,131,1,3,08,1,91,10,03,06,05,042,15,2,2,1,,1,1,4,0935,2,,597,59,10,68,4,7,1,148,128,,,,0,
56WN00025,56,2,1915,0,69,469,1699,0,10,,4,4,71,131,1,3,09,3,75,09,04,08,07,033,12,2,2,1,,3,3,4,1700,2,,505,50,10,68,4,5,1,137,88,,,,0,
56WN00026,56,1,1916,0,69,469,1699,0,10,,3,4,71,131,1,7,11,1,91,13,05,07,08,037,15,2,2,1,,3,3,4,1700,2,,614,61,10,68,4,4,1,132,106,,3,17,0,
56WN00027,56,2,1917,0,69,328,1683,0,10,,5,4,71,131,9,1,06,1,66,10,03,09,11,037,11,2,2,1,,5,2,4,4164,1,,418,41,10,68,4,8,1,145,112,,3,40,0,
56WN00028,56,2,1918,0,69,328,1683,0,10,,5,4,71,131,1,1,11,1,61,09,03,10,12,034,15,2,2,1,,5,2,4,4164,1,,391,39,10,68,4,1,1,146,98,,2,49,0,
56WN00029,56,2,1919,0,69,469,1672,0,10,,5,4,70,130,1,3,10,1,70,09,03,08,08,027,15,2,2,1,,5,2,4,1700,2,,446,44,10,68,4,6,1,140,120,,,,0,
56WN00030,56,1,1920,0,69,469,1672,0,10,,5,4,70,130,1,7,10,1,87,13,04,06,07,035,15,2,2,1,,5,2,4,1700,2,,586,58,10,68,4,6,1,133,108,,,,0,
56WN00031,56,2,1921,0,69,348,1760,0,10,,1,2,70,130,1,3,11,1,65,10,03,11,09,030,16,2,2,1,,1,1,2,4079,1,,420,42,10,69,4,0,1,131,104,,6,,0,
56WN00032,56,1,1922,0,69,498,1687,0,10,,1,4,71,131,1,7,11,1,100,11,07,09,08,032,16,2,2,1,,1,1,4,1825,2,,664,66,10,68,4,4,1,137,130,,3,,0,
56WN00033,56,2,1923,0,69,718,1695,0,10,,1,4,70,130,1,1,10,1,81,09,05,07,08,026,16,1,1,1,,1,1,4,7657,3,,538,53,10,68,4,8,1,133,110,,2,70,0,
56WN00034,56,1,1924,0,69,499,1710,0,10,,1,2,69,129,1,7,10,1,85,10,05,09,08,025,16,1,1,1,,1,1,2,2103,2,,578,57,10,69,4,8,1,135,104,,3,17,0,
56WN00035,56,1,1925,0,69,681,1665,0,10,,5,4,69,129,1,5,10,3,66,11,04,11,09,033,14,2,2,1,,5,2,4,1876,2,,431,43,10,68,5,1,1,127,104,,3,17,0,
56WN00036,56,2,1926,0,69,681,1665,0,10,,5,4,69,129,1,1,07,1,60,09,04,09,11,035,14,2,2,1,,5,2,4,1876,2,,381,38,10,68,5,1,1,140,108,,,,0,
56WN00037,56,1,1927,0,69,701,1646,0,10,,1,5,69,129,1,7,09,1,96,11,04,10,08,040,10,2,4,3,,1,1,4,1621,2,,645,64,10,68,5,5,1,150,128,,3,57,0,
56WN00038,56,2,1928,0,69,671,1663,0,10,,5,4,68,128,1,1,10,1,72,09,03,08,08,034,13,2,3,2,,5,2,4,1857,2,,473,47,10,68,5,3,1,147,114,,,,0,
56WN00039,56,1,1929,0,69,671,1663,0,10,,5,4,68,128,1,4,09,1,77,09,03,08,08,032,15,1,2,2,,5,2,4,1857,2,,519,51,10,68,5,9,1,149,106,,,,0,
56WN00040,56,1,1930,0,69,681,1656,0,10,,5,4,68,128,1,7,10,1,68,10,03,10,11,033,12,2,2,1,,5,2,4,1876,2,,447,44,10,68,5,7,1,144,108,,3,17,0,
56WN00041,56,2,1931,0,69,681,1656,0,10,,5,4,68,128,1,5,10,1,80,09,03,08,08,032,15,1,1,1,,5,2,4,1876,2,,541,54,10,68,5,1,1,154,108,,,,0,
56WN00042,56,1,1932,0,69,479,1638,0,10,,1,8,68,128,1,7,08,1,99,10,05,06,07,036,12,2,2,1,,1,1,5,1939,2,,672,67,10,68,4,2,1,149,130,,3,17,0,
56WN00043,56,1,1933,0,69,681,1762,0,10,,1,2,67,127,1,7,11,1,71,10,03,08,08,031,14,2,2,1,,1,1,2,1876,2,,463,46,10,69,5,3,1,134,122,,3,17,0,
56WN00044,56,2,1935,0,69,671,1743,0,10,,1,2,67,127,1,1,06,1,82,09,03,06,06,042,9,2,2,1,,1,1,2,1857,2,,548,54,10,69,5,8,1,154,124,,,,0,
56WN00045,56,2,1937,0,69,329,1670,0,10,,5,4,67,127,1,1,09,1,74,09,03,07,09,039,11,2,2,1,,5,2,4,7491,1,,494,49,10,68,4,4,1,156,112,,7,,0,
56WN00046,56,1,1938,0,69,329,1670,0,10,,5,4,67,127,1,4,10,1,71,09,03,09,10,034,12,2,2,1,,5,2,4,7491,1,,468,46,10,68,4,8,1,150,116,,3,17,0,
56WN00047,56,1,1939,0,69,498,1676,0,10,,1,4,66,126,1,7,12,1,104,12,03,06,07,033,15,2,2,1,,1,1,4,1825,2,,706,70,10,68,4,6,1,150,150,,3,17,0,
56WN00048,56,1,1940,0,69,498,1696,0,10,,5,4,66,126,1,7,10,1,64,13,04,11,10,023,15,1,2,2,,5,2,4,1825,2,,435,43,10,68,4,5,1,112,92,,3,17,0,
56WN00049,56,1,1941,0,69,498,1696,0,10,,5,4,66,126,1,7,12,2,80,11,06,09,10,026,17,1,2,2,,5,2,4,1825,2,,560,56,10,68,4,0,1,133,94,,3,17,0,
56WN00050,56,2,1942,0,69,399,1701,0,10,,1,4,66,126,1,3,11,1,82,09,03,07,07,043,14,2,2,1,,1,1,4,1714,2,,560,56,10,68,4,0,1,152,114,,,,0,
56WN00051,56,2,1944,0,69,671,1654,0,10,,3,4,66,126,1,1,06,1,76,11,04,11,08,040,15,2,2,1,,3,3,4,1857,2,,524,52,10,68,5,4,1,138,100,,3,57,0,
56WN00052,56,1,1945,0,69,398,1778,0,10,,1,2,66,126,1,7,09,1,77,10,04,07,10,032,15,2,2,1,,1,1,2,0396,2,,517,51,10,69,4,7,1,142,118,,3,17,0,
56WN00053,56,2,1947,0,69,468,1776,0,10,,1,2,66,126,1,3,06,1,78,12,07,07,06,035,15,1,2,2,,1,1,2,1994,2,,541,54,10,69,4,1,1,116,98,,2,10,0,
56WN00054,56,2,1949,0,69,409,1781,0,10,,1,2,66,126,1,1,11,1,77,09,04,07,07,030,16,2,2,1,,1,1,2,1596,2,,529,52,10,69,4,9,1,140,104,,,,0,
56WN00055,56,2,1950,0,69,409,1792,0,10,,1,3,68,128,1,3,06,1,68,10,04,09,09,033,15,1,2,2,,1,1,3,1596,2,,442,44,10,68,4,2,5,130,114,,2,10,0,
56WN00056,56,2,1951,0,69,409,1668,0,10,,1,4,66,126,1,3,07,1,81,09,03,08,10,036,17,2,2,1,,1,1,4,1596,2,,556,55,10,68,4,6,1,154,110,,,,0,
56WN00057,56,2,1952,0,69,601,1692,0,10,,1,4,66,126,1,3,09,1,86,10,04,07,05,042,14,1,2,2,,1,1,4,4150,1,,583,58,10,68,5,3,1,142,126,,,,0,
56WN00058,56,2,1953,0,69,348,1679,0,10,,1,4,65,125,1,3,09,1,76,10,03,07,07,039,14,2,2,1,,1,1,4,4079,1,,514,51,10,68,4,4,1,139,118,,,,0,
56WN00059,56,1,1954,0,69,409,1658,0,10,,1,4,65,125,1,7,10,1,101,10,03,06,07,040,14,2,2,1,,1,1,4,1596,2,,691,69,10,68,4,1,1,162,146,,3,17,0,
56WN00060,56,1,1956,0,69,499,1705,0,10,,3,4,65,125,1,7,10,1,82,13,04,08,08,035,11,2,2,1,,3,3,4,2103,2,,573,57,10,68,4,3,1,128,104,,3,17,0,
56WN00061,56,2,1957,0,69,408,1756,0,10,,1,2,64,124,1,3,09,1,86,08,04,06,05,034,13,2,2,1,,1,1,2,0935,2,,598,59,10,69,4,8,1,152,118,,6,,0,
56WN00062,56,1,1958,0,69,468,1666,0,10,,1,4,64,124,1,7,09,1,90,08,08,05,08,040,11,2,2,1,,1,1,4,1994,2,,627,62,10,68,4,7,1,146,122,,3,17,0,
56WN00063,56,1,1959,0,69,701,1682,0,10,,5,4,64,124,1,7,09,1,71,12,05,08,08,028,15,1,2,2,,5,2,4,1621,2,,497,49,10,68,5,7,1,119,94,,3,17,0,
56WN00064,56,2,1960,0,69,701,1682,0,10,,5,4,64,124,1,2,10,1,65,09,03,08,08,035,14,2,2,1,,5,2,4,1621,2,,448,44,10,68,5,8,1,143,94,,,,0,
56WN00065,56,1,1961,0,69,691,1632,0,10,,1,9,66,126,1,4,11,2,77,10,04,08,09,037,10,1,2,2,,1,1,5,1854,2,,516,51,10,68,5,6,5,140,120,,6,,0,
56WN00066,56,2,1962,0,69,591,1697,0,10,,1,4,66,126,1,3,06,1,89,10,03,06,05,041,16,2,2,1,,1,1,4,3868,1,,611,61,10,68,5,1,5,150,120,,,,0,
56WN00067,56,2,1963,0,69,349,1661,0,10,,5,4,65,125,1,3,08,1,58,09,04,09,10,034,17,1,2,2,,5,2,4,4218,1,,386,38,10,68,4,6,5,139,98,,2,50,0,
56WN00068,56,2,1964,0,69,349,1661,0,10,,5,4,65,125,1,3,08,1,44,10,03,12,12,028,18,2,2,1,,5,2,4,4218,1,,269,26,10,68,4,9,5,125,104,,3,50,0,
56WN00069,56,2,1965,0,69,691,1702,0,10,,1,4,65,125,1,1,07,1,86,11,06,07,06,041,14,2,2,1,,1,1,4,1854,2,,576,57,10,68,5,6,5,134,140,,2,17,0,
56WN00070,56,2,1966,0,69,728,1685,0,10,,5,4,65,125,1,1,09,1,65,10,04,08,08,041,10,2,2,1,,5,2,4,7166,3,,427,42,10,68,4,7,5,140,116,,,,0,
56WN00071,56,2,1967,0,69,728,1685,0,10,,5,4,65,125,1,1,09,1,74,10,04,08,07,044,12,2,2,1,,5,2,4,7166,3,,498,49,10,68,4,8,5,149,118,,,,0,
56WN00072,56,2,1968,0,69,329,1793,0,10,,5,3,64,124,1,1,07,1,62,09,03,09,09,038,12,1,2,2,,5,2,3,7491,1,,419,41,10,68,4,9,5,147,100,,,,0,
56WN00073,56,1,1969,0,69,329,1793,0,10,,5,3,64,124,1,4,07,1,54,12,04,11,11,028,16,2,3,2,,5,2,3,7491,1,,350,35,10,68,4,0,5,117,106,,3,17,0,
56WN00074,56,2,1970,0,69,348,1655,0,10,,5,4,64,124,1,3,07,1,65,10,03,09,09,036,14,2,2,1,,5,2,4,4079,1,,440,44,10,68,4,0,5,144,104,2,2,02,0,
56WN00075,56,2,1971,0,69,348,1655,0,10,,5,4,64,124,1,3,06,1,72,11,04,09,09,048,14,2,2,1,,5,2,4,4079,1,,489,48,10,68,4,9,5,150,114,,2,59,0,
56WN00076,56,2,1972,0,69,329,1659,0,10,,5,4,64,124,1,1,06,1,66,10,03,09,09,035,13,2,2,1,,5,2,4,7491,1,,440,44,10,68,4,0,5,144,114,,,,0,
56WN00077,56,2,1973,0,69,329,1659,0,10,,5,4,64,124,1,1,09,1,64,10,03,09,09,030,14,1,2,2,,5,2,4,7491,1,,439,43,10,68,4,9,5,138,96,,,,0,
56WN00078,56,2,1974,0,69,479,1690,0,10,,1,4,64,124,1,4,09,1,92,11,04,07,04,041,14,2,2,1,,1,1,4,1939,2,,648,64,10,68,4,8,5,142,116,,,,0,
56WN00079,56,2,1975,0,69,348,1664,0,10,,5,4,63,123,1,3,09,1,61,09,03,11,10,034,12,2,2,1,,5,2,4,4079,1,,416,41,10,68,4,6,5,146,98,,2,51,0,
56WN00080,56,2,1976,0,69,348,1664,0,10,,5,4,63,123,1,3,09,1,77,13,05,10,07,037,14,2,2,1,,5,2,4,4079,1,,535,53,10,68,4,5,5,129,112,,2,10,0,
56WN00081,56,1,1978,0,69,468,1700,0,10,,5,4,63,123,1,7,09,1,81,10,07,08,09,032,15,2,2,1,,5,2,4,1994,2,,579,57,10,68,4,9,5,140,98,,3,17,0,
56WN00082,56,2,1979,0,69,701,1673,0,10,,5,4,63,123,1,1,08,1,60,10,03,09,09,038,9,2,2,1,,5,2,4,1621,2,,407,40,10,68,5,7,5,140,100,,,,0,
56WN00083,56,1,1980,0,69,701,1673,0,10,,3,4,63,123,1,7,07,1,74,12,07,07,08,038,11,2,2,1,,3,3,4,1621,2,,524,52,10,68,5,4,5,119,96,,,,0,
56WN00084,56,1,1981,0,69,398,1644,0,10,,1,5,63,123,1,7,07,1,83,10,08,08,08,042,14,2,2,1,,1,1,4,0396,2,,576,57,10,68,4,6,5,133,122,,3,17,0,
56WN00085,56,1,1982,0,69,408,1643,0,10,,1,6,61,121,1,7,09,1,88,10,08,10,07,030,16,2,3,2,,1,1,4,0935,2,,628,62,10,68,4,8,5,128,120,,3,17,0,
56WN00086,56,2,1983,0,69,478,1688,0,10,,5,4,60,120,1,3,07,1,50,10,03,12,11,042,10,2,3,2,,5,2,4,0603,2,,362,36,10,68,4,2,5,140,66,,3,50,0,
56WN00087,56,1,1984,0,69,478,1688,0,10,,5,4,60,120,2,7,10,1,79,12,04,09,09,041,11,2,2,1,,5,2,4,0603,2,,577,57,10,68,4,7,5,147,98,1,3,17,0,
56WN00088,56,1,1985,0,69,478,1653,0,10,,1,4,59,119,1,7,10,1,99,12,04,07,07,039,14,2,2,1,,1,1,4,0603,2,,731,73,10,68,4,1,5,151,120,,3,17,0,
56WN00089,56,1,1986,0,69,409,1712,0,10,,1,2,59,119,1,7,10,1,96,10,04,07,06,036,14,2,2,1,,1,1,2,1596,2,,706,70,10,69,4,6,5,158,120,,3,17,0,
56WN00090,56,2,1987,0,69,611,1642,0,10,,3,6,59,119,1,3,07,3,44,11,04,12,12,034,13,2,2,1,,3,3,4,4213,1,,286,28,10,68,5,6,5,118,100,,3,10,0,
56WN00091,56,1,1989,0,69,691,1733,0,10,,1,2,58,118,1,5,07,1,77,12,03,09,08,037,14,2,2,1,,1,1,2,1854,2,,563,56,10,69,5,3,5,140,106,,3,17,0,
56WN00092,56,2,1990,0,69,468,1730,0,10,,1,2,58,118,1,3,07,1,69,10,03,08,08,039,16,2,2,1,,1,1,2,1994,2,,502,50,10,69,4,2,5,145,98,,,,0,
56WN00093,56,2,4608,1,63,590,3801,1,11,,5,3,76,136,1,3,07,1,65,10,03,08,10,036,14,2,3,2,,5,2,3,3868,1,,410,41,11,27,6,0,1,139,92,,2,10,0,
56WN00094,56,2,4609,1,63,590,3801,1,11,,5,3,76,136,1,3,08,1,47,09,03,12,12,029,10,2,2,1,,5,2,3,3868,1,,284,28,11,27,6,4,1,127,84,,2,10,0,
56WN00095,56,1,4610,1,20,200,3519,1,11,31,3,5,76,136,1,7,08,1,74,11,04,09,08,034,16,2,2,1,,3,3,4,3302,1,,482,48,11,20,1,2,1,136,84,,,,0,
56WN00096,56,2,4611,1,20,200,3519,1,11,31,4,5,76,136,1,3,09,1,51,11,03,11,11,035,14,2,2,1,,3,3,4,3302,1,,322,32,11,20,1,2,1,126,72,,,,0,
56WN00097,56,1,4612,1,32,320,4028,1,11,29,1,3,76,136,2,1,08,1,80,11,03,09,09,040,12,2,2,1,,1,1,3,4164,1,,510,51,11,32,1,0,1,148,106,,,,0,
56WN00098,56,2,4614,1,34,340,3828,1,11,40,3,3,75,135,1,4,09,1,56,10,03,10,10,030,16,2,2,1,,3,3,3,4079,1,,360,36,11,34,1,0,1,132,74,,2,10,0,
56WN00099,56,2,4615,1,24,240,3622,1,11,23,1,4,75,135,1,1,10,1,74,14,04,06,07,037,16,2,2,1,,1,1,4,4110,1,,471,47,11,24,1,1,1,114,104,,2,10,0,
56WN00100,56,2,4616,1,19,190,4303,1,11,35,1,2,75,135,1,3,08,1,61,09,04,10,08,030,11,2,3,2,,1,1,2,4179,1,,396,39,11,19,1,6,1,133,76,,,,0,
56WN00101,56,2,4617,1,27,270,3877,1,11,37,1,3,75,135,1,3,11,1,64,09,03,09,10,034,14,2,2,1,,1,1,3,3789,1,,400,40,11,27,1,0,1,143,100,,,,0,
56WN00102,56,2,4619,1,32,321,3138,1,11,25,3,6,75,135,1,1,07,1,76,11,04,08,07,037,9,2,2,1,,3,3,4,7491,1,,483,48,11,32,1,3,1,136,108,,,,0,
56WN00103,56,2,4620,1,24,240,4340,1,11,30,1,2,74,134,1,1,10,1,50,10,03,11,10,034,16,2,2,1,,1,1,2,4110,1,,307,30,11,24,1,7,1,128,88,,,,0,
56WN00104,56,2,4621,1,20,200,3562,1,11,31,5,5,74,134,1,3,08,1,59,11,03,09,09,036,15,2,2,1,,5,2,4,3302,1,,369,36,11,20,1,9,1,134,96,,,,0,
56WN00105,56,2,4622,1,20,200,3562,1,11,31,5,5,74,134,1,3,06,3,65,11,04,10,10,033,12,2,3,2,,5,2,4,3302,1,,421,42,11,20,1,1,1,137,86,,,,0,
56WN00106,56,1,4623,1,32,321,4241,1,11,19,1,2,74,134,1,4,10,2,77,11,03,08,07,036,14,1,2,2,,1,1,2,7491,1,,493,49,11,32,1,3,1,140,110,,,,0,
56WN00107,56,1,4624,1,21,210,3183,1,11,26,1,6,74,134,1,7,09,3,73,13,07,08,09,040,13,3,4,2,,1,1,4,4328,1,,463,46,11,21,1,3,1,116,110,,3,10,0,
56WN00108,56,1,4625,1,63,610,3521,1,11,,5,5,74,134,1,7,09,1,67,10,04,10,09,027,16,1,2,2,,5,2,4,4213,1,,422,42,11,27,6,2,1,127,104,,3,17,0,
56WN00109,56,2,4626,1,63,610,3521,1,11,,5,5,74,134,1,3,09,1,63,09,03,09,10,039,13,2,2,1,,5,2,4,4213,1,,410,41,11,27,6,0,1,145,80,,,,0,
56WN00110,56,2,4627,1,32,320,4310,1,11,22,1,2,74,134,1,1,10,1,60,10,04,10,10,040,13,2,2,1,,1,1,2,4164,1,,372,37,11,32,1,2,1,136,102,,2,10,0,
56WN00111,56,2,4628,1,34,341,3475,1,11,48,1,5,74,134,2,3,09,1,70,09,04,08,09,040,14,2,2,1,,1,1,4,4218,1,,443,44,11,34,1,3,1,150,106,,,,0,
56WN00112,56,1,4629,1,27,270,3794,1,11,40,1,3,73,133,1,7,08,1,64,12,03,10,12,031,15,2,2,1,,1,1,3,3789,1,,391,39,11,27,1,1,1,133,120,,,,0,
56WN00113,56,1,4630,1,19,190,2678,1,11,25,3,8,73,133,1,7,11,1,77,15,05,11,11,027,18,2,2,1,,3,3,5,4179,1,,502,50,11,19,1,2,1,118,102,,3,10,0,
56WN00114,56,2,4631,1,19,190,2678,1,11,25,4,8,73,133,1,3,12,1,59,10,03,10,09,023,18,2,2,1,,3,3,5,4179,1,,388,38,11,19,1,8,1,124,74,,2,10,0,
56WN00115,56,1,4632,1,24,240,4279,1,11,33,1,2,73,133,1,3,10,1,51,14,04,12,11,034,12,2,2,1,,1,1,2,4110,1,,320,32,11,24,1,0,1,109,84,,3,10,0,
56WN00116,56,2,4633,1,24,240,3178,1,11,34,1,6,73,133,1,1,09,1,69,12,04,08,09,040,14,2,2,1,,1,1,4,4110,1,,438,43,11,24,1,8,1,130,108,,,,0,
56WN00117,56,2,4634,1,21,210,4299,1,11,37,1,2,73,133,1,3,09,1,62,12,04,10,09,032,12,2,2,1,,1,1,2,4328,1,,403,40,11,21,1,3,1,124,84,,,,0,
56WN00118,56,2,4635,1,32,320,2775,1,11,16,3,7,73,133,1,1,10,2,77,09,03,07,09,043,11,2,2,1,,3,3,5,4164,1,,511,51,11,32,1,1,1,158,90,,,,0,
56WN00119,56,2,4637,1,19,190,3806,1,11,34,3,3,86,146,1,3,12,1,62,11,03,10,12,041,10,2,2,1,,3,3,3,4179,1,,367,36,11,19,1,7,7,141,84,,,,0,-
56WN00120,56,1,4640,1,32,320,2859,1,11,16,1,7,73,133,1,5,08,1,96,13,09,10,09,038,14,2,2,1,,1,1,5,4164,1,,608,60,11,32,1,8,1,128,152,,3,10,0,
56WN00121,56,2,4641,1,24,240,3577,1,11,25,3,5,72,132,1,1,06,1,76,11,04,07,07,040,13,2,2,1,,3,3,4,4110,1,,515,51,11,24,1,5,1,139,80,,,,0,
56WN00122,56,2,4643,1,27,270,3315,1,11,30,1,5,72,132,1,3,07,3,70,10,03,09,10,040,13,2,2,1,,1,1,4,3789,1,,459,45,11,27,1,9,1,147,94,,,,0,
56WN00123,56,2,4644,1,19,190,4198,1,11,39,1,2,72,132,1,3,10,1,63,10,04,08,09,031,13,2,2,1,,1,1,2,4179,1,,405,40,11,19,1,5,1,135,96,,,,0,
56WN00124,56,1,4645,1,20,200,2677,1,11,20,1,8,72,132,1,7,11,1,87,11,04,07,08,043,15,2,2,1,,1,1,5,3302,1,,570,57,11,20,1,0,1,149,118,,,,0,
56WN00125,56,2,4646,1,20,200,3458,1,11,32,1,5,72,132,1,3,09,2,74,11,04,08,08,040,15,2,2,1,,1,1,4,3302,1,,477,47,11,20,1,7,1,137,110,,,,0,
56WN00126,56,2,4647,1,24,240,3420,1,11,22,1,5,72,132,1,1,10,1,84,13,05,07,06,039,16,2,2,1,,1,1,4,4110,1,,544,54,11,24,1,4,1,125,122,,2,10,0,
56WN00127,56,1,4648,1,20,200,3686,1,11,28,1,4,72,132,1,7,08,1,67,12,04,10,09,033,16,2,2,1,,1,1,4,3302,1,,429,42,11,20,1,9,1,123,104,,6,,0,
56WN00128,56,1,4649,1,32,321,3965,1,11,19,1,3,72,132,1,4,11,1,82,12,03,07,08,038,13,2,2,1,,1,1,3,7491,1,,536,53,11,32,1,6,1,139,112,,,,0,
56WN00129,56,1,4650,1,21,210,3495,1,11,26,1,5,72,132,1,7,10,1,91,13,04,06,07,042,10,2,3,2,,1,1,4,4328,1,,598,59,11,21,1,8,1,141,120,,,,0,
56WN00130,56,2,4651,1,21,210,4255,1,11,39,1,2,72,132,1,4,08,1,63,13,05,09,06,044,11,2,2,1,,1,1,2,4328,1,,409,40,11,21,1,9,1,117,90,,2,10,0,
56WN00131,56,1,4653,1,63,560,3448,1,11,,3,5,72,132,1,7,09,1,76,13,04,08,09,032,15,2,2,1,,3,3,4,4318,1,,494,49,11,20,6,4,1,120,108,,3,17,0,
56WN00132,56,1,4654,1,32,321,3337,1,11,12,5,5,72,132,1,5,09,1,87,09,03,08,09,033,14,2,2,1,,5,2,4,7491,1,,580,58,11,32,1,0,1,166,104,,,,0,
56WN00133,56,1,4655,1,32,321,3337,1,11,12,5,5,72,132,1,5,06,1,72,11,03,09,10,033,15,2,2,1,,5,2,4,7491,1,,464,46,11,32,1,4,1,144,108,,,,0,
