UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY
04WN00037,104050791,04,H0791,05,1,82,30,25P,9,3,2,6.0,6,4,1,90,216,126,14,8.7,0,78,0.55,75,1,1,,,0,C,.,,,A9911,04,A5405,04,82,3,93,259,8,5,96,2.55,140.4,3,95,,,0.045,
04WN00038,104050792,04,H0792,05,1,82,30,25P,9,3,2,6.0,6,4,1,90,216,126,20,8.2,0,92,0.665,88,1,1,,,0,C,.,,,A9911,04,A5405,04,82,1,,,8,5,102,2.55,140.4,1,98,,,0.045,
04WN00039,104050793,04,H0793,05,2,82,30,25P,9,3,1,6.0,6,4,1,90,216,126,16,8.1,0,84,0.602,80,1,1,,,0,C,.,e10,,A9911,04,A5405,04,82,1,,,7,2,104,2.55,140.4,1,100,103,,0.045,
04WN00040,104050794,04,H0794,05,1,82,30,21P,9,3,2,2.0,2,2,1,90,216,126,20,6.9,0,83,0.604,79,1,1,,,0,C,.,,GOK,A9890,04,A9034,04,84,6,01,238,8,5,89,2.24,119.2,6,0,,,0.075,
04WN00041,104050795,04,H0795,05,1,82,30,21P,9,3,2,2.0,2,2,1,90,216,126,7,8.1,0,96,0.698,92,1,1,,,0,C,.,,,A9890,04,A9034,04,84,3,93,259,8,5,95,2.24,119.2,3,106,,,0.075,
04WN00042,104050797,04,H0797,05,3,82,30,13P,8,2,2,2.0,2,2,1,90,216,126,12,7.5,0,68,0.48,65,1,1,,,0,C,.,,1CRYPTORCHID,A9278,04,A9876,04,83,3,93,275,5,5,0,2.07,128.5,3,87,,,0.043,
04WN00043,104050798,04,H0798,05,3,82,30,13P,8,2,2,2.0,2,2,1,90,216,126,2,8.4,0,80,0.568,77,1,1,,,0,C,.,,,A9278,04,A9876,04,83,3,93,275,5,5,0,2.07,128.5,3,95,,,0.043,
04WN00044,104050799,04,H0799,05,2,83,30,02P,3,4,2,4.0,4,4,1,91,216,125,17,6.5,0,67,0.484,65,1,1,,,0,W,  2,,,A8647,04,A7157,04,82,2,92,267,8,5,103,2.73,155.0,2,84,82,,0.054,
04WN00045,104050800,04,H0800,05,1,83,30,02P,3,4,2,4.0,4,4,1,91,216,125,13,7.1,0,77,0.559,74,1,1,,,0,W,.,,,A8647,04,A7157,04,82,3,93,259,8,5,102,2.73,155.0,3,85,,,0.054,
04WN00046,104050803,04,H0803,05,1,83,30,04P,8,2,2,2.0,2,2,1,91,216,125,16,8.9,0,79,0.561,76,1,1,,,0,W,.,,,A9232,04,A9293,04,84,3,93,259,5,5,96,2.07,138.6,3,92,,,0.045,
04WN00047,104050804,04,H0804,05,1,83,30,04P,8,2,2,2.0,2,2,1,91,216,125,11,8.7,0,90,0.65,87,1,1,3,,0,W,.,,H3,A9232,04,A9293,04,84,3,97,244,5,5,101,2.07,138.6,7,0,,,0.045,
04WN00048,104050805,04,H0805,05,1,82,30,11P,9,3,2,5.0,5,4,1,91,216,125,7,7.7,0,92,0.674,89,1,1,,,0,C,.,,,A9750,04,A6341,04,81,1,,,8,3,105,2.04,145.2,1,102,,,0.063,
04WN00049,104050806,04,H0806,05,2,82,30,11P,9,3,2,5.0,5,4,1,91,216,125,9,5.5,0,79,0.588,76,1,1,,,0,C,.,e12,,A9750,04,A6341,04,81,1,,,8,7,104,2.04,145.2,1,89,88,,0.063,
04WN00050,104050808,04,H0808,05,2,82,30,15P,9,3,2,2.0,2,2,1,91,216,125,16,6.8,0,70,0.506,67,1,1,,,0,C,  1,,,A8766,04,A9359,04,83,2,92,267,8,5,98,2.41,142.8,2,88,85,,0.056,
04WN00051,104050809,04,H0809,05,1,82,30,15P,9,3,2,2.0,2,2,1,91,216,125,19,7.6,0,89,0.651,86,1,1,,,0,C,.,,X,A8766,04,A9359,04,83,3,93,259,8,5,102,2.41,142.8,3,86,,,0.056,
04WN00052,104050811,04,H0811,05,1,82,30,14P,8,2,1,5.0,5,4,1,91,216,125,23,11.5,0,98,0.692,95,1,1,,,0,C,.,,,A9963,04,A6566,04,81,3,93,259,3,2,101,1.93,130.2,3,102,,,0.062,
04WN00053,104050813,04,H0813,05,3,82,30,23P,9,3,1,3.0,3,3,1,91,216,125,1,6.5,0,84,0.62,81,1,1,,,0,C,.,,PNEU.,A9122,04,A8380,04,83,3,93,275,7,2,0,2.6,138.2,3,96,,,0.042,
04WN00054,104050814,04,H0814,05,1,83,30,01P,8,2,2,2.0,2,2,1,91,216,125,5,9.0,0,75,0.528,72,1,1,,,0,W,.,,,A7284,04,A9432,04,82,3,04,254,5,5,95,2.07,141.0,3,92,,,0.08,
04WN00055,104050815,04,H0815,05,1,83,30,01P,8,2,2,2.0,2,2,1,91,216,125,17,10.4,0,94,0.669,91,1,1,,,0,W,.,,"H3, X",A7284,04,A9432,04,82,3,93,259,5,5,104,2.07,141.0,3,101,,,0.08,
04WN00056,104050816,04,H0816,05,1,83,30,04P,8,2,2,2.0,2,2,1,91,216,125,7,9.6,0,102,0.739,98,1,1,,,0,W,.,,,A9232,04,A9091,04,84,1,,,5,4,108,2.07,142.8,1,123,,,0.053,
