UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,CADAM_25,TBRE,CTBR,C53,SIRE,SB1,LBRD1,ADG,LBRD2,LBRD,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,C80
55WN00913,55,2,8091,3,72,850,7525,3,17,,3,2,77,137,1,1,08,1,66,10,03,09,11,039,12,2,3,2,26,2,3,3,,7206,3,1,406,7,17,71,3,,9,136,104,,,,0,2
55WN00914,55,1,8093,3,70,720,5640,3,17,,1,7,68,128,1,7,05,1,87,10,03,07,06,037,14,2,3,2,21,5,1,1,,7231,3,1,588,7,17,70,2,5,1,139,118,,3,10,0,5
55WN00915,55,1,8094,3,72,870,7035,3,17,,1,3,68,128,1,7,07,1,97,12,03,07,07,035,12,2,2,1,19,3,1,1,,7257,3,1,653,7,17,71,3,2,1,141,134,,6,,0,3
55WN00916,55,1,8095,3,72,940,6933,3,17,,1,3,68,128,1,2,05,1,85,13,05,06,05,035,14,2,2,1,17,3,1,1,,7458,3,1,575,7,17,71,3,3,1,111,114,,,,0,3
55WN00917,55,2,8096,3,70,720,7267,3,17,,1,2,68,128,1,1,06,1,89,07,03,08,07,035,11,2,2,1,20,2,1,1,2,7231,3,1,613,7,17,70,2,,1,168,106,,,,0,2
55WN00918,55,1,8097,3,70,710,6755,3,17,,1,4,68,128,1,6,06,1,122,09,05,06,06,034,15,2,3,2,23,4,1,1,,7473,3,1,844,7,17,70,2,4,1,170,140,,,,0,4
55WN00919,55,2,8098,3,72,820,7158,3,17,,1,2,68,128,1,1,06,1,80,09,03,06,04,038,14,2,2,1,23,2,1,1,1,7166,3,1,541,7,17,71,3,,1,143,108,,,,0,2
55WN00920,55,1,8100,3,72,910,7007,3,17,,1,3,68,128,1,4,07,1,87,09,04,10,06,036,14,2,2,1,21,3,1,1,,7356,3,1,575,7,17,71,3,2,1,141,134,,,,0,3
55WN00921,55,1,8101,3,70,720,6967,3,17,,1,3,68,128,1,7,07,1,84,10,03,09,08,039,16,2,2,1,17,3,1,1,,7231,3,1,550,7,17,70,2,1,1,143,136,,,,0,3
55WN00922,55,2,8102,3,65,601,6969,3,17,,1,3,68,128,1,2,05,1,73,10,03,07,05,032,16,2,2,1,21,3,1,1,1,3795,1,1,492,7,17,62,5,,1,125,100,,,,0,
55WN00923,55,2,8103,3,70,710,6320,3,17,,5,5,68,128,1,1,06,1,66,10,04,08,08,034,15,2,3,2,21,4,5,2,,7473,3,1,442,7,17,70,2,,1,130,94,,2,10,0,4
55WN00924,55,2,8104,3,70,710,6320,3,17,,5,5,68,128,1,1,07,1,66,13,03,08,10,033,17,2,3,2,21,4,5,2,,7473,3,1,433,7,17,70,2,,1,123,106,,2,10,0,4
55WN00925,55,2,8105,3,70,730,6283,3,17,,1,5,68,128,1,1,07,1,85,09,03,06,05,042,12,2,3,2,23,4,1,1,1,7019,3,1,552,7,17,70,2,,1,148,144,,,,0,4
55WN00926,55,2,8106,3,70,730,6153,3,17,,1,6,68,128,1,1,07,1,80,09,03,06,05,037,14,2,3,2,25,4,1,1,1,7019,3,1,523,7,17,70,2,,1,140,130,,,,0,4
55WN00927,55,2,8107,3,70,710,6610,3,17,,5,4,68,128,1,1,06,1,77,09,03,07,05,040,12,2,3,2,19,4,5,2,1,7473,3,1,523,7,17,70,2,,1,146,100,,,,0,4
55WN00928,55,2,8108,3,70,710,6610,3,17,,5,4,68,128,1,1,06,1,60,08,03,09,11,034,13,2,2,1,17,4,5,2,1,7473,3,1,398,7,17,70,2,,1,146,90,,,,0,4
55WN00929,55,2,8109,3,72,920,7003,3,17,,5,3,68,128,1,1,07,1,56,10,03,10,12,024,17,2,2,1,25,3,5,2,2,7382,3,1,364,7,17,71,3,,1,128,94,,,,0,3
55WN00930,55,2,8110,3,72,920,7003,3,17,,5,3,68,128,1,1,07,3,54,11,03,10,11,027,16,2,2,1,21,3,5,2,,7382,3,1,350,7,17,71,3,,1,120,92,,7,,0,3
55WN00931,55,2,8112,3,70,710,5934,3,17,,3,6,68,128,1,4,05,1,91,10,03,06,05,045,11,2,3,2,28,4,3,3,1,7473,3,1,603,7,17,70,2,,1,155,138,,,,0,4
55WN00932,55,1,8114,3,72,870,7353,3,17,,3,2,68,128,1,7,09,1,78,09,03,08,06,033,14,2,2,1,21,2,3,3,,7257,3,1,531,7,17,71,3,1,1,141,100,,,,0,2
