UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,C4953,SIRE,SB1,C59,ADG,ADG6061,LBRD,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CADAM_25,TBRE,CTBR,C79,C80
58WN00726,58,2,4574,2,50,500,2671,2,14,38,1,3,62,122,1,3,11,2,68,09,03,10,08,039,14,2,2,1,,1705,2,,472,47,14,50,1,2,5,148,104,,,3,1,1,0,
58WN00727,58,1,4575,2,36,360,0473,2,14,33,1,6,62,122,1,7,11,1,69,09,03,12,10,034,11,2,2,1,,2377,2,,497,49,14,36,1,7,5,145,84,4,,4,1,1,0,
58WN00728,58,1,4576,2,50,500,2566,2,14,33,1,3,62,122,1,7,10,1,79,12,03,10,10,037,12,2,2,1,,1705,2,,566,56,14,50,1,6,5,142,100,,3,3,1,1,0,
58WN00729,58,1,4577,2,00,474,0862,2,14,,3,6,61,121,1,7,06,1,80,11,03,09,09,048,11,2,2,1,,,,,559,55,14,46,0,9,5,145,124,4,3,4,3,3,0,
58WN00730,58,2,4579,2,25,250,3393,2,14,25,1,2,61,121,1,3,07,1,52,11,03,13,11,034,10,2,3,2,,2930,2,,340,34,14,25,1,0,5,127,108,,2,2,1,1,0,
58WN00731,58,1,4580,2,51,510,2166,2,14,16,5,4,61,121,1,7,10,2,47,11,04,14,13,030,9,2,2,1,,2374,2,,329,32,14,51,1,9,5,113,72,,3,4,5,2,0,
58WN00732,58,1,4581,2,51,510,2166,2,14,16,5,4,61,121,1,7,08,2,68,10,03,12,11,033,13,2,4,3,,2374,2,,496,49,14,51,1,6,5,139,80,,3,4,5,2,0,
58WN00733,58,1,4584,2,82,324,2204,2,14,,5,4,60,120,1,5,08,2,68,14,03,10,10,036,12,2,3,2,,4657,1,,497,49,14,51,7,7,5,120,84,,3,4,5,2,0,
58WN00734,58,2,4585,2,82,324,2204,2,14,,5,4,60,120,2,1,08,1,62,12,03,12,10,034,11,2,2,1,,4657,1,,448,44,14,51,7,8,5,127,82,,2,4,5,2,0,
58WN00735,58,2,4586,2,25,250,1032,2,14,17,3,5,60,120,1,4,08,2,79,12,03,09,08,032,16,2,2,1,,2930,2,,578,57,14,25,1,8,5,136,96,,,4,3,3,0,
58WN00736,58,2,4587,2,25,250,1032,2,14,17,4,5,60,120,1,3,08,1,58,09,03,12,10,033,18,2,2,1,,2930,2,,417,41,14,25,1,7,5,136,80,,,4,3,3,0,
58WN00737,58,1,4588,2,35,350,1459,2,14,37,3,5,65,125,1,4,09,1,89,12,05,09,08,041,9,4,5,2,,3327,2,,622,62,14,35,1,2,9,147,112,,,4,3,3,0,
58WN00738,58,1,4589,2,51,511,3346,2,14,30,1,2,65,125,1,7,08,2,54,12,03,13,10,035,12,2,2,1,,2579,2,,379,37,14,51,1,9,9,121,66,,,2,1,1,0,
58WN00739,58,2,4590,2,49,491,2432,2,14,19,1,3,60,120,1,4,10,2,69,09,04,10,08,037,14,2,2,1,,3080,2,,490,49,14,49,1,0,5,139,102,,,3,1,1,0,
58WN00740,58,1,4591,2,25,250,2503,2,14,17,1,3,64,124,1,7,11,1,102,11,03,07,08,046,13,2,2,1,,2930,2,,731,73,14,25,1,1,9,168,114,4,,3,1,1,0,
58WN00741,58,2,4592,2,53,530,0858,2,13,07,3,8,63,123,1,1,09,1,71,10,03,09,09,037,13,2,2,1,,1857,2,,499,49,14,53,1,9,9,142,96,,,5,3,3,0,
58WN00742,58,2,4595,2,40,401,2662,2,14,33,1,3,61,121,1,4,06,2,81,08,03,10,09,032,16,2,2,1,,2435,2,,577,57,14,40,1,7,9,165,112,,,3,1,1,0,
58WN00743,58,2,4596,2,53,530,3063,2,14,12,1,2,60,120,1,1,07,2,66,10,03,10,10,051,8,4,5,2,,1857,2,,467,46,14,53,1,7,9,155,100,,2,2,1,1,0,
58WN00744,58,2,4598,2,39,391,3243,2,14,26,1,2,59,119,1,4,06,2,64,10,04,10,08,029,12,2,2,1,,0396,2,,444,44,14,39,1,4,9,133,112,,,2,1,1,0,
58WN00745,58,1,4600,2,25,250,2597,2,14,17,1,3,57,117,1,7,11,1,81,11,04,10,09,037,14,3,3,1,,2930,2,,586,58,14,25,1,6,9,143,124,,3,3,1,1,0,
58WN00746,58,1,4601,2,45,450,3017,2,14,19,2,2,57,117,1,7,11,1,64,11,03,13,12,033,14,2,2,1,,2926,2,,456,45,14,45,1,6,9,140,106,,3,2,1,1,0,
58WN00747,58,2,4602,2,47,470,3358,2,14,,3,2,56,116,1,2,09,1,60,10,03,12,10,036,11,2,3,2,,2486,2,,466,46,14,47,1,6,9,139,60,,,2,3,3,0,
58WN00748,58,1,9191,3,70,710,7541,3,17,,4,4,82,142,1,5,08,2,103,10,04,08,08,037,10,2,2,1,,7166,3,,672,67,17,70,2,2,1,151,76,,,4,3,3,0,
58WN00749,58,1,9193,3,65,600,6568,3,17,,3,7,82,142,1,7,07,1,103,11,04,08,09,036,16,2,2,1,,4687,1,,659,65,17,62,5,9,1,148,94,,,5,3,3,0,
58WN00750,58,2,9194,3,65,600,6568,3,17,,4,7,82,142,1,3,09,1,81,10,03,09,10,045,11,2,2,1,,4687,1,,506,50,17,62,5,6,1,148,92,,,5,3,3,0,
58WN00751,58,2,9195,3,70,710,8166,3,17,,1,3,82,142,2,1,09,1,85,09,03,09,09,038,13,2,2,1,,7166,3,,525,52,17,70,2,5,1,147,104,,,3,1,1,0,
58WN00752,58,2,9196,3,70,710,8347,3,17,,1,2,81,141,1,1,07,1,61,08,03,10,10,039,12,2,2,1,,7166,3,,374,37,17,70,2,4,1,136,82,,,2,1,1,0,
58WN00753,58,2,9197,3,70,710,8471,3,17,,1,2,81,141,1,1,06,1,76,09,03,08,08,043,16,2,2,1,,7166,3,,461,46,17,70,2,1,1,143,110,,,2,1,1,0,
58WN00754,58,2,9198,3,70,710,8320,3,17,,5,3,81,141,1,1,11,1,59,09,03,11,10,040,14,2,2,1,,7166,3,,360,36,17,70,2,0,1,136,82,,2,3,5,2,0,
58WN00755,58,2,9199,3,70,710,8320,3,17,,5,3,81,141,1,1,05,1,75,09,03,08,09,041,14,3,3,1,,7166,3,,474,47,17,70,2,4,1,149,82,,,3,5,2,0,
58WN00756,58,1,9200,3,70,710,8255,3,17,,3,3,81,141,1,5,08,1,98,10,04,08,08,043,16,2,2,1,,7166,3,,618,61,17,70,2,8,1,151,108,,,3,3,3,0,
58WN00757,58,2,9202,3,70,730,8632,3,17,,2,2,81,141,1,1,06,1,70,09,03,07,08,050,10,2,3,2,,8959,3,,428,42,17,70,2,8,1,142,96,,,2,1,1,0,
58WN00758,58,1,9203,3,70,740,7395,3,17,,1,5,81,141,1,4,06,2,105,09,04,06,08,044,14,2,3,2,,8936,3,,648,64,17,70,2,8,1,161,136,,,4,1,1,0,
