UID,IDLAMB,YR,SEX,ETAG,LBRD,LB1,LINE,BPEN,DAM,TESTE,TBRE,ADAM,ADAM2,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,MENB,LB2,DBRD,SIRE,SBRD,ADG,MELW,TM,BAND,IDX,BRWT,CAUSE,CADAM,CTBR,ABN,TB,TR
79WN00163,79192310,79,1,2310,19,1,13,134,9422,201,3,4,4,62,122,1,2,,2,70,08,03,09,09,034,14,2,3,177,9,18,1188,19,489,739,6,4,139,103,93,4,2,,2,1
79WN00164,79192311,79,2,2311,19,1,13,134,9422,,3,4,4,68,128,1,1,,1,82,07,03,07,06,039,1,1,2,177,9,18,1188,19,563,739,6,2,149,100,,4,2,,2,1
79WN00165,79192312,79,2,2312,19,1,10,101,8227,,5,5,5,68,128,1,1,,1,62,06,03,10,10,032,7,1,2,169,9,18,0567,19,389,1101,2,2,146,122,,4,5,,2,2
79WN00166,79192313,79,1,2313,19,1,10,101,8227,160,5,5,5,68,128,1,1,,1,81,12,11,09,08,035,4,2,3,169,9,18,0567,19,531,1101,2,2,105,130,,4,5,,2,2
79WN00167,79192317,79,1,2317,19,1,11,114,0590,231,3,2,2,68,128,1,1,,1,83,09,03,09,08,037,5,3,4,164,9,19,1181,19,570,816,6,2,143,100,,2,2,,2,1
79WN00168,79192319,79,2,2319,19,1,11,114,9201,,3,4,4,67,127,1,1,,1,86,08,03,07,05,040,15,3,3,148,9,18,1181,19,584,747,6,2,147,118,,4,2,,2,1
79WN00169,79192320,79,2,2320,19,1,12,930,0941,,1,2,2,67,127,1,1,,2,78,07,03,08,07,038,8,3,5,154,9,19,0434,19,535,822,3,2,146,100,92,2,1,,1,1
79WN00170,79192322,79,1,2322,19,1,12,950,7066,184,3,7,7,61,121,1,1,,2,76,08,04,09,08,031,18,2,3,155,9,18,0888,19,546,735,3,4,136,99,,5,2,,2,1
79WN00171,79192323,79,1,2323,19,1,11,111,9786,98,5,3,3,68,128,1,1,,2,44,09,03,11,10,036,11,3,4,178,9,18,1145,19,253,1069,6,3,128,116,,3,5,,2,2
79WN00172,79192324,79,1,2324,19,1,11,111,9786,237,5,3,3,66,126,1,4,,2,92,10,03,10,07,041,6,6,8,178,9,18,1145,19,634,1069,6,1,157,121,,3,5,,2,2
79WN00173,79192325,79,2,2325,19,1,12,850,8339,,1,5,5,67,127,1,1,,1,73,08,03,09,08,035,7,2,3,131,9,18,0992,19,481,643,3,2,135,119,92,4,1,,1,1
79WN00174,79192326,79,2,2326,19,1,12,950,0682,,1,2,2,67,127,1,2,,1,65,08,03,10,08,039,15,3,4,154,9,19,0888,19,424,798,3,2,133,112,,2,1,,1,1
79WN00175,79192327,79,2,2327,19,1,13,131,6460,,5,7,7,67,127,1,1,,1,58,10,03,10,08,037,14,4,5,145,9,18,1226,19,365,849,6,2,120,117,92,5,5,,2,2
79WN00176,79192328,79,1,2328,19,1,13,131,6460,170,5,7,7,67,127,1,1,,2,66,08,03,10,10,032,8,3,5,145,9,18,1226,19,439,849,6,2,142,103,93,5,5,,2,2
79WN00177,79192329,79,1,2329,19,1,10,101,0462,171,1,2,2,67,127,1,2,,1,81,09,03,09,09,035,6,3,5,154,9,19,0567,19,536,812,2,2,137,129,,2,1,,1,1
79WN00178,79192330,79,1,2330,19,1,11,114,0788,227,1,2,2,67,127,1,2,,1,86,10,04,09,08,042,7,4,5,154,9,19,1181,19,584,824,6,2,136,118,,2,1,,1,1
79WN00179,79192331,79,2,2331,19,1,11,112,0021,,5,3,3,67,127,1,1,,2,68,07,03,10,10,030,8,2,4,178,9,19,1172,19,472,926,6,2,149,80,,3,5,,2,2
79WN00180,79192332,79,2,2332,19,1,11,112,0021,,5,3,3,67,127,1,1,,1,55,08,03,11,09,028,14,3,4,178,9,19,1172,19,369,926,6,2,128,81,92,3,5,,2,2
79WN00181,79192333,79,1,2333,19,1,11,111,9208,246,3,4,4,67,127,1,5,,2,82,08,03,09,08,038,2,5,6,163,9,18,1145,19,566,890,6,2,145,101,,4,2,,2,1
79WN00182,79192335,79,1,2335,19,1,10,104,0514,249,5,2,2,67,127,1,2,,4,80,08,03,08,08,041,4,3,5,164,9,19,0421,19,543,926,2,2,159,110,,2,5,,2,2
79WN00183,79192336,79,1,2336,19,1,10,104,0514,138,5,2,2,67,127,1,1,,2,63,07,03,10,08,035,5,4,5,164,9,19,0421,19,417,926,2,2,143,101,93,2,5,,2,2
79WN00184,79192337,79,2,2337,19,1,11,112,7684,,3,6,6,67,127,1,1,,2,74,08,03,10,08,037,3,2,4,144,9,18,1172,19,494,798,6,2,143,113,,4,4,,1,2
79WN00185,79192338,79,2,2338,19,1,11,111,9457,,5,4,4,67,127,1,1,,1,61,13,03,11,09,031,1,3,4,148,9,18,1145,19,406,888,6,2,106,94,92,4,5,,2,2
79WN00186,79192339,79,2,2339,19,1,11,111,9457,,5,4,4,67,127,1,1,,2,84,07,03,08,06,045,2,3,5,148,9,18,1145,19,587,888,6,2,161,94,,4,5,,2,2
79WN00187,79192340,79,1,2340,19,1,11,112,9737,171,5,3,3,67,127,1,2,,2,66,15,03,11,09,033,14,2,3,161,9,18,1172,19,431,769,6,2,110,113,,3,5,,2,2
79WN00188,79192341,79,2,2341,19,1,11,112,9737,,5,3,3,67,127,1,1,,2,68,11,03,11,09,026,2,1,3,161,9,18,1172,19,449,769,6,2,123,110,,3,5,,2,2
79WN00189,79192342,79,1,2342,19,1,11,112,8431,182,7,5,5,67,127,1,2,,2,92,10,03,09,08,039,8,5,7,194,9,18,1172,19,633,1094,6,2,146,116,,4,2,,3,1
79WN00190,79192343,79,2,2343,19,1,11,112,8431,,8,5,5,67,127,1,1,,2,69,07,03,10,09,036,8,2,4,194,9,18,1172,19,474,1094,6,2,149,88,,4,5,,3,2
79WN00191,79192344,79,2,2344,19,1,11,112,8431,,8,5,5,67,127,1,1,,1,65,13,03,10,09,035,12,3,4,194,9,18,1172,19,444,1094,6,2,114,86,92,4,5,,3,2
