UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,TAIL1,TAIL2,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
03WN02146,103819322,03,Z9322,81,2,00,31,-3-,3,4,2,7.0,7,5,2,99,225,126,5,7.5,58,81,0.583,78,1,1,,,2,X,.,e.0,PNEU.,A7198,04,S6749,10,18,1,,,8,5,104,2.35,131.3,1,87,,,0,0,,0.0,,,,,,,,JxR
03WN02147,103819325,03,Z9325,81,2,00,33,-3-,8,2,2,3.0,3,3,2,99,225,126,6,11.8,65,90,0.621,86,1,1,,,7,X,.,,"X,SHAG",A7198,04,00954,00,68,3,93,260,5,5,105,1.71,109.5,3,96,,,19,27,,0.0,,,,,,,,JxC
03WN02148,103819326,03,Z9326,81,3,00,33,-3-,8,2,2,3.0,3,3,2,99,225,126,7,11.5,61,83,0.567,80,1,1,,,7,X,.,,,A7198,04,00954,00,68,3,93,260,5,5,0,1.71,109.5,3,99,,,18,27,,0.0,,,,,,,,W.
03WN02149,103819329,03,Z9329,81,2,00,31,-4-,8,2,2,2.0,2,2,2,99,225,126,16,10.6,51,64,0.424,61,1,1,,,0,X,.,,HAIRY,A7553,04,R2877,11,10,3,93,260,5,5,85,1.86,117.7,3,71,,,19,27,,0.0,,,,,,,,JxR
03WN02150,103819330,03,Z9330,81,3,00,31,-4-,8,2,2,2.0,2,2,2,99,225,126,6,10.5,49,76,0.52,73,1,1,,,0,X,.,,"BLK.DOT,L.SID",A7553,04,R2877,11,10,3,93,260,5,5,0,1.86,117.7,3,81,,,19,27,,0.0,,,,,,,,W.
03WN02151,103819332,03,Z9332,81,2,00,32,-4-,5,1,1,7.0,7,5,2,100,225,125,7,11.6,69,93,0.651,90,1,1,,,2,X,.,nd7,,A7553,04,T5496,44,41,1,,,1,1,110,1.56,116.3,1,97,,,18,29,,0.001,,,,,,,,JxT
03WN02152,103819333,03,Z9333,81,2,00,31,-3-,9,3,1,6.0,6,4,2,100,225,125,1,9.4,61,87,0.621,84,1,1,,,0,X,GET,,MSG d246,A0000,04,S7803,10,11,6,10,237,7,2,101,2.25,101.8,6,0,,,15,28,,0.0,,,,,,,,JxR
03WN02153,103819336,03,Z9336,81,3,00,02,-2-,8,2,2,2.0,2,2,2,100,225,125,4,12.8,66,94,0.65,91,1,1,,,2,X,.,,,T7305,44,T8514,44,41,3,93,260,5,3,0,1.61,93.9,3,103,,,19,29,,0.102,,,,,,,,W.
03WN02154,103819338,03,Z9338,81,2,00,31,-1-,8,2,2,6.0,6,4,2,100,225,125,2,11.3,59,85,0.59,82,1,1,,,0,X,.,e.1,,A7977,04,S8380,10,10,1,,,5,5,102,2.04,111.7,1,92,,,18,29,,0.001,,,,,,,,JxR
03WN02155,103819339,03,Z9339,81,2,00,31,-1-,8,2,2,6.0,6,4,2,100,225,125,2,10.8,58,86,0.602,83,1,1,,,0,X,.,e.2,,A7977,04,S8380,10,10,1,,,5,5,103,2.04,111.7,1,90,,,18,28,,0.001,,,,,,,,JxR
