UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW
95WN02454, 95445057,95,T5057,44,1,42,02,802,8,2,1,6.0,6,4,2,114,221,107,8,11.6,64,93,0.761,103,1,1,,,2,C,CLO,NICE,T4049,44,T0463,44,42,1,,0,3,2,112,1.37,94.5,1,101,,4.717
95WN02455, 95445059,95,T5059,44,3,42,02,832,5,1,1,8.0,8,5,2,114,221,107,13,13.9,58,85,0.664,94,1,1,,,2,C,CLO,BLK FRONTLEG,T4098,44,T8727,43,42,Z,93,258,1,1,126,1.75,118.1,Z,98,,4.122
95WN02456, 95445060,95,T5060,44,2,48,02,e.5,5,1,1,1.0,1,1,2,114,221,107,17,9.1,50,71,0.579,79,1,1,,,2,M, 31,,T4006,44,T4582,44,41,2,92,264,1,1,105,1.41,91.2,2,89,,24.794
95WN02457, 95445062,95,T5062,44,3,41,02,412,5,1,1,4.0,4,4,2,114,221,107,13,14.5,63,90,0.706,99,1,1,,,2,M,CLO,BLK.CROTCH,T3730,44,T1890,44,41,3,93,268,1,1,112,1.28,87.7,3,108,,22.269
95WN02458, 95445063,95,T5063,44,2,42,02,802,5,1,1,3.0,3,3,2,114,221,107,9,13.6,64,86,0.677,95,1,1,,,2,C,CLO,HERNIA X,T4049,44,T2629,44,42,3,93,268,1,1,105,1.27,72.8,3,96,,5.686
95WN02459, 95445064,95,T5064,44,1,41,02,411,8,2,2,6.0,6,4,2,114,221,107,19,12.0,57,82,0.654,91,1,1,,,2,M,CLO,4TEATS,T3957,44,T0741,44,41,1,,0,5,5,111,1.47,104.9,1,97,,16.473
95WN02460, 95445065,95,T5065,44,1,41,02,411,8,2,2,6.0,6,4,2,114,221,107,6,12.8,46,68,0.516,75,1,1,,,2,M,CLO,,T3957,44,T0741,44,41,3,93,240,5,5,101,1.47,104.9,3,75,,16.473
95WN02461, 95445066,95,T5066,44,3,42,02,852,5,1,1,2.0,2,2,2,114,221,107,6,12.3,57,80,0.633,88,1,1,,,2,C,CLO,,T3900,44,T4093,44,42,Z,93,258,1,1,99,1.24,76.8,Z,92,,-0.958
95WN02462, 95445067,95,T5067,44,2,48,02,e.5,5,1,1,1.0,1,1,2,115,221,106,8,9.7,47,67,0.541,75,1,1,,,2,M, 33,,T4006,44,T4220,44,41,2,92,264,1,1,102,1.41,90.4,2,79,,17.935
95WN02463, 95445068,95,T5068,44,1,42,02,902,8,2,1,6.0,6,4,2,115,221,106,16,8.3,49,73,0.61,82,1,1,,,2,C,CLO,,T3946,44,T0404,44,42,3,93,240,3,2,90,1.37,75.2,3,83,,2.899
95WN02464, 95445070,95,T5070,44,3,42,02,892,5,1,1,2.0,2,2,2,115,221,106,2,12.5,48,69,0.533,76,1,1,,,2,C,CLO,,T3884,44,T4042,44,42,3,93,268,1,1,90,1.24,74.0,3,81,,-0.868
95WN02465, 95445071,95,T5071,44,3,48,02,e.5,5,1,1,1.0,1,1,2,115,221,106,1,9.2,38,63,0.508,70,1,1,,,2,M,,,T4006,44,T4409,44,41,3,93,268,1,1,95,1.41,89.4,3,77,,21.484
95WN02466, 95445072,95,T5072,44,1,42,02,852,5,1,1,2.0,2,2,2,115,221,106,17,11.3,60,80,0.648,89,1,1,,,2,C,CLO,,T3900,44,T3858,44,42,1,,0,1,1,95,1.4,77.0,1,88,,2.345
95WN02467, 95445073,95,T5073,44,2,42,02,852,8,2,2,3.0,3,3,2,115,221,106,15,9.7,42,55,0.427,61,1,1,,,2,C, 35,HAIRY ok,T3900,44,T3425,44,42,2,92,264,5,5,83,1.27,74.7,2,69,,1.187
95WN02468, 95445074,95,T5074,44,2,42,02,852,8,2,2,3.0,3,3,2,115,221,106,8,9.2,30,46,0.347,51,1,1,,,2,C,CLO,HAIRY,T3900,44,T3425,44,42,3,93,268,5,5,77,1.27,74.7,3,56,,1.187
95WN02469, 95445075,95,T5075,44,3,48,02,e.6,5,1,1,1.0,1,1,2,115,221,106,15,10.5,61,85,0.703,95,1,1,,,2,M,,,T3941,44,T4236,44,41,Z,93,258,1,1,113,1.41,94.4,Z,98,,23.229
95WN02470, 95445076,95,T5076,44,3,48,02,e.6,5,1,1,1.0,1,1,2,116,221,105,3,10.8,50,73,0.592,82,1,1,,,2,M,,,T3941,44,T4191,44,41,3,93,268,1,1,104,1.41,91.8,3,81,,22.238
95WN02471, 95445077,95,T5077,44,1,42,02,902,5,1,1,4.0,4,4,2,116,221,105,11,14.1,57,88,0.704,99,1,1,,,2,C,CLO,,T3946,44,T1948,44,42,1,,0,1,1,105,1.28,85.8,1,90,,3.275
95WN02472, 95445078,95,T5078,44,2,42,02,912,5,1,1,2.0,2,2,2,116,221,105,16,10.4,44,63,0.501,71,1,1,,,2,C,e.6,4TEATS,T3845,44,T4045,44,42,1,,0,1,1,89,1.24,72.9,1,70,,-2.629
95WN02473, 95445079,95,T5079,44,3,41,02,412,5,1,1,3.0,3,3,2,116,221,105,8,12.4,59,87,0.71,98,1,1,,,2,M,CLO,,T3730,44,T3042,44,41,3,93,268,1,1,104,1.27,75.2,3,102,,19.137
95WN02474, 95445080,95,T5080,44,1,42,02,832,8,2,2,5.0,5,4,2,116,221,105,11,12.0,45,71,0.562,79,1,1,,,2,C,CLO,,T4098,44,T1238,44,42,1,,0,5,5,99,1.34,95.4,1,78,,3.476
95WN02475, 95445081,95,T5081,44,1,42,02,832,8,2,2,5.0,5,4,2,116,221,105,13,11.5,44,68,0.538,76,1,1,,,2,C,CLO,,T4098,44,T1238,44,42,3,93,240,5,5,97,1.34,95.4,3,75,,3.476
