UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,SEQ,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
82WN00030, 82023028,82,02,3028,2,71,30,714,2,2,5,5, 20,2,2,1,86,142,2,85,67,412, 7, 3,11, 8, 45,  0,6,8,2,1,1,144,199,1261,92,,33,1554,02,0444,02,6,58,490,71,2,72,78,029
82WN00031, 82023029,82,02,3029,2,70,30,704,2,2,5,5, 40,4,4,1,86,142,14,87,59,354, 7, 3, 9, 8, 52,  0,6,7,1,1,1,137,199,1179,92,,34,0123,02,7041,01,2,51,423,70,2,68,72,030
82WN00032, 82023030,82,02,3030,1,70,30,704,2,2,5,5, 40,4,4,1,86,142,25,92,64,386, 6, 3,10, 9, 50,227,7,8,2,1,1,150,199,1179,93,,35,0123,02,7041,01,2,56,425,70,3,68,0,
82WN00033, 82023033,82,02,3033,1,70,30,701,3,2,8,5, 60,6,4,1,86,142,1,100,79,486, 9, 3, 9, 8, 47,272,6,8,2,1,1,141,261,1156,93,,36,0326,02,4578,01,2,68,499,70,3,86,0,
82WN00034, 82023034,82,02,3034,2,70,30,701,3,1,7,2, 60,6,4,1,86,142,3,82,62,379, 5, 3,11, 9, 46,  0,6,7,2,1,1,143,261,1156,46,,37,0326,02,4578,01,2,54,410,70,6,0,0,
82WN00035, 82023035,82,02,3035,2,70,30,701,3,2,8,5, 60,6,4,1,86,142,12,95,81,504, 5, 3, 8, 7, 55,  0,5,7,2,1,2,168,261,1156,,,38,0326,02,4578,01,2,70,571,70,1,88,0,
82WN00036, 82023036,82,02,3036,2,70,30,704,2,1,3,2, 20,2,2,1,87,141,17,102,89,559, 6, 3, 7, 6, 58,  0,6,7,1,1,1,175,199,1081,,,39,0123,02,0342,02,2,77,625,70,1,96,0,
82WN00037, 82023037,82,02,3037,1,70,30,704,2,1,4,2, 20,2,2,9,87,134,1,92,93,625, 0, 0, 0, 0,  0,  0,,,,1,,0,199,1081,93,,40,0123,02,0342,02,2,84,583,70,3,0,0,
82WN00038, 82023038,82,02,3038,2,70,30,704,2,2,5,5, 60,6,4,1,87,141,20,87,81,513, 6, 3, 7, 6, 54,  0,5,7,2,1,1,161,191,1181,,,41,0123,02,4716,01,2,70,587,70,1,86,0,
82WN00039, 82023039,82,02,3039,2,70,30,704,2,2,5,5, 60,6,4,1,87,141,18,92,70,431, 6, 3, 9, 7, 62,  0,7,8,1,1,1,158,191,1181,92,,42,0123,02,4716,01,2,61,503,70,2,76,82,027
82WN00040, 82023040,82,02,3040,2,70,30,701,1,1,1,1, 30,3,3,1,87,141,16,114,98,614, 4, 3, 8, 6, 61,  0,6,7,1,1,1,185,169,1095,,,43,0326,02,8542,01,2,85,631,70,1,104,0,
82WN00041, 82023041,82,02,3041,2,70,30,701,2,2,5,5, 30,3,3,1,87,141,10,91,73,453, 5, 3, 8, 8, 70,  0,7,8,1,1,1,175,183,1159,46,,44,0326,02,8412,01,2,63,532,70,6,0,0,
82WN00042, 82023042,82,02,3042,2,70,30,701,2,2,5,5, 30,3,3,1,87,141,9,91,79,496, 5, 3, 8, 6, 59,  0,6,7,1,1,1,168,183,1159,,,45,0326,02,8412,01,2,69,574,70,1,85,0,
82WN00043, 82023043,82,02,3043,2,71,30,711,1,1,1,1, 60,6,4,1,87,141,6,109,101,639, 6, 3, 7, 5, 51,  0,5,7,2,1,1,164,201,909,,,46,1407,02,4557,01,6,88,629,71,1,111,0,
82WN00044, 82023045,82,02,3045,2,71,30,711,2,1,3,2, 20,2,2,1,87,141,14,100,78,482, 8, 3,10, 7, 48,  0,6,7,2,1,1,149,199,1125,,,47,1407,02,0298,02,6,68,544,71,1,84,0,
82WN00045, 82023046,82,02,3046,1,71,30,713,2,2,5,4, 30,3,3,1,87,141,8,99,66,398, 7, 3, 9, 8, 56,237,5,7,1,1,2,148,226,1198,93,,48,1643,02,8529,01,6,58,441,71,3,72,0,
82WN00046, 82023047,82,02,3047,2,71,30,713,2,2,5,6, 30,3,3,1,87,141,10,80,66,411, 5, 3,10, 8, 66,  0,6,7,1,1,1,170,226,1198,46,,49,1643,02,8529,01,6,57,512,71,6,0,0,
82WN00047, 82023048,82,02,3048,2,70,30,704,1,1,1,1, 50,5,4,1,87,141,21,103,99,629, 4, 3, 6, 6, 61,  0,5,7,2,1,1,185,186,1269,,,50,0123,02,5987,01,2,86,635,70,1,105,0,
82WN00048, 82023050,82,02,3050,1,71,30,713,2,1,3,2, 20,2,2,1,87,141,2,82,95,616, 6, 3, 9, 6, 38,280,4,7,1,1,6,163,199,1129,93,,51,1643,02,0316,02,6,82,610,71,3,100,0,
82WN00049, 82023052,82,02,3052,2,70,30,703,2,2,5,5, 50,5,4,1,88,140,3,95,63,382, 5, 3,10, 8, 40,  0,5,7,1,1,1,141,197,1210,92,,52,0371,02,5777,01,2,55,436,70,2,65,69,031
82WN00050, 82023053,82,02,3053,2,70,30,703,2,2,5,5, 50,5,4,1,88,140,19,97,64,388, 6, 3, 9, 6, 46,  0,5,7,2,1,1,139,197,1210,92,,53,0371,02,5777,01,2,56,459,70,2,65,71,031
82WN00051, 82023054,82,02,3054,1,71,30,712,2,2,5,5, 40,4,4,1,88,140,10,109,72,436, 7, 3,10, 8, 45,189,6,7,1,1,1,145,199,1241,93,,54,1430,02,7166,01,6,63,456,71,3,71,0,
82WN00052, 82023055,82,02,3055,1,71,30,712,2,2,5,5, 40,4,4,1,88,140,10,98,89,566, 5, 3, 8, 7, 44,280,5,7,1,1,4,169,199,1241,,,55,1430,02,7166,01,6,78,586,71,1,97,0,
82WN00053, 82023056,82,02,3056,1,70,30,715,3,2,8,5, 80,8,5,1,88,140,20,96,69,424, 5, 3,10, 7, 49,261,5,7,1,1,2,159,211,1235,93,,56,4274,01,3092,01,2,61,477,70,3,74,0,
82WN00054, 82023057,82,02,3057,2,70,30,715,3,2,8,5, 80,8,5,1,88,140,19,85,75,475, 6, 3, 9, 7, 55,  0,7,8,2,1,1,164,211,1235,,,57,4274,01,3092,01,2,66,569,70,1,74,0,
82WN00055, 82023058,82,02,3058,2,70,30,715,3,1,7,2, 80,8,5,1,88,140,19,83,76,484, 6, 3, 9, 6, 54,  0,5,7,1,1,1,158,211,1235,,,58,4274,01,3092,01,2,66,551,70,1,81,0,
82WN00056, 82023059,82,02,3059,2,71,30,712,3,2,8,6, 30,3,3,1,88,140,7,89,76,479, 5, 3,10, 8, 47,  0,4,7,1,1,4,167,240,1384,92,,59,1430,02,8394,01,6,66,575,71,2,82,88,Z
82WN00057, 82023060,82,02,3060,1,71,30,712,3,2,8,4, 30,3,3,1,88,140,2,107,84,524, 9, 3, 9, 9, 53,302,7,8,2,1,7,156,240,1384,93,,60,1430,02,8394,01,6,74,559,71,3,87,0,
82WN00058, 82023061,82,02,3061,2,71,30,712,3,1,7,2, 30,3,3,1,88,140,17,95,78,489, 6, 3, 9, 8, 60,  0,6,8,2,1,5,167,240,1384,92,,61,1430,02,8394,01,6,68,547,71,2,81,87,Z
82WN00059, 82023062,82,02,3062,2,71,30,713,2,1,3,2, 30,3,3,4,88,137,7,62,52,334, 7, 3,10,10, 43,  0,6,8,1,1,1,131,198,1108,92,,62,1643,02,8476,01,6,46,425,71,2,53,53,032
82WN00060, 82023063,82,02,3063,1,71,30,713,2,1,3,2, 30,3,3,5,88,137,13,75,87,580, 6, 3, 8, 6, 45,274,5,7,1,1,4,154,198,1108,93,,63,1643,02,8476,01,6,77,517,71,3,76,0,
82WN00061, 82023064,82,02,3064,1,71,30,711,2,2,5,4, 60,6,4,1,88,140,1,120,91,564, 4, 3, 9, 7, 40,275,6,8,2,1,2,172,191,1251,,,64,1407,02,4898,01,6,80,582,71,1,96,0,
82WN00062, 82023065,82,02,3065,1,71,30,711,2,2,5,6, 60,6,4,1,88,140,2,92,78,491, 4, 3,10, 7, 45,268,6,7,1,1,7,162,191,1251,93,,65,1407,02,4898,01,6,68,509,71,3,83,0,
82WN00063, 82023067,82,02,3067,2,70,30,704,2,1,3,2, 60,6,4,1,88,140,23,105,91,575, 7, 3, 8, 6, 56,  0,5,7,2,1,1,166,161,953,92,,66,0123,02,4768,01,2,80,624,70,2,97,105,022
82WN00064, 82023068,82,02,3068,2,71,30,712,2,2,5,5, 50,5,4,1,88,140,8,118,85,523, 4, 3, 7, 8, 55,  0,6,7,2,1,1,180,208,1385,,,67,1430,02,5969,01,6,75,583,71,1,94,0,
82WN00065, 82023069,82,02,3069,1,71,30,712,2,2,5,5, 50,5,4,1,88,140,6,102,87,549, 5, 3, 9, 7, 55,279,6,8,2,1,1,174,208,1385,,,68,1430,02,5969,01,6,76,565,71,4,92,0,
82WN00066, 82023070,82,02,3070,2,70,30,701,1,1,1,1, 20,2,2,1,88,140,13,110,89,557, 4, 3, 8, 5, 47,  0,5,7,1,1,1,168,182,1090,,,69,0326,02,0384,02,2,78,575,70,1,98,0,
82WN00067, 82023072,82,02,3072,1,70,30,703,2,2,5,5, 20,2,2,1,88,140,24,93,62,376, 6, 3,10, 8, 39,185,5,7,1,1,2,145,199,1178,93,,70,0371,02,0288,02,2,54,432,70,3,72,0,
82WN00068, 82023073,82,02,3073,2,70,30,703,2,2,5,5, 20,2,2,1,88,140,15,84,58,354, 6, 3, 9, 8, 33,  0,5,6,1,1,1,135,199,1178,92,,71,0371,02,0288,02,2,51,443,70,2,68,69,030
82WN00069, 82023074,82,02,3074,2,70,30,701,2,2,5,5, 30,3,3,1,89,139,18,94,65,400, 6, 3,11, 7, 48,  0,6,8,1,1,1,147,198,1149,92,,72,0326,02,8386,01,2,57,485,70,2,80,79,026
82WN00070, 82023075,82,02,3075,2,70,30,701,2,2,5,5, 30,3,3,1,89,139,11,95,62,378, 9, 3,11, 8, 49,  0,5,7,2,1,1,131,198,1149,92,,73,0326,02,8386,01,2,55,455,70,2,68,75,031
82WN00071, 82023076,82,02,3076,1,71,30,714,2,2,5,5, 40,4,4,1,89,139,24,126,95,593, 7, 3, 8, 7, 54,310,4,6,2,1,4,175,236,1421,,,74,1554,02,7131,01,6,84,626,71,4,106,0,
82WN00072, 82023077,82,02,3077,2,71,30,714,2,2,5,5, 40,4,4,1,89,139,16,112,81,502, 6, 3, 9, 8, 56,  0,6,7,2,1,1,169,236,1421,,,75,1554,02,7131,01,6,71,569,71,1,91,0,
82WN00073, 82023078,82,02,3078,2,71,30,713,2,2,5,7, 70,7,5,1,89,139,9,69,68,440, 8, 3, 9, 7, 58,  0,6,7,1,1,1,153,203,1074,92,,76,1643,02,3822,01,6,60,543,71,2,69,72,030
82WN00074, 82023079,82,02,3079,1,71,30,713,2,2,5,3, 70,7,5,1,89,139,6,97,82,520, 9, 3,10, 7, 41,267,7,8,2,1,6,145,203,1074,93,,77,1643,02,3822,01,6,72,565,71,3,86,0,
82WN00075, 82023080,82,02,3080,2,70,30,702,2,2,5,5, 30,3,3,5,89,136,14,96,91,599, 8, 3, 7, 7, 53,  0,5,7,1,1,1,161,198,1354,,,78,0354,02,8551,01,2,81,618,70,1,108,0,
82WN00076, 82023081,82,02,3081,2,70,30,702,2,2,5,5, 30,3,3,5,89,136,14,96,102,679, 7, 3, 6, 5, 53,  0,5,7,5,1,1,171,198,1354,92,,79,0354,02,8551,01,2,91,698,70,2,115,120,Z
82WN00077, 82023082,82,02,3082,1,70,30,715,1,1,1,1, 80,8,5,1,89,139,6,123,112,717, 6, 3, 7, 6, 43,282,4,7,2,1,1,169,211,1271,,,80,4274,01,3245,01,2,98,650,70,1,116,0,
82WN00078, 82023083,82,02,3083,1,71,30,714,2,2,5,5, 30,3,3,1,89,139,12,122,92,574, 8, 3, 8, 7, 56,220,6,7,2,1,2,168,212,1247,,,81,1554,02,8662,01,6,81,610,71,1,104,0,
82WN00079, 82023084,82,02,3084,1,71,30,714,2,2,5,5, 30,3,3,1,89,139,17,106,74,456,11, 3, 9, 7, 44,232,6,7,2,1,4,128,212,1247,93,,82,1554,02,8662,01,6,65,498,71,3,83,0,
82WN00080, 82023085,82,02,3085,1,71,30,712,2,2,5,3, 30,3,3,1,89,139,6,99,76,476, 5, 3, 9, 8, 49,229,5,7,2,1,4,164,183,1074,93,,83,1430,02,8453,01,6,67,514,71,3,82,0,
82WN00081, 82023086,82,02,3086,2,71,30,712,2,2,5,7, 30,3,3,1,89,139,16,72,76,495, 6, 3, 9, 7, 44,  0,6,7,1,1,1,159,183,1074,,,84,1430,02,8453,01,6,67,599,71,1,81,0,
82WN00082, 82023087,82,02,3087,1,71,30,714,2,1,3,2, 60,6,4,1,89,139,22,118,87,541, 4, 3,10, 7, 47,290,6,7,2,1,7,173,211,1245,93,,85,1554,02,4568,01,6,77,531,71,3,92,0,
82WN00083, 82023089,82,02,3089,1,70,30,702,2,2,5,5, 60,6,4,1,89,139,16,85,71,450, 6, 3,10, 8, 42,240,6,7,2,1,7,149,201,1274,93,,86,0354,02,4717,01,2,62,475,70,3,81,0,
82WN00084, 82023090,82,02,3090,2,70,30,702,2,2,5,5, 60,6,4,1,89,139,15,92,72,452, 7, 3,10, 6, 62,  0,5,7,1,1,1,154,201,1274,,,87,0354,02,4717,01,2,63,518,70,1,76,0,
82WN00085, 82023091,82,02,3091,2,71,30,711,2,2,5,4, 50,5,4,1,89,139,9,111,82,510, 6, 3, 7, 6, 53,  0,6,7,1,1,1,154,186,1023,92,,88,1407,02,5906,01,6,72,547,71,2,86,94,024
82WN00086, 82023092,82,02,3092,2,71,30,711,2,2,5,6, 50,5,4,1,89,139,1,84,67,422, 8, 3, 8, 7, 48,  0,7,8,2,1,1,138,186,1023,92,,89,1407,02,5906,01,6,59,494,71,2,75,77,028
82WN00087, 82023093,82,02,3093,1,70,30,704,1,1,1,1, 20,2,2,5,89,136,15,116,114,753, 6, 3, 7, 6, 48,255,4,7,1,1,2,174,182,1213,,,90,0123,02,0106,02,2,102,634,70,1,102,0,
82WN00088, 82023094,82,02,3094,2,70,30,701,1,1,1,1, 20,2,2,1,89,139,17,105,86,543, 6, 3, 7, 6, 53,  0,6,7,2,1,1,163,182,1053,92,,91,0326,02,0362,02,2,76,563,70,2,94,95,022
82WN00089, 82023095,82,02,3095,2,70,30,704,1,1,1,1, 40,4,4,1,89,139,20,114,97,616, 8, 3, 6, 6, 52,  0,4,7,2,1,1,157,199,1206,,,92,0123,02,7253,01,2,85,618,70,1,101,0,
82WN00090, 82023098,82,02,3098,2,71,30,714,2,2,5,5, 40,4,4,1,89,139,14,99,79,497, 6, 3, 8, 6, 55,  0,6,7,2,1,1,160,224,1010,,,93,1554,02,7130,01,6,70,562,71,1,85,0,
82WN00091, 82023099,82,02,3099,2,71,30,714,2,2,5,5, 40,4,4,1,89,139,17,85,77,493, 5, 3, 8, 7, 55,  0,5,6,2,1,1,166,224,1010,,,94,1554,02,7130,01,6,68,561,71,1,86,0,
82WN00092, 82023100,82,02,3100,2,70,30,703,1,1,1,1, 40,4,4,1,89,139,10,107,92,585, 6, 3, 6, 5, 57,  0,6,7,1,1,1,161,199,994,,,95,0371,02,7101,01,2,81,576,70,1,98,0,
82WN00093, 82023101,82,02,3101,1,71,30,712,2,2,5,5, 20,2,2,1,90,138,8,70,69,449, 7, 3,10, 8, 40,265,6,7,2,1,4,146,216,1238,93,,96,1430,02,0042,02,6,61,485,71,3,72,0,
82WN00094, 82023102,82,02,3102,2,71,30,712,2,2,5,5, 20,2,2,1,90,138,17,79,78,508, 5, 3,10, 8, 42,  0,6,7,2,1,7,168,216,1238,93,85,97,1430,02,0042,02,6,69,596,71,3,80,0,
82WN00095, 82023106,82,02,3106,2,70,30,702,2,1,3,2, 20,2,2,1,90,138,4,85,77,496, 6, 3, 8, 6, 47,  0,5,7,2,1,1,154,199,954,92,,99,0354,02,0206,02,2,68,543,70,2,76,76,027
82WN00096, 82023110,82,02,3110,2,70,30,703,2,1,3,2, 20,2,2,1,90,138,9,69,74,486, 4, 3,10, 6, 47,  0,5,7,1,1,1,163,199,1060,,,100,0371,02,0129,02,2,65,538,70,1,82,0,
82WN00097, 82023112,82,02,3112,2,70,30,703,2,2,5,5, 50,5,4,1,90,138,7,94,63,388, 7, 3,10, 8, 42,  0,5,7,2,1,1,135,208,1295,46,,101,0371,02,5573,01,2,56,444,70,6,0,0,
82WN00098, 82023113,82,02,3113,2,70,30,703,2,2,5,5, 50,5,4,1,90,138,11,99,73,457, 5, 3, 9, 7, 49,  0,4,6,1,1,1,158,208,1295,,,102,0371,02,5573,01,2,65,517,70,1,78,0,
82WN00099, 82023114,82,02,3114,1,71,30,715,1,1,1,1, 75,7,5,1,90,138,2,132,106,672, 4, 3, 7, 6, 56,282,6,7,1,1,1,182,211,1088,,,103,4274,01,3444,01,6,94,599,71,1,108,0,
82WN00100, 82023115,82,02,3115,1,70,30,703,2,1,3,2, 30,3,3,1,90,138,5,83,93,614, 6, 3, 7, 8, 43,263,6,7,2,1,4,167,198,1080,,,104,0371,02,8603,01,2,82,600,70,1,96,0,
82WN00101, 82023116,82,02,3116,2,70,30,703,2,1,3,2, 30,3,3,4,90,135,8,79,77,512, 5, 3, 8, 7, 55,  0,6,7,2,1,1,167,198,1080,,,105,0371,02,8603,01,2,69,601,70,1,82,0,
82WN00102, 82023117,82,02,3117,1,71,30,712,2,1,3,2, 40,4,4,1,90,138,24,115,102,656, 6, 3, 8, 6, 39,317,5,7,1,1,2,170,199,1206,,,106,1430,02,7066,01,6,90,647,71,1,111,0,
82WN00103, 82023119,82,02,3119,1,71,30,713,2,2,5,5, 20,2,2,2,90,140,1,78,68,430, 6, 3, 9, 7, 37,191,5,7,1,1,2,139,199,1226,93,,107,1643,02,0184,02,6,59,463,71,3,70,0,
82WN00104, 82023120,82,02,3120,2,71,30,713,2,2,5,5, 20,2,2,2,90,140,2,72,65,413, 4, 3,10, 7, 39,  0,6,7,3,1,1,148,199,1226,92,,108,1643,02,0184,02,6,57,489,71,2,73,72,035
82WN00105, 82023121,82,02,3121,2,70,30,715,2,2,5,5, 70,7,5,1,90,138,24,88,57,349, 5, 3,10, 8, 51,  0,5,7,1,1,1,153,205,1178,92,,109,4274,01,3790,01,2,51,445,70,2,67,70,033
82WN00106, 82023122,82,02,3122,1,70,30,715,2,2,5,5, 70,7,5,1,90,138,14,98,77,487, 6, 5, 9, 7, 40,  0,5,6,1,1,2,148,205,1178,93,46,110,4274,01,3790,01,2,68,531,70,3,86,0,
82WN00107, 82023123,82,02,3123,1,70,30,702,2,2,5,5, 50,5,4,1,90,138,19,101,83,528, 6, 3, 8, 7, 49,237,6,8,1,1,4,164,208,1302,,,111,0354,02,5676,01,2,73,554,70,1,88,0,
82WN00108, 82023124,82,02,3124,2,70,30,702,2,2,5,5, 50,5,4,1,90,138,9,92,84,542, 6, 3, 8, 6, 45,  0,6,7,1,1,1,158,208,1302,,,112,0354,02,5676,01,2,74,600,70,1,96,0,
82WN00109, 82023125,82,02,3125,2,70,30,704,1,1,1,1, 30,3,3,1,90,138,5,121,90,564, 7, 4, 6, 5, 57,  0,6,7,1,1,1,152,183,1172,,,113,0123,02,8796,01,2,80,564,70,1,100,0,
82WN00110, 82023126,82,02,3126,2,71,30,711,2,2,5,5, 50,5,4,2,90,140,15,44,53,347, 6, 3,10, 9, 53,  0,5,7,1,1,1,137,197,1171,93,,114,1407,02,5667,01,6,46,415,71,3,56,0,
82WN00111, 82023127,82,02,3127,1,71,30,711,2,2,5,5, 50,5,4,2,90,140,16,46,66,439, 7, 3,10, 8, 37,245,4,7,2,1,2,131,197,1171,93,,115,1407,02,5667,01,6,57,466,71,3,69,0,
82WN00112, 82023128,82,02,3128,1,70,30,704,2,2,5,5, 30,3,3,1,90,138,5,110,93,594, 6, 3, 8, 7, 51,263,6,7,1,1,2,175,198,1400,,,116,0123,02,8696,01,2,82,621,70,4,97,0,
82WN00113, 82023129,82,02,3129,2,70,30,704,2,2,5,5, 30,3,3,1,90,138,7,100,91,587, 5, 3, 8, 6, 55,  0,6,7,1,1,1,178,198,1400,,,117,0123,02,8696,01,2,80,658,70,1,88,0,
82WN00114, 82023130,82,02,3130,2,71,30,714,2,2,5,7, 20,2,2,2,90,140,16,62,67,434, 6, 3, 9, 6, 52,  0,5,7,2,1,1,154,199,1252,,,118,1554,02,0169,02,6,58,546,71,1,72,0,
