UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
10PE00170,10,05,H5723,00,00712,05,H3857,30,2010055723,2007000712,2008053857
10PE00171,10,05,H5724,00,00712,05,H3857,30,2010055724,2007000712,2008053857
10PE00172,10,05,H5725,00,00420,05,H1839,30,2010055725,2008000420,2005051839
10PE00173,10,05,H5726,00,00420,05,H1839,30,2010055726,2008000420,2005051839
10PE00174,10,05,H5727,05,H4337,05,H5241,30,2010055727,2008054337,2009055241
10PE00175,10,05,H5728,05,H4337,05,H5241,30,2010055728,2008054337,2009055241
10PE00176,10,05,H5729,00,00647,05,H1269,30,2010055729,2007000647,2004051269
10PE00177,10,05,H5730,00,00647,05,H1269,30,2010055730,2007000647,2004051269
10PE00178,10,05,H5731,00,00101,05,H3123,30,2010055731,2008000101,2007053123
10PE00179,10,05,H5732,00,00101,05,H3123,30,2010055732,2008000101,2007053123
10PE00180,10,05,H5733,05,H4386,05,H4208,30,2010055733,2008054386,2008054208
10PE00181,10,05,H5734,05,H4386,05,H4208,30,2010055734,2008054386,2008054208
10PE00182,10,05,H5735,05,H4164,05,H1177,30,2010055735,2008054164,2004051177
10PE00183,10,05,H5736,05,H4164,05,H1177,30,2010055736,2008054164,2004051177
10PE00184,10,05,H5737,00,H9057,05,H0484,30,2010055737,2008009057,2003050484
10PE00185,10,05,H5738,00,H9057,05,H0484,30,2010055738,2008009057,2003050484
10PE00186,10,05,H5739,00,H9057,05,H0484,30,2010055739,2008009057,2003050484
10PE00187,10,05,H5740,05,H3872,04,A9511,30,2010055740,2008053872,2002049511
10PE00188,10,05,H5741,05,H3872,04,A9511,30,2010055741,2008053872,2002049511
10PE00189,10,05,H5742,05,H3872,04,A9511,30,2010055742,2008053872,2002049511
10PE00190,10,05,H5743,00,00172,05,H1425,30,2010055743,2008000172,2005051425
10PE00191,10,05,H5744,00,00172,05,H1425,30,2010055744,2008000172,2005051425
10PE00192,10,05,H5745,00,00101,05,H2097,30,2010055745,2008000101,2005052097
10PE00193,10,05,H5746,00,00101,05,H2097,30,2010055746,2008000101,2005052097
10PE00194,10,05,H5747,00,00647,05,H3676,30,2010055747,2007000647,2007053676
10PE00195,10,05,H5748,00,00706,05,H1855,30,2010055748,2007000706,2005051855
10PE00196,10,05,H5749,00,00706,05,H1855,30,2010055749,2007000706,2005051855
10PE00197,10,05,H5750,00,00420,05,H3454,30,2010055750,2008000420,2007053454
10PE00198,10,05,H5751,00,00420,05,H3454,30,2010055751,2008000420,2007053454
10PE00199,10,05,H5752,00,00706,05,H3175,30,2010055752,2007000706,2007053175
10PE00200,10,05,H5753,00,00706,05,H3175,30,2010055753,2007000706,2007053175
10PE00201,10,05,H5754,00,00647,05,H3174,30,2010055754,2007000647,2007053174
10PE00202,10,05,H5755,00,00647,05,H3174,30,2010055755,2007000647,2007053174
10PE00203,10,05,H5756,05,H4211,05,H5021,30,2010055756,2008054211,2009055021
10PE00204,10,05,H5757,05,H3779,05,H4101,30,2010055757,2008053779,2008054101
10PE00205,10,05,H5758,05,H3779,05,H4101,30,2010055758,2008053779,2008054101
10PE00206,10,05,H5759,00,00172,05,H2355,30,2010055759,2008000172,2006052355
10PE00207,10,05,H5760,05,H4211,05,H5456,30,2010055760,2008054211,2009055456
10PE00208,10,05,H5761,05,H4211,05,H5456,30,2010055761,2008054211,2009055456
10PE00209,10,05,H5762,00,H9057,05,H1608,30,2010055762,2008009057,2005051608
10PE00210,10,05,H5763,00,H9057,05,H1608,30,2010055763,2008009057,2005051608
10PE00211,10,05,H5764,00,H9057,05,H1608,30,2010055764,2008009057,2005051608
10PE00212,10,05,H5765,00,H9057,05,H1608,30,2010055765,2008009057,2005051608
10PE00213,10,05,H5766,00,00647,05,H3343,30,2010055766,2007000647,2007053343
10PE00214,10,05,H5767,00,H9057,05,H2278,30,2010055767,2008009057,2006052278
10PE00215,10,05,H5768,00,H9057,05,H2278,30,2010055768,2008009057,2006052278
10PE00216,10,05,H5769,00,00420,05,H3345,30,2010055769,2008000420,2007053345
10PE00217,10,05,H5770,00,00420,05,H3632,30,2010055770,2008000420,2007053632
10PE00218,10,05,H5771,05,H3545,05,H2758,30,2010055771,2007053545,2006052758
10PE00219,10,05,H5772,05,H3545,05,H2758,30,2010055772,2007053545,2006052758
10PE00220,10,05,H5773,00,H9057,05,H3137,30,2010055773,2008009057,2007053137
10PE00221,10,05,H5774,00,H9057,05,H3137,30,2010055774,2008009057,2007053137
10PE00222,10,05,H5775,00,H9057,05,H3137,30,2010055775,2008009057,2007053137
10PE00223,10,05,H5776,05,H3545,05,H2349,30,2010055776,2007053545,2006052349
10PE00224,10,05,H5777,05,H3545,05,H2349,30,2010055777,2007053545,2006052349
10PE00225,10,05,H5778,05,H3779,05,H3395,30,2010055778,2008053779,2007053395
10PE00226,10,05,H5779,05,H3779,05,H3395,30,2010055779,2008053779,2007053395
10PE00227,10,05,H5780,05,H3872,05,H4322,30,2010055780,2008053872,2008054322
10PE00228,10,05,H5781,05,H3872,05,H4322,30,2010055781,2008053872,2008054322
