UID,ID10,SEX,SHDAY,DAYSH,BGRP,BRD,ETAG,GRFL,GRADE,FLGR1,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
02SH00106,1996445627,2,2002-03-04,63,1,44,T5627,10.0,62,3,,02,6.0,0,,*,0,02
02SH00107,1996639107,2,2002-03-04,63,1,63,K9107,13.4,56,6,,06,6.0,201,2002-05-01,2,0,02
02SH00108,1996106724,2,2002-03-04,63,1,10,S6724,10.4,62,3,,07,6.0,174,2002-05-09,1,0,02
02SH00109,1999110540,2,2002-03-04,63,1,11,R0540,11.2,62,3,,07,3.0,154,2002-04-25,1,0,02
02SH00110,2000641483,2,2002-03-04,63,1,64,K1483,10.8,60,4,,06,2.0,138,2002-04-25,2,0,02
02SH00111,2000111457,2,2002-03-04,63,1,11,R1457,11.6,60,4,,43,2.0,126,2002-04-25,1,79,02
02SH00112,1998109234,2,2002-03-04,63,1,10,S9234,8.2,60,4,,07,4.0,153,2002-04-25,2,0,02
02SH00113,1995106023,2,2002-03-04,63,1,10,S6023,9.0,62,3,,43,7.0,139,2002-04-25,2,0,02
02SH00114,1997639920,2,2002-03-04,63,1,63,K9920,9.8,60,4,,05,5.0,0,,*,0,02
02SH00115,1999110018,2,2002-03-04,63,1,11,R0018,8.4,60,4,,43,3.0,123,2002-05-01,2,0,02
02SH00116,1997107798,2,2002-03-04,63,1,10,S7798,9.4,62,3,,07,5.0,0,,*,0,02
02SH00117,1997108129,2,2002-03-04,63,1,10,S8129,10.2,60,4,,43,5.0,162,2002-04-25,2,0,02
02SH00118,1998109570,2,2002-03-04,63,1,10,S9570,10.4,62,3,,43,4.0,140,2002-05-07,3,0,02
02SH00119,1998640423,2,2002-03-04,63,1,64,K0423,10.4,58,5,,06,4.0,181,2002-04-25,2,0,02
02SH00120,1999447064,2,2002-03-04,63,1,44,T7064,10.2,62,3,,02,3.0,158,2002-04-25,2,0,02
02SH00121,1998446479,2,2002-03-04,63,1,44,T6479,9.0,60,4,,02,4.0,177,2002-04-25,2,0,02
02SH00122,1999110739,2,2002-03-04,63,1,11,R0739,9.4,60,4,,43,3.0,150,2002-04-25,2,0,02
02SH00123,1999110177,2,2002-03-04,63,1,11,R0177,8.2,60,4,,07,3.0,145,2002-05-09,1,0,02
02SH00124,2000001291,2,2002-03-04,63,1,00,01291,8.6,62,3,,07,2.0,115,2002-05-01,1,0,02
02SH00125,1999447186,2,2002-03-04,63,1,44,T7186,8.6,60,4,,02,3.0,176,2002-04-25,2,0,02
02SH00126,1997108565,2,2002-03-04,63,1,10,S8565,10.4,62,3,,42,5.0,173,2002-04-25,2,0,02
02SH00127,2000111865,2,2002-03-04,63,1,11,R1865,8.6,60,4,,43,2.0,125,2002-05-01,2,86,02
02SH00128,1998640102,2,2002-03-04,63,1,64,K0102,10.4,58,5,,06,4.0,179,2002-04-25,1,0,02
02SH00129,2000111099,2,2002-03-04,63,1,11,R1099,8.8,62,3,,43,2.0,132,2002-06-05,5,68,02
02SH00130,1995106269,2,2002-03-04,63,1,10,S6269,9.2,58,5,,42,7.0,133,2002-05-07,3,0,02
02SH00131,1997108615,2,2002-03-04,63,1,10,S8615,7.8,62,3,,07,5.0,142,2002-04-25,1,0,02
02SH00132,1998008384,2,2002-03-04,63,1,00, 8384,11.4,60,4,,06,4.0,0,,*,0,02
02SH00133,1998640131,2,2002-03-04,63,1,64,K0131,9.8,58,5,,06,4.0,216,2002-04-25,1,0,02
02SH00134,1999110074,2,2002-03-04,63,1,11,R0074,8.6,60,4,,43,3.0,124,2002-04-25,2,0,02
02SH00135,2000000228,2,2002-03-04,63,1,00,00228,11.0,60,4,,06,2.0,150,2002-05-01,2,0,02
02SH00136,1996638517,2,2002-03-04,63,1,63,K8517,9.8,58,5,,06,6.0,179,2002-04-25,2,0,02
02SH00137,1996638549,2,2002-03-04,63,1,63,K8549,12.4,54,7,BAD L. EYE,06,6.0,179,2002-05-23,H,0,02
02SH00138,2000111575,2,2002-03-04,63,1,11,R1575,7.8,62,3,,07,2.0,113,2002-04-25,2,64,02
02SH00139,2000000894,2,2002-03-04,63,1,00,00894,9.0,56,6,,06,2.0,173,2002-04-25,1,0,02
02SH00140,2000000615,2,2002-03-04,63,1,00,00615,8.0,60,4,,06,2.0,150,2002-05-07,3,0,02
02SH00141,1997108652,2,2002-03-04,63,1,10,S8652,8.8,60,4,,07,5.0,147,2002-05-13,2,0,02
02SH00142,2000111842,2,2002-03-04,63,1,11,R1842,9.8,60,4,,07,2.0,0,,*,80,02
02SH00143,1996106603,2,2002-03-04,63,1,10,S6603,10.0,60,4,,07,6.0,161,2002-05-01,1,0,02
02SH00144,1995105916,2,2002-03-04,63,1,10,S5916,10.0,60,4,,43,7.0,151,2002-05-09,1,0,02
02SH00145,2000000097,2,2002-03-04,63,1,00,00097,6.6,58,5,,06,2.0,144,2002-04-25,2,0,02
02SH00146,1997108161,2,2002-03-04,63,1,10,S8161,12.6,60,4,,42,5.0,0,,*,0,02
02SH00147,1997639879,2,2002-03-04,63,1,63,K9879,8.9,62,3,,05,5.0,170,2002-04-25,1,0,02
02SH00148,2000641075,2,2002-03-04,63,1,64,K1075,12.8,58,5,,06,2.0,173,2002-05-09,1,0,02
02SH00149,1997108380,2,2002-03-04,63,1,10,S8380,9.8,62,3,,07,5.0,139,2002-05-01,2,0,02
02SH00150,2000641191,2,2002-03-04,63,1,64,K1191,8.8,58,5,,06,2.0,173,2002-04-25,2,0,02
02SH00151,2000000728,2,2002-03-04,63,1,00,00728,8.0,62,3,,43,2.0,136,2002-04-25,2,0,02
02SH00152,1999447038,2,2002-03-04,63,1,44,T7038,9.8,62,3,,02,3.0,158,2002-05-01,1,0,02
02SH00153,2000641331,2,2002-03-04,63,1,64,K1331,9.0,56,6,,06,2.0,166,2002-05-01,1,0,02
02SH00154,2000641302,2,2002-03-04,63,1,64,K1302,9.2,58,5,,06,2.0,170,2002-04-25,2,0,02
02SH00155,1997445927,2,2002-03-04,63,1,44,T5927,8.8,62,3,,02,5.0,168,2002-05-01,1,0,02
02SH00156,2000111891,2,2002-03-04,63,1,11,R1891,9.8,62,3,,43,2.0,137,2002-05-01,1,87,02
02SH00157,2000000625,2,2002-03-04,63,1,00,00625,6.6,58,5,,06,2.0,135,2002-05-07,3,0,02
02SH00158,1995106477,2,2002-03-04,63,1,10,S6477,8.0,64,2,,07,7.0,152,2002-05-01,1,0,02
02SH00159,1999110834,2,2002-03-04,63,1,11,R0834,12.2,60,4,,07,3.0,152,2002-05-01,1,0,02
02SH00160,1995106019,2,2002-03-04,63,1,10,S6019,9.8,62,3,,07,7.0,166,2002-04-25,2,0,02
02SH00161,1995105898,2,2002-03-04,63,1,10,S5898,9.6,64,2,,43,7.0,167,2002-04-25,2,0,02
02SH00162,1998109482,2,2002-03-04,63,1,10,S9482,9.6,60,4,,07,4.0,134,2002-05-01,1,0,02
02SH00163,1998640405,2,2002-03-04,63,1,64,K0405,9.8,58,5,,06,4.0,189,2002-04-25,2,0,02
02SH00164,1997639702,2,2002-03-04,63,1,63,K9702,9.6,58,5,,06,5.0,0,,*,0,02
02SH00165,1999640829,2,2002-03-04,63,1,64,K0829,11.4,58,5,,06,3.0,161,2002-05-07,3,0,02
02SH00166,1999447184,2,2002-03-04,63,1,44,T7184,10.2,62,3,,02,3.0,178,2002-05-30,5,0,02
02SH00167,1998109292,2,2002-03-04,63,1,10,S9292,8.4,62,3,,43,4.0,159,2002-05-01,1,0,02
02SH00168,2000447716,2,2002-03-04,63,1,44,T7716,6.8,62,3,,02,2.0,139,2002-04-25,1,63,02
02SH00169,1999090913,2,2002-03-04,63,1,09,90913,9.0,58,5,,06,3.0,155,2002-05-07,3,0,02
02SH00170,1999110416,2,2002-03-04,63,1,11,R0416,10.2,60,4,,07,3.0,157,2002-05-01,2,0,02
02SH00171,2000447804,2,2002-03-04,63,1,44,T7804,7.8,60,4,,02,2.0,157,2002-05-07,3,74,02
02SH00172,2000641105,2,2002-03-04,63,1,64,K1105,10.4,58,5,,06,2.0,162,2002-05-01,2,0,02
02SH00173,1997107984,2,2002-03-04,63,1,10,S7984,10.6,60,4,,43,5.0,152,2002-05-01,1,0,02
02SH00174,1996638623,2,2002-03-04,63,1,63,K8623,9.6,56,6,,05,6.0,174,2002-04-25,2,0,02
02SH00175,1997107863,2,2002-03-04,63,1,10,S7863,9.4,60,4,,07,5.0,163,2002-04-25,2,0,02
02SH00176,2000111746,2,2002-03-04,63,1,11,R1746,8.6,62,3,,07,2.0,133,2002-04-25,1,76,02
02SH00177,2000111606,2,2002-03-04,63,1,11,R1606,8.8,62,3,,07,2.0,184,2002-06-27,5,68,02
02SH00178,1999110631,2,2002-03-04,63,1,11,R0631,8.4,64,2,,07,3.0,130,2002-05-01,1,0,02
