UID,ID,DATE,DAY,KG,LBS,BCS,FLWT,GRFL
22SH01148,S2939,2022-02-10,41,84.0,185,4.5,160,16.0
22SH01149,S2942,2022-02-10,41,77.5,171,4.0,120,12.0
22SH01150,S2947,2022-02-10,41,75.0,165,4.5,80,8.0
22SH01151,S2955,2022-02-10,41,81.0,178,4.5,90,9.0
22SH01152,S2963,2022-02-10,41,82.0,180,4.0,110,11.0
22SH01153,S2966,2022-02-10,41,74.5,164,4.0,100,10.0
22SH01154,S2969,2022-02-10,41,86.0,189,4.0,110,11.0
22SH01155,S2971,2022-02-10,41,82.0,180,4.0,90,9.0
22SH01156,S2981,2022-02-10,41,98.5,217,4.0,80,8.0
22SH01157,S2982,2022-02-10,41,105.0,231,4.5,130,13.0
22SH01158,S2983,2022-02-10,41,87.0,191,3.5,100,10.0
22SH01159,S2985,2022-02-10,41,83.5,184,4.5,110,11.0
22SH01160,S2992,2022-02-10,41,76.0,167,4.0,120,12.0
22SH01161,S2994,2022-02-10,41,72.0,158,4.0,100,10.0
22SH01162,S2996,2022-02-10,41,86.5,190,4.0,110,11.0
22SH01163,S2997,2022-02-10,41,79.5,175,4.5,110,11.0
22SH01164,S3002,2022-02-10,41,83.0,183,4.5,120,12.0
22SH01165,S3006,2022-02-10,41,72.0,158,4.0,110,11.0
22SH01166,S3014,2022-02-10,41,79.0,174,4.0,80,8.0
22SH01167,S3016,2022-02-10,41,83.0,183,4.5,90,9.0
22SH01168,S3022,2022-02-11,42,81.0,178,3.5,150,15.0
22SH01169,S3032,2022-02-10,41,78.5,173,4.0,110,11.0
22SH01170,S3034,2022-02-10,41,71.5,157,3.5,80,8.0
22SH01171,S3035,2022-02-11,42,110.0,242,4.5,160,16.0
22SH01172,S3036,2022-02-11,42,101.5,223,4.5,140,14.0
22SH01173,S3037,2022-02-10,41,82.5,182,4.0,120,12.0
22SH01174,S3043,2022-02-10,41,53.5,118,4.0,70,7.0
22SH01175,S3045,2022-02-10,41,77.5,171,4.0,140,14.0
22SH01176,S3048,2022-02-10,41,71.5,157,4.5,70,7.0
22SH01177,S3050,2022-02-10,41,78.5,173,4.0,100,10.0
22SH01178,S3052,2022-02-10,41,80.5,177,4.0,120,12.0
22SH01179,S3054,2022-02-10,41,90.0,198,4.0,100,10.0
22SH01180,S3067,2022-02-10,41,84.5,186,4.5,100,10.0
22SH01181,S3068,2022-02-10,41,89.0,196,0.5,100,10.0
22SH01182,S3069,2022-02-10,41,71.0,156,4.5,110,11.0
22SH01183,S3073,2022-02-10,41,78.5,173,4.5,80,8.0
22SH01184,S3077,2022-02-11,42,86.0,189,4.0,120,12.0
22SH01185,S3081,2022-02-10,41,75.0,165,4.5,100,10.0
22SH01186,S3083,2022-02-11,42,100.0,220,4.0,150,15.0
22SH01187,S3086,2022-02-10,41,63.0,139,4.5,90,9.0
22SH01188,S3090,2022-02-10,41,81.5,179,4.5,90,9.0
22SH01189,S3094,2022-02-10,41,98.0,216,5.0,120,12.0
22SH01190,S3095,2022-02-10,41,80.5,177,4.5,120,12.0
22SH01191,S3096,2022-02-11,42,89.0,196,4.0,120,12.0
22SH01192,S3115,2022-02-10,41,84.5,186,5.0,120,12.0
22SH01193,S3122,2022-02-10,41,94.5,208,4.5,110,11.0
22SH01194,S3123,2022-02-10,41,83.5,184,4.5,100,10.0
22SH01195,S3127,2022-02-10,41,80.0,176,4.0,100,10.0
22SH01196,S3131,2022-02-10,41,91.5,201,4.5,110,11.0
22SH01197,S3134,2022-02-10,41,83.5,184,4.0,100,10.0
22SH01198,S3136,2022-02-11,42,94.0,207,4.0,120,12.0
22SH01199,S3138,2022-02-11,42,93.0,205,4.0,170,17.0
22SH01200,S3140,2022-02-11,42,81.5,179,3.5,150,15.0
22SH01201,S3148,2022-02-10,41,77.5,171,4.0,90,9.0
22SH01202,S3153,2022-02-10,41,73.0,161,4.5,120,12.0
22SH01203,S3156,2022-02-10,41,84.0,185,4.0,130,13.0
22SH01204,S3161,2022-02-10,41,83.0,183,3.5,130,13.0
22SH01205,S3162,2022-02-10,41,75.5,166,4.0,100,10.0
22SH01206,S3169,2022-02-10,41,90.0,198,4.0,120,12.0
22SH01207,S3181,2022-02-10,41,85.0,187,4.0,100,10.0
22SH01208,S3190,2022-02-10,41,83.0,183,5.0,90,9.0
22SH01209,S3215,2022-02-10,41,83.5,184,4.0,90,9.0
22SH01210,S3220,2022-02-10,41,73.5,162,4.0,100,10.0
22SH01211,S3225,2022-02-10,41,86.0,189,4.0,90,9.0
22SH01212,S3226,2022-02-11,42,103.5,228,4.0,210,21.0
22SH01213,S3244,2022-02-10,41,70.0,154,4.0,100,10.0
22SH01214,S3245,2022-02-10,41,73.0,161,3.5,90,9.0
22SH01215,S3246,2022-02-10,41,76.0,167,4.5,90,9.0
22SH01216,S3256,2022-02-10,41,64.0,141,,80,8.0
22SH01217,S3266,2022-02-10,41,52.5,116,,60,6.0
22SH01218,S3277,2022-02-11,42,60.5,133,,90,9.0
22SH01219,S3280,2022-02-11,42,85.5,188,,80,8.0
22SH01220,S3284,2022-02-10,41,55.5,122,,60,6.0
22SH01221,S3289,2022-02-11,42,67.5,149,,100,10.0
22SH01222,S3290,2022-02-10,41,68.5,151,,80,8.0
22SH01223,S3291,2022-02-10,41,63.0,139,,60,6.0
22SH01224,S3297,2022-02-10,41,65.0,143,,80,8.0
22SH01225,S3301,2022-02-11,42,64.5,142,,60,6.0
22SH01226,S3304,2022-02-11,42,71.5,157,,90,9.0
22SH01227,S3306,2022-02-10,41,63.0,139,,80,8.0
