UID,ETAG,DATE,KG,LBS,FLWT,GRFL,GRADE
21SH00093,A0508,2021-02-11,106,232,100,10.0,A2
21SH00094,A0512,2021-02-11,77,169,100,10.0,A4
21SH00095,A0516,2021-02-11,85,186,100,10.0,A
21SH00096,A0522,2021-02-11,72,158,110,11.0,A4
21SH00097,A0524,2021-02-11,99,217,90,9.0,A
21SH00098,A0533,2021-02-11,91,199,100,10.0,A4
21SH00099,A0535,2021-02-11,81,177,100,10.0,A4
21SH00100,A0545,2021-02-11,85,186,100,10.0,A
21SH00101,A0562,2021-02-11,109,239,100,10.0,A
21SH00102,A0563,2021-02-11,89,196,80,8.0,A
21SH00103,A0564,2021-02-11,93,204,100,10.0,A4
21SH00104,A0569,2021-02-11,90,197,110,11.0,A4
21SH00105,A0583,2021-02-11,73,160,90,9.0,A4
21SH00106,A0587,2021-02-11,75,165,90,9.0,A
21SH00107,A0590,2021-02-11,86,188,100,10.0,A
21SH00108,A0591,2021-02-11,82,180,60,6.0,A
21SH00109,A0607,2021-02-11,90,197,110,11.0,A
21SH00110,A0609,2021-02-11,77,168,90,9.0,A
21SH00111,A0611,2021-02-11,82,179,90,9.0,A
21SH00112,A0615,2021-02-11,97,212,120,12.0,A4
21SH00113,A0622,2021-02-11,91,199,80,8.0,A2
21SH00114,A0632,2021-02-11,77,169,90,9.0,A
21SH00115,A0636,2021-02-11,94,206,80,8.0,A4
21SH00116,A0640,2021-02-11,76,166,90,9.0,A2
21SH00117,A0641,2021-02-11,72,158,80,8.0,A4
21SH00118,A0645,2021-02-11,95,208,100,10.0,A
21SH00119,A0648,2021-02-11,90,198,100,10.0,A
21SH00120,A0654,2021-02-11,78,172,80,8.0,A
21SH00121,A0658,2021-02-11,90,198,70,7.0,A
21SH00122,A0668,2021-02-11,79,173,100,10.0,A4
21SH00123,A0669,2021-02-11,88,193,110,11.0,A
21SH00124,A0673,2021-02-11,81,178,110,11.0,A
21SH00125,A0676,2021-02-11,76,166,80,8.0,A4
21SH00126,A0677,2021-02-11,87,190,100,10.0,A
21SH00127,A0678,2021-02-11,92,201,100,10.0,A
21SH00128,A0684,2021-02-11,85,187,120,12.0,A4
21SH00129,A0687,2021-02-11,87,190,80,8.0,A
21SH00130,A0699,2021-02-11,100,220,120,12.0,A
21SH00131,A0705,2021-02-11,84,184,80,8.0,A
21SH00132,A0712,2021-02-11,81,177,80,8.0,A
