UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,STM,RMK,ADG,DISP
14SH01118,Z1663,2,0,5.8,58,,50,TC,TC  Pregnant EL,0,
14SH01119,R9678,2,0,8.2,82,,50,07,Pregnant EL,0,
14SH01120,R9602,2,0,5.4,54,,50,07,Pregnant EL,0,
14SH01121,T4763,2,0,8.0,80,,50,02,Pregnant EL,0,
14SH01122,R9733,2,0,6.8,68,,50,07,Pregnant EL,0,
14SH01123,T5126,2,0,7.2,72,,50,02,Pregnant EL,0,
14SH01124,T4794,2,0,7.2,72,,50,02,Pregnant EL,0,
14SH01125,R9630,2,0,8.2,82,,50,07,Pregnant EL,0,
14SH01126,K4978,2,0,5.8,58,,50,06,Pregnant EL,0,
14SH01127,R9812,2,0,6.4,64,,50,07,Pregnant EL,0,
14SH01128,T5247,2,0,7.4,74,,50,02,Pregnant EL,0,
14SH01129,T4995,2,0,5.0,50,,50,02,Pregnant EL,0,
14SH01130,T5182,2,0,6.2,62,,50,02,Pregnant EL,0,
14SH01131,T4962,2,0,7.0,70,,50,02,Pregnant EL,0,
14SH01132,R9744,2,0,5.6,56,,50,07,Pregnant EL,0,
14SH01133,H8169,2,0,4.6,46,,50,30,Pregnant EL,0,
14SH01134,R9568,2,0,6.4,64,,50,07,Pregnant EL,0,
14SH01135,T4865,2,0,7.2,72,,50,02,Pregnant EL,0,
14SH01136,R9799,2,0,7.0,70,,50,07,Pregnant EL,0,
14SH01137,R9872,2,0,5.4,54,,50,07,Pregnant EL,0,
14SH01138,K4972,2,0,5.8,58,,50,06,Pregnant EL,0,
14SH01139,T4758,2,0,7.0,70,,50,02,Pregnant EL,0,
14SH01140,Z1536,2,0,6.0,60,,50,C3,C3  Pregnant EL,0,
14SH01141,T5200,2,0,8.0,80,,50,02,Pregnant EL,0,
14SH01142,Z1811,2,0,5.4,54,,50,CM,CM  Pregnant EL,0,
14SH01143,T4810,2,0,6.0,60,,50,02,Pregnant EL,0,
14SH01144,T4875,2,0,8.2,82,,50,02,Pregnant EL,0,
14SH01145,R9618,2,0,5.0,50,,50,07,Pregnant EL,0,
14SH01146,R9686,2,0,10.0,100,,50,07,Pregnant EL,0,
14SH01147,H8450,2,0,6.0,60,,50,30,Pregnant EL,0,
14SH01148,K4937,2,0,9.4,94,,50,06,Pregnant EL,0,
14SH01149,H8300,2,0,4.2,42,,50,30,Pregnant EL,0,
14SH01150,T5166,2,0,7.0,70,,50,02,Pregnant EL,0,
14SH01151,T4789,2,0,8.0,80,,50,02,Pregnant EL,0,
14SH01152,T5184,2,0,8.4,84,,50,02,Pregnant EL,0,
14SH01153,T5154,2,0,7.2,72,,50,02,Pregnant EL,0,
14SH01154,T4733,2,0,6.8,68,,50,02,Pregnant EL,0,
14SH01155,T5055,2,0,6.6,66,,50,02,Pregnant EL,0,
14SH01156,T4941,2,0,7.2,72,,50,02,Pregnant EL,0,
14SH01157,K4975,2,0,6.6,66,,50,06,Pregnant EL,0,
14SH01158,R9849,2,0,7.0,70,,50,07,Pregnant EL,0,
14SH01159,R9598,2,0,10.2,102,,50,07,Pregnant EL,0,
14SH01160,R9728,2,0,6.8,68,,50,07,Pregnant EL,0,
14SH01161,R9609,2,0,7.2,72,,50,07,Pregnant EL,0,
14SH01162,T4779,2,0,8.6,86,,50,02,Pregnant EL,0,
14SH01163,R9809,2,0,7.4,74,,50,07,Pregnant EL,0,
14SH01164,H8097,2,0,5.8,58,,50,30,Pregnant EL,0,
14SH01165,T4928,2,0,6.6,66,,50,02,Pregnant EL,0,
14SH01166,R9643,2,0,8.4,84,,50,07,Pregnant EL,0,
14SH01167,T4892,2,0,8.6,86,,50,02,Pregnant EL,0,
14SH01168,H8218,2,0,5.8,58,,50,30,Pregnant EL,0,
14SH01169,T4787,2,0,7.2,72,,50,02,Pregnant EL,0,
14SH01170,K4963,2,0,6.8,68,,50,06,Pregnant EL,0,
14SH01171,R9758,2,0,7.6,76,,50,07,Pregnant EL,0,
14SH01172,T4749,2,0,8.0,80,,50,02,Pregnant EL,0,
14SH01173,R9683,2,0,6.6,66,,50,07,Pregnant EL,0,
14SH01174,H7991,2,0,6.6,66,,50,30,Pregnant EL,0,
14SH01175,R9650,2,0,8.4,84,,50,07,Pregnant EL,0,
14SH01176,R9599,2,0,9.0,90,,50,07,Pregnant EL,0,
14SH01177,H8307,2,0,5.6,56,,50,30,Pregnant EL,0,
14SH01178,R9745,2,0,8.2,82,,50,07,Pregnant EL,0,
14SH01179,H8310,2,0,4.4,44,,50,30,Pregnant EL,0,
14SH01180,Z1839,2,0,5.0,50,,50,CM,CM  Pregnant EL,0,
14SH01181,Z1532,2,0,5.8,58,,50,CM,CM  Pregnant EL,0,
14SH01182,H8316,2,0,5.6,56,,50,30,Pregnant EL,0,
14SH01183,R9677,2,0,6.4,64,,50,07,Pregnant EL,0,
14SH01184,Z1622,2,0,7.2,72,,50,CM,CM  Pregnant EL,0,
14SH01185,H8389,2,0,6.0,60,,50,30,Pregnant EL,0,
14SH01186,T4748,2,0,6.0,60,,50,02,Pregnant EL,0,
14SH01187,T5124,2,0,7.2,72,,50,02,Pregnant EL,0,
14SH01188,R9706,2,0,8.0,80,,50,07,Pregnant EL,0,
14SH01189,R9662,2,0,7.8,78,,50,07,Pregnant EL,0,
14SH01190,R9639,2,0,7.4,74,,50,07,Pregnant EL,0,
