UID,ID10,BRD,ETAG,GRFL,GRADE,FLGR1,SEX,SHDAY,DAYSH,GROUP,BGRP,RMK
05SH00093,2002049153,04,A9153,10.4,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00094,2002642348,64,K2348,13.2,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00095,2002049581,04,A9581,10.2,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00096,2003114147,11,R4147,15.6,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00097,2002113819,11,R3819,13.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00098,2001112746,11,R2746,15.0,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00099,2003449478,44,T9478,14.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00100,2002642665,64,K2665,13.0,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00101,2003114171,11,R4171,15.8,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00102,2003642974,64,K2974,12.4,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00103,2002112997,11,R2997,12.0,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00104,2002113081,11,R3081,16.2,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00105,2002049941,04,A9941,10.8,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00106,2003114131,11,R4131,12.6,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00107,2002113846,11,R3846,15.6,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00108,2002113885,11,R3885,13.4,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00109,2002448907,44,T8907,15.4,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00110,2003449757,44,T9757,11.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00111,2000111667,11,R1667,14.0,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00112,2003642780,64,K2780,14.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00113,2003449535,44,T9535,12.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00114,2003642771,64,K2771,13.6,62,3,1,2005-03-15,74,MATURE RAM,M,
