UID,ID10,BRD,ETAG,SEX,LINE,GRFL,GRADE,FLGR1,SHDAY,DAYSH,BGRP,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
98SH02616,1997108912,10,S8912,2,13,7.4,58,5,1998-03-12,71,5,,43,1.0,127,1998-06-18,5,,98
98SH02617,1997108405,10,S8405,2,13,7.8,60,4,1998-03-12,71,5,,43,1.0,131,1998-06-18,5,,98
98SH02618,1997446005,44,T6005,2,42,6.0,60,4,1998-03-12,71,5,,02,1.0,112,1998-06-18,5,,98
98SH02619,1997446055,44,T6055,2,41,5.8,60,4,1998-03-12,71,5,,02,1.0,142,1998-06-18,5,,98
98SH02620,1997107890,10,S7890,2,11,7.8,60,4,1998-03-12,71,5,,07,1.0,142,1998-06-18,5,,98
98SH02621,1997639964,63,K9964,2,00,5.0,60,4,1998-03-12,71,5,,05,1.0,124,1998-06-18,5,,98
98SH02622,1997107829,10,S7829,2,10,5.6,62,3,1998-03-12,71,5,,07,1.0,128,1998-06-18,5,,98
98SH02623,1997108289,10,S8289,2,13,8.4,60,4,1998-03-12,71,5,,07,1.0,143,1998-06-18,5,,98
98SH02624,1997108321,10,S8321,2,12,6.8,60,4,1998-03-12,71,5,,07,1.0,126,1998-06-18,5,,98
98SH02625,1997446081,44,T6081,2,42,5.4,60,4,1998-03-12,71,5,,02,1.0,108,1998-05-26,2,,98
98SH02626,1997044327,04,A4327,2,82,4.6,60,4,1998-03-12,71,5,,30,1.0,98,1998-05-08,1,,98
98SH02627,1997639922,63,K9922,2,00,6.6,58,5,1998-03-12,71,5,,05,1.0,132,1998-06-18,5,,98
98SH02628,1997108625,10,S8625,2,10,7.2,62,3,1998-03-12,71,5,,42,1.0,144,1998-05-08,1,,98
98SH02629,1997108569,10,S8569,2,13,7.8,62,3,1998-03-12,71,5,,43,1.0,152,1998-06-18,5,,98
98SH02630,1997108855,10,S8855,2,13,7.2,62,3,1998-03-12,71,5,,42,1.0,147,1998-06-18,5,,98
