UID,ID9,YR,BRD,ETAG,SEX,LINE,SPWT,KGWT,GRFL,GRADE,FLGR1,RMK,DAYSH,SHDAY,WTDAY,BAND,L,YEAR,STM,AGE
94SH00100, 90100826,90,10,S0826,2,10,163,4.1,9.0,62,3,,75,1994-03-16,1994-05-04,1,,94,41,4.0
94SH00101, 91635164,91,63,K5164,2,61,196,3.7,8.2,60,4,,75,1994-03-16,1994-04-19,1,,94,06,3.0
94SH00102, 92636383,92,63,K6383,2,61,204,3.8,8.4,60,4,,75,1994-03-16,1994-04-19,1,,94,06,2.0
94SH00103, 92102438,92,10,S2438,2,13,154,2.7,6.0,64,2,,75,1994-03-16,1994-05-04,1,,94,07,2.0
94SH00104, 90634972,90,63,K4972,2,61,219,3.3,7.3,62,3,,75,1994-03-16,1994-04-19,1,,94,06,4.0
94SH00105, 92636216,92,63,K6216,2,61,166,4.0,8.8,58,5,,75,1994-03-16,1994-04-25,1,,94,06,2.0
94SH00106, 90100996,90,10,S0996,2,10,161,4.0,8.8,58,5,,75,1994-03-16,1994-04-19,2,,94,07,4.0
94SH00107, 92636184,92,63,K6184,2,60,168,3.7,8.2,60,4,,75,1994-03-16,1994-04-19,2,,94,06,2.0
94SH00108, 91635673,91,63,K5673,2,68,198,4.5,9.9,58,5,,75,1994-03-16,1994-04-25,1,,94,06,3.0
94SH00109, 92103015,92,10,S3015,2,12,167,4.0,8.8,60,4,,75,1994-03-16,1994-04-19,2,,94,07,2.0
94SH00110, 89199746,89,19,S9746,2,12,190,2.9,6.4,64,2,,75,1994-03-16,1994-04-19,1,,94,07,5.0
94SH00111, 90100433,90,10,S0433,2,12,133,3.7,8.2,60,4,,75,1994-03-16,1994-04-29,2,,94,41,4.0
94SH00112, 92102692,92,10,S2692,2,11,157,3.7,8.2,54,7,,75,1994-03-16,1994-04-19,1,,94,07,2.0
94SH00113, 91635466,91,63,K5466,2,62,181,3.0,6.6,58,5,,75,1994-03-16,1994-04-29,2,,94,06,3.0
94SH00114, 92636581,92,63,K6581,2,61,179,3.6,7.9,60,4,,75,1994-03-16,1994-05-09,2,,94,06,2.0
94SH00115, 92102586,92,10,S2586,2,10,159,3.7,8.2,64,2,,75,1994-03-16,1994-04-19,2,,94,42,2.0
94SH00116, 92635866,92,63,K5866,2,60,151,3.1,6.8,56,6,,75,1994-03-16,1994-04-19,1,,94,06,2.0
94SH00117, 92635891,92,63,K5891,2,60,161,3.7,8.2,56,6,,75,1994-03-16,1994-04-25,1,,94,06,2.0
94SH00118, 88199174,88,19,S9174,2,13,190,3.5,7.7,62,3,,75,1994-03-16,1994-04-19,2,,94,07,6.0
94SH00119, 90635107,90,63,K5107,2,68,213,4.1,9.0,60,4,,75,1994-03-16,1994-04-25,1,,94,06,4.0
94SH00120, 92636155,92,63,K6155,2,60,188,4.7,10.4,54,7,,75,1994-03-16,1994-04-19,1,,94,06,2.0
94SH00121, 91102047,91,10,S2047,2,13,189,4.0,8.8,62,3,,75,1994-03-16,1994-04-19,1,,94,07,3.0
94SH00122, 90634934,90,63,K4934,2,61,99,4.4,9.7,54,7,,75,1994-03-16,1994-04-29,2,,94,06,4.0
94SH00123, 91635411,91,63,K5411,2,61,187,4.5,9.9,54,7,,75,1994-03-16,1994-04-19,2,,94,06,3.0
94SH00124, 90100374,90,10,S0374,2,12,145,4.5,9.9,56,6,,75,1994-03-16,1994-04-25,1,,94,41,4.0
94SH00125, 92636593,92,63,K6593,2,61,182,3.7,8.2,58,5,,75,1994-03-16,1994-04-19,2,,94,06,2.0
94SH00126, 89199837,89,19,S9837,2,10,205,4.0,8.8,62,3,,75,1994-03-16,1994-04-19,2,,94,07,5.0
94SH00127, 92102413,92,10,S2413,2,10,140,3.1,6.8,60,4,,75,1994-03-16,1994-04-19,1,,94,07,2.0
94SH00128, 90100705,90,10,S0705,2,11,159,4.7,10.4,64,2,,75,1994-03-16,1994-05-04,1,,94,41,4.0
94SH00129, 92103176,92,10,S3176,2,12,182,3.7,8.2,56,6,,75,1994-03-16,1994-04-29,2,,94,07,2.0
