UID,ETAG,DATE,DAY,KG,LBS,FLWT,GRFL
20SH00561,L2049,2020-02-20,51,92,202,90,9.0
20SH00562,L2051,2020-02-20,51,88,193,60,6.0
20SH00563,L2056,2020-02-19,50,75,165,60,6.0
20SH00564,L2060,2020-02-20,51,85,187,60,6.0
20SH00565,L2061,2020-02-20,51,73,160,80,8.0
20SH00566,L2062,2020-02-20,51,66,145,70,7.0
20SH00567,L2063,2020-02-20,51,71,155,70,7.0
20SH00568,L2065,2020-02-19,50,102,224,100,10.0
20SH00569,L2066,2020-02-20,51,84,185,70,7.0
20SH00570,L2067,2020-02-20,51,82,180,80,8.0
20SH00571,L2070,2020-02-19,50,112,246,110,11.0
20SH00572,L2074,2020-02-20,51,69,152,50,5.0
20SH00573,L2078,2020-02-19,50,101,222,80,8.0
20SH00574,L2080,2020-02-20,51,57,124,70,7.0
20SH00575,L2083,2020-02-20,51,85,186,90,9.0
20SH00576,L2084,2020-02-20,51,83,183,70,7.0
20SH00577,L2085,2020-02-18,49,97,213,100,10.0
20SH00578,L2087,2020-02-20,51,79,174,60,6.0
20SH00579,L2089,2020-02-20,51,79,173,70,7.0
20SH00580,L2092,2020-02-19,50,107,234,90,9.0
20SH00581,L2094,2020-02-20,51,71,155,70,7.0
20SH00582,L2095,2020-02-19,50,110,241,80,8.0
20SH00583,L2098,2020-02-19,50,88,194,80,8.0
20SH00584,L2099,2020-02-20,51,72,157,90,9.0
20SH00585,L2104,2020-02-20,51,72,158,50,5.0
20SH00586,L2106,2020-02-20,51,82,179,80,8.0
20SH00587,L2107,2020-02-19,50,101,221,110,11.0
20SH00588,L2109,2020-02-18,49,76,166,73,7.3
20SH00589,L2115,2020-02-18,49,72,157,110,11.0
20SH00590,L2116,2020-02-20,51,74,163,70,7.0
20SH00591,L2121,2020-02-20,51,92,201,80,8.0
20SH00592,L2122,2020-02-20,51,57,125,60,6.0
20SH00593,L2123,2020-02-18,49,81,177,80,8.0
20SH00594,L2125,2020-02-20,51,80,176,80,8.0
20SH00595,L2130,2020-02-20,51,79,174,80,8.0
20SH00596,L2131,2020-02-20,51,89,195,70,7.0
20SH00597,L2132,2020-02-20,51,67,147,70,7.0
20SH00598,L2135,2020-02-20,51,85,187,50,5.0
20SH00599,L2137,2020-02-20,51,78,172,70,7.0
20SH00600,L2138,2020-02-20,51,84,185,60,6.0
20SH00601,L2139,2020-02-20,51,106,233,90,9.0
20SH00602,L2140,2020-02-19,50,110,241,100,10.0
20SH00603,L2142,2020-02-20,51,86,189,70,7.0
20SH00604,L2144,2020-02-19,50,66,144,80,8.0
20SH00605,L2146,2020-02-19,50,96,210,70,7.0
20SH00606,L2147,2020-02-20,51,77,169,70,7.0
20SH00607,L2149,2020-02-20,51,71,156,100,10.0
20SH00608,L2161,2020-02-20,51,81,178,60,6.0
20SH00609,L2166,2020-02-18,49,76,166,73,7.3
20SH00610,L2168,2020-02-19,50,105,231,110,11.0
20SH00611,L2169,2020-02-19,50,96,210,110,11.0
20SH00612,L2172,2020-02-19,50,101,221,110,11.0
20SH00613,L2175,2020-02-19,50,105,230,90,9.0
20SH00614,L2176,2020-02-20,51,79,173,50,5.0
20SH00615,L2178,2020-02-20,51,74,163,70,7.0
20SH00616,L2184,2020-02-20,51,83,183,60,6.0
20SH00617,L2185,2020-02-20,51,65,143,70,7.0
20SH00618,L2186,2020-02-20,51,79,174,70,7.0
20SH00619,L2188,2020-02-20,51,86,188,100,10.0
20SH00620,L2189,2020-02-20,51,77,168,40,4.0
20SH00621,L2190,2020-02-20,51,77,169,70,7.0
20SH00622,L2191,2020-02-20,51,63,138,60,6.0
20SH00623,L2198,2020-02-20,51,57,124,70,7.0
20SH00624,L2202,2020-02-20,51,82,180,70,7.0
20SH00625,L2203,2020-02-20,51,65,142,60,6.0
