UID,ID9,YR,ETAG,BRD,SEX,LINE,BGRP,RGRP,GRP,AGE,BAND,DATE,TIME,SPWT,DAYSH,GRFL,GRADE,FLGR1,LOT,BRAND,RMK,L,YEAR,STM
93SH00187, 90634857,90,K4857,63,2,60,1,0,,3.0,5,0517,1549,155,137,12.5,54,7,,,,,93,06
93SH00188, 90634858,90,K4858,63,2,62,1,0,,3.0,1,0517,1203,160,137,9.1,56,6,,,,,93,06
93SH00189, 90634879,90,K4879,63,2,62,1,0,,3.0,5,0519,1058,145,139,10.7,62,3,,,,,93,06
93SH00190, 90634887,90,K4887,63,2,68,A,0,3,3.0,5,0517,1700,173,137,10.7,54,7,,,,,93,06
93SH00191, 90634891,90,K4891,63,2,60,1,0,,3.0,2,0518,0912,167,138,8.6,60,4,,,,,93,06
93SH00192, 90634894,90,K4894,63,2,62,1,0,,3.0,1,0517,1200,159,137,10.2,54,7,,,,,93,06
93SH00193, 90634897,90,K4897,63,2,68,A,0,2,3.0,2,0517,0906,226,137,8.3,56,6,,,,,93,06
93SH00194, 90634899,90,K4899,63,2,60,1,0,,3.0,5,0518,1521,141,138,11.4,54,7,,,,,93,06
93SH00195, 90634907,90,K4907,63,2,60,1,0,,3.0,2,0518,1003,171,138,9.9,58,5,,,,,93,06
93SH00196, 90634911,90,K4911,63,2,62,1,0,,3.0,5,0518,1550,157,138,10.4,58,5,,,NOT CO+,,93,06
93SH00197, 90634923,90,K4923,63,2,60,1,0,,3.0,5,0518,1529,160,138,8.6,60,4,,,,,93,06
93SH00198, 90634928,90,K4928,63,2,62,1,0,,3.0,2,0518,0930,156,138,11.5,58,5,,,,,93,06
93SH00199, 90634934,90,K4934,63,2,68,A,0,3,3.0,5,0518,1721,154,138,11.0,58,5,,,,,93,06
93SH00200, 90634936,90,K4936,63,2,60,1,0,,3.0,1,0517,1402,151,137,9.0,62,3,,,,,93,06
93SH00201, 90634942,90,K4942,63,2,62,1,0,,3.0,1,0517,1359,136,137,8.8,62,3,,,,,93,06
93SH00202, 90634943,90,K4943,63,2,68,A,0,2,3.0,5,0517,1535,173,137,9.1,56,6,,,,,93,06
93SH00203, 90634952,90,K4952,63,2,60,1,0,,3.0,5,0518,1544,152,138,10.3,56,6,,,,,93,06
93SH00204, 90634953,90,K4953,63,2,62,1,0,,3.0,5,0517,1548,163,137,11.4,56,6,,,R.P.,,93,06
93SH00205, 90634963,90,K4963,63,2,68,A,0,3,3.0,1,0517,1416,134,137,10.3,58,5,,,,,93,06
93SH00206, 90634966,90,K4966,63,2,62,1,0,,3.0,1,0517,1346,147,137,10.7,56,6,,,,,93,06
93SH00207, 90634972,90,K4972,63,2,68,A,0,2,3.0,2,0518,1328,186,138,7.8,62,3,,,,,93,06
93SH00208, 90634986,90,K4986,63,2,62,1,0,,3.0,X,0527,0000,155,147,8.0,60,4,,,SWOLLEN LEG,,93,06
93SH00209, 90634987,90,K4987,63,2,68,A,0,3,3.0,5,0527,0000,134,147,7.0,60,4,,,MID.BAG LUMP,,93,06
93SH00210, 90634988,90,K4988,63,2,60,1,0,,3.0,1,0517,1414,170,137,10.1,62,3,,,WILD,,93,06
93SH00211, 90634995,90,K4995,63,2,62,1,0,,3.0,1,0518,1145,158,138,13.6,54,7,,,,,93,06
93SH00212, 90635011,90,K5011,63,2,60,1,0,,3.0,1,0518,1152,154,138,8.4,58,5,,,,,93,06
93SH00213, 90635030,90,K5030,63,2,60,1,0,,3.0,5,0518,1610,148,138,9.8,58,5,,,,,93,06
93SH00214, 90635047,90,K5047,63,2,62,1,0,,3.0,5,0518,1606,162,138,12.2,56,6,,,,,93,06
93SH00215, 90635051,90,K5051,63,2,68,A,0,3,3.0,5,0517,1541,190,137,15.7,56,6,,,,,93,06
93SH00216, 90635054,90,K5054,63,2,60,1,0,,3.0,2,0518,0845,168,138,9.9,58,5,,,,,93,06
93SH00217, 90635062,90,K5062,63,2,68,A,0,2,3.0,1,0517,0914,212,137,11.4,56,6,,,,,93,06
93SH00218, 90635066,90,K5066,63,2,62,1,0,,3.0,1,0517,1139,167,137,9.3,62,3,,,,,93,06
93SH00219, 90635072,90,K5072,63,2,68,A,0,3,3.0,1,0527,0000,164,147,10.0,58,5,,,,,93,06
