UID,ID,SEX,FLWT,GRFL,DAY,STM,RMK
18SH00058,H8293,2,76,7.6,43,30,TerminalOnly
18SH00059,H8307,2,78,7.8,43,30,TerminalOnly
18SH00060,H8317,2,72,7.2,43,30,ADRU Term
18SH00061,H8328,2,62,6.2,43,30,RSD.SL.BLOODY
18SH00062,H8410,2,96,9.6,43,30,ADRU Term
18SH00063,H8450,2,90,9.0,43,30,SM.UDDER
18SH00064,H8452,2,98,9.8,43,30,PoorBCS
18SH00065,H8468,2,76,7.6,44,30,.
18SH00066,H8491,2,102,10.2,44,30,TerminalOnly
18SH00067,H8492,2,80,8.0,44,30,RP
18SH00068,H8495,2,82,8.2,44,30,NICE LAMB
18SH00069,H8508,2,100,10.0,44,30,BIG.TITS
18SH00070,H8511,2,60,6.0,44,30,NICE LAMB
18SH00071,H8514,2,78,7.8,44,30,1ST
18SH00072,H8519,2,68,6.8,44,30,ADRU Term
18SH00073,H8524,2,64,6.4,44,30,.
18SH00074,H8530,2,82,8.2,44,30,2ND NICE LAMB
18SH00075,H8540,2,50,5.0,44,30,.
18SH00076,H8545,2,110,11.0,44,30,.
18SH00077,H8547,2,92,9.2,44,30,LameTx
18SH00078,H8571,2,102,10.2,44,30,ADRU Term
18SH00079,H8591,2,86,8.6,44,30,TerminalOnly
18SH00080,H8601,2,66,6.6,44,30,NICE LAMB
18SH00081,H8602,2,86,8.6,44,30,NICE LAMB
18SH00082,H8615,2,110,11.0,44,30,TerminalOnly
18SH00083,H8620,2,78,7.8,44,30,PNEU
18SH00084,H8640,2,92,9.2,44,30,SM UDDER
18SH00085,H8664,2,76,7.6,44,30,SMUDDER
18SH00086,H8668,2,70,7.0,44,30,.
18SH00087,H8687,2,82,8.2,44,30,2ND
18SH00088,H8691,2,68,6.8,44,30,NICE LAMB
18SH00089,H8694,2,138,13.8,44,30,SMUDDER
18SH00090,H8697,2,58,5.8,44,30,LSD.BLOODY
18SH00091,H8709,2,88,8.8,44,30,.
18SH00092,H8721,2,76,7.6,44,30,NICE LAMB
18SH00093,H8722,2,64,6.4,44,30,TerminalOnly
18SH00094,H8760,2,76,7.6,44,30,.
18SH00095,H8765,2,82,8.2,44,30,.
18SH00096,H8768,2,80,8.0,44,30,.
18SH00097,H8780,2,68,6.8,44,30,.
18SH00098,H8782,2,78,7.8,44,30,TerminalOnly
18SH00099,H8785,2,80,8.0,44,30,.
18SH00100,H8786,2,60,6.0,44,30,TerminalOnly
18SH00101,H8788,2,76,7.6,44,30,.
18SH00102,H8809,2,96,9.6,44,30,ADRU Term
18SH00103,H8822,2,76,7.6,44,30,ADRU Term
18SH00104,H8828,2,96,9.6,44,30,TerminalOnly
18SH00105,H8829,2,76,7.6,44,30,TAIL.CHEWED
18SH00106,H8837,1,124,12.4,45,30,Small scurs
18SH00107,H8838,2,108,10.8,43,30,ADRU Term
18SH00108,H8850,2,100,10.0,43,30,2ND
18SH00109,H8858,2,96,9.6,43,30,.
18SH00110,H8860,2,88,8.8,43,30,NICE LAMB
18SH00111,H8863,2,76,7.6,43,30,NICE LAMB
18SH00112,H8866,2,72,7.2,43,30,TerminalOnly
18SH00113,H8872,2,74,7.4,43,30,.
18SH00114,H8874,2,72,7.2,43,30,SM.UDDER
18SH00115,H8876,2,88,8.8,43,30,NICE LAMB
18SH00116,H8892,2,86,8.6,43,30,.
18SH00117,H8903,2,88,8.8,43,30,ADRU Term
18SH00118,H8908,2,92,9.2,43,30,.
18SH00119,H8909,2,74,7.4,43,30,TerminalOnly
18SH00120,H8914,2,120,12.0,43,30,.
18SH00121,H8925,2,84,8.4,43,30,HAIRY
18SH00122,H8927,2,70,7.0,43,30,.
18SH00123,H8931,2,86,8.6,43,30,P H
18SH00124,H8933,2,80,8.0,43,30,P H
18SH00125,H8939,2,84,8.4,43,30,1ST H
18SH00126,H8946,2,66,6.6,43,30,TerminalOnly
18SH00127,H8953,2,92,9.2,43,30,ADRU Term
18SH00128,H8955,2,82,8.2,43,30,.
18SH00129,H8958,2,90,9.0,43,30,FLIGHTY
18SH00130,H8973,2,74,7.4,43,30,TerminalOnly
18SH00131,H8978,2,104,10.4,43,30,.
18SH00132,H8981,2,58,5.8,43,30,RP
18SH00133,H8988,2,106,10.6,43,30,ADRU Term
18SH00134,H8990,2,82,8.2,43,30,ABORT.RP
18SH00135,H9002,2,84,8.4,43,30,ADRU Term
18SH00136,H9007,2,94,9.4,43,30,SMUDDER
18SH00137,H9009,2,102,10.2,43,30,.
18SH00138,H9012,2,82,8.2,43,30,.
18SH00139,H9013,2,74,7.4,43,30,.
18SH00140,H9019,2,96,9.6,43,30,.
18SH00141,H9025,2,114,11.4,43,30,Nice
18SH00142,H9029,2,86,8.6,43,30,ADRU Term
18SH00143,H9042,2,88,8.8,43,30,.
18SH00144,H9047,2,78,7.8,43,30,ADRU Term
18SH00145,H9050,2,130,13.0,43,30,.
18SH00146,H9051,2,112,11.2,43,30,TerminalOnly
18SH00147,H9054,2,84,8.4,43,30,1ST.HAIRY
18SH00148,H9055,2,76,7.6,43,30,2ND H
18SH00149,H9060,2,92,9.2,43,30,.
18SH00150,H9062,2,92,9.2,43,30,.
18SH00151,H9065,1,120,12.0,45,30,.
18SH00152,H9066,2,88,8.8,43,30,.
18SH00153,H9067,2,92,9.2,43,30,ADRU Term
18SH00154,H9069,2,92,9.2,43,30,ADRU Term
18SH00155,H9072,2,122,12.2,43,30,ADRU Term
18SH00156,H9074,2,62,6.2,43,30,ADRU Term
18SH00157,H9094,2,92,9.2,43,30,1ST P.
18SH00158,H9095,2,112,11.2,43,30,2ND.HAIRY
18SH00159,H9105,2,112,11.2,43,30,ADRU Term
18SH00160,H9108,2,68,6.8,43,30,2ND
18SH00161,H9117,2,96,9.6,43,30,DYSTOCIA
18SH00162,H9129,2,92,9.2,43,30,.
18SH00163,H9130,1,120,12.0,45,30,Slight Drag
18SH00164,H9134,2,98,9.8,43,30,HAIRY
18SH00165,H9136,1,84,8.4,45,30,.
18SH00166,H9149,2,82,8.2,43,30,.
18SH00167,H9150,2,90,9.0,43,30,ADRU Term
18SH00168,H9158,2,108,10.8,43,30,ADRU Term
18SH00169,H9167,2,76,7.6,43,30,DRY
18SH00170,H9170,2,90,9.0,43,30,.
18SH00171,H9172,2,120,12.0,43,30,.
18SH00172,H9173,2,106,10.6,43,30,ADRU Term
18SH00173,H9190,2,78,7.8,43,30,ADRU Term
18SH00174,H9193,2,104,10.4,43,30,SMUDDER
18SH00175,H9194,2,102,10.2,43,30,TerminalOnly
18SH00176,H9195,2,58,5.8,43,30,TerminalOnly
18SH00177,H9199,2,94,9.4,43,30,.
18SH00178,H9200,2,88,8.8,43,30,ADRU Term
18SH00179,H9214,2,92,9.2,43,30,1ST
18SH00180,H9216,2,62,6.2,43,30,ADRU Term
18SH00181,H9221,2,78,7.8,43,30,PINKISH
18SH00182,H9225,2,58,5.8,43,30,ADRU Term
18SH00183,H9229,2,110,11.0,43,30,.
18SH00184,H9230,2,78,7.8,43,30,DRY.RP
18SH00185,H9231,2,80,8.0,43,30,.
18SH00186,H9232,2,92,9.2,43,30,PNEU.RESP
18SH00187,H9233,1,114,11.4,45,30,NICE.LEFT
18SH00188,H9237,2,92,9.2,43,30,1ST
18SH00189,H9240,2,62,6.2,43,30,4TH
18SH00190,H9243,2,100,10.0,43,30,2ND
18SH00191,H9251,2,64,6.4,43,30,.
18SH00192,H9270,2,102,10.2,43,30,.
18SH00193,H9272,2,82,8.2,43,30,.
18SH00194,H9279,2,72,7.2,43,30,.
18SH00195,H9288,2,90,9.0,43,30,Rescued
18SH00196,H9290,2,58,5.8,44,30,ADRU Term
18SH00197,H9291,2,102,10.2,44,30,ADRU Term
18SH00198,H9292,2,90,9.0,44,30,.
18SH00199,H9293,2,92,9.2,43,30,.
18SH00200,H9294,1,112,11.2,45,30,"1ST, Scurs"
18SH00201,H9296,2,88,8.8,44,30,TerminalOnly
18SH00202,H9299,2,72,7.2,44,30,1ST
18SH00203,H9300,2,108,10.8,44,30,ADRU Term
18SH00204,H9304,2,112,11.2,43,30,ADRU Term
18SH00205,H9306,2,128,12.8,44,30,ADRU Term
18SH00206,H9310,2,96,9.6,43,30,3RD.P
18SH00207,H9312,2,60,6.0,43,30,2ND
18SH00208,H9315,2,90,9.0,44,30,TerminalOnly
18SH00209,H9317,2,68,6.8,44,30,1ST
18SH00210,H9322,2,88,8.8,43,30,1ST
18SH00211,H9325,2,102,10.2,43,30,2ND.H
18SH00212,H9327,2,70,7.0,44,30,2ND
18SH00213,H9330,2,82,8.2,43,30,2ND.SCRS
18SH00214,H9332,2,108,10.8,44,30,.
18SH00215,H9339,2,90,9.0,43,30,1ST
18SH00216,H9341,2,102,10.2,44,30,ADRU Term
18SH00217,H9346,2,64,6.4,44,30,.
18SH00218,H9356,2,92,9.2,44,30,TerminalOnly
18SH00219,H9357,2,86,8.6,43,30,2ND
18SH00220,H9358,2,110,11.0,43,30,ADRU Term
18SH00221,H9359,2,64,6.4,43,30,1ST
18SH00222,H9361,1,72,7.2,45,30,Scurs
18SH00223,H9362,1,80,8.0,45,30,2ND.Scurs
18SH00224,H9370,2,96,9.6,44,30,ADRU Term
18SH00225,H9374,1,90,9.0,45,30,"1ST, Scurs"
18SH00226,H9378,2,60,6.0,43,30,TerminalOnly
18SH00227,H9380,2,70,7.0,43,30,4TH
18SH00228,H9383,2,94,9.4,43,30,ADRU Term
18SH00229,H9384,1,112,11.2,45,30,2ND.Scur Left
18SH00230,H9385,2,64,6.4,43,30,TerminalOnly
18SH00231,H9393,2,78,7.8,44,30,3RD.SCRS
18SH00232,H9403,2,108,10.8,43,30,ADRU Term
18SH00233,H9405,2,68,6.8,43,30,ADRU Term
18SH00234,H9415,2,84,8.4,44,30,2ND.H
18SH00235,H9416,2,52,5.2,44,30,TerminalOnly
18SH00236,H9419,2,96,9.6,43,30,2ND.H
18SH00237,H9420,1,74,7.4,45,30,1ST.SCRS
18SH00238,H9421,1,102,10.2,45,30,Nice
18SH00239,H9422,1,116,11.6,45,30,1ST.P
18SH00240,H9423,2,92,9.2,44,30,ADRU Term
18SH00241,H9424,2,76,7.6,44,30,3RD.P
18SH00242,H9429,2,90,9.0,43,30,ADRU Term
18SH00243,H9430,2,78,7.8,44,30,1ST
18SH00244,H9432,2,56,5.6,44,30,2ND
18SH00245,H9435,2,66,6.6,43,30,TerminalOnly
18SH00246,H9436,2,74,7.4,43,30,1ST.H.SCRS
18SH00247,H9437,2,94,9.4,43,30,2ND
18SH00248,H9438,2,92,9.2,44,30,1ST
18SH00249,H9439,2,86,8.6,44,30,2ND
18SH00250,H9442,2,72,7.2,43,30,1ST.
18SH00251,H9443,2,68,6.8,43,30,2ND.SCRS
18SH00252,H9444,1,96,9.6,45,30,"1ST, Scurs"
18SH00253,H9448,2,78,7.8,43,30,3RD
18SH00254,H9455,2,84,8.4,43,30,2ND
18SH00255,H9460,2,86,8.6,44,30,2ND
18SH00256,H9465,2,84,8.4,43,30,1ST
18SH00257,H9470,2,102,10.2,44,30,ADRU Term
18SH00258,H9471,2,70,7.0,44,30,TerminalOnly
18SH00259,H9472,2,76,7.6,44,30,
18SH00260,H9482,2,60,6.0,43,30,3RD.SCRS
18SH00261,H9486,1,84,8.4,45,30,2ND.Scurs
18SH00262,H9488,2,100,10.0,43,30,PNEU.SCRS.FVR
18SH00263,H9497,2,76,7.6,44,30,2ND
18SH00264,H9498,2,80,8.0,43,30,ADRU Term
18SH00265,H9501,2,88,8.8,43,30,2ND
18SH00266,H9504,2,90,9.0,44,30,2ND.NICE
18SH00267,H9505,2,60,6.0,44,30,ADRU Term
18SH00268,H9508,2,108,10.8,44,30,1ST
18SH00269,H9510,2,74,7.4,43,30,ADRU Term
18SH00270,H9512,2,70,7.0,44,30,2ND
18SH00271,H9516,2,68,6.8,43,30,TerminalOnly
18SH00272,H9519,1,80,8.0,45,30,1ST
18SH00273,H9525,2,78,7.8,43,30,1ST
18SH00274,H9528,2,80,8.0,43,30,2ND
18SH00275,H9535,2,76,7.6,43,30,Rescued
18SH00276,H9537,2,78,7.8,43,30,2ND.SCRS.PNEU
18SH00277,H9544,2,58,5.8,43,30,1ST
18SH00278,H9548,2,70,7.0,44,30,1ST.H
18SH00279,H9549,2,74,7.4,44,30,2ND.H
18SH00280,H9551,2,74,7.4,44,30,ADRU Term
18SH00281,H9553,2,78,7.8,44,30,3RD
18SH00282,H9583,2,56,5.6,44,30,.
18SH00283,H9584,2,46,4.6,44,30,.
18SH00284,H9586,1,58,5.8,45,30,HAIRY
18SH00285,H9587,2,50,5.0,44,30,.
18SH00286,H9591,2,52,5.2,44,30,.
18SH00287,H9597,2,76,7.6,44,30,.
18SH00288,H9598,2,62,6.2,44,30,.
18SH00289,H9599,2,72,7.2,44,30,.
18SH00290,H9600,2,68,6.8,44,30,.
18SH00291,H9601,2,62,6.2,44,30,.
18SH00292,H9603,1,64,6.4,45,30,Pink eyes
18SH00293,H9605,2,68,6.8,44,30,.
18SH00294,H9606,2,76,7.6,44,30,.
18SH00295,H9607,2,68,6.8,44,30,.
18SH00296,H9609,1,62,6.2,45,30,Scurs
18SH00297,H9610,2,56,5.6,45,30,Eye Tx
18SH00298,H9612,2,62,6.2,44,30,.
18SH00299,H9614,2,62,6.2,44,30,.
18SH00300,H9617,2,74,7.4,44,30,.
18SH00301,H9621,2,68,6.8,44,30,.
18SH00302,H9629,2,62,6.2,44,30,BloodVagDisch
18SH00303,H9630,2,60,6.0,44,30,.
18SH00304,H9634,2,56,5.6,44,30,.
18SH00305,H9636,2,68,6.8,45,30,.
18SH00306,H9637,2,70,7.0,44,30,BL.SPOT.R.HIP
18SH00307,H9638,1,76,7.6,45,30,Buttons
18SH00308,H9641,1,62,6.2,45,30,.
18SH00309,H9643,2,52,5.2,44,30,Scours
18SH00310,H9644,1,50,5.0,45,30,Scurs
18SH00311,H9647,2,54,5.4,44,30,.
18SH00312,H9648,2,48,4.8,44,30,HAIRY
18SH00313,H9649,2,60,6.0,45,30,.
18SH00314,H9650,2,64,6.4,44,30,.
18SH00315,H9653,2,72,7.2,44,30,.
18SH00316,H9654,1,80,8.0,45,30,Scurs
18SH00317,H9660,1,52,5.2,45,30,.
18SH00318,H9661,2,54,5.4,44,30,HAIRY.Scours
18SH00319,H9663,2,58,5.8,44,30,.
18SH00320,H9666,1,64,6.4,45,30,Scurs
18SH00321,H9672,2,70,7.0,44,30,.
18SH00322,H9673,2,76,7.6,44,30,.
18SH00323,H9676,1,78,7.8,45,30,Scurs
18SH00324,H9677,2,46,4.6,44,30,.
18SH00325,H9683,2,52,5.2,45,30,BR.SPOT.R.EAR
18SH00326,H9684,1,82,8.2,45,30,.
18SH00327,H9686,2,54,5.4,44,30,.
18SH00328,H9689,2,56,5.6,44,30,.
18SH00329,H9692,2,66,6.6,45,30,.
18SH00330,H9694,2,50,5.0,44,30,.
18SH00331,H9697,2,52,5.2,44,30,2ND.ScoursFxL
18SH00332,H9698,2,80,8.0,44,30,.
18SH00333,H9703,1,56,5.6,45,30,Scurs
18SH00334,H9707,2,52,5.2,45,30,.
18SH00335,H9708,2,72,7.2,44,30,.
18SH00336,H9709,2,50,5.0,45,30,.
18SH00337,H9714,2,62,6.2,44,30,.
18SH00338,H9715,2,50,5.0,44,30,.
18SH00339,H9718,2,48,4.8,44,30,PINK
18SH00340,H9720,2,60,6.0,44,30,LEAST.FULL
18SH00341,H9722,2,44,4.4,45,30,.
18SH00342,H9725,2,78,7.8,44,30,.
18SH00343,H9728,2,54,5.4,45,30,Dyspnea
18SH00344,H9732,2,56,5.6,44,30,.
18SH00345,H9739,2,44,4.4,44,30,.
18SH00346,H9740,2,60,6.0,44,30,.
18SH00347,H9745,2,46,4.6,44,30,.
18SH00348,H9747,2,56,5.6,44,30,.
18SH00349,H9748,2,50,5.0,44,30,.
18SH00350,H9750,2,54,5.4,44,30,.
18SH00351,H9752,2,70,7.0,44,30,.
18SH00352,H9753,1,82,8.2,45,30,Scurs
18SH00353,H9754,2,80,8.0,44,30,.
18SH00354,H9755,1,66,6.6,45,30,"Pink, scabby"
18SH00355,H9756,2,66,6.6,44,30,.
18SH00356,H9762,2,76,7.6,44,30,.
18SH00357,H9765,2,54,5.4,44,30,Scours
18SH00358,H9766,2,52,5.2,44,30,PINK
18SH00359,H9767,2,58,5.8,44,30,H.P
18SH00360,H9773,2,56,5.6,44,30,.
18SH00361,H9774,1,76,7.6,45,30,NICE LAMB
18SH00362,H9776,1,74,7.4,45,30,.
18SH00363,H9779,2,68,6.8,44,30,.
18SH00364,H9781,2,66,6.6,44,30,.
18SH00365,H9782,1,62,6.2,45,30,Scurs
18SH00366,H9784,1,60,6.0,45,30,Scar on nose
18SH00367,H9786,2,54,5.4,44,30,HAIRY
18SH00368,H9789,2,62,6.2,44,30,.
18SH00369,H9791,2,72,7.2,44,30,.
18SH00370,H9793,2,68,6.8,44,30,.
18SH00371,H9795,2,54,5.4,44,30,Scours
18SH00372,H9796,2,54,5.4,44,30,.
18SH00373,H9799,1,58,5.8,45,30,Scours
18SH00374,H9807,2,70,7.0,45,30,.
18SH00375,H9812,2,72,7.2,44,30,.
18SH00376,H9814,2,54,5.4,45,30,Scours
18SH00377,H9816,2,66,6.6,44,30,BL.R.HOCKScou
18SH00378,H9818,2,54,5.4,44,30,.
18SH00379,H9824,1,56,5.6,45,30,.
18SH00380,H9829,2,70,7.0,44,30,.
18SH00381,H9833,2,56,5.6,44,30,.
18SH00382,H9834,2,70,7.0,44,30,WnwtMissed
18SH00383,H9835,2,66,6.6,45,30,.
18SH00384,H9836,1,62,6.2,45,30,.
18SH00385,H9841,2,48,4.8,44,30,UGLY
18SH00386,H9842,2,60,6.0,45,30,Scours
18SH00387,H9845,1,56,5.6,45,30,.
18SH00388,H9846,2,58,5.8,44,30,.
18SH00389,H9848,2,60,6.0,44,30,.
18SH00390,H9851,2,50,5.0,44,30,3RD
18SH00391,H9852,2,54,5.4,44,30,HAIRY
18SH00392,H9853,2,58,5.8,45,30,BR.PATCH.BACK
18SH00393,H9855,2,60,6.0,44,30,.
18SH00394,H9856,1,76,7.6,45,30,.
18SH00395,H9861,1,64,6.4,45,30,.
18SH00396,H9865,2,70,7.0,44,30,.
18SH00397,H9866,1,56,5.6,45,30,.
18SH00398,H9868,2,56,5.6,44,30,PINK.EARS
18SH00399,H9871,1,60,6.0,45,30,Buttons
18SH00400,H9878,2,56,5.6,44,30,ConjunctvtsSc
18SH00401,H9879,1,54,5.4,45,30,.
18SH00402,H9880,2,52,5.2,44,30,.
18SH00403,H9882,2,60,6.0,44,30,.
18SH00404,H9883,2,68,6.8,45,30,NICE LAMB
18SH00405,H9884,2,60,6.0,44,30,UGLY
18SH00406,H9886,2,54,5.4,45,30,.
18SH00407,H9889,2,40,4.0,44,30,PINK
18SH00408,H9891,2,66,6.6,45,30,.
18SH00409,H9892,2,60,6.0,44,30,.
18SH00410,H9893,2,56,5.6,44,30,.
18SH00411,H9896,2,50,5.0,44,30,.
18SH00412,H9899,2,58,5.8,44,30,.
18SH00413,H9900,2,50,5.0,45,30,.
18SH00414,H9903,2,52,5.2,44,30,.
18SH00415,H9906,2,50,5.0,44,30,.
18SH00416,H9908,1,54,5.4,45,30,Scurs
18SH00417,H9909,1,52,5.2,45,30,PINK.2@ONCE
18SH00418,H9910,2,52,5.2,44,30,PINK
18SH00419,H9914,1,72,7.2,45,30,.
18SH00420,H9916,2,60,6.0,45,30,.
18SH00421,H9917,1,58,5.8,45,30,.
18SH00422,H9920,2,50,5.0,45,30,.
18SH00423,H9923,2,64,6.4,44,30,.
18SH00424,H9924,2,44,4.4,44,30,.
18SH00425,H9925,2,60,6.0,44,30,.
18SH00426,H9926,2,60,6.0,45,30,1ST.PINK.EARS
18SH00427,H9927,2,66,6.6,44,30,2ND
18SH00428,H9928,2,46,4.6,44,30,1ST.PINK
18SH00429,H9935,2,52,5.2,44,30,3RD.BACKWARDS
18SH00430,H9939,1,64,6.4,45,30,Scurs
18SH00431,H9942,1,56,5.6,45,30,.
18SH00432,H9944,2,50,5.0,44,30,.
18SH00433,H9953,2,50,5.0,44,30,.
18SH00434,H9957,2,72,7.2,44,30,.
18SH00435,H9960,2,68,6.8,45,30,.
18SH00436,H9961,2,56,5.6,44,30,.
18SH00437,H9964,2,54,5.4,44,30,.
18SH00438,K5090,2,77,7.7,124,06,SiddowayLame
18SH00439,K5091,2,96,9.6,44,06,Siddoway
18SH00440,K5092,2,99,9.9,124,06,Siddoway
18SH00441,K5093,2,96,9.6,44,06,Siddoway
18SH00442,K5095,2,92,9.2,44,06,Siddoway
18SH00443,K5096,2,90,9.0,44,06,Siddoway
18SH00444,K5097,2,92,9.2,44,06,Siddoway
18SH00445,K5098,2,77,7.7,124,06,Siddoway
18SH00446,K5099,2,121,12.1,124,06,Siddoway
18SH00447,K5100,2,98,9.8,44,06,Siddoway
18SH00448,K5101,2,108,10.8,44,06,Siddoway
18SH00449,K5102,2,118,11.8,44,06,Siddoway
18SH00450,K5103,2,74,7.4,44,06,Siddoway
18SH00451,K5104,2,88,8.8,124,06,Siddoway
18SH00452,K5105,2,99,9.9,124,06,Siddoway
18SH00453,K5106,2,99,9.9,124,06,Siddoway
18SH00454,K5107,2,106,10.6,44,06,Siddoway
18SH00455,K5109,2,82,8.2,44,06,Siddoway
18SH00456,K5110,2,99,9.9,124,06,Siddoway
18SH00457,K5111,2,88,8.8,124,06,Siddoway
18SH00458,K5113,2,66,6.6,124,06,Siddoway
18SH00459,K5114,2,88,8.8,44,06,Siddoway
18SH00460,K5115,2,77,7.7,120,06,Siddoway
18SH00461,K5116,2,82,8.2,44,06,Siddoway
18SH00462,K5118,2,77,7.7,124,06,Siddoway
18SH00463,K5119,2,112,11.2,44,06,Siddoway
18SH00464,K5120,2,108,10.8,44,06,Siddoway
18SH00465,K5121,2,98,9.8,44,06,Siddoway
18SH00466,K5122,2,82,8.2,44,06,Siddoway
18SH00467,K5123,2,88,8.8,124,06,Siddoway
18SH00468,K5124,2,99,9.9,124,06,Siddoway
18SH00469,K5125,2,77,7.7,120,06,Siddoway
18SH00470,K5126,2,122,12.2,44,06,Siddoway
18SH00471,K5130,1,80,8.0,45,06,Scurs
18SH00472,K5131,2,82,8.2,44,06,1ST
18SH00473,K5132,2,72,7.2,44,06,2ND
18SH00474,K5133,2,54,5.4,44,06,.
18SH00475,K5134,2,58,5.8,44,06,.
18SH00476,K5136,2,66,6.6,124,06,.
18SH00477,K5137,2,66,6.6,124,06,SmBellyOkNow
18SH00478,K5139,2,88,8.8,124,06,.
18SH00479,K5140,1,88,8.8,45,06,Scurs
18SH00480,K5141,2,76,7.6,44,06,HAIRY.Scours
18SH00481,K5142,2,77,7.7,124,06,VetFixEnt
18SH00482,K5143,2,77,7.7,120,06,HAIRY
18SH00483,K5146,1,60,6.0,45,06,Buttons
18SH00484,K5149,1,60,6.0,45,06,Scurs
18SH00485,K5150,2,76,7.6,44,06,.
18SH00486,K5152,2,66,6.6,124,06,.
18SH00487,K5153,2,77,7.7,124,06,.
18SH00488,K5154,2,72,7.2,44,06,.
18SH00489,K5155,1,86,8.6,45,06,Sl. over
18SH00490,K5167,1,78,7.8,45,06,Nice!
18SH00491,K5168,1,62,6.2,45,06,.
18SH00492,K5169,2,68,6.8,44,06,FxRF
18SH00493,K5170,2,66,6.6,44,06,VetsFixTail
18SH00494,K5171,2,86,8.6,45,06,.
18SH00495,K5172,1,68,6.8,45,06,.
18SH00496,K5173,2,88,8.8,124,06,.
18SH00497,K5175,2,70,7.0,44,06,.
18SH00498,K5177,2,66,6.6,124,06,.
18SH00499,K5180,1,72,7.2,45,06,Scurs
18SH00500,K5181,2,68,6.8,44,06,.
18SH00501,K5182,2,77,7.7,124,06,.
18SH00502,K5185,1,88,8.8,45,06,Scurs
18SH00503,K5186,2,66,6.6,124,06,.
18SH00504,L0380,2,72,7.2,45,PC,E2E
18SH00505,L0399,2,92,9.2,45,PC,SNOTTY.NOSE
18SH00506,L0461,2,84,8.4,45,PC,E2E.4T.NICE
18SH00507,L0558,2,90,9.0,45,PC,CHEWS.TAIL
18SH00508,L0602,2,104,10.4,45,PC,4TEATS
18SH00509,L0630,2,88,8.8,45,PC,40BRN
18SH00510,L0700,2,114,11.4,45,PC,LAME.LH
18SH00511,L0715,2,68,6.8,45,PC,MYO AA
