original_id10,hx_id10,birth_year,breed,etag
1947138818,HX00001282,1947,13,8818
1947138819,HX00001283,1947,13,8819
1947138827,HX00001284,1947,13,8827
1947138828,HX00001285,1947,13,8828
1947138833,HX00001286,1947,13,8833
1947138852,HX00001287,1947,13,8852
1947138873,HX00001288,1947,13,8873
1947138875,HX00001289,1947,13,8875
1947138880,HX00001290,1947,13,8880
1947138884,HX00001291,1947,13,8884
1947138888,HX00001292,1947,13,8888
1947138889,HX00001293,1947,13,8889
1947138890,HX00001294,1947,13,8890
1947138894,HX00001295,1947,13,8894
1947138901,HX00001296,1947,13,8901
1947138906,HX00001297,1947,13,8906
1947138907,HX00001298,1947,13,8907
1947138911,HX00001299,1947,13,8911
1947138917,HX00001300,1947,13,8917
1947138926,HX00001301,1947,13,8926
1947138929,HX00001302,1947,13,8929
1947138933,HX00001303,1947,13,8933
1947138937,HX00001304,1947,13,8937
1947138943,HX00001305,1947,13,8943
1947138952,HX00001306,1947,13,8952
1947138959,HX00001307,1947,13,8959
1947138961,HX00001308,1947,13,8961
1947138969,HX00001309,1947,13,8969
1947138972,HX00001310,1947,13,8972
1947138975,HX00001311,1947,13,8975
1947138977,HX00001312,1947,13,8977
1947138979,HX00001313,1947,13,8979
1947138980,HX00001314,1947,13,8980
1947138983,HX00001315,1947,13,8983
1947138987,HX00001316,1947,13,8987
1947138992,HX00001317,1947,13,8992
1947138994,HX00001318,1947,13,8994
1947139001,HX00001319,1947,13,9001
1947139002,HX00001320,1947,13,9002
1947139008,HX00001321,1947,13,9008
1947139015,HX00001322,1947,13,9015
1947139017,HX00001323,1947,13,9017
1947139023,HX00001324,1947,13,9023
1947139025,HX00001325,1947,13,9025
1947139026,HX00001326,1947,13,9026
1947139035,HX00001327,1947,13,9035
1947139038,HX00001328,1947,13,9038
1947139039,HX00001329,1947,13,9039
1947139043,HX00001330,1947,13,9043
1947139044,HX00001331,1947,13,9044
1947139054,HX00001332,1947,13,9054
1947139067,HX00001333,1947,13,9067
1947139069,HX00001334,1947,13,9069
1947139072,HX00001335,1947,13,9072
1947139075,HX00001336,1947,13,9075
1947139078,HX00001337,1947,13,9078
1947139087,HX00001338,1947,13,9087
1947139098,HX00001339,1947,13,9098
1947139103,HX00001340,1947,13,9103
1947139115,HX00001341,1947,13,9115
1947139121,HX00001342,1947,13,9121
1947139122,HX00001343,1947,13,9122
1947139123,HX00001344,1947,13,9123
1947139125,HX00001345,1947,13,9125
1947139130,HX00001346,1947,13,9130
1947139136,HX00001347,1947,13,9136
1947139141,HX00001348,1947,13,9141
1947139143,HX00001349,1947,13,9143
1947139148,HX00001350,1947,13,9148
1947139156,HX00001351,1947,13,9156
1947139157,HX00001352,1947,13,9157
1947139162,HX00001353,1947,13,9162
1947139165,HX00001354,1947,13,9165
1947139169,HX00001355,1947,13,9169
1947139181,HX00001356,1947,13,9181
1947139184,HX00001357,1947,13,9184
1947139187,HX00001358,1947,13,9187
1947139190,HX00001359,1947,13,9190
1947175398,HX00001360,1947,17,5398
1947175400,HX00001361,1947,17,5400
1947175423,HX00001362,1947,17,5423
1947175428,HX00001363,1947,17,5428
1947175429,HX00001364,1947,17,5429
1947175430,HX00001365,1947,17,5430
1947175431,HX00001366,1947,17,5431
1947175438,HX00001367,1947,17,5438
1947175441,HX00001368,1947,17,5441
1947175445,HX00001369,1947,17,5445
1947175456,HX00001370,1947,17,5456
1947175457,HX00001371,1947,17,5457
1947175462,HX00001372,1947,17,5462
1947175468,HX00001373,1947,17,5468
1947175477,HX00001374,1947,17,5477
1947175479,HX00001375,1947,17,5479
