UID,LAMBID,SIREID,DAMID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,ID10,SIREID10,DAMID10,SIRE_PRE_CUTOFF,DAM_PRE_CUTOFF
02PE00050,102048942, 97044203,101048806,02,04,A8942,04,A4203,04,A8806,72,2002048942,1997044203,2001048806,0,0
02PE00051,102048943,100816925,101048373,02,04,A8943,81,Z6925,04,A8373,80,2002048943,2000816925,2001048373,0,0
02PE00052,102048944, 99046925,101048746,02,04,A8944,04,A6925,04,A8746,30,2002048944,1999046925,2001048746,0,0
02PE00053,102048945, 99046925,101048746,02,04,A8945,04,A6925,04,A8746,30,2002048945,1999046925,2001048746,0,0
02PE00054,102048946, 99046925,101048473,02,04,A8946,04,A6925,04,A8473,30,2002048946,1999046925,2001048473,0,0
02PE00055,102048947,100816925,101048282,02,04,A8947,81,Z6925,04,A8282,80,2002048947,2000816925,2001048282,0,0
02PE00056,102048948, 99046827,101048599,02,04,A8948,04,A6827,04,A8599,30,2002048948,1999046827,2001048599,0,0
02PE00057,102048949, 99046827,101048599,02,04,A8949,04,A6827,04,A8599,30,2002048949,1999046827,2001048599,0,0
02PE00058,102048950, 99046998, 99090102,02,04,A8950,04,A6998,09,90102,30,2002048950,1999046998,1999090102,0,0
02PE00059,102048951, 99046998, 99090102,02,04,A8951,04,A6998,09,90102,30,2002048951,1999046998,1999090102,0,0
02PE00060,102048952, 97044203,101048631,02,04,A8952,04,A4203,04,A8631,72,2002048952,1997044203,2001048631,0,0
02PE00061,102048953, 97044203,101048631,02,04,A8953,04,A4203,04,A8631,72,2002048953,1997044203,2001048631,0,0
02PE00062,102048954, 97044142,101048287,02,04,A8954,04,A4142,04,A8287,72,2002048954,1997044142,2001048287,0,0
02PE00063,102048955, 97044142,101048287,02,04,A8955,04,A4142,04,A8287,72,2002048955,1997044142,2001048287,0,0
02PE00064,102048956, 97044142,101048805,02,04,A8956,04,A4142,04,A8805,72,2002048956,1997044142,2001048805,0,0
02PE00065,102048957, 97044142,101048805,02,04,A8957,04,A4142,04,A8805,72,2002048957,1997044142,2001048805,0,0
02PE00066,102048958, 99046925,101048475,02,04,A8958,04,A6925,04,A8475,30,2002048958,1999046925,2001048475,0,0
02PE00067,102048959, 99046925,101048475,02,04,A8959,04,A6925,04,A8475,30,2002048959,1999046925,2001048475,0,0
02PE00068,102048960, 99046925,101048680,02,04,A8960,04,A6925,04,A8680,30,2002048960,1999046925,2001048680,0,0
