UID,LAMB,SIRE,DAM,ID10,SIREID10,DAMID10,LAMB_YR,LAMB_BRD,LAMB_ETAG,SIRE_YR,SIRE_BRD,SIRE_ETAG,DAM_YR,DAM_BRD,DAM_ETAG
50PE00079,50113156,47910106,47112397,1950113156,1947910106,1947112397,50,11,3156,47,91,0106,47,11,2397
50PE00080,50113157,47910106,47112397,1950113157,1947910106,1947112397,50,11,3157,47,91,0106,47,11,2397
50PE00081,50113148,47910106,47112439,1950113148,1947910106,1947112439,50,11,3148,47,91,0106,47,11,2439
50PE00082,50113144,47910106,47112482,1950113144,1947910106,1947112482,50,11,3144,47,91,0106,47,11,2482
50PE00083,50113141,47910106,48112543,1950113141,1947910106,1948112543,50,11,3141,47,91,0106,48,11,2543
50PE00084,50113181,47910106,48112584,1950113181,1947910106,1948112584,50,11,3181,47,91,0106,48,11,2584
50PE00085,50113054,47910106,48112607,1950113054,1947910106,1948112607,50,11,3054,47,91,0106,48,11,2607
50PE00086,50113283,47910106,48112620,1950113283,1947910106,1948112620,50,11,3283,47,91,0106,48,11,2620
50PE00087,50113236,47910106,48112640,1950113236,1947910106,1948112640,50,11,3236,47,91,0106,48,11,2640
50PE00088,50113282,47910106,48112738,1950113282,1947910106,1948112738,50,11,3282,47,91,0106,48,11,2738
50PE00089,50176454,47910106,43174035,1950176454,1947910106,1943174035,50,17,6454,47,91,0106,43,17,4035
50PE00090,50176455,47910106,43174035,1950176455,1947910106,1943174035,50,17,6455,47,91,0106,43,17,4035
50PE00091,50176394,47910106,45174914,1950176394,1947910106,1945174914,50,17,6394,47,91,0106,45,17,4914
50PE00092,50176395,47910106,45174914,1950176395,1947910106,1945174914,50,17,6395,47,91,0106,45,17,4914
50PE00093,50176292,47910106,46175391,1950176292,1947910106,1946175391,50,17,6292,47,91,0106,46,17,5391
50PE00094,50176287,47910106,47175485,1950176287,1947910106,1947175485,50,17,6287,47,91,0106,47,17,5485
50PE00095,50176288,47910106,47175485,1950176288,1947910106,1947175485,50,17,6288,47,91,0106,47,17,5485
50PE00096,50176344,47910106,48175666,1950176344,1947910106,1948175666,50,17,6344,47,91,0106,48,17,5666
50PE00097,50176453,47910106,48175725,1950176453,1947910106,1948175725,50,17,6453,47,91,0106,48,17,5725
50PE00098,50113161,47910107,42110906,1950113161,1947910107,1942110906,50,11,3161,47,91,0107,42,11,0906
50PE00099,50113237,47910107,42111054,1950113237,1947910107,1942111054,50,11,3237,47,91,0107,42,11,1054
50PE00100,50113238,47910107,42111054,1950113238,1947910107,1942111054,50,11,3238,47,91,0107,42,11,1054
50PE00101,50113061,47910107,43111243,1950113061,1947910107,1943111243,50,11,3061,47,91,0107,43,11,1243
50PE00102,50113268,47910107,43111298,1950113268,1947910107,1943111298,50,11,3268,47,91,0107,43,11,1298
50PE00103,50113269,47910107,43111298,1950113269,1947910107,1943111298,50,11,3269,47,91,0107,43,11,1298
50PE00104,50113252,47910107,44111630,1950113252,1947910107,1944111630,50,11,3252,47,91,0107,44,11,1630
50PE00105,50113253,47910107,44111630,1950113253,1947910107,1944111630,50,11,3253,47,91,0107,44,11,1630
50PE00106,50113071,47910107,45111717,1950113071,1947910107,1945111717,50,11,3071,47,91,0107,45,11,1717
50PE00107,50113280,47910107,45111901,1950113280,1947910107,1945111901,50,11,3280,47,91,0107,45,11,1901
50PE00108,50113098,47910107,45111913,1950113098,1947910107,1945111913,50,11,3098,47,91,0107,45,11,1913
50PE00109,50113256,47910107,46111935,1950113256,1947910107,1946111935,50,11,3256,47,91,0107,46,11,1935
50PE00110,50113078,47910107,46112005,1950113078,1947910107,1946112005,50,11,3078,47,91,0107,46,11,2005
50PE00111,50113210,47910107,46112207,1950113210,1947910107,1946112207,50,11,3210,47,91,0107,46,11,2207
50PE00112,50113211,47910107,46112207,1950113211,1947910107,1946112207,50,11,3211,47,91,0107,46,11,2207
50PE00113,50113255,47910107,47112253,1950113255,1947910107,1947112253,50,11,3255,47,91,0107,47,11,2253
50PE00114,50113262,47910107,47112261,1950113262,1947910107,1947112261,50,11,3262,47,91,0107,47,11,2261
50PE00115,50113096,47910107,47112307,1950113096,1947910107,1947112307,50,11,3096,47,91,0107,47,11,2307
50PE00116,50113182,47910107,47112428,1950113182,1947910107,1947112428,50,11,3182,47,91,0107,47,11,2428
50PE00117,50113189,47910107,47112462,1950113189,1947910107,1947112462,50,11,3189,47,91,0107,47,11,2462
50PE00118,50113128,47910107,47112473,1950113128,1947910107,1947112473,50,11,3128,47,91,0107,47,11,2473
50PE00119,50113245,47910107,48112514,1950113245,1947910107,1948112514,50,11,3245,47,91,0107,48,11,2514
50PE00120,50113215,47910107,48112554,1950113215,1947910107,1948112554,50,11,3215,47,91,0107,48,11,2554
50PE00121,50113073,47910107,48112573,1950113073,1947910107,1948112573,50,11,3073,47,91,0107,48,11,2573
50PE00122,50113138,47910107,48112590,1950113138,1947910107,1948112590,50,11,3138,47,91,0107,48,11,2590
50PE00123,50113235,47910107,48112603,1950113235,1947910107,1948112603,50,11,3235,47,91,0107,48,11,2603
50PE00124,50113045,47910107,48112608,1950113045,1947910107,1948112608,50,11,3045,47,91,0107,48,11,2608
50PE00125,50113092,47910107,48112720,1950113092,1947910107,1948112720,50,11,3092,47,91,0107,48,11,2720
50PE00126,50113062,47910107,48112752,1950113062,1947910107,1948112752,50,11,3062,47,91,0107,48,11,2752
50PE00127,50176262,47910107,42173209,1950176262,1947910107,1942173209,50,17,6262,47,91,0107,42,17,3209
50PE00128,50176263,47910107,42173209,1950176263,1947910107,1942173209,50,17,6263,47,91,0107,42,17,3209
50PE00129,50176403,47910107,45175027,1950176403,1947910107,1945175027,50,17,6403,47,91,0107,45,17,5027
50PE00130,50176408,47910107,45175140,1950176408,1947910107,1945175140,50,17,6408,47,91,0107,45,17,5140
50PE00131,50176409,47910107,45175140,1950176409,1947910107,1945175140,50,17,6409,47,91,0107,45,17,5140
50PE00132,50176266,47910107,47175519,1950176266,1947910107,1947175519,50,17,6266,47,91,0107,47,17,5519
50PE00133,50176386,47910107,48175687,1950176386,1947910107,1948175687,50,17,6386,47,91,0107,48,17,5687
50PE00134,50131179,47910109,48139420,1950131179,1947910109,1948139420,50,13,1179,47,91,0109,48,13,9420
50PE00135,50131335,47910109,42134731,1950131335,1947910109,1942134731,50,13,1335,47,91,0109,42,13,4731
50PE00136,50130746,47910109,42135292,1950130746,1947910109,1942135292,50,13,0746,47,91,0109,42,13,5292
50PE00137,50130747,47910109,42135292,1950130747,1947910109,1942135292,50,13,0747,47,91,0109,42,13,5292
50PE00138,50130782,47910109,44136234,1950130782,1947910109,1944136234,50,13,0782,47,91,0109,44,13,6234
50PE00139,50130834,47910109,45137028,1950130834,1947910109,1945137028,50,13,0834,47,91,0109,45,13,7028
50PE00140,50130880,47910109,45137183,1950130880,1947910109,1945137183,50,13,0880,47,91,0109,45,13,7183
50PE00141,50131076,47910109,45137513,1950131076,1947910109,1945137513,50,13,1076,47,91,0109,45,13,7513
50PE00142,50131077,47910109,45137513,1950131077,1947910109,1945137513,50,13,1077,47,91,0109,45,13,7513
50PE00143,50131404,47910109,46137841,1950131404,1947910109,1946137841,50,13,1404,47,91,0109,46,13,7841
50PE00144,50131059,47910109,46137879,1950131059,1947910109,1946137879,50,13,1059,47,91,0109,46,13,7879
50PE00145,50131060,47910109,46137879,1950131060,1947910109,1946137879,50,13,1060,47,91,0109,46,13,7879
50PE00146,50130907,47910109,46137922,1950130907,1947910109,1946137922,50,13,0907,47,91,0109,46,13,7922
50PE00147,50131127,47910109,46137972,1950131127,1947910109,1946137972,50,13,1127,47,91,0109,46,13,7972
50PE00148,50130994,47910109,46138032,1950130994,1947910109,1946138032,50,13,0994,47,91,0109,46,13,8032
50PE00149,50130995,47910109,46138032,1950130995,1947910109,1946138032,50,13,0995,47,91,0109,46,13,8032
50PE00150,50131097,47910109,46138160,1950131097,1947910109,1946138160,50,13,1097,47,91,0109,46,13,8160
50PE00151,50131445,47910109,46138168,1950131445,1947910109,1946138168,50,13,1445,47,91,0109,46,13,8168
50PE00152,50130888,47910109,47138551,1950130888,1947910109,1947138551,50,13,0888,47,91,0109,47,13,8551
50PE00153,50130826,47910109,47138744,1950130826,1947910109,1947138744,50,13,0826,47,91,0109,47,13,8744
50PE00154,50131126,47910109,47138745,1950131126,1947910109,1947138745,50,13,1126,47,91,0109,47,13,8745
50PE00155,50131408,47910109,47138786,1950131408,1947910109,1947138786,50,13,1408,47,91,0109,47,13,8786
50PE00156,50130901,47910109,47138798,1950130901,1947910109,1947138798,50,13,0901,47,91,0109,47,13,8798
